Time Remaining,Mill,Away Team Score,Play Team Indicator,Home Team Score,PS,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by GILLETTE,DREW",,,"REBOUND DEF by GILLETTE,DREW",1
12:20,"FOUL  by LITTLE ,JAMES",,,,,,,"FOUL  by LITTLE ,JAMES",1
12:20,,6,,16 (+10),"GOOD FT by PHILLIPS,TAJ",PS 6-16 (-10),,"GOOD FT by PHILLIPS,TAJ",1
12:20,,,,,"SUB OUT by BAKER,DEZMAN",,,"SUB OUT by BAKER,DEZMAN",1
12:20,,,,,"SUB IN by TECLEMARIAM,MUSSIE",,,"SUB IN by TECLEMARIAM,MUSSIE",1
12:20,"SUB OUT by GORTON,MACK",,,,,,,"SUB OUT by GORTON,MACK",1
12:20,"SUB IN by STEPHEN,SETH",,,,,,,"SUB IN by STEPHEN,SETH",1
12:20,,6,,17 (+11),"GOOD FT by PHILLIPS,TAJ",PS 6-17 (-11),,"GOOD FT by PHILLIPS,TAJ",1
11:57,"MISS 3PTR by GASCA,DAKOTA",,,,,,,"MISS 3PTR by GASCA,DAKOTA",1
--,,,,,"REBOUND DEF by DEBOER,CHARLIE",,,"REBOUND DEF by DEBOER,CHARLIE",1
11:45,,6,,20 (+14),"GOOD 3PTR by TECLEMARIAM,MUSSIE",PS 6-20 (-14),,"GOOD 3PTR by TECLEMARIAM,MUSSIE",1
--,,,,,"ASSIST  by PHILLIPS,TAJ",,,"ASSIST  by PHILLIPS,TAJ",1
11:32,"GOOD JUMPER by GASCA,DAKOTA",8,,20 (+12),,Mill 8-20 (-12),,"GOOD JUMPER by GASCA,DAKOTA",1
11:19,,,,,"MISS 3PTR by PHILLIPS,TAJ",,,"MISS 3PTR by PHILLIPS,TAJ",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:17,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
10:54,"MISS JUMPER by LITTLE ,JAMES",,,,,,,"MISS JUMPER by LITTLE ,JAMES",1
--,"REBOUND OFF by STEPHEN,SETH",,,,,,,"REBOUND OFF by STEPHEN,SETH",1
10:43,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
10:43,,,,,"SUB OUT by GILLETTE,DREW",,,"SUB OUT by GILLETTE,DREW",1
10:43,,,,,"SUB IN by POHLAND,WILL",,,"SUB IN by POHLAND,WILL",1
10:43,"SUB OUT by LITTLE ,JAMES",,,,,,,"SUB OUT by LITTLE ,JAMES",1
10:43,"SUB IN by HOGAN,TJ",,,,,,,"SUB IN by HOGAN,TJ",1
10:17,,8,,23 (+15),"GOOD 3PTR by TECLEMARIAM,MUSSIE",PS 8-23 (-15),,"GOOD 3PTR by TECLEMARIAM,MUSSIE",1
--,,,,,"ASSIST  by PHILLIPS,TAJ",,,"ASSIST  by PHILLIPS,TAJ",1
10:10,"SUB OUT by STEPHEN,SETH",,,,,,,"SUB OUT by STEPHEN,SETH",1
10:10,"SUB OUT by GASCA,DAKOTA",,,,,,,"SUB OUT by GASCA,DAKOTA",1
10:10,"SUB OUT by PHILLIPS JR,RODNEY",,,,,,,"SUB OUT by PHILLIPS JR,RODNEY",1
10:10,"SUB IN by RUCKER,CAM",,,,,,,"SUB IN by RUCKER,CAM",1
10:10,"SUB IN by URSIN,AARON",,,,,,,"SUB IN by URSIN,AARON",1
10:10,"SUB IN by ROTH,DREW",,,,,,,"SUB IN by ROTH,DREW",1
09:48,"TURNOVER  by URSIN,AARON",,,,,,,"TURNOVER  by URSIN,AARON",1
09:31,,,,,"TURNOVER  by TECLEMARIAM,MUSSIE",,,"TURNOVER  by TECLEMARIAM,MUSSIE",1
09:31,,,,,"SUB OUT by DEBOER,CHARLIE",,,"SUB OUT by DEBOER,CHARLIE",1
09:31,,,,,"SUB IN by BAILEY,JACK",,,"SUB IN by BAILEY,JACK",1
09:15,"GOOD JUMPER by URSIN,AARON(in the paint)",10,,23 (+13),,Mill 10-23 (-13),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
09:07,,10,,26 (+16),"GOOD 3PTR by RUTTLEDGE,LIAM",PS 10-26 (-16),,"GOOD 3PTR by RUTTLEDGE,LIAM",1
--,,,,,"ASSIST  by PHILLIPS,TAJ",,,"ASSIST  by PHILLIPS,TAJ",1
09:07,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
09:07,,10,,27 (+17),"GOOD FT by RUTTLEDGE,LIAM",PS 10-27 (-17),,"GOOD FT by RUTTLEDGE,LIAM",1
08:58,,,,,"FOUL  by BAILEY,JACK",,,"FOUL  by BAILEY,JACK",1
08:58,"GOOD FT by URSIN,AARON",11,,27 (+16),,Mill 11-27 (-16),,"GOOD FT by URSIN,AARON",1
08:58,"MISS FT by URSIN,AARON",,,,,,,"MISS FT by URSIN,AARON",1
--,,,,,"REBOUND DEF by BAILEY,JACK",,,"REBOUND DEF by BAILEY,JACK",1
08:42,,,,,"TURNOVER  by PHILLIPS,TAJ",,,"TURNOVER  by PHILLIPS,TAJ",1
08:42,"STEAL  by URSIN,AARON",,,,,,,"STEAL  by URSIN,AARON",1
08:40,,,,,"FOUL  by PHILLIPS,TAJ",,,"FOUL  by PHILLIPS,TAJ",1
08:40,,,,,"SUB OUT by PHILLIPS,TAJ",,,"SUB OUT by PHILLIPS,TAJ",1
08:40,,,,,"SUB OUT by RUTTLEDGE,LIAM",,,"SUB OUT by RUTTLEDGE,LIAM",1
08:40,,,,,"SUB IN by ERICKSON,GRANT",,,"SUB IN by ERICKSON,GRANT",1
08:40,,,,,"SUB IN by CLAUS,ZAC",,,"SUB IN by CLAUS,ZAC",1
08:31,"GOOD JUMPER by WATSON,DOUG",13,,27 (+14),,Mill 13-27 (-14),,"GOOD JUMPER by WATSON,DOUG",1
08:16,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",1
08:16,,,,,"MISS FT by ERICKSON,GRANT",,,"MISS FT by ERICKSON,GRANT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:16,,13,,28 (+15),"GOOD FT by ERICKSON,GRANT",PS 13-28 (-15),,"GOOD FT by ERICKSON,GRANT",1
08:09,"GOOD LAYUP by RUCKER,CAM(in the paint)",15,,28 (+13),,Mill 15-28 (-13),,"GOOD LAYUP by RUCKER,CAM(in the paint)",1
08:00,"FOUL  by ROTH,DREW",,,,,,,"FOUL  by ROTH,DREW",1
08:00,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:56,,,,,"MISS LAYUP by ERICKSON,GRANT(in the paint)",,,"MISS LAYUP by ERICKSON,GRANT(in the paint)",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
07:40,"GOOD JUMPER by URSIN,AARON(in the paint)",17,,28 (+11),,Mill 17-28 (-11),,"GOOD JUMPER by URSIN,AARON(in the paint)",1
07:28,,,,,"MISS 3PTR by TECLEMARIAM,MUSSIE",,,"MISS 3PTR by TECLEMARIAM,MUSSIE",1
--,,,,,"REBOUND OFF by ERICKSON,GRANT",,,"REBOUND OFF by ERICKSON,GRANT",1
07:22,,,,,"FOUL  by ERICKSON,GRANT",,,"FOUL  by ERICKSON,GRANT",1
07:22,,,,,"TURNOVER  by ERICKSON,GRANT",,,"TURNOVER  by ERICKSON,GRANT",1
07:22,,,,,"SUB OUT by TECLEMARIAM,MUSSIE",,,"SUB OUT by TECLEMARIAM,MUSSIE",1
07:22,,,,,"SUB IN by RUTTLEDGE,LIAM",,,"SUB IN by RUTTLEDGE,LIAM",1
07:02,"MISS 3PTR by RUCKER,CAM",,,,,,,"MISS 3PTR by RUCKER,CAM",1
--,,,,,"REBOUND DEF by BAILEY,JACK",,,"REBOUND DEF by BAILEY,JACK",1
06:53,"SUB OUT by ROTH,DREW",,,,,,,"SUB OUT by ROTH,DREW",1
06:53,"SUB IN by FORBES,TRACE",,,,,,,"SUB IN by FORBES,TRACE",1
06:42,,,,,"TURNOVER  by CLAUS,ZAC",,,"TURNOVER  by CLAUS,ZAC",1
06:42,"STEAL  by WATSON,DOUG",,,,,,,"STEAL  by WATSON,DOUG",1
06:33,"MISS 3PTR by WATSON,DOUG",,,,,,,"MISS 3PTR by WATSON,DOUG",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:29,,,,,"SUB OUT by BAILEY,JACK",,,"SUB OUT by BAILEY,JACK",1
06:29,,,,,"SUB IN by GILLETTE,DREW",,,"SUB IN by GILLETTE,DREW",1
06:29,"SUB OUT by HOGAN,TJ",,,,,,,"SUB OUT by HOGAN,TJ",1
06:29,"SUB IN by BONNECAZE,STEWART",,,,,,,"SUB IN by BONNECAZE,STEWART",1
06:17,,,,,"MISS 3PTR by GILLETTE,DREW",,,"MISS 3PTR by GILLETTE,DREW",1
--,,,,,"REBOUND OFF by POHLAND,WILL",,,"REBOUND OFF by POHLAND,WILL",1
06:07,,17,,30 (+13),"GOOD LAYUP by ERICKSON,GRANT(in the paint)",PS 17-30 (-13),,"GOOD LAYUP by ERICKSON,GRANT(in the paint)",1
--,,,,,"ASSIST  by CLAUS,ZAC",,,"ASSIST  by CLAUS,ZAC",1
05:49,"MISS JUMPER by URSIN,AARON",,,,,,,"MISS JUMPER by URSIN,AARON",1
--,,,,,"REBOUND DEF by GILLETTE,DREW",,,"REBOUND DEF by GILLETTE,DREW",1
05:45,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
05:45,,17,,31 (+14),"GOOD FT by POHLAND,WILL(fastbreak)",PS 17-31 (-14),,"GOOD FT by POHLAND,WILL(fastbreak)",1
05:45,"SUB OUT by RUCKER,CAM",,,,,,,"SUB OUT by RUCKER,CAM",1
05:45,"SUB IN by GASCA,DAKOTA",,,,,,,"SUB IN by GASCA,DAKOTA",1
05:45,,17,,32 (+15),"GOOD FT by POHLAND,WILL(fastbreak)",PS 17-32 (-15),,"GOOD FT by POHLAND,WILL(fastbreak)",1
05:33,"MISS 3PTR by BONNECAZE,STEWART",,,,,,,"MISS 3PTR by BONNECAZE,STEWART",1
--,,,,,"REBOUND DEF by GILLETTE,DREW",,,"REBOUND DEF by GILLETTE,DREW",1
05:19,,,,,"MISS JUMPER by CLAUS,ZAC",,,"MISS JUMPER by CLAUS,ZAC",1
--,"REBOUND DEF by URSIN,AARON",,,,,,,"REBOUND DEF by URSIN,AARON",1
05:14,"FOUL  by WATSON,DOUG",,,,,,,"FOUL  by WATSON,DOUG",1
05:14,"TURNOVER  by WATSON,DOUG",,,,,,,"TURNOVER  by WATSON,DOUG",1
05:14,"SUB OUT by WATSON,DOUG",,,,,,,"SUB OUT by WATSON,DOUG",1
05:14,"SUB IN by LITTLE ,JAMES",,,,,,,"SUB IN by LITTLE ,JAMES",1
05:01,,,,,"MISS 3PTR by RUTTLEDGE,LIAM",,,"MISS 3PTR by RUTTLEDGE,LIAM",1
--,"REBOUND DEF by FORBES,TRACE",,,,,,,"REBOUND DEF by FORBES,TRACE",1
04:48,"GOOD LAYUP by URSIN,AARON(in the paint)",19,,32 (+13),,Mill 19-32 (-13),,"GOOD LAYUP by URSIN,AARON(in the paint)",1
04:27,,19,,34 (+15),"GOOD LAYUP by ERICKSON,GRANT(in the paint)",PS 19-34 (-15),,"GOOD LAYUP by ERICKSON,GRANT(in the paint)",1
--,,,,,"ASSIST  by POHLAND,WILL",,,"ASSIST  by POHLAND,WILL",1
04:17,"GOOD 3PTR by LITTLE ,JAMES",22,,34 (+12),,Mill 22-34 (-12),,"GOOD 3PTR by LITTLE ,JAMES",1
04:04,,22,,36 (+14),"GOOD LAYUP by GILLETTE,DREW(in the paint)",PS 22-36 (-14),,"GOOD LAYUP by GILLETTE,DREW(in the paint)",1
--,,,,,"ASSIST  by CLAUS,ZAC",,,"ASSIST  by CLAUS,ZAC",1
03:51,"MISS 3PTR by URSIN,AARON",,,,,,,"MISS 3PTR by URSIN,AARON",1
--,,,,,"REBOUND DEF by ERICKSON,GRANT",,,"REBOUND DEF by ERICKSON,GRANT",1
03:37,,,,,"TURNOVER  by GILLETTE,DREW",,,"TURNOVER  by GILLETTE,DREW",1
03:37,"STEAL  by LITTLE ,JAMES",,,,,,,"STEAL  by LITTLE ,JAMES",1
03:31,"GOOD LAYUP by LITTLE ,JAMES(fastbreak)(in the paint)",24,,36 (+12),,Mill 24-36 (-12),,"GOOD LAYUP by LITTLE ,JAMES(fastbreak)(in the paint)",1
03:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:26,,,,,"SUB OUT by GILLETTE,DREW",,,"SUB OUT by GILLETTE,DREW",1
03:26,,,,,"SUB OUT by ERICKSON,GRANT",,,"SUB OUT by ERICKSON,GRANT",1
03:26,,,,,"SUB OUT by POHLAND,WILL",,,"SUB OUT by POHLAND,WILL",1
03:26,,,,,"SUB IN by TECLEMARIAM,MUSSIE",,,"SUB IN by TECLEMARIAM,MUSSIE",1
03:26,,,,,"SUB IN by PHILLIPS,TAJ",,,"SUB IN by PHILLIPS,TAJ",1
03:26,,,,,"SUB IN by DEBOER,CHARLIE",,,"SUB IN by DEBOER,CHARLIE",1
03:26,"SUB OUT by FORBES,TRACE",,,,,,,"SUB OUT by FORBES,TRACE",1
03:26,"SUB OUT by URSIN,AARON",,,,,,,"SUB OUT by URSIN,AARON",1
03:26,"SUB IN by GORTON,MACK",,,,,,,"SUB IN by GORTON,MACK",1
03:26,"SUB IN by PHILLIPS JR,RODNEY",,,,,,,"SUB IN by PHILLIPS JR,RODNEY",1
03:15,,,,,"MISS JUMPER by RUTTLEDGE,LIAM",,,"MISS JUMPER by RUTTLEDGE,LIAM",1
--,"REBOUND DEF by GASCA,DAKOTA",,,,,,,"REBOUND DEF by GASCA,DAKOTA",1
02:59,"TURNOVER  by GASCA,DAKOTA",,,,,,,"TURNOVER  by GASCA,DAKOTA",1
02:59,,,,,"STEAL  by PHILLIPS,TAJ",,,"STEAL  by PHILLIPS,TAJ",1
02:54,,,,,"TURNOVER  by PHILLIPS,TAJ",,,"TURNOVER  by PHILLIPS,TAJ",1
02:54,"STEAL  by GASCA,DAKOTA",,,,,,,"STEAL  by GASCA,DAKOTA",1
02:40,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",,,,,,,"MISS LAYUP by BONNECAZE,STEWART(in the paint)",1
--,,,,,"REBOUND DEF by CLAUS,ZAC",,,"REBOUND DEF by CLAUS,ZAC",1
02:31,"FOUL  by BONNECAZE,STEWART",,,,,,,"FOUL  by BONNECAZE,STEWART",1
02:30,,24,,37 (+13),"GOOD FT by CLAUS,ZAC",PS 24-37 (-13),,"GOOD FT by CLAUS,ZAC",1
