Time Remaining,MIL,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
09:02,,26 (+8),,18,"GOOD 3PTR by THOMAS,ADRIAN",SEWANEE 26-18 (-8),,"GOOD 3PTR by THOMAS,ADRIAN",1
--,,,,,"ASSIST  by GARWOOD,MACKIE",,,"ASSIST  by GARWOOD,MACKIE",1
08:47,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND OFF by TULLOS,ZACHARY",,,,,,,"REBOUND OFF by TULLOS,ZACHARY",1
08:38,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",1
--,"REBOUND OFF by PELT,JUSTIN VAN",,,,,,,"REBOUND OFF by PELT,JUSTIN VAN",1
08:36,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",28 (+10),,18,,MIL 28-18 (-10),,"GOOD LAYUP by PELT,JUSTIN VAN(in the paint)",1
08:07,,28 (+8),,20,"GOOD JUMPER by KNOX,JOEY",SEWANEE 28-20 (-8),,"GOOD JUMPER by KNOX,JOEY",1
07:50,"MISS LAYUP by GRANT,SHE'CHEM",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by KNOX,JOEY",,,"REBOUND DEF by KNOX,JOEY",1
07:36,,,,,"MISS 3PTR by KNOX,JOEY",,,"MISS 3PTR by KNOX,JOEY",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
07:26,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
07:26,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:26,"GOOD FT by HUGHES,ANTHONY",29 (+9),,20,,MIL 29-20 (-9),,"GOOD FT by HUGHES,ANTHONY",1
07:26,"GOOD FT by HUGHES,ANTHONY",30 (+10),,20,,MIL 30-20 (-10),,"GOOD FT by HUGHES,ANTHONY",1
07:26,"SUB IN by YOUNG,DILLON",,,,,,,"SUB IN by YOUNG,DILLON",1
07:26,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
07:26,,,,,"SUB IN by CRUMP,JOHN",,,"SUB IN by CRUMP,JOHN",1
07:26,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
07:26,,,,,"SUB IN by BARRY,MICHAEL",,,"SUB IN by BARRY,MICHAEL",1
07:26,,,,,"SUB OUT by GARWOOD,MACKIE",,,"SUB OUT by GARWOOD,MACKIE",1
07:26,,,,,"SUB OUT by MCDONOUGH,SEAN",,,"SUB OUT by MCDONOUGH,SEAN",1
07:26,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
07:24,,,,,"MISS 3PTR by CRUMLY,JONNY",,,"MISS 3PTR by CRUMLY,JONNY",1
--,"REBOUND DEF by HUGHES,ANTHONY",,,,,,,"REBOUND DEF by HUGHES,ANTHONY",1
07:14,"MISS LAYUP by PELT,JUSTIN VAN",,,,,,,"MISS LAYUP by PELT,JUSTIN VAN",1
07:14,,,,,"BLOCK  by KNOX,JOEY",,,"BLOCK  by KNOX,JOEY",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
06:42,,30 (+7),,23,"GOOD 3PTR by CRUMLY,JONNY",SEWANEE 30-23 (-7),,"GOOD 3PTR by CRUMLY,JONNY",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
06:26,"MISS JUMPER by HUGHES,ANTHONY",,,,,,,"MISS JUMPER by HUGHES,ANTHONY",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
06:23,"FOUL  by PELT,JUSTIN VAN",,,,,,,"FOUL  by PELT,JUSTIN VAN",1
06:23,,30 (+6),,24,"GOOD FT by CRUMLY,JONNY",SEWANEE 30-24 (-6),,"GOOD FT by CRUMLY,JONNY",1
06:23,,30 (+5),,25,"GOOD FT by CRUMLY,JONNY",SEWANEE 30-25 (-5),,"GOOD FT by CRUMLY,JONNY",1
06:02,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",32 (+7),,25,,MIL 32-25 (-7),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
05:51,,32 (+4),,28,"GOOD 3PTR by CRUMLY,JONNY",SEWANEE 32-28 (-4),,"GOOD 3PTR by CRUMLY,JONNY",1
--,,,,,"ASSIST  by KNOX,JOEY",,,"ASSIST  by KNOX,JOEY",1
05:34,"GOOD 3PTR by MILLER,JOSHUA",35 (+7),,28,,MIL 35-28 (-7),,"GOOD 3PTR by MILLER,JOSHUA",1
--,"ASSIST  by PELT,JUSTIN VAN",,,,,,,"ASSIST  by PELT,JUSTIN VAN",1
05:33,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
05:33,"FOUL TECH by MILLER,JOSHUA",,,,,,,"FOUL TECH by MILLER,JOSHUA",1
05:33,,35 (+6),,29,"GOOD FT by BARRY,MICHAEL",SEWANEE 35-29 (-6),,"GOOD FT by BARRY,MICHAEL",1
05:33,,35 (+5),,30,"GOOD FT by BARRY,MICHAEL",SEWANEE 35-30 (-5),,"GOOD FT by BARRY,MICHAEL",1
05:20,,,,,"MISS 3PTR by BARRY,MICHAEL",,,"MISS 3PTR by BARRY,MICHAEL",1
--,,,,,"REBOUND OFF by CRUMLY,JONNY",,,"REBOUND OFF by CRUMLY,JONNY",1
05:14,"FOUL  by YOUNG,DILLON",,,,,,,"FOUL  by YOUNG,DILLON",1
05:14,,,,,"MISS FT by WARLICK,JORDAN",,,"MISS FT by WARLICK,JORDAN",1
