Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Centre,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
10:48,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
10:48,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
10:48,"SUB IN by STARR,RYAN",,,,,,,"SUB IN by STARR,RYAN",1
10:48,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
10:48,"SUB OUT by GARWOOD,MACKIE",,,,,,,"SUB OUT by GARWOOD,MACKIE",1
10:48,"SUB OUT by MCDONOUGH,SEAN",,,,,,,"SUB OUT by MCDONOUGH,SEAN",1
10:48,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
10:48,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
10:00,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
10:00,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
10:00,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
10:00,"BLOCK  by WARLICK,JORDAN",,,,,,,"BLOCK  by WARLICK,JORDAN",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
10:00,"GOOD JUMPER by WARLICK,JORDAN",15,,17 (+2),,Sewan 15-17 (-2),,"GOOD JUMPER by WARLICK,JORDAN",1
10:00,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",1
--,"REBOUND DEF by WARLICK,JORDAN",,,,,,,"REBOUND DEF by WARLICK,JORDAN",1
10:00,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
10:00,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
10:00,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
10:00,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
09:55,"MISS 3PTR by WARLICK,JORDAN",,,,,,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
09:44,,15,,19 (+4),"GOOD JUMPER by RAKES,BAILEY",Centre 15-19 (-4),,"GOOD JUMPER by RAKES,BAILEY",1
08:23,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
08:23,"MISS FT by KNOX,JOEY",,,,,,,"MISS FT by KNOX,JOEY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:23,"GOOD FT by KNOX,JOEY",16,,19 (+3),,Sewan 16-19 (-3),,"GOOD FT by KNOX,JOEY",1
