Time Remaining,Sewan,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
14:22,,14 (+5),,9,"GOOD FT by MADISON,DAMIEN",Hunt 14-9 (+5),,"GOOD FT by MADISON,DAMIEN",1
14:22,,14 (+4),,10,"GOOD FT by MADISON,DAMIEN",Hunt 14-10 (+4),,"GOOD FT by MADISON,DAMIEN",1
14:22,"SUB IN by WARLICK,JORDAN",,,,,,,"SUB IN by WARLICK,JORDAN",1
14:22,"SUB IN by JENNINGS,SAM",,,,,,,"SUB IN by JENNINGS,SAM",1
14:22,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",1
14:22,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
14:22,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",1
14:22,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",1
14:22,,,,,"SUB IN by CHAMPION,JACOB",,,"SUB IN by CHAMPION,JACOB",1
14:22,,,,,"SUB OUT by MADISON,DAMIEN",,,"SUB OUT by MADISON,DAMIEN",1
14:22,,,,,"SUB OUT by GOREE,LOGAN",,,"SUB OUT by GOREE,LOGAN",1
14:22,,,,,"SUB OUT by SCHMITT,LUCAS",,,"SUB OUT by SCHMITT,LUCAS",1
14:19,"MISS 3PTR by MCDONOUGH,SEAN",,,,,,,"MISS 3PTR by MCDONOUGH,SEAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:46,,,,,"MISS 3PTR by BOYD,CAM",,,"MISS 3PTR by BOYD,CAM",1
--,,,,,"REBOUND OFF by HARRIS,JAMES",,,"REBOUND OFF by HARRIS,JAMES",1
13:42,,14 (+2),,12,"GOOD LAYUP by HARRIS,JAMES(in the paint)",Hunt 14-12 (+2),,"GOOD LAYUP by HARRIS,JAMES(in the paint)",1
13:23,"TURNOVER  by WARLICK,JORDAN",,,,,,,"TURNOVER  by WARLICK,JORDAN",1
13:23,,,,,"SUB IN by HOBSON,CHARVEZ'",,,"SUB IN by HOBSON,CHARVEZ'",1
13:23,,,,,SUB OUT by 0,,,SUB OUT by 0,1
13:04,,,,,"MISS LAYUP by BOHLING,DYLAN",,,"MISS LAYUP by BOHLING,DYLAN",1
--,"REBOUND DEF by HOLLOWAY,JACK",,,,,,,"REBOUND DEF by HOLLOWAY,JACK",1
12:43,"GOOD JUMPER by HOLLOWAY,JACK(in the paint)",16 (+4),,12,,Sewan 16-12 (+4),,"GOOD JUMPER by HOLLOWAY,JACK(in the paint)",1
12:18,,16 (+2),,14,"GOOD JUMPER by HARRIS,JAMES",Hunt 16-14 (+2),,"GOOD JUMPER by HARRIS,JAMES",1
12:01,"TURNOVER  by HOLLOWAY,JACK",,,,,,,"TURNOVER  by HOLLOWAY,JACK",1
12:01,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
12:01,"SUB OUT by HOLLOWAY,JACK",,,,,,,"SUB OUT by HOLLOWAY,JACK",1
12:01,,,,,"SUB IN by SCHMITT,LUCAS",,,"SUB IN by SCHMITT,LUCAS",1
12:01,,,,,"SUB IN by MADISON,DAMIEN",,,"SUB IN by MADISON,DAMIEN",1
12:01,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",1
12:01,,,,,"SUB OUT by BOYD,CAM",,,"SUB OUT by BOYD,CAM",1
11:49,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,"REBOUND DEF by MCDONOUGH,SEAN",,,,,,,"REBOUND DEF by MCDONOUGH,SEAN",1
11:40,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:38,"FOUL  by JENNINGS,SAM",,,,,,,"FOUL  by JENNINGS,SAM",1
