Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
02:31,"GOOD 3PTR by CHAMBERS,DIMETRI",33,,33,,OUM 33-33 (0),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
02:13,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",1
02:13,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
02:13,,33,,34 (+1),"GOOD FT by THOMAS,ADRIAN",SEWANEE 33-34 (+1),,"GOOD FT by THOMAS,ADRIAN",1
02:13,,,,,"MISS FT by THOMAS,ADRIAN",,,"MISS FT by THOMAS,ADRIAN",1
--,"REBOUND DEF by DAY,JUSTIN",,,,,,,"REBOUND DEF by DAY,JUSTIN",1
02:13,,,,,"SUB IN by GARWOOD,MACKIE",,,"SUB IN by GARWOOD,MACKIE",1
02:13,,,,,"SUB IN by MCDONOUGH,SEAN",,,"SUB IN by MCDONOUGH,SEAN",1
02:13,,,,,"SUB OUT by KNOX,JOEY",,,"SUB OUT by KNOX,JOEY",1
02:13,,,,,"SUB OUT by BARRY,MICHAEL",,,"SUB OUT by BARRY,MICHAEL",1
01:52,"GOOD LAYUP by FOSTER,LANE(in the paint)",35 (+1),,34,,OUM 35-34 (-1),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
01:39,,,,,"TURNOVER  by STARR,RYAN",,,"TURNOVER  by STARR,RYAN",1
01:38,"STEAL  by SONE,CARLOS",,,,,,,"STEAL  by SONE,CARLOS",1
01:22,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,"REBOUND OFF by ETIWE,TOJU",,,,,,,"REBOUND OFF by ETIWE,TOJU",1
01:17,"MISS 3PTR by JENEI,RYAN",,,,,,,"MISS 3PTR by JENEI,RYAN",1
--,,,,,"REBOUND DEF by WARLICK,JORDAN",,,"REBOUND DEF by WARLICK,JORDAN",1
00:59,,,,,"MISS LAYUP by STARR,RYAN",,,"MISS LAYUP by STARR,RYAN",1
00:59,"BLOCK  by ETIWE,TOJU",,,,,,,"BLOCK  by ETIWE,TOJU",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
00:39,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
00:39,"GOOD FT by JENEI,RYAN",36 (+2),,34,,OUM 36-34 (-2),,"GOOD FT by JENEI,RYAN",1
00:39,"GOOD FT by JENEI,RYAN",37 (+3),,34,,OUM 37-34 (-3),,"GOOD FT by JENEI,RYAN",1
00:39,"SUB IN by CAMMON,JOSH",,,,,,,"SUB IN by CAMMON,JOSH",1
00:39,"SUB OUT by JENEI,RYAN",,,,,,,"SUB OUT by JENEI,RYAN",1
00:35,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:22,,,,,"TURNOVER  by WARLICK,JORDAN",,,"TURNOVER  by WARLICK,JORDAN",1
00:22,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
00:22,"SUB IN by DAY,JUSTIN",,,,,,,"SUB IN by DAY,JUSTIN",1
00:22,"SUB OUT by ETIWE,TOJU",,,,,,,"SUB OUT by ETIWE,TOJU",1
