Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,H-SC,Game Score,Team Indicator,Play,Period
00:14,"SUB OUT by KNOX,JOEY",,,,,,,"SUB OUT by KNOX,JOEY",2
00:14,,,,,"SUB IN by LACY,NOAH",,,"SUB IN by LACY,NOAH",2
00:14,,,,,"SUB IN by JOHNSTON,MK",,,"SUB IN by JOHNSTON,MK",2
00:14,,,,,"SUB IN by TAYLOR,HARRISON",,,"SUB IN by TAYLOR,HARRISON",2
00:14,,,,,"SUB IN by DAVIS,BRANDON",,,"SUB IN by DAVIS,BRANDON",2
00:14,,,,,"SUB IN by JOHNSON,TRUE",,,"SUB IN by JOHNSON,TRUE",2
00:14,,,,,"SUB OUT by WYATT,JACK",,,"SUB OUT by WYATT,JACK",2
00:14,,,,,"SUB OUT by HAHN,JAKE",,,"SUB OUT by HAHN,JAKE",2
00:14,,,,,"SUB OUT by TURNER,CHASE",,,"SUB OUT by TURNER,CHASE",2
00:14,,,,,"SUB OUT by ATWOOD,COLE",,,"SUB OUT by ATWOOD,COLE",2
00:14,,,,,"SUB OUT by CLEMENTS,RYAN",,,"SUB OUT by CLEMENTS,RYAN",2
00:08,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",2
00:08,,,,,"BLOCK  by DAVIS,BRANDON",,,"BLOCK  by DAVIS,BRANDON",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
00:03,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",64,,77 (+13),,SEWANEE 64-77 (-13),,"GOOD LAYUP by WARLICK,JORDAN(in the paint)",2
