Time Remaining,LCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
15:17,,,,,"SUB IN by DOUGLASS,PARKS",,,"SUB IN by DOUGLASS,PARKS",1
15:17,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
15:17,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
15:17,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
14:53,,11 (+6),,5,"GOOD 3PTR by MOORE,MYLES",MILLSAPS 11-5 (-6),,"GOOD 3PTR by MOORE,MYLES",1
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",1
14:42,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",1
14:40,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",1
14:37,,11 (+4),,7,"GOOD LAYUP by MOORE,MYLES(fastbreak)(in the paint)",MILLSAPS 11-7 (-4),,"GOOD LAYUP by MOORE,MYLES(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",1
14:13,"GOOD 3PTR by WAGNER,MARK",14 (+7),,7,,LCM 14-7 (-7),,"GOOD 3PTR by WAGNER,MARK",1
--,"ASSIST  by FLOYD,NAFIS",,,,,,,"ASSIST  by FLOYD,NAFIS",1
13:50,,14 (+4),,10,"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 14-10 (-4),,"GOOD 3PTR by MCELVEEN,MAC",1
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",1
13:39,"GOOD 3PTR by FLOYD,NAFIS",17 (+7),,10,,LCM 17-10 (-7),,"GOOD 3PTR by FLOYD,NAFIS",1
--,"ASSIST  by MITCHELL,NICK",,,,,,,"ASSIST  by MITCHELL,NICK",1
13:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:36,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",1
13:36,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
13:36,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
13:36,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",1
13:21,,,,,"TURNOVER  by MOORE,MYLES",,,"TURNOVER  by MOORE,MYLES",1
13:11,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,"REBOUND OFF by MITCHELL,NICK",,,,,,,"REBOUND OFF by MITCHELL,NICK",1
12:51,"MISS 3PTR by OLSON,JUSTYN",,,,,,,"MISS 3PTR by OLSON,JUSTYN",1
--,,,,,"REBOUND DEF by DOUGLASS,PARKS",,,"REBOUND DEF by DOUGLASS,PARKS",1
12:41,"FOUL  by WHITE,MIKE",,,,,,,"FOUL  by WHITE,MIKE",1
12:41,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:41,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
12:41,"SUB IN by FORD,ADOLPHUS",,,,,,,"SUB IN by FORD,ADOLPHUS",1
12:41,"SUB IN by WHITE,MIKE",,,,,,,"SUB IN by WHITE,MIKE",1
12:41,"SUB IN by OLSON,JUSTYN",,,,,,,"SUB IN by OLSON,JUSTYN",1
12:41,"SUB OUT by WAGNER,MARK",,,,,,,"SUB OUT by WAGNER,MARK",1
12:41,"SUB OUT by ENWEREAMA,TYMON",,,,,,,"SUB OUT by ENWEREAMA,TYMON",1
12:41,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",1
12:41,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",1
12:41,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
12:27,,17 (+4),,13,"GOOD 3PTR by MOORE,MYLES",MILLSAPS 17-13 (-4),,"GOOD 3PTR by MOORE,MYLES",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
12:04,"FOUL  by WHITE,MIKE",,,,,,,"FOUL  by WHITE,MIKE",1
12:04,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",1
12:04,"SUB OUT by WHITE,MIKE",,,,,,,"SUB OUT by WHITE,MIKE",1
11:54,,17 (+2),,15,"GOOD JUMPER by MCSWAIN,JOSH",MILLSAPS 17-15 (-2),,"GOOD JUMPER by MCSWAIN,JOSH",1
--,,,,,"ASSIST  by PRATER,DALLAS",,,"ASSIST  by PRATER,DALLAS",1
11:42,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",1
11:42,"SUB IN by ENWEREAMA,TYMON",,,,,,,"SUB IN by ENWEREAMA,TYMON",1
11:42,"SUB IN by FORD,BRAXTON",,,,,,,"SUB IN by FORD,BRAXTON",1
11:42,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",1
11:42,"SUB OUT by FLOYD,NAFIS",,,,,,,"SUB OUT by FLOYD,NAFIS",1
11:38,"MISS 3PTR by OLSON,JUSTYN",,,,,,,"MISS 3PTR by OLSON,JUSTYN",1
--,"REBOUND OFF by JOHNSON,JORDAN",,,,,,,"REBOUND OFF by JOHNSON,JORDAN",1
11:18,"TURNOVER  by FORD,ADOLPHUS",,,,,,,"TURNOVER  by FORD,ADOLPHUS",1
11:18,,,,,"SUB IN by JONES,BLAKE",,,"SUB IN by JONES,BLAKE",1
11:18,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
11:07,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:07,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
11:07,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",1
11:02,"SUB IN by WAGNER,MARK",,,,,,,"SUB IN by WAGNER,MARK",1
11:02,"SUB OUT by OLSON,JUSTYN",,,,,,,"SUB OUT by OLSON,JUSTYN",1
10:59,,,,,"TURNOVER  by JONES,BLAKE",,,"TURNOVER  by JONES,BLAKE",1
10:57,"STEAL  by ENWEREAMA,TYMON",,,,,,,"STEAL  by ENWEREAMA,TYMON",1
10:52,"GOOD 3PTR by FORD,BRAXTON",20 (+5),,15,,LCM 20-15 (-5),,"GOOD 3PTR by FORD,BRAXTON",1
10:17,,,,,"MISS JUMPER by MCSWAIN,JOSH",,,"MISS JUMPER by MCSWAIN,JOSH",1
--,"REBOUND DEF by ENWEREAMA,TYMON",,,,,,,"REBOUND DEF by ENWEREAMA,TYMON",1
10:07,"MISS LAYUP by ENWEREAMA,TYMON",,,,,,,"MISS LAYUP by ENWEREAMA,TYMON",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
09:57,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by FORD,BRAXTON",,,,,,,"REBOUND DEF by FORD,BRAXTON",1
09:37,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:29,"FOUL  by ENWEREAMA,TYMON",,,,,,,"FOUL  by ENWEREAMA,TYMON",1
09:29,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1
09:29,"SUB OUT by ENWEREAMA,TYMON",,,,,,,"SUB OUT by ENWEREAMA,TYMON",1
09:29,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
09:29,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
09:29,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
09:29,,,,,"SUB OUT by DOUGLASS,PARKS",,,"SUB OUT by DOUGLASS,PARKS",1
09:29,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
09:29,,,,,"SUB OUT by JONES,BLAKE",,,"SUB OUT by JONES,BLAKE",1
09:12,"FOUL  by FORD,ADOLPHUS",,,,,,,"FOUL  by FORD,ADOLPHUS",1
09:12,,,,,"MISS FT by MCSWAIN,JOSH",,,"MISS FT by MCSWAIN,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:12,,20 (+4),,16,"GOOD FT by MCSWAIN,JOSH",MILLSAPS 20-16 (-4),,"GOOD FT by MCSWAIN,JOSH",1
09:12,"SUB IN by OLSON,JUSTYN",,,,,,,"SUB IN by OLSON,JUSTYN",1
09:12,"SUB OUT by FORD,ADOLPHUS",,,,,,,"SUB OUT by FORD,ADOLPHUS",1
09:12,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
09:12,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",1
08:52,"TURNOVER  by JOHNSON,JORDAN",,,,,,,"TURNOVER  by JOHNSON,JORDAN",1
08:39,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1
08:26,"GOOD 3PTR by FORD,BRAXTON",23 (+7),,16,,LCM 23-16 (-7),,"GOOD 3PTR by FORD,BRAXTON",1
--,"ASSIST  by OLSON,JUSTYN",,,,,,,"ASSIST  by OLSON,JUSTYN",1
08:10,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
07:59,,,,,"MISS JUMPER by FREBIS,RONNIE",,,"MISS JUMPER by FREBIS,RONNIE",1
--,"REBOUND DEF by WAGNER,MARK",,,,,,,"REBOUND DEF by WAGNER,MARK",1
07:51,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",1
07:49,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",1
07:45,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1
07:28,"TURNOVER  by OLSON,JUSTYN",,,,,,,"TURNOVER  by OLSON,JUSTYN",1
07:13,,,,,"TURNOVER  by MCELVEEN,MAC",,,"TURNOVER  by MCELVEEN,MAC",1
07:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
06:58,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",1
06:58,"GOOD FT by WAGNER,MARK",24 (+8),,16,,LCM 24-16 (-8),,"GOOD FT by WAGNER,MARK",1
06:58,"GOOD FT by WAGNER,MARK",25 (+9),,16,,LCM 25-16 (-9),,"GOOD FT by WAGNER,MARK",1
06:51,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
06:50,"STEAL  by FORD,BRAXTON",,,,,,,"STEAL  by FORD,BRAXTON",1
06:47,"GOOD 3PTR by FORD,BRAXTON(fastbreak)",28 (+12),,16,,LCM 28-16 (-12),,"GOOD 3PTR by FORD,BRAXTON(fastbreak)",1
06:31,"FOUL  by JOHNSON,JORDAN",,,,,,,"FOUL  by JOHNSON,JORDAN",1
06:31,,28 (+11),,17,"GOOD FT by GERCHOW,ALEX",MILLSAPS 28-17 (-11),,"GOOD FT by GERCHOW,ALEX",1
06:31,,28 (+10),,18,"GOOD FT by GERCHOW,ALEX",MILLSAPS 28-18 (-10),,"GOOD FT by GERCHOW,ALEX",1
06:31,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:13,"GOOD JUMPER by OLSON,JUSTYN",30 (+12),,18,,LCM 30-18 (-12),,"GOOD JUMPER by OLSON,JUSTYN",1
--,"ASSIST  by MITCHELL,NICK",,,,,,,"ASSIST  by MITCHELL,NICK",1
05:53,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",1
05:53,,,,,"SUB IN by DOUGLASS,PARKS",,,"SUB IN by DOUGLASS,PARKS",1
05:53,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
05:53,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
05:53,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
05:36,"GOOD JUMPER by OLSON,JUSTYN",32 (+14),,18,,LCM 32-18 (-14),,"GOOD JUMPER by OLSON,JUSTYN",1
05:21,,32 (+12),,20,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 32-20 (-12),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
--,,,,,"ASSIST  by DOUGLASS,PARKS",,,"ASSIST  by DOUGLASS,PARKS",1
05:12,"GOOD LAYUP by JOHNSON,JORDAN(in the paint)",34 (+14),,20,,LCM 34-20 (-14),,"GOOD LAYUP by JOHNSON,JORDAN(in the paint)",1
--,"ASSIST  by WAGNER,MARK",,,,,,,"ASSIST  by WAGNER,MARK",1
04:46,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",1
04:40,"TURNOVER  by MITCHELL,NICK",,,,,,,"TURNOVER  by MITCHELL,NICK",1
04:36,,,,,"STEAL  by MCELVEEN,MAC",,,"STEAL  by MCELVEEN,MAC",1
04:30,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",1
04:30,,34 (+13),,21,"GOOD FT by GERCHOW,ALEX",MILLSAPS 34-21 (-13),,"GOOD FT by GERCHOW,ALEX",1
04:30,,34 (+12),,22,"GOOD FT by GERCHOW,ALEX",MILLSAPS 34-22 (-12),,"GOOD FT by GERCHOW,ALEX",1
04:30,"SUB IN by GAETANOS,JACOB",,,,,,,"SUB IN by GAETANOS,JACOB",1
04:30,"SUB IN by PARKER,DUNCAN",,,,,,,"SUB IN by PARKER,DUNCAN",1
04:30,"SUB IN by FORD,ADOLPHUS",,,,,,,"SUB IN by FORD,ADOLPHUS",1
04:30,"SUB OUT by OLSON,JUSTYN",,,,,,,"SUB OUT by OLSON,JUSTYN",1
04:30,"SUB OUT by MITCHELL,NICK",,,,,,,"SUB OUT by MITCHELL,NICK",1
04:30,"SUB OUT by JOHNSON,JORDAN",,,,,,,"SUB OUT by JOHNSON,JORDAN",1
04:30,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
04:30,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",1
04:30,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
04:30,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
04:09,"GOOD JUMPER by FORD,BRAXTON",36 (+14),,22,,LCM 36-22 (-14),,"GOOD JUMPER by FORD,BRAXTON",1
03:50,,,,,"MISS 3PTR by MOORE,MYLES",,,"MISS 3PTR by MOORE,MYLES",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:43,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",1
03:36,,,,,"FOUL  by DOUGLASS,PARKS",,,"FOUL  by DOUGLASS,PARKS",1
03:36,"GOOD FT by PARKER,DUNCAN",37 (+15),,22,,LCM 37-22 (-15),,"GOOD FT by PARKER,DUNCAN",1
03:36,"MISS FT by PARKER,DUNCAN",,,,,,,"MISS FT by PARKER,DUNCAN",1
--,,,,,"REBOUND DEF by DOUGLASS,PARKS",,,"REBOUND DEF by DOUGLASS,PARKS",1
03:17,,37 (+13),,24,"GOOD JUMPER by DOUGLASS,PARKS",MILLSAPS 37-24 (-13),,"GOOD JUMPER by DOUGLASS,PARKS",1
--,,,,,"ASSIST  by MOORE,MYLES",,,"ASSIST  by MOORE,MYLES",1
03:03,"MISS 3PTR by FORD,BRAXTON",,,,,,,"MISS 3PTR by FORD,BRAXTON",1
--,"REBOUND OFF by GAETANOS,JACOB",,,,,,,"REBOUND OFF by GAETANOS,JACOB",1
02:58,"MISS LAYUP by GAETANOS,JACOB",,,,,,,"MISS LAYUP by GAETANOS,JACOB",1
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",1
02:49,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:44,"SUB IN by MITCHELL,NICK",,,,,,,"SUB IN by MITCHELL,NICK",1
02:44,"SUB IN by ENWEREAMA,TYMON",,,,,,,"SUB IN by ENWEREAMA,TYMON",1
02:44,"SUB OUT by PARKER,DUNCAN",,,,,,,"SUB OUT by PARKER,DUNCAN",1
02:44,"SUB OUT by FORD,ADOLPHUS",,,,,,,"SUB OUT by FORD,ADOLPHUS",1
02:26,,37 (+10),,27,"GOOD 3PTR by DETILLIEU,RYAN",MILLSAPS 37-27 (-10),,"GOOD 3PTR by DETILLIEU,RYAN",1
02:11,"MISS LAYUP by ENWEREAMA,TYMON",,,,,,,"MISS LAYUP by ENWEREAMA,TYMON",1
--,"REBOUND OFF by GAETANOS,JACOB",,,,,,,"REBOUND OFF by GAETANOS,JACOB",1
02:08,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
02:08,"GOOD FT by GAETANOS,JACOB",38 (+11),,27,,LCM 38-27 (-11),,"GOOD FT by GAETANOS,JACOB",1
02:08,"MISS FT by GAETANOS,JACOB",,,,,,,"MISS FT by GAETANOS,JACOB",1
--,,,,,"REBOUND DEF by DOUGLASS,PARKS",,,"REBOUND DEF by DOUGLASS,PARKS",1
02:08,"SUB IN by JOHNSON,JORDAN",,,,,,,"SUB IN by JOHNSON,JORDAN",1
02:08,"SUB OUT by ENWEREAMA,TYMON",,,,,,,"SUB OUT by ENWEREAMA,TYMON",1
02:08,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",1
02:08,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",1
02:08,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
02:08,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
01:56,,,,,"MISS LAYUP by MCSWAIN,JOSH",,,"MISS LAYUP by MCSWAIN,JOSH",1
--,"REBOUND DEF by MITCHELL,NICK",,,,,,,"REBOUND DEF by MITCHELL,NICK",1
01:46,"MISS 3PTR by WAGNER,MARK",,,,,,,"MISS 3PTR by WAGNER,MARK",1
--,"REBOUND OFF by JOHNSON,JORDAN",,,,,,,"REBOUND OFF by JOHNSON,JORDAN",1
01:40,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",1
01:40,"GOOD FT by JOHNSON,JORDAN",39 (+12),,27,,LCM 39-27 (-12),,"GOOD FT by JOHNSON,JORDAN",1
01:40,"GOOD FT by JOHNSON,JORDAN",40 (+13),,27,,LCM 40-27 (-13),,"GOOD FT by JOHNSON,JORDAN",1
01:40,,,,,"TURNOVER  by PRATER,DALLAS",,,"TURNOVER  by PRATER,DALLAS",1
01:39,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",1
01:39,,,,,"MISS FT by PRATER,DALLAS",,,"MISS FT by PRATER,DALLAS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:39,"FOUL  by GAETANOS,JACOB",,,,,,,"FOUL  by GAETANOS,JACOB",1
01:39,,,,,"MISS FT by MCSWAIN,JOSH",,,"MISS FT by MCSWAIN,JOSH",1
--,"REBOUND DEF by FORD,BRAXTON",,,,,,,"REBOUND DEF by FORD,BRAXTON",1
01:33,"GOOD 3PTR by MITCHELL,NICK",43 (+16),,27,,LCM 43-27 (-16),,"GOOD 3PTR by MITCHELL,NICK",1
--,"ASSIST  by FORD,BRAXTON",,,,,,,"ASSIST  by FORD,BRAXTON",1
01:12,"FOUL  by GAETANOS,JACOB",,,,,,,"FOUL  by GAETANOS,JACOB",1
01:12,,,,,"MISS FT by MCSWAIN,JOSH",,,"MISS FT by MCSWAIN,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:12,,,,,"MISS FT by MCSWAIN,JOSH",,,"MISS FT by MCSWAIN,JOSH",1
--,"REBOUND DEF by GAETANOS,JACOB",,,,,,,"REBOUND DEF by GAETANOS,JACOB",1
01:12,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
01:12,,,,,"SUB OUT by DOUGLASS,PARKS",,,"SUB OUT by DOUGLASS,PARKS",1
00:51,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",1
00:51,"GOOD FT by WAGNER,MARK",44 (+17),,27,,LCM 44-27 (-17),,"GOOD FT by WAGNER,MARK",1
00:51,"GOOD FT by WAGNER,MARK",45 (+18),,27,,LCM 45-27 (-18),,"GOOD FT by WAGNER,MARK",1
00:51,"SUB IN by FLOYD,NAFIS",,,,,,,"SUB IN by FLOYD,NAFIS",1
00:51,"SUB OUT by FORD,BRAXTON",,,,,,,"SUB OUT by FORD,BRAXTON",1
00:51,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
00:51,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",1
00:36,"FOUL  by WAGNER,MARK",,,,,,,"FOUL  by WAGNER,MARK",1
00:36,,45 (+17),,28,"GOOD FT by PRATER,DALLAS",MILLSAPS 45-28 (-17),,"GOOD FT by PRATER,DALLAS",1
