Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
03:19,,17,,26 (+9),"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",MILLSAPS 17-26 (+9),,"GOOD LAYUP by MANCUSO,LOGAN(in the paint)",1
03:02,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
02:57,"GOOD 3PTR by ALDOUS,HANK",20,,26 (+6),,HC 20-26 (+6),,"GOOD 3PTR by ALDOUS,HANK",1
--,"ASSIST  by VANCE,LUKE",,,,,,,"ASSIST  by VANCE,LUKE",1
02:32,,,,,"MISS 3PTR by DETILLIEU,RYAN",,,"MISS 3PTR by DETILLIEU,RYAN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
02:20,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",1
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",1
01:53,,20,,29 (+9),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 20-29 (+9),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by DETILLIEU,RYAN",,,"ASSIST  by DETILLIEU,RYAN",1
01:32,"GOOD JUMPER by GUMM,GABE",22,,29 (+7),,HC 22-29 (+7),,"GOOD JUMPER by GUMM,GABE",1
00:53,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
00:47,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",1
00:43,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
00:43,,22,,30 (+8),"GOOD FT by GAGEN,BRENNAN",MILLSAPS 22-30 (+8),,"GOOD FT by GAGEN,BRENNAN",1
00:43,,22,,31 (+9),"GOOD FT by GAGEN,BRENNAN",MILLSAPS 22-31 (+9),,"GOOD FT by GAGEN,BRENNAN",1
00:43,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
00:43,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
00:43,,,,,"SUB IN by HANSTAD,RAJAN",,,"SUB IN by HANSTAD,RAJAN",1
00:43,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",1
00:43,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
00:43,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
00:32,"GOOD JUMPER by GUMM,GABE",24,,31 (+7),,HC 24-31 (+7),,"GOOD JUMPER by GUMM,GABE",1
00:03,,,,,"MISS LAYUP by PRATER,DALLAS",,,"MISS LAYUP by PRATER,DALLAS",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
00:00,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:48,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:21,,,,,"TURNOVER  by MCSWAIN,JOSH",,,"TURNOVER  by MCSWAIN,JOSH",2
18:55,"TURNOVER  by ALDOUS,HANK",,,,,,,"TURNOVER  by ALDOUS,HANK",2
18:55,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",2
18:55,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
18:38,,24,,33 (+9),"GOOD JUMPER by ROBERTSON,MARC",MILLSAPS 24-33 (+9),,"GOOD JUMPER by ROBERTSON,MARC",2
18:13,"MISS JUMPER by ALDOUS,HANK",,,,,,,"MISS JUMPER by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
17:50,,24,,35 (+11),"GOOD JUMPER by AUBERT,DUSTIN(in the paint)",MILLSAPS 24-35 (+11),,"GOOD JUMPER by AUBERT,DUSTIN(in the paint)",2
17:41,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
17:38,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",2
--,,,,,"REBOUND DEF by MOORE,MYLES",,,"REBOUND DEF by MOORE,MYLES",2
17:13,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",2
17:13,,24,,36 (+12),"GOOD FT by MCSWAIN,JOSH",MILLSAPS 24-36 (+12),,"GOOD FT by MCSWAIN,JOSH",2
17:13,,24,,37 (+13),"GOOD FT by MCSWAIN,JOSH",MILLSAPS 24-37 (+13),,"GOOD FT by MCSWAIN,JOSH",2
17:13,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",2
17:13,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",2
17:13,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",2
17:13,"SUB OUT by ALDOUS,HANK",,,,,,,"SUB OUT by ALDOUS,HANK",2
16:55,"GOOD LAYUP by VANCE,LUKE(in the paint)",26,,37 (+11),,HC 26-37 (+11),,"GOOD LAYUP by VANCE,LUKE(in the paint)",2
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",2
16:33,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
16:07,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
16:05,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",2
15:51,"MISS LAYUP by BARRETT,JORDAN",,,,,,,"MISS LAYUP by BARRETT,JORDAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:47,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
15:47,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
15:47,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
15:47,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",2
15:47,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",2
15:47,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
15:45,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",2
15:30,,,,,"STEAL  by GAGEN,BRENNAN",,,"STEAL  by GAGEN,BRENNAN",2
15:15,"SUB IN by ALDOUS,HANK",,,,,,,"SUB IN by ALDOUS,HANK",2
15:15,"SUB OUT by GUMM,GABE",,,,,,,"SUB OUT by GUMM,GABE",2
15:00,,26,,39 (+13),"GOOD JUMPER by DETILLIEU,RYAN",MILLSAPS 26-39 (+13),,"GOOD JUMPER by DETILLIEU,RYAN",2
14:40,"MISS 3PTR by GUMM,GABE",,,,,,,"MISS 3PTR by GUMM,GABE",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
14:26,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",2
14:26,,26,,40 (+14),"GOOD FT by DETILLIEU,RYAN",MILLSAPS 26-40 (+14),,"GOOD FT by DETILLIEU,RYAN",2
14:26,,26,,41 (+15),"GOOD FT by DETILLIEU,RYAN",MILLSAPS 26-41 (+15),,"GOOD FT by DETILLIEU,RYAN",2
14:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
14:16,"GOOD LAYUP by ALDOUS,HANK(in the paint)",28,,41 (+13),,HC 28-41 (+13),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",2
--,"ASSIST  by BARRETT,JORDAN",,,,,,,"ASSIST  by BARRETT,JORDAN",2
14:05,,28,,44 (+16),"GOOD 3PTR by ROBERTSON,MARC(fastbreak)(in the paint)",MILLSAPS 28-44 (+16),,"GOOD 3PTR by ROBERTSON,MARC(fastbreak)(in the paint)",2
13:46,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",2
13:46,"MISS FT by BARRETT,JORDAN",,,,,,,"MISS FT by BARRETT,JORDAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:46,"MISS FT by BARRETT,JORDAN",,,,,,,"MISS FT by BARRETT,JORDAN",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
