Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
14:10,"GOOD FT by MCGRIFF,COLTON",11,,17 (+6),,CCM 11-17 (+6),,"GOOD FT by MCGRIFF,COLTON",1
14:10,"MISS FT by MCGRIFF,COLTON",,,,,,,"MISS FT by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",1
13:55,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",1
--,"REBOUND OFF by MCGRIFF,COLTON",,,,,,,"REBOUND OFF by MCGRIFF,COLTON",1
13:48,"GOOD 3PTR by FRIERSON,NATE(fastbreak)",14,,17 (+3),,CCM 14-17 (+3),,"GOOD 3PTR by FRIERSON,NATE(fastbreak)",1
--,"ASSIST  by MCGRIFF,COLTON",,,,,,,"ASSIST  by MCGRIFF,COLTON",1
13:22,,,,,"MISS 3PTR by DETILLIEU,RYAN",,,"MISS 3PTR by DETILLIEU,RYAN",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",1
13:17,,14,,19 (+5),"GOOD LAYUP by MCSWAIN,JOSH(in the paint)",MILLSAPS 14-19 (+5),,"GOOD LAYUP by MCSWAIN,JOSH(in the paint)",1
12:55,"MISS 3PTR by FRIERSON,NATE",,,,,,,"MISS 3PTR by FRIERSON,NATE",1
--,,,,,"REBOUND DEF by MOORE,MYLES",,,"REBOUND DEF by MOORE,MYLES",1
12:21,,,,,"MISS JUMPER by MCSWAIN,JOSH",,,"MISS JUMPER by MCSWAIN,JOSH",1
--,"REBOUND DEF by BURNS,RYAN",,,,,,,"REBOUND DEF by BURNS,RYAN",1
12:13,"TURNOVER  by FRIERSON,NATE",,,,,,,"TURNOVER  by FRIERSON,NATE",1
12:11,,,,,"STEAL  by MCSWAIN,JOSH",,,"STEAL  by MCSWAIN,JOSH",1
11:54,,,,,"MISS JUMPER by GAGEN,BRENNAN",,,"MISS JUMPER by GAGEN,BRENNAN",1
--,"REBOUND DEF by FRIERSON,NATE",,,,,,,"REBOUND DEF by FRIERSON,NATE",1
11:32,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",1
--,"REBOUND OFF by BURNS,RYAN",,,,,,,"REBOUND OFF by BURNS,RYAN",1
11:15,"GOOD JUMPER by MCGRIFF,COLTON",16,,19 (+3),,CCM 16-19 (+3),,"GOOD JUMPER by MCGRIFF,COLTON",1
--,"ASSIST  by BURNS,RYAN",,,,,,,"ASSIST  by BURNS,RYAN",1
10:53,,,,,"TURNOVER  by MCSWAIN,JOSH",,,"TURNOVER  by MCSWAIN,JOSH",1
10:53,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",1
10:53,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
10:53,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
10:53,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
10:53,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",1
10:53,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",1
10:53,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",1
10:42,"GOOD JUMPER by ENGBERS,BRYANT",18,,19 (+1),,CCM 18-19 (+1),,"GOOD JUMPER by ENGBERS,BRYANT",1
10:21,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,"REBOUND DEF by BURNS,RYAN",,,,,,,"REBOUND DEF by BURNS,RYAN",1
09:44,"MISS LAYUP by FRIERSON,NATE",,,,,,,"MISS LAYUP by FRIERSON,NATE",1
09:44,,,,,"BLOCK  by AUBERT,DUSTIN",,,"BLOCK  by AUBERT,DUSTIN",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
09:28,,18,,22 (+4),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 18-22 (+4),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
09:01,"GOOD 3PTR by PHELPS,BEN",21,,22 (+1),,CCM 21-22 (+1),,"GOOD 3PTR by PHELPS,BEN",1
--,"ASSIST  by MCGRIFF,COLTON",,,,,,,"ASSIST  by MCGRIFF,COLTON",1
08:54,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
08:54,"SUB IN by SEARS,CONNOR",,,,,,,"SUB IN by SEARS,CONNOR",1
08:54,"SUB IN by FERGUSON,TERON",,,,,,,"SUB IN by FERGUSON,TERON",1
08:54,"SUB IN by BOYD,CHRIS",,,,,,,"SUB IN by BOYD,CHRIS",1
08:54,"SUB IN by COX,TJ",,,,,,,"SUB IN by COX,TJ",1
08:54,"SUB IN by ARIMA,Z",,,,,,,"SUB IN by ARIMA,Z",1
08:54,"SUB OUT by ENGBERS,BRYANT",,,,,,,"SUB OUT by ENGBERS,BRYANT",1
08:54,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
08:54,"SUB OUT by BURNS,RYAN",,,,,,,"SUB OUT by BURNS,RYAN",1
08:54,"SUB OUT by PHELPS,BEN",,,,,,,"SUB OUT by PHELPS,BEN",1
08:54,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
08:54,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",1
08:54,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",1
08:41,,21,,25 (+4),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 21-25 (+4),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",1
08:05,"MISS 3PTR by ARIMA,Z",,,,,,,"MISS 3PTR by ARIMA,Z",1
--,"REBOUND OFF by FERGUSON,TERON",,,,,,,"REBOUND OFF by FERGUSON,TERON",1
08:00,"MISS 3PTR by COX,TJ",,,,,,,"MISS 3PTR by COX,TJ",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
07:53,"FOUL  by FERGUSON,TERON",,,,,,,"FOUL  by FERGUSON,TERON",1
07:53,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",1
07:53,"SUB OUT by FERGUSON,TERON",,,,,,,"SUB OUT by FERGUSON,TERON",1
07:37,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",1
07:37,"BLOCK  by SEARS,CONNOR",,,,,,,"BLOCK  by SEARS,CONNOR",1
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",1
07:31,"TURNOVER  by BOYD,CHRIS",,,,,,,"TURNOVER  by BOYD,CHRIS",1
07:31,"FOUL  by BOYD,CHRIS",,,,,,,"FOUL  by BOYD,CHRIS",1
07:19,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:16,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
07:16,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",1
07:16,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
06:59,"MISS JUMPER by BOYD,CHRIS",,,,,,,"MISS JUMPER by BOYD,CHRIS",1
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",1
06:41,,21,,27 (+6),"GOOD JUMPER by MCSWAIN,JOSH(in the paint)",MILLSAPS 21-27 (+6),,"GOOD JUMPER by MCSWAIN,JOSH(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
06:25,"MISS LAYUP by COX,TJ",,,,,,,"MISS LAYUP by COX,TJ",1
06:25,,,,,"BLOCK  by MCSWAIN,JOSH",,,"BLOCK  by MCSWAIN,JOSH",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
06:20,"FOUL  by ARIMA,Z",,,,,,,"FOUL  by ARIMA,Z",1
06:20,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",1
06:20,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
06:10,,,,,"TURNOVER  by MCSWAIN,JOSH",,,"TURNOVER  by MCSWAIN,JOSH",1
05:49,"FOUL  by MCGRIFF,COLTON",,,,,,,"FOUL  by MCGRIFF,COLTON",1
05:49,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",1
05:30,,,,,"MISS 3PTR by PRATER,DALLAS",,,"MISS 3PTR by PRATER,DALLAS",1
05:19,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",1
05:15,,,,,"MISS LAYUP by MCSWAIN,JOSH",,,"MISS LAYUP by MCSWAIN,JOSH",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
05:02,,,,,"MISS JUMPER by PRATER,DALLAS",,,"MISS JUMPER by PRATER,DALLAS",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",1
04:50,,,,,"TURNOVER  by MCELVEEN,MAC",,,"TURNOVER  by MCELVEEN,MAC",1
04:48,"STEAL  by MCGRIFF,COLTON",,,,,,,"STEAL  by MCGRIFF,COLTON",1
04:41,"GOOD JUMPER by BOYD,CHRIS(in the paint)",23,,27 (+4),,CCM 23-27 (+4),,"GOOD JUMPER by BOYD,CHRIS(in the paint)",1
--,"ASSIST  by MCGRIFF,COLTON",,,,,,,"ASSIST  by MCGRIFF,COLTON",1
04:24,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
04:24,"SUB IN by ENGBERS,BRYANT",,,,,,,"SUB IN by ENGBERS,BRYANT",1
04:24,"SUB IN by BURNS,RYAN",,,,,,,"SUB IN by BURNS,RYAN",1
04:24,"SUB IN by PHELPS,BEN",,,,,,,"SUB IN by PHELPS,BEN",1
04:24,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
04:24,"SUB OUT by SEARS,CONNOR",,,,,,,"SUB OUT by SEARS,CONNOR",1
04:24,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",1
04:24,"SUB OUT by COX,TJ",,,,,,,"SUB OUT by COX,TJ",1
04:24,"SUB OUT by ARIMA,Z",,,,,,,"SUB OUT by ARIMA,Z",1
04:10,"TURNOVER  by BURNS,RYAN",,,,,,,"TURNOVER  by BURNS,RYAN",1
04:00,,,,,"MISS JUMPER by PRATER,DALLAS",,,"MISS JUMPER by PRATER,DALLAS",1
--,"REBOUND DEF by ENGBERS,BRYANT",,,,,,,"REBOUND DEF by ENGBERS,BRYANT",1
03:52,"MISS JUMPER by MCGRIFF,COLTON",,,,,,,"MISS JUMPER by MCGRIFF,COLTON",1
--,"REBOUND OFF by ENGBERS,BRYANT",,,,,,,"REBOUND OFF by ENGBERS,BRYANT",1
03:48,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",25,,27 (+2),,CCM 25-27 (+2),,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",1
03:28,,25,,30 (+5),"GOOD 3PTR by DETILLIEU,RYAN",MILLSAPS 25-30 (+5),,"GOOD 3PTR by DETILLIEU,RYAN",1
--,,,,,"ASSIST  by PRATER,DALLAS",,,"ASSIST  by PRATER,DALLAS",1
03:12,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",1
03:09,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
03:07,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",1
03:07,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
03:07,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",1
03:07,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",1
02:54,"FOUL  by MCGRIFF,COLTON",,,,,,,"FOUL  by MCGRIFF,COLTON",1
02:36,,,,,"MISS 3PTR by MOORE,MYLES",,,"MISS 3PTR by MOORE,MYLES",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",1
02:32,,25,,32 (+7),"GOOD LAYUP by MCSWAIN,JOSH(in the paint)",MILLSAPS 25-32 (+7),,"GOOD LAYUP by MCSWAIN,JOSH(in the paint)",1
02:23,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",1
02:11,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",27,,32 (+5),,CCM 27-32 (+5),,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",1
01:57,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by MCSWAIN,JOSH",,,"REBOUND OFF by MCSWAIN,JOSH",1
01:51,,,,,"TURNOVER  by MCSWAIN,JOSH",,,"TURNOVER  by MCSWAIN,JOSH",1
01:49,"STEAL  by ENGBERS,BRYANT",,,,,,,"STEAL  by ENGBERS,BRYANT",1
01:45,"MISS LAYUP by FRIERSON,NATE",,,,,,,"MISS LAYUP by FRIERSON,NATE",1
01:45,,,,,"BLOCK  by MCSWAIN,JOSH",,,"BLOCK  by MCSWAIN,JOSH",1
--,"REBOUND OFF by BURNS,RYAN",,,,,,,"REBOUND OFF by BURNS,RYAN",1
01:31,"MISS 3PTR by ENGBERS,BRYANT",,,,,,,"MISS 3PTR by ENGBERS,BRYANT",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
01:20,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,"REBOUND DEF by FRIERSON,NATE",,,,,,,"REBOUND DEF by FRIERSON,NATE",1
01:13,"GOOD LAYUP by MCGRIFF,COLTON(fastbreak)(in the paint)",29,,32 (+3),,CCM 29-32 (+3),,"GOOD LAYUP by MCGRIFF,COLTON(fastbreak)(in the paint)",1
--,"ASSIST  by FRIERSON,NATE",,,,,,,"ASSIST  by FRIERSON,NATE",1
01:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
01:10,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",1
01:10,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",1
00:42,,29,,34 (+5),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 29-34 (+5),,"GOOD JUMPER by MCELVEEN,MAC",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
00:24,"MISS 3PTR by PHELPS,BEN",,,,,,,"MISS 3PTR by PHELPS,BEN",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
00:02,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,"REBOUND DEF by FRIERSON,NATE",,,,,,,"REBOUND DEF by FRIERSON,NATE",1
00:00,"MISS 3PTR by FRIERSON,NATE",,,,,,,"MISS 3PTR by FRIERSON,NATE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:45,"GOOD JUMPER by BOYD,CHRIS",31,,34 (+3),,CCM 31-34 (+3),,"GOOD JUMPER by BOYD,CHRIS",2
--,"ASSIST  by MCGRIFF,COLTON",,,,,,,"ASSIST  by MCGRIFF,COLTON",2
19:31,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",2
19:06,"TURNOVER  by SEARS,CONNOR",,,,,,,"TURNOVER  by SEARS,CONNOR",2
19:05,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",2
18:59,,,,,"MISS LAYUP by PRATER,DALLAS",,,"MISS LAYUP by PRATER,DALLAS",2
18:59,"BLOCK  by SEARS,CONNOR",,,,,,,"BLOCK  by SEARS,CONNOR",2
--,"REBOUND DEF by MCGRIFF,COLTON",,,,,,,"REBOUND DEF by MCGRIFF,COLTON",2
18:36,"GOOD LAYUP by SEARS,CONNOR(in the paint)",33,,34 (+1),,CCM 33-34 (+1),,"GOOD LAYUP by SEARS,CONNOR(in the paint)",2
--,"ASSIST  by ARIMA,Z",,,,,,,"ASSIST  by ARIMA,Z",2
18:14,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by SEARS,CONNOR",,,,,,,"REBOUND DEF by SEARS,CONNOR",2
18:04,"GOOD LAYUP by BOYD,CHRIS(in the paint)",35 (+1),,34,,CCM 35-34 (-1),,"GOOD LAYUP by BOYD,CHRIS(in the paint)",2
--,"ASSIST  by ARIMA,Z",,,,,,,"ASSIST  by ARIMA,Z",2
18:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
17:45,,,,,"TURNOVER  by MCELVEEN,MAC",,,"TURNOVER  by MCELVEEN,MAC",2
17:24,"GOOD LAYUP by BOYD,CHRIS(in the paint)",37 (+3),,34,,CCM 37-34 (-3),,"GOOD LAYUP by BOYD,CHRIS(in the paint)",2
--,"ASSIST  by SEARS,CONNOR",,,,,,,"ASSIST  by SEARS,CONNOR",2
16:59,,37 (+1),,36,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",MILLSAPS 37-36 (-1),,"GOOD JUMPER by MCELVEEN,MAC(in the paint)",2
16:52,"TURNOVER  by BOYD,CHRIS",,,,,,,"TURNOVER  by BOYD,CHRIS",2
16:50,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",2
16:49,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",2
16:49,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",2
16:39,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
16:20,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
15:55,,37,,39 (+2),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 37-39 (+2),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",2
15:38,"MISS JUMPER by BOYD,CHRIS",,,,,,,"MISS JUMPER by BOYD,CHRIS",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
15:20,,,,,"MISS LAYUP by AUBERT,DUSTIN",,,"MISS LAYUP by AUBERT,DUSTIN",2
--,"REBOUND DEF by BOYD,CHRIS",,,,,,,"REBOUND DEF by BOYD,CHRIS",2
15:07,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",2
15:04,,,,,"STEAL  by GERCHOW,ALEX",,,"STEAL  by GERCHOW,ALEX",2
15:01,,37,,42 (+5),"GOOD 3PTR by MCELVEEN,MAC(fastbreak)",MILLSAPS 37-42 (+5),,"GOOD 3PTR by MCELVEEN,MAC(fastbreak)",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
14:42,"GOOD JUMPER by SEARS,CONNOR",39,,42 (+3),,CCM 39-42 (+3),,"GOOD JUMPER by SEARS,CONNOR",2
--,"ASSIST  by MCGRIFF,COLTON",,,,,,,"ASSIST  by MCGRIFF,COLTON",2
14:25,,39,,44 (+5),"GOOD LAYUP by GERCHOW,ALEX(in the paint)",MILLSAPS 39-44 (+5),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",2
--,,,,,"ASSIST  by MOORE,MYLES",,,"ASSIST  by MOORE,MYLES",2
14:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
