Time Remaining,BCMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,,,,,"ASSIST  by MOORE,MYLES",,,"ASSIST  by MOORE,MYLES",2
17:20,"GOOD JUMPER by MARDER,NICK",33 (+10),,23,,BCMBB 33-23 (-10),,"GOOD JUMPER by MARDER,NICK",2
17:00,,33 (+8),,25,"GOOD JUMPER by AUBERT,DUSTIN",MILLSAPS 33-25 (-8),,"GOOD JUMPER by AUBERT,DUSTIN",2
--,,,,,"ASSIST  by GAGEN,BRENNAN",,,"ASSIST  by GAGEN,BRENNAN",2
16:44,"TURNOVER  by MCCLOUD,LEE",,,,,,,"TURNOVER  by MCCLOUD,LEE",2
16:42,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",2
16:34,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
16:31,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",2
16:31,,,,,"MISS FT by MOORE,MYLES",,,"MISS FT by MOORE,MYLES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:31,"SUB IN by JACOBS,OWEN",,,,,,,"SUB IN by JACOBS,OWEN",2
16:31,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
16:31,,,,,"SUB IN by HANSTAD,RAJAN",,,"SUB IN by HANSTAD,RAJAN",2
16:31,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",2
16:29,,33 (+7),,26,"GOOD FT by MOORE,MYLES",MILLSAPS 33-26 (-7),,"GOOD FT by MOORE,MYLES",2
16:18,"GOOD LAYUP by JACOBS,OWEN(in the paint)",35 (+9),,26,,BCMBB 35-26 (-9),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",2
16:18,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:18,"SUB IN by CHAYKOWSKY,ZACK",,,,,,,"SUB IN by CHAYKOWSKY,ZACK",2
16:18,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",2
15:45,,,,,"MISS JUMPER by GAGEN,BRENNAN",,,"MISS JUMPER by GAGEN,BRENNAN",2
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",2
15:28,,35 (+6),,29,"GOOD 3PTR by HANSTAD,RAJAN",MILLSAPS 35-29 (-6),,"GOOD 3PTR by HANSTAD,RAJAN",2
--,,,,,"ASSIST  by MOORE,MYLES",,,"ASSIST  by MOORE,MYLES",2
15:11,"GOOD 3PTR by CHAYKOWSKY,ZACK",38 (+9),,29,,BCMBB 38-29 (-9),,"GOOD 3PTR by CHAYKOWSKY,ZACK",2
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",2
14:53,"FOUL  by MARDER,NICK",,,,,,,"FOUL  by MARDER,NICK",2
14:50,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
14:50,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
14:47,"MISS 3PTR by MARDER,NICK",,,,,,,"MISS 3PTR by MARDER,NICK",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
14:41,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",2
14:40,"STEAL  by CHAYKOWSKY,ZACK",,,,,,,"STEAL  by CHAYKOWSKY,ZACK",2
14:38,"MISS LAYUP by CHAYKOWSKY,ZACK",,,,,,,"MISS LAYUP by CHAYKOWSKY,ZACK",2
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",2
14:32,,,,,"MISS LAYUP by AUBERT,DUSTIN",,,"MISS LAYUP by AUBERT,DUSTIN",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
14:15,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",2
14:15,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",2
14:15,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
14:15,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
14:15,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
13:57,,,,,"MISS LAYUP by MOORE,MYLES",,,"MISS LAYUP by MOORE,MYLES",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
13:25,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
13:25,"MISS FT by ELLINGSWORTH,COLEMAN",,,,,,,"MISS FT by ELLINGSWORTH,COLEMAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:25,"GOOD FT by ELLINGSWORTH,COLEMAN",39 (+10),,29,,BCMBB 39-29 (-10),,"GOOD FT by ELLINGSWORTH,COLEMAN",2
13:25,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",2
13:25,"SUB OUT by KORN,LUKAS",,,,,,,"SUB OUT by KORN,LUKAS",2
13:25,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",2
13:25,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
13:04,,,,,"MISS JUMPER by DETILLIEU,RYAN",,,"MISS JUMPER by DETILLIEU,RYAN",2
--,,,,,"REBOUND OFF by MOORE,MYLES",,,"REBOUND OFF by MOORE,MYLES",2
13:00,,39 (+8),,31,"GOOD TIPIN by MOORE,MYLES(in the paint)",MILLSAPS 39-31 (-8),,"GOOD TIPIN by MOORE,MYLES(in the paint)",2
12:51,"GOOD JUMPER by HARVILLE,TYLER",41 (+10),,31,,BCMBB 41-31 (-10),,"GOOD JUMPER by HARVILLE,TYLER",2
12:31,,,,,"MISS JUMPER by MCSWAIN,JOSH",,,"MISS JUMPER by MCSWAIN,JOSH",2
--,"REBOUND DEF by CHAYKOWSKY,ZACK",,,,,,,"REBOUND DEF by CHAYKOWSKY,ZACK",2
12:22,"MISS 3PTR by CHAYKOWSKY,ZACK",,,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",2
--,,,,,"REBOUND DEF by PRATER,DALLAS",,,"REBOUND DEF by PRATER,DALLAS",2
12:18,,,,,"TURNOVER  by PRATER,DALLAS",,,"TURNOVER  by PRATER,DALLAS",2
12:18,,,,,"FOUL  by PRATER,DALLAS",,,"FOUL  by PRATER,DALLAS",2
12:18,"SUB IN by THIGPEN,LOGAN",,,,,,,"SUB IN by THIGPEN,LOGAN",2
12:18,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
12:02,"TURNOVER  by CHAYKOWSKY,ZACK",,,,,,,"TURNOVER  by CHAYKOWSKY,ZACK",2
11:47,,41 (+8),,33,"GOOD LAYUP by PRATER,DALLAS(in the paint)",MILLSAPS 41-33 (-8),,"GOOD LAYUP by PRATER,DALLAS(in the paint)",2
11:47,"FOUL  by THIGPEN,LOGAN",,,,,,,"FOUL  by THIGPEN,LOGAN",2
11:47,,,,,"MISS FT by PRATER,DALLAS",,,"MISS FT by PRATER,DALLAS",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
11:16,"GOOD LAYUP by MARDER,NICK(in the paint)",43 (+10),,33,,BCMBB 43-33 (-10),,"GOOD LAYUP by MARDER,NICK(in the paint)",2
11:03,,,,,"TURNOVER  by PRATER,DALLAS",,,"TURNOVER  by PRATER,DALLAS",2
11:02,"STEAL  by HARVILLE,TYLER",,,,,,,"STEAL  by HARVILLE,TYLER",2
11:00,"TURNOVER  by HARVILLE,TYLER",,,,,,,"TURNOVER  by HARVILLE,TYLER",2
11:00,,,,,"STEAL  by MOORE,MYLES",,,"STEAL  by MOORE,MYLES",2
11:00,"FOUL  by THIGPEN,LOGAN",,,,,,,"FOUL  by THIGPEN,LOGAN",2
11:00,,43 (+9),,34,"GOOD FT by MOORE,MYLES",MILLSAPS 43-34 (-9),,"GOOD FT by MOORE,MYLES",2
11:00,,,,,"MISS FT by MOORE,MYLES",,,"MISS FT by MOORE,MYLES",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
11:00,"SUB IN by KORN,LUKAS",,,,,,,"SUB IN by KORN,LUKAS",2
11:00,"SUB OUT by THIGPEN,LOGAN",,,,,,,"SUB OUT by THIGPEN,LOGAN",2
11:00,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
11:00,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
11:00,,,,,"SUB OUT by HANSTAD,RAJAN",,,"SUB OUT by HANSTAD,RAJAN",2
11:00,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",2
10:54,,,,,"FOUL  by MOORE,MYLES",,,"FOUL  by MOORE,MYLES",2
10:45,"TURNOVER  by MARDER,NICK",,,,,,,"TURNOVER  by MARDER,NICK",2
10:44,,,,,"STEAL  by ATKINSON,QUINN",,,"STEAL  by ATKINSON,QUINN",2
10:40,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",2
10:40,"BLOCK  by KORN,LUKAS",,,,,,,"BLOCK  by KORN,LUKAS",2
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",2
10:24,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
10:01,"MISS 3PTR by HARVILLE,TYLER",,,,,,,"MISS 3PTR by HARVILLE,TYLER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
09:58,"SUB IN by MCCLOUD,LEE",,,,,,,"SUB IN by MCCLOUD,LEE",2
09:58,"SUB OUT by MARDER,NICK",,,,,,,"SUB OUT by MARDER,NICK",2
09:47,,,,,"TURNOVER  by DETILLIEU,RYAN",,,"TURNOVER  by DETILLIEU,RYAN",2
09:45,"STEAL  by HARVILLE,TYLER",,,,,,,"STEAL  by HARVILLE,TYLER",2
09:28,"MISS 3PTR by CHAYKOWSKY,ZACK",,,,,,,"MISS 3PTR by CHAYKOWSKY,ZACK",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
09:17,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
09:17,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
09:17,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",2
09:17,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",2
09:04,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",2
09:03,"STEAL  by KORN,LUKAS",,,,,,,"STEAL  by KORN,LUKAS",2
08:58,"GOOD LAYUP by CHAYKOWSKY,ZACK(fastbreak)(in the paint)",45 (+11),,34,,BCMBB 45-34 (-11),,"GOOD LAYUP by CHAYKOWSKY,ZACK(fastbreak)(in the paint)",2
--,"ASSIST  by HARVILLE,TYLER",,,,,,,"ASSIST  by HARVILLE,TYLER",2
08:41,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
08:26,"GOOD LAYUP by JACOBS,OWEN(in the paint)",47 (+13),,34,,BCMBB 47-34 (-13),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
08:12,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND OFF by PRATER,DALLAS",,,"REBOUND OFF by PRATER,DALLAS",2
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",2
07:51,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",2
07:51,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",2
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",2
07:47,"GOOD LAYUP by JACOBS,OWEN(in the paint)",49 (+15),,34,,BCMBB 49-34 (-15),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
07:46,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:25,"FOUL  by ELLINGSWORTH,COLEMAN",,,,,,,"FOUL  by ELLINGSWORTH,COLEMAN",2
07:25,,49 (+14),,35,"GOOD FT by GERCHOW,ALEX",MILLSAPS 49-35 (-14),,"GOOD FT by GERCHOW,ALEX",2
07:25,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",2
--,"REBOUND DEF by CHAYKOWSKY,ZACK",,,,,,,"REBOUND DEF by CHAYKOWSKY,ZACK",2
07:25,"SUB IN by JACOBS,OWEN",,,,,,,"SUB IN by JACOBS,OWEN",2
07:25,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",2
07:25,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",2
07:25,"SUB OUT by JACOBS,OWEN",,,,,,,"SUB OUT by JACOBS,OWEN",2
07:12,"TURNOVER  by CHAYKOWSKY,ZACK",,,,,,,"TURNOVER  by CHAYKOWSKY,ZACK",2
07:12,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",2
07:09,,,,,"MISS LAYUP by ROBERTSON,MARC",,,"MISS LAYUP by ROBERTSON,MARC",2
07:09,"BLOCK  by KORN,LUKAS",,,,,,,"BLOCK  by KORN,LUKAS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:03,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
07:03,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",2
06:58,,49 (+11),,38,"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 49-38 (-11),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by GERCHOW,ALEX",,,"ASSIST  by GERCHOW,ALEX",2
06:27,"GOOD 3PTR by MCCLOUD,LEE",52 (+14),,38,,BCMBB 52-38 (-14),,"GOOD 3PTR by MCCLOUD,LEE",2
--,"ASSIST  by CHAYKOWSKY,ZACK",,,,,,,"ASSIST  by CHAYKOWSKY,ZACK",2
06:06,,52 (+11),,41,"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 52-41 (-11),,"GOOD 3PTR by ROBERTSON,MARC",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
05:59,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:59,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",2
05:59,"SUB OUT by CHAYKOWSKY,ZACK",,,,,,,"SUB OUT by CHAYKOWSKY,ZACK",2
05:48,"GOOD 3PTR by HARVILLE,TYLER",55 (+14),,41,,BCMBB 55-41 (-14),,"GOOD 3PTR by HARVILLE,TYLER",2
--,"ASSIST  by MARDER,NICK",,,,,,,"ASSIST  by MARDER,NICK",2
05:27,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",2
05:27,,55 (+13),,42,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 55-42 (-13),,"GOOD FT by AUBERT,DUSTIN",2
05:27,,55 (+12),,43,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 55-43 (-12),,"GOOD FT by AUBERT,DUSTIN",2
05:16,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
05:16,"GOOD FT by JACOBS,OWEN",56 (+13),,43,,BCMBB 56-43 (-13),,"GOOD FT by JACOBS,OWEN",2
05:16,"GOOD FT by JACOBS,OWEN",57 (+14),,43,,BCMBB 57-43 (-14),,"GOOD FT by JACOBS,OWEN",2
05:06,,,,,"MISS JUMPER by MOORE,MYLES",,,"MISS JUMPER by MOORE,MYLES",2
--,"REBOUND DEF by JACOBS,OWEN",,,,,,,"REBOUND DEF by JACOBS,OWEN",2
04:55,"GOOD LAYUP by JACOBS,OWEN(in the paint)",59 (+16),,43,,BCMBB 59-43 (-16),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,"ASSIST  by KORN,LUKAS",,,,,,,"ASSIST  by KORN,LUKAS",2
04:40,,,,,"MISS 3PTR by GAGEN,BRENNAN",,,"MISS 3PTR by GAGEN,BRENNAN",2
04:40,"BLOCK  by MARDER,NICK",,,,,,,"BLOCK  by MARDER,NICK",2
--,,,,,"REBOUND OFF by AUBERT,DUSTIN",,,"REBOUND OFF by AUBERT,DUSTIN",2
04:14,,59 (+14),,45,"GOOD LAYUP by MOORE,MYLES(in the paint)",MILLSAPS 59-45 (-14),,"GOOD LAYUP by MOORE,MYLES(in the paint)",2
04:14,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:11,,,,,"FOUL  by DETILLIEU,RYAN",,,"FOUL  by DETILLIEU,RYAN",2
04:11,"GOOD FT by MCCLOUD,LEE",60 (+15),,45,,BCMBB 60-45 (-15),,"GOOD FT by MCCLOUD,LEE",2
04:11,"GOOD FT by MCCLOUD,LEE",61 (+16),,45,,BCMBB 61-45 (-16),,"GOOD FT by MCCLOUD,LEE",2
04:08,,,,,"MISS LAYUP by PRATER,DALLAS",,,"MISS LAYUP by PRATER,DALLAS",2
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",2
03:49,"FOUL  by KORN,LUKAS",,,,,,,"FOUL  by KORN,LUKAS",2
03:49,"TURNOVER  by KORN,LUKAS",,,,,,,"TURNOVER  by KORN,LUKAS",2
03:46,,,,,"MISS JUMPER by ROBERTSON,MARC",,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",2
03:26,"FOUL  by JACOBS,OWEN",,,,,,,"FOUL  by JACOBS,OWEN",2
03:26,"TURNOVER  by JACOBS,OWEN",,,,,,,"TURNOVER  by JACOBS,OWEN",2
03:26,,,,,"SUB IN by MCSWAIN,JOSH",,,"SUB IN by MCSWAIN,JOSH",2
03:26,,,,,"SUB IN by PRATER,DALLAS",,,"SUB IN by PRATER,DALLAS",2
03:26,,,,,"SUB IN by HANSTAD,RAJAN",,,"SUB IN by HANSTAD,RAJAN",2
03:26,,,,,"SUB IN by DETILLIEU,RYAN",,,"SUB IN by DETILLIEU,RYAN",2
03:26,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
03:26,,,,,"SUB OUT by MOORE,MYLES",,,"SUB OUT by MOORE,MYLES",2
03:26,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
03:26,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
03:15,,,,,"MISS 3PTR by DETILLIEU,RYAN",,,"MISS 3PTR by DETILLIEU,RYAN",2
--,"REBOUND DEF by KORN,LUKAS",,,,,,,"REBOUND DEF by KORN,LUKAS",2
02:51,"MISS 3PTR by HARVILLE,TYLER",,,,,,,"MISS 3PTR by HARVILLE,TYLER",2
--,,,,,"REBOUND DEF by MCSWAIN,JOSH",,,"REBOUND DEF by MCSWAIN,JOSH",2
02:35,,,,,"MISS 3PTR by HANSTAD,RAJAN",,,"MISS 3PTR by HANSTAD,RAJAN",2
--,"REBOUND DEF by MARDER,NICK",,,,,,,"REBOUND DEF by MARDER,NICK",2
02:13,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",2
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",2
02:10,"GOOD LAYUP by MARDER,NICK(in the paint)",63 (+18),,45,,BCMBB 63-45 (-18),,"GOOD LAYUP by MARDER,NICK(in the paint)",2
--,"ASSIST  by JACOBS,OWEN",,,,,,,"ASSIST  by JACOBS,OWEN",2
01:52,,,,,"MISS 3PTR by PRATER,DALLAS",,,"MISS 3PTR by PRATER,DALLAS",2
--,"REBOUND DEF by HARVILLE,TYLER",,,,,,,"REBOUND DEF by HARVILLE,TYLER",2
01:27,"MISS 3PTR by MCCLOUD,LEE",,,,,,,"MISS 3PTR by MCCLOUD,LEE",2
--,"REBOUND OFF by JACOBS,OWEN",,,,,,,"REBOUND OFF by JACOBS,OWEN",2
01:12,,,,,"FOUL  by MCSWAIN,JOSH",,,"FOUL  by MCSWAIN,JOSH",2
01:12,"MISS FT by JACOBS,OWEN",,,,,,,"MISS FT by JACOBS,OWEN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:12,"GOOD FT by JACOBS,OWEN",64 (+19),,45,,BCMBB 64-45 (-19),,"GOOD FT by JACOBS,OWEN",2
01:12,,,,,"SUB IN by MANCUSO,LOGAN",,,"SUB IN by MANCUSO,LOGAN",2
01:12,,,,,"SUB IN by ATKINSON,QUINN",,,"SUB IN by ATKINSON,QUINN",2
01:12,,,,,"SUB IN by MOORE,MYLES",,,"SUB IN by MOORE,MYLES",2
01:12,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
01:12,,,,,"SUB OUT by MCSWAIN,JOSH",,,"SUB OUT by MCSWAIN,JOSH",2
01:12,,,,,"SUB OUT by PRATER,DALLAS",,,"SUB OUT by PRATER,DALLAS",2
01:12,,,,,"SUB OUT by HANSTAD,RAJAN",,,"SUB OUT by HANSTAD,RAJAN",2
01:12,,,,,"SUB OUT by DETILLIEU,RYAN",,,"SUB OUT by DETILLIEU,RYAN",2
01:01,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",2
--,,,,,"REBOUND OFF by ATKINSON,QUINN",,,"REBOUND OFF by ATKINSON,QUINN",2
00:59,,64 (+17),,47,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",MILLSAPS 64-47 (-17),,"GOOD LAYUP by ATKINSON,QUINN(in the paint)",2
00:50,"GOOD LAYUP by JACOBS,OWEN(in the paint)",66 (+19),,47,,BCMBB 66-47 (-19),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,"ASSIST  by MCCLOUD,LEE",,,,,,,"ASSIST  by MCCLOUD,LEE",2
00:33,,66 (+17),,49,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",MILLSAPS 66-49 (-17),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
00:23,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",2
--,,,,,"REBOUND DEF by MANCUSO,LOGAN",,,"REBOUND DEF by MANCUSO,LOGAN",2
00:19,,66 (+15),,51,"GOOD LAYUP by AUBERT,DUSTIN(fastbreak)(in the paint)",MILLSAPS 66-51 (-15),,"GOOD LAYUP by AUBERT,DUSTIN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by MANCUSO,LOGAN",,,"ASSIST  by MANCUSO,LOGAN",2
