Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by BOWMAN,SAM",,,,,,,"REBOUND DEF by BOWMAN,SAM",1
16:58,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",1
16:58,"SUB IN by TURNER,MICAH",,,,,,,"SUB IN by TURNER,MICAH",1
16:58,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",1
16:58,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
16:37,"GOOD 3PTR by MCGRIFF,COLTON",5,,5,,CCM 5-5 (0),,"GOOD 3PTR by MCGRIFF,COLTON",1
--,"ASSIST  by MUTCHERSON,ROSBIE",,,,,,,"ASSIST  by MUTCHERSON,ROSBIE",1
16:17,,,,,"MISS LAYUP by RICHARDS,ZAC",,,"MISS LAYUP by RICHARDS,ZAC",1
16:17,"BLOCK  by DEVRIES,JON",,,,,,,"BLOCK  by DEVRIES,JON",1
--,"REBOUND DEF by DEVRIES,JON",,,,,,,"REBOUND DEF by DEVRIES,JON",1
16:14,"TURNOVER  by BOWMAN,SAM",,,,,,,"TURNOVER  by BOWMAN,SAM",1
16:14,"SUB IN by DANEK,JOEY",,,,,,,"SUB IN by DANEK,JOEY",1
16:14,"SUB OUT by BOWMAN,SAM",,,,,,,"SUB OUT by BOWMAN,SAM",1
15:50,,5,,8 (+3),"GOOD 3PTR by THOMAS,LARRY",BSC 5-8 (+3),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
15:34,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
15:30,"MISS JUMPER by DANEK,JOEY",,,,,,,"MISS JUMPER by DANEK,JOEY",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
15:16,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
15:10,,,,,"MISS LAYUP by THOMAS,LARRY",,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
14:52,"FOUL  by DANEK,JOEY",,,,,,,"FOUL  by DANEK,JOEY",1
14:52,,,,,"MISS FT by RICHARDS,ZAC",,,"MISS FT by RICHARDS,ZAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:52,,,,,"MISS FT by RICHARDS,ZAC",,,"MISS FT by RICHARDS,ZAC",1
--,"REBOUND DEF by DANEK,JOEY",,,,,,,"REBOUND DEF by DANEK,JOEY",1
14:52,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
14:52,"SUB IN by DELANEY,JAKE",,,,,,,"SUB IN by DELANEY,JAKE",1
14:52,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
14:52,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
14:52,"SUB OUT by TURNER,MICAH",,,,,,,"SUB OUT by TURNER,MICAH",1
14:52,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",1
14:52,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
14:52,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
14:52,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
14:52,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
14:26,"MISS LAYUP by DELANEY,JAKE",,,,,,,"MISS LAYUP by DELANEY,JAKE",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
14:21,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
14:17,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
14:17,"SUB IN by TURNER,MICAH",,,,,,,"SUB IN by TURNER,MICAH",1
14:17,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
14:17,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
14:17,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
14:14,"TURNOVER  by DELANEY,JAKE",,,,,,,"TURNOVER  by DELANEY,JAKE",1
14:03,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
14:01,"STEAL  by SEARS,CALLUM",,,,,,,"STEAL  by SEARS,CALLUM",1
14:01,"SUB IN by BOYD,CHRIS",,,,,,,"SUB IN by BOYD,CHRIS",1
14:01,"SUB IN by FRIERSON,NATE",,,,,,,"SUB IN by FRIERSON,NATE",1
14:01,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",1
14:01,"SUB OUT by TURNER,MICAH",,,,,,,"SUB OUT by TURNER,MICAH",1
14:01,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
14:01,,,,,"SUB IN by ASSANESI,KELLY",,,"SUB IN by ASSANESI,KELLY",1
14:01,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
14:01,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
13:44,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by CRAIN,JOHN",,,"REBOUND DEF by CRAIN,JOHN",1
13:26,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
13:25,"STEAL  by DELANEY,JAKE",,,,,,,"STEAL  by DELANEY,JAKE",1
12:57,"SUB IN by BOWMAN,SAM",,,,,,,"SUB IN by BOWMAN,SAM",1
12:57,"SUB OUT by DANEK,JOEY",,,,,,,"SUB OUT by DANEK,JOEY",1
12:53,"MISS 3PTR by FRIERSON,NATE",,,,,,,"MISS 3PTR by FRIERSON,NATE",1
--,"REBOUND OFF by BOWMAN,SAM",,,,,,,"REBOUND OFF by BOWMAN,SAM",1
12:49,,,,,"FOUL  by HOLLAND,JASON",,,"FOUL  by HOLLAND,JASON",1
12:49,"MISS FT by BOWMAN,SAM",,,,,,,"MISS FT by BOWMAN,SAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:49,"GOOD FT by BOWMAN,SAM",6,,8 (+2),,CCM 6-8 (+2),,"GOOD FT by BOWMAN,SAM",1
12:33,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
12:15,"FOUL  by BOYD,CHRIS",,,,,,,"FOUL  by BOYD,CHRIS",1
12:08,,,,,"TURNOVER  by WELCH,ROSS",,,"TURNOVER  by WELCH,ROSS",1
12:05,"STEAL  by SEARS,CALLUM",,,,,,,"STEAL  by SEARS,CALLUM",1
12:05,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",1
12:05,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",1
12:05,"SUB OUT by SEARS,CALLUM",,,,,,,"SUB OUT by SEARS,CALLUM",1
12:05,"SUB OUT by DELANEY,JAKE",,,,,,,"SUB OUT by DELANEY,JAKE",1
11:46,"MISS 3PTR by MCGRIFF,COLTON",,,,,,,"MISS 3PTR by MCGRIFF,COLTON",1
--,,,,,"REBOUND DEF by ASSANESI,KELLY",,,"REBOUND DEF by ASSANESI,KELLY",1
11:18,"FOUL  by BOYD,CHRIS",,,,,,,"FOUL  by BOYD,CHRIS",1
11:13,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
11:13,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
11:13,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
11:13,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
11:13,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
11:13,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
11:13,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
11:13,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
11:13,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
11:13,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
11:13,,,,,"SUB OUT by ASSANESI,KELLY",,,"SUB OUT by ASSANESI,KELLY",1
11:08,"GOOD LAYUP by BOWMAN,SAM(in the paint)",8,,8,,CCM 8-8 (0),,"GOOD LAYUP by BOWMAN,SAM(in the paint)",1
--,"ASSIST  by FRIERSON,NATE",,,,,,,"ASSIST  by FRIERSON,NATE",1
11:08,,,,,"FOUL  by RICHARDS,ZAC",,,"FOUL  by RICHARDS,ZAC",1
11:08,"GOOD FT by BOWMAN,SAM",9 (+1),,8,,CCM 9-8 (-1),,"GOOD FT by BOWMAN,SAM",1
10:54,,9,,10 (+1),"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 9-10 (+1),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
10:39,"GOOD LAYUP by BOYD,CHRIS(in the paint)",11 (+1),,10,,CCM 11-10 (-1),,"GOOD LAYUP by BOYD,CHRIS(in the paint)",1
--,"ASSIST  by MUTCHERSON,ROSBIE",,,,,,,"ASSIST  by MUTCHERSON,ROSBIE",1
10:25,,,,,"MISS 3PTR by WHITE,BLAISE",,,"MISS 3PTR by WHITE,BLAISE",1
--,"REBOUND DEF by FRIERSON,NATE",,,,,,,"REBOUND DEF by FRIERSON,NATE",1
10:11,"GOOD JUMPER by BOWMAN,SAM(in the paint)",13 (+3),,10,,CCM 13-10 (-3),,"GOOD JUMPER by BOWMAN,SAM(in the paint)",1
09:46,,,,,"MISS JUMPER by HENRY,COLIN",,,"MISS JUMPER by HENRY,COLIN",1
09:46,"BLOCK  by BOWMAN,SAM",,,,,,,"BLOCK  by BOWMAN,SAM",1
--,"REBOUND DEF by BOYD,CHRIS",,,,,,,"REBOUND DEF by BOYD,CHRIS",1
09:29,"TURNOVER  by MCGRIFF,COLTON",,,,,,,"TURNOVER  by MCGRIFF,COLTON",1
09:28,,,,,"STEAL  by THOMAS,LARRY",,,"STEAL  by THOMAS,LARRY",1
09:25,"FOUL  by MCGRIFF,COLTON",,,,,,,"FOUL  by MCGRIFF,COLTON",1
09:25,,13 (+2),,11,"GOOD FT by THOMAS,LARRY",BSC 13-11 (-2),,"GOOD FT by THOMAS,LARRY",1
09:25,,13 (+1),,12,"GOOD FT by THOMAS,LARRY",BSC 13-12 (-1),,"GOOD FT by THOMAS,LARRY",1
09:25,"SUB IN by DEVRIES,JON",,,,,,,"SUB IN by DEVRIES,JON",1
09:25,"SUB IN by MOSS,DANTE",,,,,,,"SUB IN by MOSS,DANTE",1
09:25,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
09:25,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",1
09:25,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
09:25,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
09:17,"TURNOVER  by BOWMAN,SAM",,,,,,,"TURNOVER  by BOWMAN,SAM",1
09:16,,,,,"STEAL  by WHITE,BLAISE",,,"STEAL  by WHITE,BLAISE",1
09:08,"FOUL  by MUTCHERSON,ROSBIE",,,,,,,"FOUL  by MUTCHERSON,ROSBIE",1
09:01,"FOUL  by DEVRIES,JON",,,,,,,"FOUL  by DEVRIES,JON",1
09:01,,,,,"MISS FT by SCHAMP,GRIFFIN",,,"MISS FT by SCHAMP,GRIFFIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:01,,13,,13,"GOOD FT by SCHAMP,GRIFFIN",BSC 13-13 (0),,"GOOD FT by SCHAMP,GRIFFIN",1
08:35,"MISS 3PTR by MOSS,DANTE",,,,,,,"MISS 3PTR by MOSS,DANTE",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
08:29,,13,,16 (+3),"GOOD 3PTR by KEGARISE,KEVIN",BSC 13-16 (+3),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by THOMAS,LARRY",,,"ASSIST  by THOMAS,LARRY",1
08:16,"GOOD LAYUP by DEVRIES,JON(in the paint)",15,,16 (+1),,CCM 15-16 (+1),,"GOOD LAYUP by DEVRIES,JON(in the paint)",1
08:15,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:01,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by MUTCHERSON,ROSBIE",,,,,,,"REBOUND DEF by MUTCHERSON,ROSBIE",1
07:34,"MISS 3PTR by DEVRIES,JON",,,,,,,"MISS 3PTR by DEVRIES,JON",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
07:31,"SUB IN by ENGBERS,BRYANT",,,,,,,"SUB IN by ENGBERS,BRYANT",1
07:31,"SUB OUT by BOWMAN,SAM",,,,,,,"SUB OUT by BOWMAN,SAM",1
07:29,,15,,19 (+4),"GOOD 3PTR by KEGARISE,KEVIN",BSC 15-19 (+4),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by SCHAMP,GRIFFIN",,,"ASSIST  by SCHAMP,GRIFFIN",1
07:14,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
07:14,"SUB IN by BOYD,CHRIS",,,,,,,"SUB IN by BOYD,CHRIS",1
07:14,"SUB IN by SEARS,CALLUM",,,,,,,"SUB IN by SEARS,CALLUM",1
07:14,"SUB OUT by DEVRIES,JON",,,,,,,"SUB OUT by DEVRIES,JON",1
07:14,"SUB OUT by MOSS,DANTE",,,,,,,"SUB OUT by MOSS,DANTE",1
07:14,,,,,"SUB IN by AVERY,ALEX",,,"SUB IN by AVERY,ALEX",1
07:14,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
07:14,,,,,"SUB OUT by SCHAMP,GRIFFIN",,,"SUB OUT by SCHAMP,GRIFFIN",1
07:14,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
07:04,"MISS JUMPER by MUTCHERSON,ROSBIE",,,,,,,"MISS JUMPER by MUTCHERSON,ROSBIE",1
--,"REBOUND OFF by ENGBERS,BRYANT",,,,,,,"REBOUND OFF by ENGBERS,BRYANT",1
06:58,"TURNOVER  by ENGBERS,BRYANT",,,,,,,"TURNOVER  by ENGBERS,BRYANT",1
06:58,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
06:58,"SUB IN by MCGRIFF,COLTON",,,,,,,"SUB IN by MCGRIFF,COLTON",1
06:58,"SUB OUT by MUTCHERSON,ROSBIE",,,,,,,"SUB OUT by MUTCHERSON,ROSBIE",1
06:42,,,,,"MISS 3PTR by AVERY,ALEX",,,"MISS 3PTR by AVERY,ALEX",1
--,"REBOUND DEF by SEARS,CALLUM",,,,,,,"REBOUND DEF by SEARS,CALLUM",1
06:20,"MISS JUMPER by SEARS,CALLUM",,,,,,,"MISS JUMPER by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
06:05,"FOUL  by SEARS,CALLUM",,,,,,,"FOUL  by SEARS,CALLUM",1
06:05,,15,,20 (+5),"GOOD FT by AVERY,ALEX",BSC 15-20 (+5),,"GOOD FT by AVERY,ALEX",1
06:05,,,,,"MISS FT by AVERY,ALEX",,,"MISS FT by AVERY,ALEX",1
--,"REBOUND DEF by BOYD,CHRIS",,,,,,,"REBOUND DEF by BOYD,CHRIS",1
06:05,"SUB IN by BOWMAN,SAM",,,,,,,"SUB IN by BOWMAN,SAM",1
06:05,"SUB OUT by ENGBERS,BRYANT",,,,,,,"SUB OUT by ENGBERS,BRYANT",1
06:05,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
06:05,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
05:47,"MISS JUMPER by BOYD,CHRIS",,,,,,,"MISS JUMPER by BOYD,CHRIS",1
--,,,,,"REBOUND DEF by THOMAS,LARRY",,,"REBOUND DEF by THOMAS,LARRY",1
05:40,,,,,"TURNOVER  by THOMAS,LARRY",,,"TURNOVER  by THOMAS,LARRY",1
05:38,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
05:38,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
05:23,,,,,"FOUL  by WELCH,ROSS",,,"FOUL  by WELCH,ROSS",1
05:22,"TURNOVER  by BOYD,CHRIS",,,,,,,"TURNOVER  by BOYD,CHRIS",1
05:22,,,,,"STEAL  by FREEMAN,SCHYLAR",,,"STEAL  by FREEMAN,SCHYLAR",1
05:04,,,,,"MISS JUMPER by KEGARISE,KEVIN",,,"MISS JUMPER by KEGARISE,KEVIN",1
--,"REBOUND DEF by FRIERSON,NATE",,,,,,,"REBOUND DEF by FRIERSON,NATE",1
04:53,"GOOD JUMPER by BOWMAN,SAM",17,,20 (+3),,CCM 17-20 (+3),,"GOOD JUMPER by BOWMAN,SAM",1
--,"ASSIST  by FRIERSON,NATE",,,,,,,"ASSIST  by FRIERSON,NATE",1
04:31,,,,,"MISS 3PTR by HOLLAND,JASON",,,"MISS 3PTR by HOLLAND,JASON",1
--,,,,,"REBOUND OFF by AVERY,ALEX",,,"REBOUND OFF by AVERY,ALEX",1
04:25,,,,,"MISS 3PTR by WELCH,ROSS",,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND OFF by HOLLAND,JASON",,,"REBOUND OFF by HOLLAND,JASON",1
04:19,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND OFF by AVERY,ALEX",,,"REBOUND OFF by AVERY,ALEX",1
04:12,,17,,22 (+5),"GOOD LAYUP by AVERY,ALEX(in the paint)",BSC 17-22 (+5),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
04:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
04:09,"SUB IN by CHANEY,DAMIEN",,,,,,,"SUB IN by CHANEY,DAMIEN",1
04:09,"SUB IN by TURNER,MICAH",,,,,,,"SUB IN by TURNER,MICAH",1
04:09,"SUB OUT by BOYD,CHRIS",,,,,,,"SUB OUT by BOYD,CHRIS",1
04:09,"SUB OUT by FRIERSON,NATE",,,,,,,"SUB OUT by FRIERSON,NATE",1
04:09,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
04:09,,,,,"SUB IN by ASSANESI,KELLY",,,"SUB IN by ASSANESI,KELLY",1
04:09,,,,,"SUB OUT by AVERY,ALEX",,,"SUB OUT by AVERY,ALEX",1
04:09,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
03:57,"MISS 3PTR by SEARS,CALLUM",,,,,,,"MISS 3PTR by SEARS,CALLUM",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
03:32,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
03:30,"STEAL  by SEARS,CALLUM",,,,,,,"STEAL  by SEARS,CALLUM",1
03:29,"MISS LAYUP by SEARS,CALLUM",,,,,,,"MISS LAYUP by SEARS,CALLUM",1
--,"REBOUND OFF by BOWMAN,SAM",,,,,,,"REBOUND OFF by BOWMAN,SAM",1
03:22,"MISS JUMPER by CHANEY,DAMIEN",,,,,,,"MISS JUMPER by CHANEY,DAMIEN",1
03:22,,,,,"BLOCK  by FREEMAN,SCHYLAR",,,"BLOCK  by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by ASSANESI,KELLY",,,"REBOUND DEF by ASSANESI,KELLY",1
03:16,"FOUL  by BOWMAN,SAM",,,,,,,"FOUL  by BOWMAN,SAM",1
03:16,,17,,23 (+6),"GOOD FT by FREEMAN,SCHYLAR",BSC 17-23 (+6),,"GOOD FT by FREEMAN,SCHYLAR",1
03:16,,17,,24 (+7),"GOOD FT by FREEMAN,SCHYLAR",BSC 17-24 (+7),,"GOOD FT by FREEMAN,SCHYLAR",1
03:16,"SUB IN by MUTCHERSON,ROSBIE",,,,,,,"SUB IN by MUTCHERSON,ROSBIE",1
03:16,"SUB OUT by MCGRIFF,COLTON",,,,,,,"SUB OUT by MCGRIFF,COLTON",1
03:16,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
03:16,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
03:16,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
03:16,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
03:13,,,,,"FOUL  by ASSANESI,KELLY",,,"FOUL  by ASSANESI,KELLY",1
02:49,"MISS JUMPER by MUTCHERSON,ROSBIE",,,,,,,"MISS JUMPER by MUTCHERSON,ROSBIE",1
--,"REBOUND OFF by CHANEY,DAMIEN",,,,,,,"REBOUND OFF by CHANEY,DAMIEN",1
02:40,"MISS 3PTR by MUTCHERSON,ROSBIE",,,,,,,"MISS 3PTR by MUTCHERSON,ROSBIE",1
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1
02:21,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
02:21,,,,,"TURNOVER  by HENRY,COLIN",,,"TURNOVER  by HENRY,COLIN",1
02:21,"SUB IN by DELANEY,JAKE",,,,,,,"SUB IN by DELANEY,JAKE",1
02:21,"SUB OUT by TURNER,MICAH",,,,,,,"SUB OUT by TURNER,MICAH",1
02:21,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
02:21,,,,,"SUB IN by SCHAMP,GRIFFIN",,,"SUB IN by SCHAMP,GRIFFIN",1
02:21,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
02:21,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
02:21,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
02:21,,,,,"SUB OUT by ASSANESI,KELLY",,,"SUB OUT by ASSANESI,KELLY",1
02:04,"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",19,,24 (+5),,CCM 19-24 (+5),,"GOOD LAYUP by CHANEY,DAMIEN(in the paint)",1
01:38,,19,,27 (+8),"GOOD 3PTR by THOMAS,LARRY",BSC 19-27 (+8),,"GOOD 3PTR by THOMAS,LARRY",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
01:21,"TURNOVER  by MUTCHERSON,ROSBIE",,,,,,,"TURNOVER  by MUTCHERSON,ROSBIE",1
