Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
02:47,"GOOD FT by MARSCHNER,BRENDAN",63,,78 (+15),,BSC 63-78 (-15),,"GOOD FT by MARSCHNER,BRENDAN",2
02:47,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
02:47,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
02:33,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
02:32,,63,,79 (+16),"GOOD FT by ANDERSON,KYRON",LC 63-79 (-16),,"GOOD FT by ANDERSON,KYRON",2
02:32,,63,,80 (+17),"GOOD FT by ANDERSON,KYRON",LC 63-80 (-17),,"GOOD FT by ANDERSON,KYRON",2
02:24,"GOOD 3PTR by WHITE,BLAISE",66,,80 (+14),,BSC 66-80 (-14),,"GOOD 3PTR by WHITE,BLAISE",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
02:14,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
02:14,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
02:14,SUB IN by 0,,,,,,,SUB IN by 0,2
02:14,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
02:14,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
02:06,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
02:06,,66,,81 (+15),"GOOD FT by ANDERSON,KYRON",LC 66-81 (-15),,"GOOD FT by ANDERSON,KYRON",2
02:06,,66,,82 (+16),"GOOD FT by ANDERSON,KYRON",LC 66-82 (-16),,"GOOD FT by ANDERSON,KYRON",2
02:06,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
02:06,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
02:06,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
02:06,SUB OUT by 0,,,,,,,SUB OUT by 0,2
02:02,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
01:56,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
01:56,,66,,83 (+17),"GOOD FT by VAUGHN,MARCUS",LC 66-83 (-17),,"GOOD FT by VAUGHN,MARCUS",2
01:56,,66,,84 (+18),"GOOD FT by VAUGHN,MARCUS",LC 66-84 (-18),,"GOOD FT by VAUGHN,MARCUS",2
01:56,"SUB IN by CRAIN,JOHN",,,,,,,"SUB IN by CRAIN,JOHN",2
01:56,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
01:43,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by SMITH,IRA",,,"REBOUND DEF by SMITH,IRA",2
01:25,"FOUL  by CRAIN,JOHN",,,,,,,"FOUL  by CRAIN,JOHN",2
01:25,,66,,85 (+19),"GOOD FT by ANDERSON,KYRON",LC 66-85 (-19),,"GOOD FT by ANDERSON,KYRON",2
01:25,,,,,"MISS FT by ANDERSON,KYRON",,,"MISS FT by ANDERSON,KYRON",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
01:09,"MISS 3PTR by CRAIN,JOHN",,,,,,,"MISS 3PTR by CRAIN,JOHN",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
01:05,"FOUL  by RICHARDS,ZAC",,,,,,,"FOUL  by RICHARDS,ZAC",2
01:05,,66,,86 (+20),"GOOD FT by VAUGHN,MARCUS",LC 66-86 (-20),,"GOOD FT by VAUGHN,MARCUS",2
01:05,,66,,87 (+21),"GOOD FT by VAUGHN,MARCUS",LC 66-87 (-21),,"GOOD FT by VAUGHN,MARCUS",2
01:05,,,,,"SUB IN by BAXTER,DUSTIN",,,"SUB IN by BAXTER,DUSTIN",2
01:05,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",2
01:05,,,,,"SUB OUT by MITCHELL,NICK",,,"SUB OUT by MITCHELL,NICK",2
01:05,,,,,"SUB OUT by SMITH,IRA",,,"SUB OUT by SMITH,IRA",2
00:56,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by DUGGER,PATRICK",,,"REBOUND DEF by DUGGER,PATRICK",2
00:30,,66,,90 (+24),"GOOD 3PTR by HOWARD,JEROD",LC 66-90 (-24),,"GOOD 3PTR by HOWARD,JEROD",2
--,,,,,"ASSIST  by ANDERSON,KYRON",,,"ASSIST  by ANDERSON,KYRON",2
00:17,"GOOD LAYUP by CRAIN,JOHN(in the paint)",68,,90 (+22),,BSC 68-90 (-22),,"GOOD LAYUP by CRAIN,JOHN(in the paint)",2
00:09,,,,,"TURNOVER  by ANDERSON,KYRON",,,"TURNOVER  by ANDERSON,KYRON",2
00:00,"TURNOVER  by CRAIN,JOHN",,,,,,,"TURNOVER  by CRAIN,JOHN",2
00:00,,,,,"STEAL  by HOWARD,JEROD",,,"STEAL  by HOWARD,JEROD",2
