Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,LC,Game Score,Team Indicator,Play,Period
08:59,"SUB OUT by GALFSKY,ANDER",,,,,,,"SUB OUT by GALFSKY,ANDER",1
08:59,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",1
08:59,,,,,"SUB OUT by JOHNSON,JORDAN",,,"SUB OUT by JOHNSON,JORDAN",1
08:58,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
08:57,,,,,"STEAL  by MITCHELL,NICK",,,"STEAL  by MITCHELL,NICK",1
08:41,,,,,"FOUL  by MITCHELL,NICK",,,"FOUL  by MITCHELL,NICK",1
08:41,"MISS FT by KEGARISE,KEVIN",,,,,,,"MISS FT by KEGARISE,KEVIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:41,"GOOD FT by KEGARISE,KEVIN",14,,22 (+8),,BSC 14-22 (-8),,"GOOD FT by KEGARISE,KEVIN",1
08:41,,,,,"SUB IN by SMITH,IRA",,,"SUB IN by SMITH,IRA",1
08:41,,,,,"SUB OUT by WAGNER,MARK",,,"SUB OUT by WAGNER,MARK",1
08:31,,14,,24 (+10),"GOOD LAYUP by MITCHELL,NICK(in the paint)",LC 14-24 (-10),,"GOOD LAYUP by MITCHELL,NICK(in the paint)",1
08:31,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
08:31,,14,,25 (+11),"GOOD FT by MITCHELL,NICK",LC 14-25 (-11),,"GOOD FT by MITCHELL,NICK",1
08:10,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",1
08:09,,,,,"STEAL  by SMITH,IRA",,,"STEAL  by SMITH,IRA",1
07:57,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",1
07:57,,,,,"MISS FT by VAUGHN,MARCUS",,,"MISS FT by VAUGHN,MARCUS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:57,,14,,26 (+12),"GOOD FT by VAUGHN,MARCUS",LC 14-26 (-12),,"GOOD FT by VAUGHN,MARCUS",1
07:40,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",16,,26 (+10),,BSC 16-26 (-10),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",1
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",1
07:13,,16,,28 (+12),"GOOD JUMPER by ANDERSON,KYRON",LC 16-28 (-12),,"GOOD JUMPER by ANDERSON,KYRON",1
07:10,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
07:10,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
07:10,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
07:10,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
07:10,,,,,"SUB IN by BAXTER,DUSTIN",,,"SUB IN by BAXTER,DUSTIN",1
07:10,,,,,"SUB IN by DUGGER,PATRICK",,,"SUB IN by DUGGER,PATRICK",1
07:10,,,,,"SUB OUT by BENNETT,LINCOLN",,,"SUB OUT by BENNETT,LINCOLN",1
07:10,,,,,"SUB OUT by SMITH,IRA",,,"SUB OUT by SMITH,IRA",1
06:56,"GOOD LAYUP by WELCH,ROSS(in the paint)",18,,28 (+10),,BSC 18-28 (-10),,"GOOD LAYUP by WELCH,ROSS(in the paint)",1
06:56,,,,,"FOUL  by DUGGER,PATRICK",,,"FOUL  by DUGGER,PATRICK",1
06:56,"MISS FT by WELCH,ROSS",,,,,,,"MISS FT by WELCH,ROSS",1
--,,,,,"REBOUND DEF by DUGGER,PATRICK",,,"REBOUND DEF by DUGGER,PATRICK",1
06:38,,18,,30 (+12),"GOOD JUMPER by BAXTER,DUSTIN",LC 18-30 (-12),,"GOOD JUMPER by BAXTER,DUSTIN",1
06:24,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",1
