Time Remaining,JCU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
16:42,,7,,10 (+3),"GOOD JUMPER by KEGARISE,KEVIN",BSC 7-10 (+3),,"GOOD JUMPER by KEGARISE,KEVIN",1
16:20,"GOOD 3PTR by HUBBARD,KYLE",10,,10,,JCU 10-10 (0),,"GOOD 3PTR by HUBBARD,KYLE",1
--,"ASSIST  by WHALEN,MICHAEL",,,,,,,"ASSIST  by WHALEN,MICHAEL",1
16:11,,10,,13 (+3),"GOOD 3PTR by THOMAS,LARRY(fastbreak)",BSC 10-13 (+3),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
15:54,"GOOD LAYUP by JANZ,KENNY(fastbreak)(in the paint)",12,,13 (+1),,JCU 12-13 (+1),,"GOOD LAYUP by JANZ,KENNY(fastbreak)(in the paint)",1
--,"ASSIST  by ANGERS,RYAN",,,,,,,"ASSIST  by ANGERS,RYAN",1
15:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:49,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,"REBOUND DEF by MURPHY,JORDAN",,,,,,,"REBOUND DEF by MURPHY,JORDAN",1
15:49,,,,,"SUB IN by WARRICK,JOHN",,,"SUB IN by WARRICK,JOHN",1
15:49,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
15:49,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
15:49,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
15:49,,,,,"SUB IN by WELCH,ROSS",,,"SUB IN by WELCH,ROSS",1
15:49,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
15:49,,,,,"SUB OUT by RICHARDS,ZAC",,,"SUB OUT by RICHARDS,ZAC",1
15:49,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
15:49,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
15:49,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
15:25,"SUB IN by HOLLINGER,JAKE",,,,,,,"SUB IN by HOLLINGER,JAKE",1
15:25,"SUB IN by MURPHY,JORDAN",,,,,,,"SUB IN by MURPHY,JORDAN",1
15:25,"SUB IN by FARRAGHER,RYAN",,,,,,,"SUB IN by FARRAGHER,RYAN",1
15:25,"SUB IN by PISCO,KYLE",,,,,,,"SUB IN by PISCO,KYLE",1
15:25,"SUB IN by WALLACK,DANNY",,,,,,,"SUB IN by WALLACK,DANNY",1
15:25,"SUB OUT by JANZ,KENNY",,,,,,,"SUB OUT by JANZ,KENNY",1
15:25,"SUB OUT by HENDRICKSON,DAVID",,,,,,,"SUB OUT by HENDRICKSON,DAVID",1
15:25,"SUB OUT by HUBBARD,KYLE",,,,,,,"SUB OUT by HUBBARD,KYLE",1
15:25,"SUB OUT by WHALEN,MICHAEL",,,,,,,"SUB OUT by WHALEN,MICHAEL",1
15:25,"SUB OUT by ANGERS,RYAN",,,,,,,"SUB OUT by ANGERS,RYAN",1
15:24,"MISS JUMPER by FARRAGHER,RYAN",,,,,,,"MISS JUMPER by FARRAGHER,RYAN",1
--,,,,,"REBOUND DEF by WELCH,ROSS",,,"REBOUND DEF by WELCH,ROSS",1
14:50,"FOUL  by WALLACK,DANNY",,,,,,,"FOUL  by WALLACK,DANNY",1
14:50,,12,,14 (+2),"GOOD FT by MARSCHNER,BRENDAN",BSC 12-14 (+2),,"GOOD FT by MARSCHNER,BRENDAN",1
14:50,,,,,"MISS FT by MARSCHNER,BRENDAN",,,"MISS FT by MARSCHNER,BRENDAN",1
--,"REBOUND DEF by MURPHY,JORDAN",,,,,,,"REBOUND DEF by MURPHY,JORDAN",1
14:44,"MISS 3PTR by WALLACK,DANNY",,,,,,,"MISS 3PTR by WALLACK,DANNY",1
--,,,,,"REBOUND DEF by HOLLAND,JASON",,,"REBOUND DEF by HOLLAND,JASON",1
14:35,"FOUL  by HOLLINGER,JAKE",,,,,,,"FOUL  by HOLLINGER,JAKE",1
14:20,,,,,"FOUL  by FREEMAN,SCHYLAR",,,"FOUL  by FREEMAN,SCHYLAR",1
14:20,,,,,"TURNOVER  by FREEMAN,SCHYLAR",,,"TURNOVER  by FREEMAN,SCHYLAR",1
14:01,"MISS LAYUP by MURPHY,JORDAN",,,,,,,"MISS LAYUP by MURPHY,JORDAN",1
14:01,,,,,"BLOCK  by WARRICK,JOHN",,,"BLOCK  by WARRICK,JOHN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:59,"GOOD LAYUP by HOLLINGER,JAKE(in the paint)",14,,14,,JCU 14-14 (0),,"GOOD LAYUP by HOLLINGER,JAKE(in the paint)",1
--,"ASSIST  by WALLACK,DANNY",,,,,,,"ASSIST  by WALLACK,DANNY",1
13:42,,,,,"MISS JUMPER by WELCH,ROSS",,,"MISS JUMPER by WELCH,ROSS",1
--,"REBOUND DEF by MURPHY,JORDAN",,,,,,,"REBOUND DEF by MURPHY,JORDAN",1
13:36,"FOUL  by FARRAGHER,RYAN",,,,,,,"FOUL  by FARRAGHER,RYAN",1
13:36,"TURNOVER  by FARRAGHER,RYAN",,,,,,,"TURNOVER  by FARRAGHER,RYAN",1
13:36,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
13:36,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
13:36,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
13:36,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
13:36,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
13:36,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
13:36,,,,,"SUB OUT by WARRICK,JOHN",,,"SUB OUT by WARRICK,JOHN",1
13:36,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
13:36,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
13:36,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
13:36,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
13:23,,14,,16 (+2),"GOOD JUMPER by RICHARDS,ZAC(in the paint)",BSC 14-16 (+2),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",1
13:08,"MISS JUMPER by FARRAGHER,RYAN",,,,,,,"MISS JUMPER by FARRAGHER,RYAN",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
12:58,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by MURPHY,JORDAN",,,,,,,"REBOUND DEF by MURPHY,JORDAN",1
12:37,"MISS 3PTR by FARRAGHER,RYAN",,,,,,,"MISS 3PTR by FARRAGHER,RYAN",1
--,"REBOUND OFF by PISCO,KYLE",,,,,,,"REBOUND OFF by PISCO,KYLE",1
12:33,"MISS LAYUP by PISCO,KYLE",,,,,,,"MISS LAYUP by PISCO,KYLE",1
--,"REBOUND OFF by HOLLINGER,JAKE",,,,,,,"REBOUND OFF by HOLLINGER,JAKE",1
12:30,"MISS LAYUP by HOLLINGER,JAKE",,,,,,,"MISS LAYUP by HOLLINGER,JAKE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:27,"SUB IN by JANZ,KENNY",,,,,,,"SUB IN by JANZ,KENNY",1
12:27,"SUB IN by HENDRICKSON,DAVID",,,,,,,"SUB IN by HENDRICKSON,DAVID",1
12:27,"SUB IN by HUBBARD,KYLE",,,,,,,"SUB IN by HUBBARD,KYLE",1
12:27,"SUB IN by WHALEN,MICHAEL",,,,,,,"SUB IN by WHALEN,MICHAEL",1
12:27,"SUB IN by ANGERS,RYAN",,,,,,,"SUB IN by ANGERS,RYAN",1
12:27,"SUB OUT by HOLLINGER,JAKE",,,,,,,"SUB OUT by HOLLINGER,JAKE",1
12:27,"SUB OUT by MURPHY,JORDAN",,,,,,,"SUB OUT by MURPHY,JORDAN",1
12:27,"SUB OUT by FARRAGHER,RYAN",,,,,,,"SUB OUT by FARRAGHER,RYAN",1
12:27,"SUB OUT by PISCO,KYLE",,,,,,,"SUB OUT by PISCO,KYLE",1
12:27,"SUB OUT by WALLACK,DANNY",,,,,,,"SUB OUT by WALLACK,DANNY",1
12:16,"GOOD JUMPER by HUBBARD,KYLE",16,,16,,JCU 16-16 (0),,"GOOD JUMPER by HUBBARD,KYLE",1
--,"ASSIST  by HENDRICKSON,DAVID",,,,,,,"ASSIST  by HENDRICKSON,DAVID",1
12:04,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",1
12:02,"STEAL  by WHALEN,MICHAEL",,,,,,,"STEAL  by WHALEN,MICHAEL",1
11:53,,,,,"FOUL  by WHITE,BLAISE",,,"FOUL  by WHITE,BLAISE",1
11:47,"GOOD JUMPER by HUBBARD,KYLE",18 (+2),,16,,JCU 18-16 (-2),,"GOOD JUMPER by HUBBARD,KYLE",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
11:16,"TURNOVER  by WHALEN,MICHAEL",,,,,,,"TURNOVER  by WHALEN,MICHAEL",1
11:16,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
11:16,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
10:58,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by JANZ,KENNY",,,,,,,"REBOUND DEF by JANZ,KENNY",1
10:47,,,,,"FOUL  by THOMAS,LARRY",,,"FOUL  by THOMAS,LARRY",1
10:47,"GOOD FT by ANGERS,RYAN",19 (+3),,16,,JCU 19-16 (-3),,"GOOD FT by ANGERS,RYAN",1
10:47,"GOOD FT by ANGERS,RYAN",20 (+4),,16,,JCU 20-16 (-4),,"GOOD FT by ANGERS,RYAN",1
10:47,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
10:47,,,,,"SUB OUT by THOMAS,LARRY",,,"SUB OUT by THOMAS,LARRY",1
10:37,,20 (+1),,19,"GOOD 3PTR by KEGARISE,KEVIN",BSC 20-19 (-1),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
10:22,"GOOD LAYUP by HENDRICKSON,DAVID(in the paint)",22 (+3),,19,,JCU 22-19 (-3),,"GOOD LAYUP by HENDRICKSON,DAVID(in the paint)",1
10:18,"FOUL  by HUBBARD,KYLE",,,,,,,"FOUL  by HUBBARD,KYLE",1
10:17,"SUB IN by MORRIS,KYLE",,,,,,,"SUB IN by MORRIS,KYLE",1
10:17,"SUB OUT by HUBBARD,KYLE",,,,,,,"SUB OUT by HUBBARD,KYLE",1
10:10,,,,,"MISS LAYUP by HENRY,COLIN",,,"MISS LAYUP by HENRY,COLIN",1
10:10,"BLOCK  by JANZ,KENNY",,,,,,,"BLOCK  by JANZ,KENNY",1
--,"REBOUND DEF by JANZ,KENNY",,,,,,,"REBOUND DEF by JANZ,KENNY",1
09:42,"MISS LAYUP by ANGERS,RYAN",,,,,,,"MISS LAYUP by ANGERS,RYAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
09:39,"SUB IN by HOLLINGER,JAKE",,,,,,,"SUB IN by HOLLINGER,JAKE",1
09:39,"SUB IN by MURPHY,JORDAN",,,,,,,"SUB IN by MURPHY,JORDAN",1
09:39,"SUB IN by FARRAGHER,RYAN",,,,,,,"SUB IN by FARRAGHER,RYAN",1
09:39,"SUB IN by PISCO,KYLE",,,,,,,"SUB IN by PISCO,KYLE",1
09:39,"SUB IN by WALLACK,DANNY",,,,,,,"SUB IN by WALLACK,DANNY",1
09:39,"SUB OUT by JANZ,KENNY",,,,,,,"SUB OUT by JANZ,KENNY",1
09:39,"SUB OUT by MORRIS,KYLE",,,,,,,"SUB OUT by MORRIS,KYLE",1
09:39,"SUB OUT by HENDRICKSON,DAVID",,,,,,,"SUB OUT by HENDRICKSON,DAVID",1
09:39,"SUB OUT by WHALEN,MICHAEL",,,,,,,"SUB OUT by WHALEN,MICHAEL",1
09:39,"SUB OUT by ANGERS,RYAN",,,,,,,"SUB OUT by ANGERS,RYAN",1
09:39,,,,,"SUB IN by FREEMAN,SCHYLAR",,,"SUB IN by FREEMAN,SCHYLAR",1
09:39,,,,,"SUB OUT by HENRY,COLIN",,,"SUB OUT by HENRY,COLIN",1
09:28,,22,,22,"GOOD 3PTR by MARSCHNER,BRENDAN",BSC 22-22 (0),,"GOOD 3PTR by MARSCHNER,BRENDAN",1
--,,,,,"ASSIST  by RICHARDS,ZAC",,,"ASSIST  by RICHARDS,ZAC",1
09:13,"GOOD JUMPER by MURPHY,JORDAN(in the paint)",24 (+2),,22,,JCU 24-22 (-2),,"GOOD JUMPER by MURPHY,JORDAN(in the paint)",1
08:58,,24,,24,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",BSC 24-24 (0),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",1
--,,,,,"ASSIST  by KEGARISE,KEVIN",,,"ASSIST  by KEGARISE,KEVIN",1
08:39,"GOOD LAYUP by MURPHY,JORDAN(in the paint)",26 (+2),,24,,JCU 26-24 (-2),,"GOOD LAYUP by MURPHY,JORDAN(in the paint)",1
08:16,"FOUL  by PISCO,KYLE",,,,,,,"FOUL  by PISCO,KYLE",1
08:16,,26 (+1),,25,"GOOD FT by HOLLAND,JASON",BSC 26-25 (-1),,"GOOD FT by HOLLAND,JASON",1
08:16,,26,,26,"GOOD FT by HOLLAND,JASON",BSC 26-26 (0),,"GOOD FT by HOLLAND,JASON",1
08:16,,,,,SUB IN by 0,,,SUB IN by 0,1
08:16,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
08:00,"GOOD LAYUP by MURPHY,JORDAN(in the paint)",28 (+2),,26,,JCU 28-26 (-2),,"GOOD LAYUP by MURPHY,JORDAN(in the paint)",1
07:52,,,,,"TURNOVER  by MARSCHNER,BRENDAN",,,"TURNOVER  by MARSCHNER,BRENDAN",1
07:51,"STEAL  by HOLLINGER,JAKE",,,,,,,"STEAL  by HOLLINGER,JAKE",1
07:34,"MISS JUMPER by WALLACK,DANNY",,,,,,,"MISS JUMPER by WALLACK,DANNY",1
--,"REBOUND OFF by HOLLINGER,JAKE",,,,,,,"REBOUND OFF by HOLLINGER,JAKE",1
07:32,"MISS LAYUP by HOLLINGER,JAKE",,,,,,,"MISS LAYUP by HOLLINGER,JAKE",1
--,"REBOUND OFF by WALLACK,DANNY",,,,,,,"REBOUND OFF by WALLACK,DANNY",1
07:27,"MISS 3PTR by PISCO,KYLE",,,,,,,"MISS 3PTR by PISCO,KYLE",1
--,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",,,"REBOUND DEF by MARSCHNER,BRENDAN",1
06:51,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by MURPHY,JORDAN",,,,,,,"REBOUND DEF by MURPHY,JORDAN",1
06:33,"GOOD 3PTR by FARRAGHER,RYAN",31 (+5),,26,,JCU 31-26 (-5),,"GOOD 3PTR by FARRAGHER,RYAN",1
06:07,,,,,"FOUL  by MARSCHNER,BRENDAN",,,"FOUL  by MARSCHNER,BRENDAN",1
06:07,,,,,"TURNOVER  by MARSCHNER,BRENDAN",,,"TURNOVER  by MARSCHNER,BRENDAN",1
06:07,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
06:07,"MISS FT by HOLLINGER,JAKE",,,,,,,"MISS FT by HOLLINGER,JAKE",1
--,,,,,"REBOUND DEF by WHITE,BLAISE",,,"REBOUND DEF by WHITE,BLAISE",1
06:07,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
06:07,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
06:07,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
06:07,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
06:07,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
06:07,,,,,SUB OUT by 0,,,SUB OUT by 0,1
05:47,,,,,"TURNOVER  by RICHARDS,ZAC",,,"TURNOVER  by RICHARDS,ZAC",1
05:47,"SUB IN by MORRIS,KYLE",,,,,,,"SUB IN by MORRIS,KYLE",1
05:47,"SUB OUT by MURPHY,JORDAN",,,,,,,"SUB OUT by MURPHY,JORDAN",1
05:43,"GOOD LAYUP by HOLLINGER,JAKE(fastbreak)(in the paint)",33 (+7),,26,,JCU 33-26 (-7),,"GOOD LAYUP by HOLLINGER,JAKE(fastbreak)(in the paint)",1
--,"ASSIST  by MORRIS,KYLE",,,,,,,"ASSIST  by MORRIS,KYLE",1
05:24,"FOUL  by MORRIS,KYLE",,,,,,,"FOUL  by MORRIS,KYLE",1
05:24,,33 (+6),,27,"GOOD FT by KEGARISE,KEVIN",BSC 33-27 (-6),,"GOOD FT by KEGARISE,KEVIN",1
05:24,,33 (+5),,28,"GOOD FT by KEGARISE,KEVIN",BSC 33-28 (-5),,"GOOD FT by KEGARISE,KEVIN",1
05:24,"SUB IN by JANZ,KENNY",,,,,,,"SUB IN by JANZ,KENNY",1
05:24,"SUB IN by HENDRICKSON,DAVID",,,,,,,"SUB IN by HENDRICKSON,DAVID",1
05:24,"SUB IN by MURPHY,JORDAN",,,,,,,"SUB IN by MURPHY,JORDAN",1
05:24,"SUB IN by STARKS,WILLIAM",,,,,,,"SUB IN by STARKS,WILLIAM",1
05:24,"SUB IN by ANGERS,RYAN",,,,,,,"SUB IN by ANGERS,RYAN",1
05:24,"SUB OUT by HOLLINGER,JAKE",,,,,,,"SUB OUT by HOLLINGER,JAKE",1
05:24,"SUB OUT by MORRIS,KYLE",,,,,,,"SUB OUT by MORRIS,KYLE",1
05:24,"SUB OUT by FARRAGHER,RYAN",,,,,,,"SUB OUT by FARRAGHER,RYAN",1
05:24,"SUB OUT by PISCO,KYLE",,,,,,,"SUB OUT by PISCO,KYLE",1
05:24,"SUB OUT by WALLACK,DANNY",,,,,,,"SUB OUT by WALLACK,DANNY",1
04:54,"GOOD 3PTR by STARKS,WILLIAM",36 (+8),,28,,JCU 36-28 (-8),,"GOOD 3PTR by STARKS,WILLIAM",1
--,"ASSIST  by HENDRICKSON,DAVID",,,,,,,"ASSIST  by HENDRICKSON,DAVID",1
04:45,,,,,"MISS 3PTR by KEGARISE,KEVIN",,,"MISS 3PTR by KEGARISE,KEVIN",1
--,"REBOUND DEF by MURPHY,JORDAN",,,,,,,"REBOUND DEF by MURPHY,JORDAN",1
04:38,"TURNOVER  by HENDRICKSON,DAVID",,,,,,,"TURNOVER  by HENDRICKSON,DAVID",1
04:24,,36 (+5),,31,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",BSC 36-31 (-5),,"GOOD 3PTR by THOMAS,LARRY(fastbreak)",1
--,,,,,"ASSIST  by WHITE,BLAISE",,,"ASSIST  by WHITE,BLAISE",1
04:14,"MISS 3PTR by ANGERS,RYAN",,,,,,,"MISS 3PTR by ANGERS,RYAN",1
--,,,,,"REBOUND DEF by KEGARISE,KEVIN",,,"REBOUND DEF by KEGARISE,KEVIN",1
04:06,,,,,"SUB IN by MARSCHNER,BRENDAN",,,"SUB IN by MARSCHNER,BRENDAN",1
04:06,,,,,"SUB OUT by KEGARISE,KEVIN",,,"SUB OUT by KEGARISE,KEVIN",1
03:45,,36 (+3),,33,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 36-33 (-3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
03:11,"GOOD JUMPER by HENDRICKSON,DAVID",38 (+5),,33,,JCU 38-33 (-5),,"GOOD JUMPER by HENDRICKSON,DAVID",1
03:00,,,,,"MISS 3PTR by THOMAS,LARRY",,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND OFF by WHITE,BLAISE",,,"REBOUND OFF by WHITE,BLAISE",1
02:57,,,,,"TURNOVER  by WHITE,BLAISE",,,"TURNOVER  by WHITE,BLAISE",1
02:27,"MISS 3PTR by STARKS,WILLIAM",,,,,,,"MISS 3PTR by STARKS,WILLIAM",1
--,"REBOUND OFF by ANGERS,RYAN",,,,,,,"REBOUND OFF by ANGERS,RYAN",1
02:12,"MISS JUMPER by ANGERS,RYAN",,,,,,,"MISS JUMPER by ANGERS,RYAN",1
--,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",,,"REBOUND DEF by MARSCHNER,BRENDAN",1
01:59,,,,,"MISS 3PTR by RICHARDS,ZAC",,,"MISS 3PTR by RICHARDS,ZAC",1
--,,,,,"REBOUND OFF by HENRY,COLIN",,,"REBOUND OFF by HENRY,COLIN",1
01:43,,38 (+3),,35,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",BSC 38-35 (-3),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,,,,,"ASSIST  by HENRY,COLIN",,,"ASSIST  by HENRY,COLIN",1
01:24,,,,,"FOUL  by HENRY,COLIN",,,"FOUL  by HENRY,COLIN",1
01:24,"MISS FT by MURPHY,JORDAN",,,,,,,"MISS FT by MURPHY,JORDAN",1
--,,,,,"REBOUND DEF by RICHARDS,ZAC",,,"REBOUND DEF by RICHARDS,ZAC",1
01:24,"SUB IN by HOLLINGER,JAKE",,,,,,,"SUB IN by HOLLINGER,JAKE",1
01:24,"SUB IN by FARRAGHER,RYAN",,,,,,,"SUB IN by FARRAGHER,RYAN",1
01:24,"SUB IN by PISCO,KYLE",,,,,,,"SUB IN by PISCO,KYLE",1
01:24,"SUB IN by WALLACK,DANNY",,,,,,,"SUB IN by WALLACK,DANNY",1
01:24,"SUB OUT by JANZ,KENNY",,,,,,,"SUB OUT by JANZ,KENNY",1
01:24,"SUB OUT by HENDRICKSON,DAVID",,,,,,,"SUB OUT by HENDRICKSON,DAVID",1
01:24,"SUB OUT by STARKS,WILLIAM",,,,,,,"SUB OUT by STARKS,WILLIAM",1
01:24,"SUB OUT by ANGERS,RYAN",,,,,,,"SUB OUT by ANGERS,RYAN",1
01:15,,,,,"SUB IN by HOLLAND,JASON",,,"SUB IN by HOLLAND,JASON",1
01:15,,,,,"SUB OUT by WHITE,BLAISE",,,"SUB OUT by WHITE,BLAISE",1
01:04,"FOUL  by WALLACK,DANNY",,,,,,,"FOUL  by WALLACK,DANNY",1
