Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:00,"GOOD FT by FREEMAN,SCHYLAR",23 (+2),,21,,BSC 23-21 (+2),,"GOOD FT by FREEMAN,SCHYLAR",1
01:25,,23,,24 (+1),"GOOD 3PTR by CORTESE,NICK",MILLSAPS 23-24 (-1),,"GOOD 3PTR by CORTESE,NICK",1
01:06,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
00:45,,,,,"MISS 3PTR by CORTESE,NICK",,,"MISS 3PTR by CORTESE,NICK",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
00:30,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",25 (+1),,24,,BSC 25-24 (+1),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",1
--,"ASSIST  by FREEMAN,SCHYLAR",,,,,,,"ASSIST  by FREEMAN,SCHYLAR",1
00:07,,25,,26 (+1),"GOOD JUMPER by CORTESE,NICK",MILLSAPS 25-26 (-1),,"GOOD JUMPER by CORTESE,NICK",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
00:01,"SUB IN by WARRICK,JOHN",,,,,,,"SUB IN by WARRICK,JOHN",1
00:01,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
00:01,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
00:01,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
00:00,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",1
00:01,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:50,"GOOD 3PTR by THOMAS,LARRY",28 (+2),,26,,BSC 28-26 (+2),,"GOOD 3PTR by THOMAS,LARRY",2
19:34,,28,,28,"GOOD LAYUP by WILSON,KEVIN(in the paint)",MILLSAPS 28-28 (0),,"GOOD LAYUP by WILSON,KEVIN(in the paint)",2
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",2
19:17,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by WILSON,KEVIN",,,"REBOUND DEF by WILSON,KEVIN",2
18:59,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
18:57,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
18:28,"GOOD JUMPER by RICHARDS,ZAC",30 (+2),,28,,BSC 30-28 (+2),,"GOOD JUMPER by RICHARDS,ZAC",2
18:12,,,,,"MISS 3PTR by WILSON,KEVIN",,,"MISS 3PTR by WILSON,KEVIN",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
18:04,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
17:59,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",32 (+4),,28,,BSC 32-28 (+4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
17:57,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
