Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
06:47,"GOOD LAYUP by AVERY,ALEX(in the paint)",10,,22 (+12),,BSCM 10-22 (-12),,"GOOD LAYUP by AVERY,ALEX(in the paint)",1
06:27,"FOUL  by SCHAMP,GRIFFIN",,,,,,,"FOUL  by SCHAMP,GRIFFIN",1
06:27,"SUB IN by ASSANESI,KELLY",,,,,,,"SUB IN by ASSANESI,KELLY",1
06:27,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
06:27,,,,,"SUB IN by MARSH,CODY",,,"SUB IN by MARSH,CODY",1
06:27,,,,,"SUB IN by ABRAMS,JONATHAN",,,"SUB IN by ABRAMS,JONATHAN",1
06:27,,,,,"SUB OUT by WRIGHT,JAKE",,,"SUB OUT by WRIGHT,JAKE",1
06:27,,,,,"SUB OUT by TEEMS,JORDAN",,,"SUB OUT by TEEMS,JORDAN",1
06:25,,,,,"MISS LAYUP by ABRAMS,JONATHAN",,,"MISS LAYUP by ABRAMS,JONATHAN",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
06:21,"MISS LAYUP by ASSANESI,KELLY",,,,,,,"MISS LAYUP by ASSANESI,KELLY",1
--,,,,,"REBOUND DEF by SMOAK,HUNTER",,,"REBOUND DEF by SMOAK,HUNTER",1
05:57,,10,,24 (+14),"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",BCM 10-24 (-14),,"GOOD LAYUP by ABRAMS,JONATHAN(in the paint)",1
05:54,"FOUL  by WELCH,ROSS",,,,,,,"FOUL  by WELCH,ROSS",1
05:40,,10,,25 (+15),"GOOD FT by ABRAMS,JONATHAN",BCM 10-25 (-15),,"GOOD FT by ABRAMS,JONATHAN",1
05:05,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",1
--,,,,,"REBOUND DEF by GRAHAM,LAKE",,,"REBOUND DEF by GRAHAM,LAKE",1
04:53,"TURNOVER  by PLAYER,MATT",,,,,,,"TURNOVER  by PLAYER,MATT",1
04:52,,,,,"STEAL  by MARSH,CODY",,,"STEAL  by MARSH,CODY",1
04:44,"GOOD JUMPER by THOMAS,LARRY",12,,25 (+13),,BSCM 12-25 (-13),,"GOOD JUMPER by THOMAS,LARRY",1
--,"ASSIST  by ASSANESI,KELLY",,,,,,,"ASSIST  by ASSANESI,KELLY",1
04:14,,,,,"MISS LAYUP by GRAHAM,LAKE",,,"MISS LAYUP by GRAHAM,LAKE",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
04:06,"MISS LAYUP by ASSANESI,KELLY",,,,,,,"MISS LAYUP by ASSANESI,KELLY",1
--,,,,,"REBOUND DEF by WHALEN,MAC",,,"REBOUND DEF by WHALEN,MAC",1
03:59,,,,,"MISS LAYUP by MARSH,CODY",,,"MISS LAYUP by MARSH,CODY",1
--,"REBOUND DEF by AVERY,ALEX",,,,,,,"REBOUND DEF by AVERY,ALEX",1
03:34,"MISS 3PTR by SCHAMP,GRIFFIN",,,,,,,"MISS 3PTR by SCHAMP,GRIFFIN",1
--,"REBOUND OFF by AVERY,ALEX",,,,,,,"REBOUND OFF by AVERY,ALEX",1
