Time Remaining,RUST,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by GREDIC,KWAHMERE",,,,,,,"REBOUND OFF by GREDIC,KWAHMERE",1
12:21,"MISS JUMPER by GREDIC,KWAHMERE",,,,,,,"MISS JUMPER by GREDIC,KWAHMERE",1
--,"REBOUND OFF by VEASLEY,LARRY",,,,,,,"REBOUND OFF by VEASLEY,LARRY",1
12:16,"GOOD JUMPER by VEASLEY,LARRY(in the paint)",14,,15 (+1),,RUST 14-15 (+1),,"GOOD JUMPER by VEASLEY,LARRY(in the paint)",1
12:13,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,,,,,"REBOUND OFF by MARSCHNER,BRENDAN",,,"REBOUND OFF by MARSCHNER,BRENDAN",1
12:01,,14,,18 (+4),"GOOD 3PTR by WELCH,ROSS",BSC 14-18 (+4),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
11:45,"TURNOVER  by SEALS,JORDAN",,,,,,,"TURNOVER  by SEALS,JORDAN",1
11:45,,,,,"SUB IN by HENRY,COLIN",,,"SUB IN by HENRY,COLIN",1
11:45,,,,,"SUB OUT by FREEMAN,SCHYLAR",,,"SUB OUT by FREEMAN,SCHYLAR",1
11:22,,14,,20 (+6),"GOOD LAYUP by WARRICK,JOHN(in the paint)",BSC 14-20 (+6),,"GOOD LAYUP by WARRICK,JOHN(in the paint)",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
11:13,"TURNOVER  by GREDIC,KWAHMERE",,,,,,,"TURNOVER  by GREDIC,KWAHMERE",1
11:10,,,,,"STEAL  by MARSCHNER,BRENDAN",,,"STEAL  by MARSCHNER,BRENDAN",1
11:09,,14,,23 (+9),"GOOD 3PTR by WELCH,ROSS",BSC 14-23 (+9),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by MARSCHNER,BRENDAN",,,"ASSIST  by MARSCHNER,BRENDAN",1
11:09,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:54,"GOOD 3PTR by MCCOLLUM,RICKEY",17,,23 (+6),,RUST 17-23 (+6),,"GOOD 3PTR by MCCOLLUM,RICKEY",1
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",1
10:41,,17,,26 (+9),"GOOD 3PTR by WELCH,ROSS",BSC 17-26 (+9),,"GOOD 3PTR by WELCH,ROSS",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
10:23,"GOOD JUMPER by BURKS,TEVIN",19,,26 (+7),,RUST 19-26 (+7),,"GOOD JUMPER by BURKS,TEVIN",1
10:03,,,,,"TURNOVER  by HOLLAND,JASON",,,"TURNOVER  by HOLLAND,JASON",1
10:00,"STEAL  by VEASLEY,LARRY",,,,,,,"STEAL  by VEASLEY,LARRY",1
09:54,"GOOD JUMPER by GREDIC,KWAHMERE(in the paint)",21,,26 (+5),,RUST 21-26 (+5),,"GOOD JUMPER by GREDIC,KWAHMERE(in the paint)",1
09:54,,,,,"FOUL  by WARRICK,JOHN",,,"FOUL  by WARRICK,JOHN",1
09:54,"MISS FT by MCCOLLUM,RICKEY",,,,,,,"MISS FT by MCCOLLUM,RICKEY",1
--,,,,,"REBOUND DEF by HENRY,COLIN",,,"REBOUND DEF by HENRY,COLIN",1
09:54,,,,,"SUB IN by RICHARDS,ZAC",,,"SUB IN by RICHARDS,ZAC",1
09:54,,,,,"SUB OUT by WARRICK,JOHN",,,"SUB OUT by WARRICK,JOHN",1
09:40,,21,,29 (+8),"GOOD 3PTR by MARSCHNER,BRENDAN",BSC 21-29 (+8),,"GOOD 3PTR by MARSCHNER,BRENDAN",1
--,,,,,"ASSIST  by HOLLAND,JASON",,,"ASSIST  by HOLLAND,JASON",1
09:13,"TURNOVER  by BARNS,KELSEY",,,,,,,"TURNOVER  by BARNS,KELSEY",1
09:10,,,,,"STEAL  by HOLLAND,JASON",,,"STEAL  by HOLLAND,JASON",1
09:09,,,,,"MISS LAYUP by HOLLAND,JASON",,,"MISS LAYUP by HOLLAND,JASON",1
--,"REBOUND DEF by GREDIC,KWAHMERE",,,,,,,"REBOUND DEF by GREDIC,KWAHMERE",1
09:04,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",23,,29 (+6),,RUST 23-29 (+6),,"GOOD LAYUP by VEASLEY,LARRY(in the paint)",1
--,"ASSIST  by GREDIC,KWAHMERE",,,,,,,"ASSIST  by GREDIC,KWAHMERE",1
08:43,"FOUL  by BARNS,KELSEY",,,,,,,"FOUL  by BARNS,KELSEY",1
08:43,,,,,"MISS FT by RICHARDS,ZAC",,,"MISS FT by RICHARDS,ZAC",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:43,,23,,30 (+7),"GOOD FT by RICHARDS,ZAC",BSC 23-30 (+7),,"GOOD FT by RICHARDS,ZAC",1
08:43,,,,,"SUB IN by THOMAS,LARRY",,,"SUB IN by THOMAS,LARRY",1
08:43,,,,,"SUB IN by KEGARISE,KEVIN",,,"SUB IN by KEGARISE,KEVIN",1
08:43,,,,,"SUB IN by WHITE,BLAISE",,,"SUB IN by WHITE,BLAISE",1
08:43,,,,,"SUB OUT by MARSCHNER,BRENDAN",,,"SUB OUT by MARSCHNER,BRENDAN",1
08:43,,,,,"SUB OUT by HOLLAND,JASON",,,"SUB OUT by HOLLAND,JASON",1
08:43,,,,,"SUB OUT by WELCH,ROSS",,,"SUB OUT by WELCH,ROSS",1
08:22,"GOOD JUMPER by GAMBLE,CHRIS(in the paint)",25,,30 (+5),,RUST 25-30 (+5),,"GOOD JUMPER by GAMBLE,CHRIS(in the paint)",1
08:14,"FOUL  by SEALS,JORDAN",,,,,,,"FOUL  by SEALS,JORDAN",1
08:14,,25,,31 (+6),"GOOD FT by RICHARDS,ZAC",BSC 25-31 (+6),,"GOOD FT by RICHARDS,ZAC",1
08:14,,25,,32 (+7),"GOOD FT by RICHARDS,ZAC",BSC 25-32 (+7),,"GOOD FT by RICHARDS,ZAC",1
08:14,"SUB IN by SCOTT,JEREMY",,,,,,,"SUB IN by SCOTT,JEREMY",1
08:14,"SUB IN by BARNS,KELSEY",,,,,,,"SUB IN by BARNS,KELSEY",1
08:14,"SUB IN by MCCOLLUM,RICKEY",,,,,,,"SUB IN by MCCOLLUM,RICKEY",1
