Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,GC,Game Score,Team Indicator,Play,Period
02:06,"TURNOVER  by THOMAS,LARRY",,,,,,,"TURNOVER  by THOMAS,LARRY",1
02:05,,,,,"STEAL  by HINTON, JARRED",,,"STEAL  by HINTON, JARRED",1
02:01,,,,,"MISS LAYUP by TRACY, TRAVIS",,,"MISS LAYUP by TRACY, TRAVIS",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
01:39,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
01:28,"GOOD 3PTR by THOMAS,LARRY",41,,47 (+6),,BSC 41-47 (-6),,"GOOD 3PTR by THOMAS,LARRY",1
--,"ASSIST  by WARRICK,JOHN",,,,,,,"ASSIST  by WARRICK,JOHN",1
01:14,,,,,"MISS LAYUP by MCCARTHY, MATT",,,"MISS LAYUP by MCCARTHY, MATT",1
--,"REBOUND DEF by SCHAMP,GRIFFIN",,,,,,,"REBOUND DEF by SCHAMP,GRIFFIN",1
00:57,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by RICHARDSON, ZEB",,,"REBOUND DEF by RICHARDSON, ZEB",1
00:47,,41,,50 (+9),"GOOD 3PTR by MCCARTHY, MATT",GC 41-50 (-9),,"GOOD 3PTR by MCCARTHY, MATT",1
--,,,,,"ASSIST  by HINTON, JARRED",,,"ASSIST  by HINTON, JARRED",1
00:36,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:36,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
00:36,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
00:36,"SUB OUT by WARRICK,JOHN",,,,,,,"SUB OUT by WARRICK,JOHN",1
00:36,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
00:16,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by RICHARDSON, ZEB",,,"REBOUND DEF by RICHARDSON, ZEB",1
00:00,,,,,"MISS JUMPER by MCCARTHY, MATT",,,"MISS JUMPER by MCCARTHY, MATT",1
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",1
19:48,,41,,52 (+11),"GOOD JUMPER by HOPKINS, JAKE(in the paint)",GC 41-52 (-11),,"GOOD JUMPER by HOPKINS, JAKE(in the paint)",2
19:23,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",43,,52 (+9),,BSC 43-52 (-9),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
18:58,,,,,"TURNOVER  by PITTMAN, JOSH",,,"TURNOVER  by PITTMAN, JOSH",2
18:40,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",45,,52 (+7),,BSC 45-52 (-7),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
18:40,,,,,"FOUL  by RICHARDSON, ZEB",,,"FOUL  by RICHARDSON, ZEB",2
18:40,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by HOPKINS, JAKE",,,"REBOUND DEF by HOPKINS, JAKE",2
18:22,,,,,"MISS 3PTR by TRACY, TRAVIS",,,"MISS 3PTR by TRACY, TRAVIS",2
--,"REBOUND DEF by KEGARISE,KEVIN",,,,,,,"REBOUND DEF by KEGARISE,KEVIN",2
18:13,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by HOPKINS, JAKE",,,"REBOUND DEF by HOPKINS, JAKE",2
18:07,,45,,55 (+10),"GOOD 3PTR by MCCARTHY, MATT(fastbreak)",GC 45-55 (-10),,"GOOD 3PTR by MCCARTHY, MATT(fastbreak)",2
17:54,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
17:53,,,,,"STEAL  by MCCARTHY, MATT",,,"STEAL  by MCCARTHY, MATT",2
17:48,,,,,"MISS LAYUP by HOPKINS, JAKE",,,"MISS LAYUP by HOPKINS, JAKE",2
--,,,,,"REBOUND OFF by PITTMAN, JOSH",,,"REBOUND OFF by PITTMAN, JOSH",2
17:45,,,,,"MISS LAYUP by PITTMAN, JOSH",,,"MISS LAYUP by PITTMAN, JOSH",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
17:20,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by RICHARDSON, ZEB",,,"REBOUND DEF by RICHARDSON, ZEB",2
17:09,,,,,"MISS JUMPER by PITTMAN, JOSH",,,"MISS JUMPER by PITTMAN, JOSH",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
16:58,"MISS JUMPER by THOMAS,LARRY",,,,,,,"MISS JUMPER by THOMAS,LARRY",2
16:58,,,,,"BLOCK  by RICHARDSON, ZEB",,,"BLOCK  by RICHARDSON, ZEB",2
--,,,,,"REBOUND DEF by RICHARDSON, ZEB",,,"REBOUND DEF by RICHARDSON, ZEB",2
16:46,,,,,"MISS JUMPER by RICHARDSON, ZEB",,,"MISS JUMPER by RICHARDSON, ZEB",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
16:37,"GOOD 3PTR by KEGARISE,KEVIN(fastbreak)",48,,55 (+7),,BSC 48-55 (-7),,"GOOD 3PTR by KEGARISE,KEVIN(fastbreak)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
16:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
16:29,,,,,"TURNOVER  by HOPKINS, JAKE",,,"TURNOVER  by HOPKINS, JAKE",2
16:29,"SUB IN by SCHAMP,GRIFFIN",,,,,,,"SUB IN by SCHAMP,GRIFFIN",2
16:29,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
16:29,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
16:29,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
16:29,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
16:29,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
16:29,,,,,"SUB IN by FREEMAN, WILL",,,"SUB IN by FREEMAN, WILL",2
16:29,,,,,"SUB IN by STEVENSON, BEN",,,"SUB IN by STEVENSON, BEN",2
16:29,,,,,"SUB IN by HINTON, JARRED",,,"SUB IN by HINTON, JARRED",2
16:29,,,,,"SUB OUT by RICHARDSON, ZEB",,,"SUB OUT by RICHARDSON, ZEB",2
16:29,,,,,"SUB OUT by TRACY, TRAVIS",,,"SUB OUT by TRACY, TRAVIS",2
16:29,,,,,"SUB OUT by MCCARTHY, MATT",,,"SUB OUT by MCCARTHY, MATT",2
16:27,"MISS JUMPER by SCHAMP,GRIFFIN",,,,,,,"MISS JUMPER by SCHAMP,GRIFFIN",2
--,,,,,"REBOUND DEF by FREEMAN, WILL",,,"REBOUND DEF by FREEMAN, WILL",2
16:02,,,,,"MISS JUMPER by STEVENSON, BEN",,,"MISS JUMPER by STEVENSON, BEN",2
16:02,"BLOCK  by WELCH,ROSS",,,,,,,"BLOCK  by WELCH,ROSS",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
15:48,"GOOD JUMPER by RICHARDS,ZAC",50,,55 (+5),,BSC 50-55 (-5),,"GOOD JUMPER by RICHARDS,ZAC",2
15:48,,,,,"FOUL  by FREEMAN, WILL",,,"FOUL  by FREEMAN, WILL",2
15:48,"GOOD FT by RICHARDS,ZAC",51,,55 (+4),,BSC 51-55 (-4),,"GOOD FT by RICHARDS,ZAC",2
15:37,,51,,58 (+7),"GOOD 3PTR by PITTMAN, JOSH(fastbreak)",GC 51-58 (-7),,"GOOD 3PTR by PITTMAN, JOSH(fastbreak)",2
--,,,,,"ASSIST  by STEVENSON, BEN",,,"ASSIST  by STEVENSON, BEN",2
15:00,"GOOD LAYUP by THOMAS,LARRY(in the paint)",53,,58 (+5),,BSC 53-58 (-5),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
14:42,,,,,"TURNOVER  by PITTMAN, JOSH",,,"TURNOVER  by PITTMAN, JOSH",2
14:42,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",2
14:42,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
14:42,"SUB OUT by SCHAMP,GRIFFIN",,,,,,,"SUB OUT by SCHAMP,GRIFFIN",2
14:17,"MISS 3PTR by WELCH,ROSS",,,,,,,"MISS 3PTR by WELCH,ROSS",2
--,,,,,"REBOUND DEF by STEVENSON, BEN",,,"REBOUND DEF by STEVENSON, BEN",2
14:06,,,,,"TURNOVER  by HINTON, JARRED",,,"TURNOVER  by HINTON, JARRED",2
14:06,,,,,"SUB IN by RICHARDSON, ZEB",,,"SUB IN by RICHARDSON, ZEB",2
14:06,,,,,"SUB IN by TRACY, TRAVIS",,,"SUB IN by TRACY, TRAVIS",2
14:06,,,,,"SUB IN by MCCARTHY, MATT",,,"SUB IN by MCCARTHY, MATT",2
14:06,,,,,"SUB OUT by FREEMAN, WILL",,,"SUB OUT by FREEMAN, WILL",2
14:06,,,,,"SUB OUT by HOPKINS, JAKE",,,"SUB OUT by HOPKINS, JAKE",2
14:06,,,,,"SUB OUT by PITTMAN, JOSH",,,"SUB OUT by PITTMAN, JOSH",2
13:56,,,,,"FOUL  by HINTON, JARRED",,,"FOUL  by HINTON, JARRED",2
13:56,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
13:56,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
13:52,"MISS JUMPER by HENRY,COLIN",,,,,,,"MISS JUMPER by HENRY,COLIN",2
--,,,,,"REBOUND DEF by TRACY, TRAVIS",,,"REBOUND DEF by TRACY, TRAVIS",2
13:40,,53,,60 (+7),"GOOD LAYUP by RICHARDSON, ZEB(in the paint)",GC 53-60 (-7),,"GOOD LAYUP by RICHARDSON, ZEB(in the paint)",2
--,,,,,"ASSIST  by HINTON, JARRED",,,"ASSIST  by HINTON, JARRED",2
13:27,"GOOD 3PTR by MARSCHNER,BRENDAN",56,,60 (+4),,BSC 56-60 (-4),,"GOOD 3PTR by MARSCHNER,BRENDAN",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
13:04,,56,,63 (+7),"GOOD 3PTR by TRACY, TRAVIS",GC 56-63 (-7),,"GOOD 3PTR by TRACY, TRAVIS",2
--,,,,,"ASSIST  by MCCARTHY, MATT",,,"ASSIST  by MCCARTHY, MATT",2
12:46,,,,,"FOUL  by RICHARDSON, ZEB",,,"FOUL  by RICHARDSON, ZEB",2
12:46,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:46,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by HOPKINS, JAKE",,,"REBOUND DEF by HOPKINS, JAKE",2
12:46,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
12:46,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
12:46,,,,,"SUB IN by HOPKINS, JAKE",,,"SUB IN by HOPKINS, JAKE",2
12:46,,,,,"SUB IN by PITTMAN, JOSH",,,"SUB IN by PITTMAN, JOSH",2
12:46,,,,,"SUB OUT by STEVENSON, BEN",,,"SUB OUT by STEVENSON, BEN",2
12:46,,,,,"SUB OUT by HINTON, JARRED",,,"SUB OUT by HINTON, JARRED",2
12:45,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
12:45,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
12:45,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
12:43,,,,,"TURNOVER  by MCCARTHY, MATT",,,"TURNOVER  by MCCARTHY, MATT",2
12:36,"STEAL  by FREEMAN,SCHYLAR",,,,,,,"STEAL  by FREEMAN,SCHYLAR",2
12:26,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",2
12:15,,56,,65 (+9),"GOOD LAYUP by RICHARDSON, ZEB(fastbreak)(in the paint)",GC 56-65 (-9),,"GOOD LAYUP by RICHARDSON, ZEB(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by PITTMAN, JOSH",,,"ASSIST  by PITTMAN, JOSH",2
12:03,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",2
12:03,,,,,"BLOCK  by RICHARDSON, ZEB",,,"BLOCK  by RICHARDSON, ZEB",2
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",2
11:56,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by MCCARTHY, MATT",,,"REBOUND DEF by MCCARTHY, MATT",2
11:53,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
11:53,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
11:53,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
11:31,,56,,67 (+11),"GOOD JUMPER by HOPKINS, JAKE",GC 56-67 (-11),,"GOOD JUMPER by HOPKINS, JAKE",2
11:21,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",58,,67 (+9),,BSC 58-67 (-9),,"GOOD LAYUP by KEGARISE,KEVIN(in the paint)",2
11:01,,58,,69 (+11),"GOOD JUMPER by HOPKINS, JAKE",GC 58-69 (-11),,"GOOD JUMPER by HOPKINS, JAKE",2
--,,,,,"ASSIST  by TRACY, TRAVIS",,,"ASSIST  by TRACY, TRAVIS",2
10:42,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
10:42,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
10:42,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
10:42,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
10:42,,,,,"SUB IN by FREEMAN, WILL",,,"SUB IN by FREEMAN, WILL",2
10:42,,,,,"SUB IN by HINTON, JARRED",,,"SUB IN by HINTON, JARRED",2
10:42,,,,,"SUB OUT by RICHARDSON, ZEB",,,"SUB OUT by RICHARDSON, ZEB",2
10:42,,,,,"SUB OUT by TRACY, TRAVIS",,,"SUB OUT by TRACY, TRAVIS",2
10:23,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",60,,69 (+9),,BSC 60-69 (-9),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
10:15,,,,,"MISS LAYUP by PITTMAN, JOSH",,,"MISS LAYUP by PITTMAN, JOSH",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
09:58,"GOOD 3PTR by KEGARISE,KEVIN",63,,69 (+6),,BSC 63-69 (-6),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",2
09:35,,,,,"MISS 3PTR by MCCARTHY, MATT",,,"MISS 3PTR by MCCARTHY, MATT",2
--,,,,,"REBOUND OFF by HOPKINS, JAKE",,,"REBOUND OFF by HOPKINS, JAKE",2
09:30,,63,,72 (+9),"GOOD 3PTR by PITTMAN, JOSH",GC 63-72 (-9),,"GOOD 3PTR by PITTMAN, JOSH",2
--,,,,,"ASSIST  by HOPKINS, JAKE",,,"ASSIST  by HOPKINS, JAKE",2
09:13,"GOOD 3PTR by KEGARISE,KEVIN",66,,72 (+6),,BSC 66-72 (-6),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",2
08:52,,,,,"TURNOVER  by HINTON, JARRED",,,"TURNOVER  by HINTON, JARRED",2
08:51,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
08:47,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:47,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
08:47,"SUB IN by LAUTEN,MORGAN",,,,,,,"SUB IN by LAUTEN,MORGAN",2
08:47,,,,,"SUB IN by TRACY, TRAVIS",,,"SUB IN by TRACY, TRAVIS",2
08:47,,,,,"SUB OUT by MCCARTHY, MATT",,,"SUB OUT by MCCARTHY, MATT",2
08:38,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by HOPKINS, JAKE",,,"REBOUND DEF by HOPKINS, JAKE",2
08:33,,,,,"MISS 3PTR by PITTMAN, JOSH",,,"MISS 3PTR by PITTMAN, JOSH",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
08:33,"GOOD 3PTR by MARSCHNER,BRENDAN",69,,72 (+3),,BSC 69-72 (-3),,"GOOD 3PTR by MARSCHNER,BRENDAN",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
08:33,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
08:33,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
08:33,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
08:33,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
08:33,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
08:33,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
08:33,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
08:33,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
08:33,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
08:33,"SUB OUT by LAUTEN,MORGAN",,,,,,,"SUB OUT by LAUTEN,MORGAN",2
08:33,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
08:33,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
08:05,"FOUL  by KEGARISE,KEVIN",,,,,,,"FOUL  by KEGARISE,KEVIN",2
08:02,,,,,"MISS FT by TRACY, TRAVIS",,,"MISS FT by TRACY, TRAVIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:43,,69,,73 (+4),"GOOD FT by TRACY, TRAVIS",GC 69-73 (-4),,"GOOD FT by TRACY, TRAVIS",2
07:43,,,,,"SUB IN by RICHARDSON, ZEB",,,"SUB IN by RICHARDSON, ZEB",2
07:43,,,,,"SUB IN by MCCARTHY, MATT",,,"SUB IN by MCCARTHY, MATT",2
07:43,,,,,"SUB OUT by FREEMAN, WILL",,,"SUB OUT by FREEMAN, WILL",2
07:43,,,,,"SUB OUT by HINTON, JARRED",,,"SUB OUT by HINTON, JARRED",2
07:15,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",71,,73 (+2),,BSC 71-73 (-2),,"GOOD JUMPER by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
06:39,,,,,"MISS JUMPER by PITTMAN, JOSH",,,"MISS JUMPER by PITTMAN, JOSH",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
06:33,"MISS LAYUP by MARSCHNER,BRENDAN",,,,,,,"MISS LAYUP by MARSCHNER,BRENDAN",2
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",2
06:31,,,,,"FOUL  by PITTMAN, JOSH",,,"FOUL  by PITTMAN, JOSH",2
06:31,"GOOD FT by THOMAS,LARRY",72,,73 (+1),,BSC 72-73 (-1),,"GOOD FT by THOMAS,LARRY",2
06:31,"MISS FT by THOMAS,LARRY",,,,,,,"MISS FT by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by HOPKINS, JAKE",,,"REBOUND DEF by HOPKINS, JAKE",2
06:18,,,,,"MISS JUMPER by MCCARTHY, MATT",,,"MISS JUMPER by MCCARTHY, MATT",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
05:57,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
05:54,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
05:54,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
05:39,,,,,"MISS 3PTR by TRACY, TRAVIS",,,"MISS 3PTR by TRACY, TRAVIS",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
05:33,"TURNOVER  by WHITE,BLAISE",,,,,,,"TURNOVER  by WHITE,BLAISE",2
05:32,,,,,"STEAL  by HOPKINS, JAKE",,,"STEAL  by HOPKINS, JAKE",2
05:24,,72,,75 (+3),"GOOD JUMPER by RICHARDSON, ZEB(in the paint)",GC 72-75 (-3),,"GOOD JUMPER by RICHARDSON, ZEB(in the paint)",2
--,,,,,"ASSIST  by MCCARTHY, MATT",,,"ASSIST  by MCCARTHY, MATT",2
05:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:09,"MISS LAYUP by RICHARDS,ZAC",,,,,,,"MISS LAYUP by RICHARDS,ZAC",2
05:09,,,,,"BLOCK  by PITTMAN, JOSH",,,"BLOCK  by PITTMAN, JOSH",2
--,,,,,"REBOUND DEF by PITTMAN, JOSH",,,"REBOUND DEF by PITTMAN, JOSH",2
05:02,,,,,"MISS LAYUP by PITTMAN, JOSH",,,"MISS LAYUP by PITTMAN, JOSH",2
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",2
04:50,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
04:50,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
04:48,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",2
04:47,,,,,"STEAL  by RICHARDSON, ZEB",,,"STEAL  by RICHARDSON, ZEB",2
04:27,,72,,78 (+6),"GOOD 3PTR by PITTMAN, JOSH",GC 72-78 (-6),,"GOOD 3PTR by PITTMAN, JOSH",2
--,,,,,"ASSIST  by HOPKINS, JAKE",,,"ASSIST  by HOPKINS, JAKE",2
04:00,"GOOD JUMPER by THOMAS,LARRY",74,,78 (+4),,BSC 74-78 (-4),,"GOOD JUMPER by THOMAS,LARRY",2
03:41,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",2
03:33,,74,,80 (+6),"GOOD JUMPER by MCCARTHY, MATT",GC 74-80 (-6),,"GOOD JUMPER by MCCARTHY, MATT",2
03:02,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",76,,80 (+4),,BSC 76-80 (-4),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by KEGARISE,KEVIN",,,,,,,"ASSIST  by KEGARISE,KEVIN",2
02:43,,76,,83 (+7),"GOOD 3PTR by MCCARTHY, MATT",GC 76-83 (-7),,"GOOD 3PTR by MCCARTHY, MATT",2
--,,,,,"ASSIST  by HOPKINS, JAKE",,,"ASSIST  by HOPKINS, JAKE",2
02:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
02:33,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
02:33,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
02:33,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
02:33,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
02:21,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",2
--,,,,,"REBOUND DEF by RICHARDSON, ZEB",,,"REBOUND DEF by RICHARDSON, ZEB",2
02:11,,,,,"TURNOVER  by RICHARDSON, ZEB",,,"TURNOVER  by RICHARDSON, ZEB",2
02:09,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
02:06,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,,,,,"REBOUND DEF by RICHARDSON, ZEB",,,"REBOUND DEF by RICHARDSON, ZEB",2
01:59,,,,,"TURNOVER  by MCCARTHY, MATT",,,"TURNOVER  by MCCARTHY, MATT",2
01:58,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",2
01:56,,,,,"FOUL  by MCCARTHY, MATT",,,"FOUL  by MCCARTHY, MATT",2
01:53,,,,,"FOUL  by PITTMAN, JOSH",,,"FOUL  by PITTMAN, JOSH",2
01:53,"GOOD FT by WHITE,BLAISE",77,,83 (+6),,BSC 77-83 (-6),,"GOOD FT by WHITE,BLAISE",2
01:53,"GOOD FT by WHITE,BLAISE",78,,83 (+5),,BSC 78-83 (-5),,"GOOD FT by WHITE,BLAISE",2
01:53,,,,,"SUB IN by HINTON, JARRED",,,"SUB IN by HINTON, JARRED",2
01:53,,,,,"SUB OUT by TRACY, TRAVIS",,,"SUB OUT by TRACY, TRAVIS",2
01:19,,78,,86 (+8),"GOOD 3PTR by PITTMAN, JOSH",GC 78-86 (-8),,"GOOD 3PTR by PITTMAN, JOSH",2
01:06,"GOOD LAYUP by MARSCHNER,BRENDAN(in the paint)",80,,86 (+6),,BSC 80-86 (-6),,"GOOD LAYUP by MARSCHNER,BRENDAN(in the paint)",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
00:57,"FOUL  by MARSCHNER,BRENDAN",,,,,,,"FOUL  by MARSCHNER,BRENDAN",2
