Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,WESLEY,Game Score,Team Indicator,Play,Period
15:45,,39 (+6),,33,"GOOD LAYUP by REYNOLDS,PAUL(fastbreak)(in the paint)",WESLEY 39-33 (+6),,"GOOD LAYUP by REYNOLDS,PAUL(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by LENNON,WAYNE",,,"ASSIST  by LENNON,WAYNE",2
15:33,"TURNOVER  by RICHARDS,ZAC",,,,,,,"TURNOVER  by RICHARDS,ZAC",2
15:33,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
15:33,"SUB IN by WARRICK,JOHN",,,,,,,"SUB IN by WARRICK,JOHN",2
15:33,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",2
15:33,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
15:33,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
15:33,"SUB IN by WELCH,ROSS",,,,,,,"SUB IN by WELCH,ROSS",2
15:33,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
15:33,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",2
15:33,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",2
15:33,"SUB OUT by KEGARISE,KEVIN",,,,,,,"SUB OUT by KEGARISE,KEVIN",2
15:33,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
15:33,,,,,"SUB IN by TILGHMAN,AJ",,,"SUB IN by TILGHMAN,AJ",2
15:33,,,,,"SUB IN by CARTER,RASHEED",,,"SUB IN by CARTER,RASHEED",2
15:33,,,,,"SUB OUT by SELBY,ERIC",,,"SUB OUT by SELBY,ERIC",2
15:33,,,,,"SUB OUT by LENNON,WAYNE",,,"SUB OUT by LENNON,WAYNE",2
15:07,,39 (+4),,35,"GOOD JUMPER by REYNOLDS,PAUL(in the paint)",WESLEY 39-35 (+4),,"GOOD JUMPER by REYNOLDS,PAUL(in the paint)",2
14:52,"TURNOVER  by WARRICK,JOHN",,,,,,,"TURNOVER  by WARRICK,JOHN",2
14:46,,39 (+2),,37,"GOOD LAYUP by REYNOLDS,PAUL(fastbreak)(in the paint)",WESLEY 39-37 (+2),,"GOOD LAYUP by REYNOLDS,PAUL(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by HAGAN,JACQUARD",,,"ASSIST  by HAGAN,JACQUARD",2
14:36,"GOOD LAYUP by FREEMAN,SCHYLAR(fastbreak)(in the paint)",41 (+4),,37,,BSC 41-37 (+4),,"GOOD LAYUP by FREEMAN,SCHYLAR(fastbreak)(in the paint)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
14:04,,,,,"MISS JUMPER by REYNOLDS,PAUL",,,"MISS JUMPER by REYNOLDS,PAUL",2
--,,,,,"REBOUND OFF by TILGHMAN,AJ",,,"REBOUND OFF by TILGHMAN,AJ",2
13:56,,41 (+2),,39,"GOOD LAYUP by CARTER,RASHEED(in the paint)",WESLEY 41-39 (+2),,"GOOD LAYUP by CARTER,RASHEED(in the paint)",2
13:22,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",43 (+4),,39,,BSC 43-39 (+4),,"GOOD LAYUP by FREEMAN,SCHYLAR(in the paint)",2
12:49,,43 (+2),,41,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",WESLEY 43-41 (+2),,"GOOD LAYUP by REYNOLDS,PAUL(in the paint)",2
12:48,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
12:48,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
12:48,SUB IN by 0,,,,,,,SUB IN by 0,2
12:48,"SUB OUT by WARRICK,JOHN",,,,,,,"SUB OUT by WARRICK,JOHN",2
12:48,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
12:48,,,,,"SUB IN by LENNON,WAYNE",,,"SUB IN by LENNON,WAYNE",2
12:48,,,,,"SUB IN by SELBY,ERIC",,,"SUB IN by SELBY,ERIC",2
12:48,,,,,"SUB OUT by REYNOLDS,PAUL",,,"SUB OUT by REYNOLDS,PAUL",2
12:48,,,,,"SUB OUT by TILGHMAN,AJ",,,"SUB OUT by TILGHMAN,AJ",2
12:45,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
12:44,,,,,"STEAL  by HAGAN,JACQUARD",,,"STEAL  by HAGAN,JACQUARD",2
12:08,,,,,"MISS 3PTR by CARTER,RASHEED",,,"MISS 3PTR by CARTER,RASHEED",2
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",2
11:45,"MISS 3PTR by OLAFSSON,ODDUR",,,,,,,"MISS 3PTR by OLAFSSON,ODDUR",2
--,"REBOUND OFF by HENRY,COLIN",,,,,,,"REBOUND OFF by HENRY,COLIN",2
11:40,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",2
--,,,,,"REBOUND DEF by LENNON,WAYNE",,,"REBOUND DEF by LENNON,WAYNE",2
11:27,,,,,"TURNOVER  by SELBY,ERIC",,,"TURNOVER  by SELBY,ERIC",2
11:25,"TURNOVER  by WELCH,ROSS",,,,,,,"TURNOVER  by WELCH,ROSS",2
11:16,,,,,"MISS JUMPER by HAGAN,JACQUARD",,,"MISS JUMPER by HAGAN,JACQUARD",2
11:16,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:16,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",2
11:16,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",2
11:16,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",2
11:16,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
11:16,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",2
11:16,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
11:16,"SUB OUT by WELCH,ROSS",,,,,,,"SUB OUT by WELCH,ROSS",2
11:16,SUB OUT by 0,,,,,,,SUB OUT by 0,2
11:11,,,,,"TURNOVER  by LENNON,WAYNE",,,"TURNOVER  by LENNON,WAYNE",2
11:11,,,,,"SUB IN by REYNOLDS,PAUL",,,"SUB IN by REYNOLDS,PAUL",2
11:11,,,,,"SUB OUT by LENNON,WAYNE",,,"SUB OUT by LENNON,WAYNE",2
10:28,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,"REBOUND DEF by SELBY,ERIC",,,"REBOUND DEF by SELBY,ERIC",2
10:21,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
10:21,,,,,"MISS FT by SELBY,ERIC",,,"MISS FT by SELBY,ERIC",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
10:21,,,,,"MISS FT by SELBY,ERIC",,,"MISS FT by SELBY,ERIC",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
10:21,,,,,"SUB IN by PETTIFORD,QUINCY",,,"SUB IN by PETTIFORD,QUINCY",2
10:21,,,,,"SUB OUT by REYNOLDS,PAUL",,,"SUB OUT by REYNOLDS,PAUL",2
09:50,"GOOD LAYUP by THOMAS,LARRY(in the paint)",45 (+4),,41,,BSC 45-41 (+4),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
09:25,,,,,"SUB IN by REYNOLDS,PAUL",,,"SUB IN by REYNOLDS,PAUL",2
09:25,,,,,"SUB IN by TILGHMAN,AJ",,,"SUB IN by TILGHMAN,AJ",2
09:25,,,,,"SUB OUT by YOUNGBLOOD,BRANDIN",,,"SUB OUT by YOUNGBLOOD,BRANDIN",2
09:25,,,,,"SUB OUT by SELBY,ERIC",,,"SUB OUT by SELBY,ERIC",2
09:10,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
08:51,"MISS LAYUP by WHITE,BLAISE",,,,,,,"MISS LAYUP by WHITE,BLAISE",2
08:51,,,,,"BLOCK  by CARTER,RASHEED",,,"BLOCK  by CARTER,RASHEED",2
--,,,,,"REBOUND DEF by REYNOLDS,PAUL",,,"REBOUND DEF by REYNOLDS,PAUL",2
08:40,,,,,"MISS 3PTR by REYNOLDS,PAUL",,,"MISS 3PTR by REYNOLDS,PAUL",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
08:29,"MISS 3PTR by WHITE,BLAISE",,,,,,,"MISS 3PTR by WHITE,BLAISE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:26,,,,,"SUB IN by YOUNGBLOOD,BRANDIN",,,"SUB IN by YOUNGBLOOD,BRANDIN",2
08:26,,,,,"SUB OUT by CARTER,RASHEED",,,"SUB OUT by CARTER,RASHEED",2
07:57,,,,,"TURNOVER  by REYNOLDS,PAUL",,,"TURNOVER  by REYNOLDS,PAUL",2
07:57,,,,,"SUB IN by BOWERS,ANTHONY",,,"SUB IN by BOWERS,ANTHONY",2
07:57,,,,,"SUB OUT by TILGHMAN,AJ",,,"SUB OUT by TILGHMAN,AJ",2
07:30,,,,,"FOUL  by REYNOLDS,PAUL",,,"FOUL  by REYNOLDS,PAUL",2
07:30,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
07:30,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",2
--,,,,,"REBOUND DEF by YOUNGBLOOD,BRANDIN",,,"REBOUND DEF by YOUNGBLOOD,BRANDIN",2
07:28,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",2
07:28,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",2
07:28,,,,,"SUB IN by LENNON,WAYNE",,,"SUB IN by LENNON,WAYNE",2
07:28,,,,,"SUB OUT by PETTIFORD,QUINCY",,,"SUB OUT by PETTIFORD,QUINCY",2
07:24,"FOUL  by WHITE,BLAISE",,,,,,,"FOUL  by WHITE,BLAISE",2
07:05,,,,,"TURNOVER  by BOWERS,ANTHONY",,,"TURNOVER  by BOWERS,ANTHONY",2
07:02,,,,,"FOUL  by BOWERS,ANTHONY",,,"FOUL  by BOWERS,ANTHONY",2
07:02,,,,,"SUB IN by SELBY,ERIC",,,"SUB IN by SELBY,ERIC",2
07:02,,,,,"SUB OUT by BOWERS,ANTHONY",,,"SUB OUT by BOWERS,ANTHONY",2
06:45,"GOOD JUMPER by HENRY,COLIN",47 (+6),,41,,BSC 47-41 (+6),,"GOOD JUMPER by HENRY,COLIN",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
06:21,,,,,"MISS JUMPER by SELBY,ERIC",,,"MISS JUMPER by SELBY,ERIC",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
06:03,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",2
--,,,,,"REBOUND DEF by HAGAN,JACQUARD",,,"REBOUND DEF by HAGAN,JACQUARD",2
05:55,,47 (+3),,44,"GOOD 3PTR by HAGAN,JACQUARD(fastbreak)",WESLEY 47-44 (+3),,"GOOD 3PTR by HAGAN,JACQUARD(fastbreak)",2
05:48,"GOOD LAYUP by KEGARISE,KEVIN(fastbreak)(in the paint)",49 (+5),,44,,BSC 49-44 (+5),,"GOOD LAYUP by KEGARISE,KEVIN(fastbreak)(in the paint)",2
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",2
05:28,,,,,"MISS JUMPER by YOUNGBLOOD,BRANDIN",,,"MISS JUMPER by YOUNGBLOOD,BRANDIN",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
05:12,"MISS 3PTR by HOLLAND,JASON",,,,,,,"MISS 3PTR by HOLLAND,JASON",2
--,,,,,"REBOUND DEF by REYNOLDS,PAUL",,,"REBOUND DEF by REYNOLDS,PAUL",2
05:01,,49 (+3),,46,"GOOD JUMPER by HAGAN,JACQUARD(in the paint)",WESLEY 49-46 (+3),,"GOOD JUMPER by HAGAN,JACQUARD(in the paint)",2
05:01,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
05:01,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",2
05:01,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",2
05:01,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",2
05:01,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",2
05:01,,,,,"SUB IN by GUIDRY,NICK",,,"SUB IN by GUIDRY,NICK",2
05:01,,,,,"SUB OUT by LENNON,WAYNE",,,"SUB OUT by LENNON,WAYNE",2
04:49,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",2
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",2
04:48,,,,,"FOUL  by SELBY,ERIC",,,"FOUL  by SELBY,ERIC",2
04:48,"GOOD FT by RICHARDS,ZAC",50 (+4),,46,,BSC 50-46 (+4),,"GOOD FT by RICHARDS,ZAC",2
04:48,"MISS FT by RICHARDS,ZAC",,,,,,,"MISS FT by RICHARDS,ZAC",2
--,,,,,"REBOUND DEF by REYNOLDS,PAUL",,,"REBOUND DEF by REYNOLDS,PAUL",2
04:41,,,,,"SUB IN by LANGAN,DAVID",,,"SUB IN by LANGAN,DAVID",2
04:41,,,,,"SUB OUT by YOUNGBLOOD,BRANDIN",,,"SUB OUT by YOUNGBLOOD,BRANDIN",2
04:33,,,,,"MISS 3PTR by HAGAN,JACQUARD",,,"MISS 3PTR by HAGAN,JACQUARD",2
--,"REBOUND DEF by WHITE,BLAISE",,,,,,,"REBOUND DEF by WHITE,BLAISE",2
03:56,"MISS 3PTR by RICHARDS,ZAC",,,,,,,"MISS 3PTR by RICHARDS,ZAC",2
--,"REBOUND OFF by FREEMAN,SCHYLAR",,,,,,,"REBOUND OFF by FREEMAN,SCHYLAR",2
03:55,"GOOD TIPIN by FREEMAN,SCHYLAR(in the paint)",52 (+6),,46,,BSC 52-46 (+6),,"GOOD TIPIN by FREEMAN,SCHYLAR(in the paint)",2
03:55,,,,,"FOUL  by SELBY,ERIC",,,"FOUL  by SELBY,ERIC",2
03:55,"MISS FT by FREEMAN,SCHYLAR",,,,,,,"MISS FT by FREEMAN,SCHYLAR",2
--,,,,,"REBOUND DEF by REYNOLDS,PAUL",,,"REBOUND DEF by REYNOLDS,PAUL",2
03:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:32,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",2
03:32,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",2
03:32,,,,,"SUB IN by CARTER,RASHEED",,,"SUB IN by CARTER,RASHEED",2
03:32,,,,,"SUB OUT by SELBY,ERIC",,,"SUB OUT by SELBY,ERIC",2
03:22,,,,,"MISS JUMPER by REYNOLDS,PAUL",,,"MISS JUMPER by REYNOLDS,PAUL",2
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",2
02:48,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",54 (+8),,46,,BSC 54-46 (+8),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
--,"ASSIST  by HENRY,COLIN",,,,,,,"ASSIST  by HENRY,COLIN",2
02:31,,54 (+5),,49,"GOOD 3PTR by GUIDRY,NICK",WESLEY 54-49 (+5),,"GOOD 3PTR by GUIDRY,NICK",2
--,,,,,"ASSIST  by LANGAN,DAVID",,,"ASSIST  by LANGAN,DAVID",2
02:06,"GOOD 3PTR by KEGARISE,KEVIN",57 (+8),,49,,BSC 57-49 (+8),,"GOOD 3PTR by KEGARISE,KEVIN",2
--,"ASSIST  by RICHARDS,ZAC",,,,,,,"ASSIST  by RICHARDS,ZAC",2
01:53,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",2
01:53,,,,,"MISS FT by HAGAN,JACQUARD",,,"MISS FT by HAGAN,JACQUARD",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
01:53,,57 (+7),,50,"GOOD FT by HAGAN,JACQUARD",WESLEY 57-50 (+7),,"GOOD FT by HAGAN,JACQUARD",2
01:30,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:30,,,,,"SUB IN by YOUNGBLOOD,BRANDIN",,,"SUB IN by YOUNGBLOOD,BRANDIN",2
01:30,,,,,"SUB OUT by LANGAN,DAVID",,,"SUB OUT by LANGAN,DAVID",2
01:28,,,,,"FOUL  by REYNOLDS,PAUL",,,"FOUL  by REYNOLDS,PAUL",2
01:28,"GOOD FT by WHITE,BLAISE",58 (+8),,50,,BSC 58-50 (+8),,"GOOD FT by WHITE,BLAISE",2
01:28,"GOOD FT by WHITE,BLAISE",59 (+9),,50,,BSC 59-50 (+9),,"GOOD FT by WHITE,BLAISE",2
01:11,,59 (+7),,52,"GOOD JUMPER by REYNOLDS,PAUL(in the paint)",WESLEY 59-52 (+7),,"GOOD JUMPER by REYNOLDS,PAUL(in the paint)",2
01:02,,,,,"FOUL  by HAGAN,JACQUARD",,,"FOUL  by HAGAN,JACQUARD",2
01:02,"GOOD FT by WHITE,BLAISE",60 (+8),,52,,BSC 60-52 (+8),,"GOOD FT by WHITE,BLAISE",2
01:02,"GOOD FT by WHITE,BLAISE",61 (+9),,52,,BSC 61-52 (+9),,"GOOD FT by WHITE,BLAISE",2
00:47,,61 (+6),,55,"GOOD 3PTR by GUIDRY,NICK",WESLEY 61-55 (+6),,"GOOD 3PTR by GUIDRY,NICK",2
--,,,,,"ASSIST  by HAGAN,JACQUARD",,,"ASSIST  by HAGAN,JACQUARD",2
00:36,,,,,"SUB IN by LENNON,WAYNE",,,"SUB IN by LENNON,WAYNE",2
00:36,,,,,"SUB OUT by REYNOLDS,PAUL",,,"SUB OUT by REYNOLDS,PAUL",2
00:33,,,,,"FOUL  by HAGAN,JACQUARD",,,"FOUL  by HAGAN,JACQUARD",2
00:36,"GOOD FT by KEGARISE,KEVIN",62 (+7),,55,,BSC 62-55 (+7),,"GOOD FT by KEGARISE,KEVIN",2
00:36,"GOOD FT by KEGARISE,KEVIN",63 (+8),,55,,BSC 63-55 (+8),,"GOOD FT by KEGARISE,KEVIN",2
00:19,,,,,"MISS 3PTR by GUIDRY,NICK",,,"MISS 3PTR by GUIDRY,NICK",2
--,,,,,"REBOUND OFF by LENNON,WAYNE",,,"REBOUND OFF by LENNON,WAYNE",2
00:18,,,,,"MISS JUMPER by LENNON,WAYNE",,,"MISS JUMPER by LENNON,WAYNE",2
--,,,,,"REBOUND OFF by YOUNGBLOOD,BRANDIN",,,"REBOUND OFF by YOUNGBLOOD,BRANDIN",2
00:18,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",2
00:18,,63 (+7),,56,"GOOD FT by YOUNGBLOOD,BRANDIN",WESLEY 63-56 (+7),,"GOOD FT by YOUNGBLOOD,BRANDIN",2
00:18,,63 (+6),,57,"GOOD FT by YOUNGBLOOD,BRANDIN",WESLEY 63-57 (+6),,"GOOD FT by YOUNGBLOOD,BRANDIN",2
00:16,,,,,"FOUL  by GUIDRY,NICK",,,"FOUL  by GUIDRY,NICK",2
00:16,"GOOD FT by KEGARISE,KEVIN",64 (+7),,57,,BSC 64-57 (+7),,"GOOD FT by KEGARISE,KEVIN",2
00:16,"GOOD FT by KEGARISE,KEVIN",65 (+8),,57,,BSC 65-57 (+8),,"GOOD FT by KEGARISE,KEVIN",2
00:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
00:07,,,,,"MISS 3PTR by GUIDRY,NICK",,,"MISS 3PTR by GUIDRY,NICK",2
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",2
