Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,EMORY,Game Score,Team Indicator,Play,Period
13:56,,,,,"SUB IN by FLORIN, MICHAEL",,,"SUB IN by FLORIN, MICHAEL",1
13:56,,,,,"SUB OUT by OH, NASH",,,"SUB OUT by OH, NASH",1
13:56,,,,,"SUB OUT by RAO, DAVIS",,,"SUB OUT by RAO, DAVIS",1
13:39,,,,,"MISS LAYUP by DAVIS, JAKE",,,"MISS LAYUP by DAVIS, JAKE",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:30,,,,,"MISS 3PTR by GREVEN, ALEX",,,"MISS 3PTR by GREVEN, ALEX",1
--,,,,,"REBOUND OFF by DAVIS, JAKE",,,"REBOUND OFF by DAVIS, JAKE",1
13:24,"FOUL  by THOMAS,LARRY",,,,,,,"FOUL  by THOMAS,LARRY",1
13:24,,18 (+6),,12,"GOOD FT by GREVEN, ALEX",EMORY 18-12 (+6),,"GOOD FT by GREVEN, ALEX",1
13:24,,,,,"MISS FT by GREVEN, ALEX",,,"MISS FT by GREVEN, ALEX",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
13:24,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
13:24,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
13:24,,,,,"SUB IN by FOSTER, ALEX",,,"SUB IN by FOSTER, ALEX",1
13:24,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",1
12:58,"GOOD 3PTR by HENRY,COLIN",21 (+9),,12,,BSC 21-12 (+9),,"GOOD 3PTR by HENRY,COLIN",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
12:53,,,,,"TURNOVER  by FOSTER, ALEX",,,"TURNOVER  by FOSTER, ALEX",1
12:53,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
12:53,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
12:53,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",1
12:53,,,,,"SUB OUT by GREVEN, ALEX",,,"SUB OUT by GREVEN, ALEX",1
12:32,"MISS LAYUP by MARSCHNER,BRENDAN",,,,,,,"MISS LAYUP by MARSCHNER,BRENDAN",1
--,,,,,"REBOUND DEF by DAVIS, JAKE",,,"REBOUND DEF by DAVIS, JAKE",1
12:12,,21 (+6),,15,"GOOD 3PTR by FLORIN, MICHAEL",EMORY 21-15 (+6),,"GOOD 3PTR by FLORIN, MICHAEL",1
--,,,,,"ASSIST  by SCHATTIE, JOSH",,,"ASSIST  by SCHATTIE, JOSH",1
11:54,"TURNOVER  by MARSCHNER,BRENDAN",,,,,,,"TURNOVER  by MARSCHNER,BRENDAN",1
11:53,,,,,"STEAL  by FOSTER, ALEX",,,"STEAL  by FOSTER, ALEX",1
11:50,,,,,"MISS LAYUP by FOSTER, ALEX",,,"MISS LAYUP by FOSTER, ALEX",1
--,"REBOUND DEF by MARSCHNER,BRENDAN",,,,,,,"REBOUND DEF by MARSCHNER,BRENDAN",1
11:48,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",1
11:48,,,,,"SUB IN by DAVIS, JAKE",,,"SUB IN by DAVIS, JAKE",1
11:48,,,,,"SUB IN by FOSTER, ALEX",,,"SUB IN by FOSTER, ALEX",1
11:48,,,,,"SUB IN by MOORE, MCPHERSON",,,"SUB IN by MOORE, MCPHERSON",1
11:48,,,,,"SUB IN by FLORIN, MICHAEL",,,"SUB IN by FLORIN, MICHAEL",1
11:48,,,,,"SUB IN by CARLETON, OLLIE",,,"SUB IN by CARLETON, OLLIE",1
11:48,,,,,"SUB IN by DAVIS, MAX",,,"SUB IN by DAVIS, MAX",1
11:48,,,,,"SUB IN by FRIEDBERG, MICHAEL",,,"SUB IN by FRIEDBERG, MICHAEL",1
11:48,,,,,"SUB OUT by CARLETON, OLLIE",,,"SUB OUT by CARLETON, OLLIE",1
11:48,,,,,"SUB OUT by DAVIS, MAX",,,"SUB OUT by DAVIS, MAX",1
11:48,,,,,"SUB OUT by FRIEDBERG, MICHAEL",,,"SUB OUT by FRIEDBERG, MICHAEL",1
11:48,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",1
11:48,,,,,"SUB OUT by DAVIS, JAKE",,,"SUB OUT by DAVIS, JAKE",1
11:48,,,,,"SUB OUT by FOSTER, ALEX",,,"SUB OUT by FOSTER, ALEX",1
11:48,,,,,"SUB OUT by MOORE, MCPHERSON",,,"SUB OUT by MOORE, MCPHERSON",1
11:48,,,,,"SUB OUT by FLORIN, MICHAEL",,,"SUB OUT by FLORIN, MICHAEL",1
11:28,"GOOD 3PTR by WHITE,BLAISE",24 (+9),,15,,BSC 24-15 (+9),,"GOOD 3PTR by WHITE,BLAISE",1
--,"ASSIST  by THOMAS,LARRY",,,,,,,"ASSIST  by THOMAS,LARRY",1
11:28,,24 (+6),,18,"GOOD 3PTR by MOORE, MCPHERSON",EMORY 24-18 (+6),,"GOOD 3PTR by MOORE, MCPHERSON",1
11:28,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
11:28,"SUB IN by KEGARISE,KEVIN",,,,,,,"SUB IN by KEGARISE,KEVIN",1
11:28,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
11:28,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
10:37,"MISS JUMPER by RICHARDS,ZAC",,,,,,,"MISS JUMPER by RICHARDS,ZAC",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
10:09,"GOOD 3PTR by WHITE,BLAISE",27 (+9),,18,,BSC 27-18 (+9),,"GOOD 3PTR by WHITE,BLAISE",1
09:49,,,,,"TURNOVER  by MOORE, MCPHERSON",,,"TURNOVER  by MOORE, MCPHERSON",1
09:48,"STEAL  by HENRY,COLIN",,,,,,,"STEAL  by HENRY,COLIN",1
09:45,,,,,"FOUL  by FOSTER, ALEX",,,"FOUL  by FOSTER, ALEX",1
09:45,"MISS FT by HENRY,COLIN",,,,,,,"MISS FT by HENRY,COLIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:45,"GOOD FT by HENRY,COLIN",28 (+10),,18,,BSC 28-18 (+10),,"GOOD FT by HENRY,COLIN",1
09:45,,,,,"SUB IN by OH, NASH",,,"SUB IN by OH, NASH",1
09:45,,,,,"SUB IN by FRIEDBERG, MICHAEL",,,"SUB IN by FRIEDBERG, MICHAEL",1
09:45,,,,,"SUB IN by GREVEN, ALEX",,,"SUB IN by GREVEN, ALEX",1
09:45,,,,,"SUB OUT by FOSTER, ALEX",,,"SUB OUT by FOSTER, ALEX",1
09:45,,,,,"SUB OUT by MOORE, MCPHERSON",,,"SUB OUT by MOORE, MCPHERSON",1
09:45,,,,,"SUB OUT by FLORIN, MICHAEL",,,"SUB OUT by FLORIN, MICHAEL",1
09:35,"SUB IN by HOLLAND,JASON",,,,,,,"SUB IN by HOLLAND,JASON",1
09:35,"SUB OUT by WHITE,BLAISE",,,,,,,"SUB OUT by WHITE,BLAISE",1
09:30,,28 (+7),,21,"GOOD 3PTR by DAVIS, JAKE",EMORY 28-21 (+7),,"GOOD 3PTR by DAVIS, JAKE",1
--,,,,,"ASSIST  by SCHATTIE, JOSH",,,"ASSIST  by SCHATTIE, JOSH",1
09:09,"MISS 3PTR by THOMAS,LARRY",,,,,,,"MISS 3PTR by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by OH, NASH",,,"REBOUND DEF by OH, NASH",1
09:09,"FOUL  by HOLLAND,JASON",,,,,,,"FOUL  by HOLLAND,JASON",1
09:09,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
09:09,"SUB OUT by HENRY,COLIN",,,,,,,"SUB OUT by HENRY,COLIN",1
09:09,,,,,"SUB IN by FLORIN, MICHAEL",,,"SUB IN by FLORIN, MICHAEL",1
09:09,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",1
08:57,,,,,"MISS 3PTR by OH, NASH",,,"MISS 3PTR by OH, NASH",1
--,"REBOUND DEF by RICHARDS,ZAC",,,,,,,"REBOUND DEF by RICHARDS,ZAC",1
08:38,"GOOD 3PTR by KEGARISE,KEVIN",31 (+10),,21,,BSC 31-21 (+10),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by HOLLAND,JASON",,,,,,,"ASSIST  by HOLLAND,JASON",1
08:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:27,,,,,"SUB IN by MOORE, MCPHERSON",,,"SUB IN by MOORE, MCPHERSON",1
08:27,,,,,"SUB OUT by OH, NASH",,,"SUB OUT by OH, NASH",1
08:13,,,,,"MISS JUMPER by GREVEN, ALEX",,,"MISS JUMPER by GREVEN, ALEX",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
07:45,"MISS LAYUP by FREEMAN,SCHYLAR",,,,,,,"MISS LAYUP by FREEMAN,SCHYLAR",1
--,"REBOUND OFF by THOMAS,LARRY",,,,,,,"REBOUND OFF by THOMAS,LARRY",1
07:41,"GOOD TIPIN by THOMAS,LARRY(in the paint)",33 (+12),,21,,BSC 33-21 (+12),,"GOOD TIPIN by THOMAS,LARRY(in the paint)",1
07:36,,,,,"MISS LAYUP by MOORE, MCPHERSON",,,"MISS LAYUP by MOORE, MCPHERSON",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
07:09,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
07:08,,,,,"STEAL  by FLORIN, MICHAEL",,,"STEAL  by FLORIN, MICHAEL",1
06:59,,,,,"MISS JUMPER by FRIEDBERG, MICHAEL",,,"MISS JUMPER by FRIEDBERG, MICHAEL",1
06:59,"BLOCK  by FREEMAN,SCHYLAR",,,,,,,"BLOCK  by FREEMAN,SCHYLAR",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
06:59,"SUB IN by HENRY,COLIN",,,,,,,"SUB IN by HENRY,COLIN",1
06:59,"SUB IN by WHITE,BLAISE",,,,,,,"SUB IN by WHITE,BLAISE",1
06:59,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
06:59,"SUB OUT by HOLLAND,JASON",,,,,,,"SUB OUT by HOLLAND,JASON",1
06:51,"GOOD 3PTR by KEGARISE,KEVIN",36 (+15),,21,,BSC 36-21 (+15),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
06:31,,,,,"MISS JUMPER by FRIEDBERG, MICHAEL",,,"MISS JUMPER by FRIEDBERG, MICHAEL",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
06:10,,,,,"SUB IN by SCHATTIE, JOSH",,,"SUB IN by SCHATTIE, JOSH",1
06:10,,,,,"SUB OUT by MOORE, MCPHERSON",,,"SUB OUT by MOORE, MCPHERSON",1
06:09,"TURNOVER  by KEGARISE,KEVIN",,,,,,,"TURNOVER  by KEGARISE,KEVIN",1
05:45,,,,,"MISS JUMPER by DAVIS, JAKE",,,"MISS JUMPER by DAVIS, JAKE",1
--,"REBOUND DEF by THOMAS,LARRY",,,,,,,"REBOUND DEF by THOMAS,LARRY",1
05:36,"GOOD 3PTR by KEGARISE,KEVIN",39 (+18),,21,,BSC 39-21 (+18),,"GOOD 3PTR by KEGARISE,KEVIN",1
--,"ASSIST  by WHITE,BLAISE",,,,,,,"ASSIST  by WHITE,BLAISE",1
05:22,,39 (+16),,23,"GOOD JUMPER by DAVIS, JAKE(in the paint)",EMORY 39-23 (+16),,"GOOD JUMPER by DAVIS, JAKE(in the paint)",1
--,,,,,"ASSIST  by FLORIN, MICHAEL",,,"ASSIST  by FLORIN, MICHAEL",1
05:04,"MISS LAYUP by THOMAS,LARRY",,,,,,,"MISS LAYUP by THOMAS,LARRY",1
--,,,,,"REBOUND DEF by FRIEDBERG, MICHAEL",,,"REBOUND DEF by FRIEDBERG, MICHAEL",1
04:59,,,,,"TURNOVER  by FLORIN, MICHAEL",,,"TURNOVER  by FLORIN, MICHAEL",1
04:58,"STEAL  by WHITE,BLAISE",,,,,,,"STEAL  by WHITE,BLAISE",1
04:51,"MISS LAYUP by HENRY,COLIN",,,,,,,"MISS LAYUP by HENRY,COLIN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
04:50,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
04:50,"SUB IN by FREEMAN,SCHYLAR",,,,,,,"SUB IN by FREEMAN,SCHYLAR",1
04:50,"SUB OUT by RICHARDS,ZAC",,,,,,,"SUB OUT by RICHARDS,ZAC",1
04:50,,,,,"SUB IN by FOSTER, ALEX",,,"SUB IN by FOSTER, ALEX",1
04:50,,,,,"SUB OUT by DAVIS, JAKE",,,"SUB OUT by DAVIS, JAKE",1
04:45,"GOOD LAYUP by THOMAS,LARRY(in the paint)",41 (+18),,23,,BSC 41-23 (+18),,"GOOD LAYUP by THOMAS,LARRY(in the paint)",1
04:35,,,,,"TURNOVER  by GREVEN, ALEX",,,"TURNOVER  by GREVEN, ALEX",1
04:35,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
04:34,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
04:22,,,,,"TURNOVER  by SCHATTIE, JOSH",,,"TURNOVER  by SCHATTIE, JOSH",1
04:21,"STEAL  by THOMAS,LARRY",,,,,,,"STEAL  by THOMAS,LARRY",1
04:12,"TURNOVER  by FREEMAN,SCHYLAR",,,,,,,"TURNOVER  by FREEMAN,SCHYLAR",1
03:57,,41 (+16),,25,"GOOD JUMPER by GREVEN, ALEX(in the paint)",EMORY 41-25 (+16),,"GOOD JUMPER by GREVEN, ALEX(in the paint)",1
03:32,"GOOD JUMPER by THOMAS,LARRY",43 (+18),,25,,BSC 43-25 (+18),,"GOOD JUMPER by THOMAS,LARRY",1
03:21,,,,,"MISS 3PTR by FRIEDBERG, MICHAEL",,,"MISS 3PTR by FRIEDBERG, MICHAEL",1
--,,,,,"REBOUND OFF by SCHATTIE, JOSH",,,"REBOUND OFF by SCHATTIE, JOSH",1
03:15,,,,,"MISS 3PTR by FLORIN, MICHAEL",,,"MISS 3PTR by FLORIN, MICHAEL",1
--,"REBOUND DEF by FREEMAN,SCHYLAR",,,,,,,"REBOUND DEF by FREEMAN,SCHYLAR",1
03:03,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
03:03,"SUB IN by MARSCHNER,BRENDAN",,,,,,,"SUB IN by MARSCHNER,BRENDAN",1
03:03,"SUB IN by RICHARDS,ZAC",,,,,,,"SUB IN by RICHARDS,ZAC",1
03:03,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
03:03,"SUB OUT by FREEMAN,SCHYLAR",,,,,,,"SUB OUT by FREEMAN,SCHYLAR",1
03:03,,,,,"SUB IN by DAVIS, JAKE",,,"SUB IN by DAVIS, JAKE",1
03:03,,,,,"SUB IN by MOORE, MCPHERSON",,,"SUB IN by MOORE, MCPHERSON",1
03:03,,,,,"SUB OUT by SCHATTIE, JOSH",,,"SUB OUT by SCHATTIE, JOSH",1
03:03,,,,,"SUB OUT by FRIEDBERG, MICHAEL",,,"SUB OUT by FRIEDBERG, MICHAEL",1
02:38,"MISS 3PTR by MARSCHNER,BRENDAN",,,,,,,"MISS 3PTR by MARSCHNER,BRENDAN",1
--,"REBOUND OFF by RICHARDS,ZAC",,,,,,,"REBOUND OFF by RICHARDS,ZAC",1
02:35,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
02:10,,43 (+16),,27,"GOOD JUMPER by DAVIS, JAKE",EMORY 43-27 (+16),,"GOOD JUMPER by DAVIS, JAKE",1
01:31,"GOOD 3PTR by KEGARISE,KEVIN",46 (+19),,27,,BSC 46-27 (+19),,"GOOD 3PTR by KEGARISE,KEVIN",1
01:24,,46 (+16),,30,"GOOD 3PTR by GREVEN, ALEX(fastbreak)",EMORY 46-30 (+16),,"GOOD 3PTR by GREVEN, ALEX(fastbreak)",1
--,,,,,"ASSIST  by FLORIN, MICHAEL",,,"ASSIST  by FLORIN, MICHAEL",1
01:01,"MISS 3PTR by KEGARISE,KEVIN",,,,,,,"MISS 3PTR by KEGARISE,KEVIN",1
--,,,,,"REBOUND DEF by MOORE, MCPHERSON",,,"REBOUND DEF by MOORE, MCPHERSON",1
00:52,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
00:52,"SUB OUT by MARSCHNER,BRENDAN",,,,,,,"SUB OUT by MARSCHNER,BRENDAN",1
00:52,,,,,"SUB IN by FRIEDBERG, MICHAEL",,,"SUB IN by FRIEDBERG, MICHAEL",1
00:52,,,,,"SUB OUT by FOSTER, ALEX",,,"SUB OUT by FOSTER, ALEX",1
00:39,,,,,"MISS 3PTR by GREVEN, ALEX",,,"MISS 3PTR by GREVEN, ALEX",1
--,"REBOUND DEF by HENRY,COLIN",,,,,,,"REBOUND DEF by HENRY,COLIN",1
00:10,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
00:10,"TURNOVER  by HENRY,COLIN",,,,,,,"TURNOVER  by HENRY,COLIN",1
00:10,"SUB IN by PLAYER,MATT",,,,,,,"SUB IN by PLAYER,MATT",1
00:10,"SUB OUT by THOMAS,LARRY",,,,,,,"SUB OUT by THOMAS,LARRY",1
00:02,"FOUL  by HENRY,COLIN",,,,,,,"FOUL  by HENRY,COLIN",1
00:02,,46 (+15),,31,"GOOD FT by GREVEN, ALEX",EMORY 46-31 (+15),,"GOOD FT by GREVEN, ALEX",1
00:02,,46 (+14),,32,"GOOD FT by GREVEN, ALEX",EMORY 46-32 (+14),,"GOOD FT by GREVEN, ALEX",1
00:02,"SUB IN by THOMAS,LARRY",,,,,,,"SUB IN by THOMAS,LARRY",1
00:02,"SUB OUT by PLAYER,MATT",,,,,,,"SUB OUT by PLAYER,MATT",1
19:40,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",48 (+16),,32,,BSC 48-32 (+16),,"GOOD LAYUP by RICHARDS,ZAC(in the paint)",2
19:28,,48 (+14),,34,"GOOD JUMPER by DAVIS, JAKE(in the paint)",EMORY 48-34 (+14),,"GOOD JUMPER by DAVIS, JAKE(in the paint)",2
18:54,"GOOD JUMPER by RICHARDS,ZAC",50 (+16),,34,,BSC 50-34 (+16),,"GOOD JUMPER by RICHARDS,ZAC",2
