Time Remaining,WITT,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
12:11,"SUB IN by MARTIN,LANDON",,,,,,,"SUB IN by MARTIN,LANDON",1
12:11,"SUB IN by JOHNSON,JAMES",,,,,,,"SUB IN by JOHNSON,JAMES",1
12:11,"SUB OUT by SLONEKER,CHRIS",,,,,,,"SUB OUT by SLONEKER,CHRIS",1
12:11,"SUB OUT by MORGAN,MICHAEL",,,,,,,"SUB OUT by MORGAN,MICHAEL",1
12:11,"SUB OUT by SEIPEL,CONNOR",,,,,,,"SUB OUT by SEIPEL,CONNOR",1
11:48,,,,,"MISS JUMPER by LOVING,JIBRI",,,"MISS JUMPER by LOVING,JIBRI",1
--,"REBOUND DEF by ROY,CHAD",,,,,,,"REBOUND DEF by ROY,CHAD",1
11:43,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
11:43,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
11:41,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",21 (+6),,15,,WITT 21-15 (-6),,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",1
--,"ASSIST  by ROY,CHAD",,,,,,,"ASSIST  by ROY,CHAD",1
11:34,,,,,"MISS 3PTR by BUTLER,TERENCE",,,"MISS 3PTR by BUTLER,TERENCE",1
--,"REBOUND DEF by PUMROY,JORDAN",,,,,,,"REBOUND DEF by PUMROY,JORDAN",1
11:25,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
11:25,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",1
11:12,"GOOD JUMPER by MARTIN,LANDON(in the paint)",23 (+8),,15,,WITT 23-15 (-8),,"GOOD JUMPER by MARTIN,LANDON(in the paint)",1
10:59,,,,,"MISS LAYUP by GONDA,MATT",,,"MISS LAYUP by GONDA,MATT",1
--,"REBOUND DEF by JOHNSON,JAMES",,,,,,,"REBOUND DEF by JOHNSON,JAMES",1
10:55,"GOOD LAYUP by MARTIN,LANDON(fastbreak)(in the paint)",25 (+10),,15,,WITT 25-15 (-10),,"GOOD LAYUP by MARTIN,LANDON(fastbreak)(in the paint)",1
--,"ASSIST  by JOHNSON,JAMES",,,,,,,"ASSIST  by JOHNSON,JAMES",1
10:44,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
10:43,"STEAL  by JOHNSON,JAMES",,,,,,,"STEAL  by JOHNSON,JAMES",1
10:39,"GOOD LAYUP by ALI-SHAKIR,RASHAAD(fastbreak)(in the paint)",27 (+12),,15,,WITT 27-15 (-12),,"GOOD LAYUP by ALI-SHAKIR,RASHAAD(fastbreak)(in the paint)",1
--,"ASSIST  by PUMROY,JORDAN",,,,,,,"ASSIST  by PUMROY,JORDAN",1
10:37,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:37,"SUB IN by SEIPEL,CONNOR",,,,,,,"SUB IN by SEIPEL,CONNOR",1
10:37,"SUB OUT by JOHNSON,JAMES",,,,,,,"SUB OUT by JOHNSON,JAMES",1
10:37,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
10:37,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
10:37,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",1
10:37,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
10:37,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
10:37,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
10:37,,,,,"SUB OUT by BUTLER,TERENCE",,,"SUB OUT by BUTLER,TERENCE",1
10:37,,,,,"SUB OUT by DENBESTIN,COLE",,,"SUB OUT by DENBESTIN,COLE",1
10:37,,,,,"SUB OUT by LOVING,JIBRI",,,"SUB OUT by LOVING,JIBRI",1
10:37,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
10:16,,,,,"MISS JUMPER by ALLISON,ZACH",,,"MISS JUMPER by ALLISON,ZACH",1
--,"REBOUND DEF by SEIPEL,CONNOR",,,,,,,"REBOUND DEF by SEIPEL,CONNOR",1
10:03,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",30 (+15),,15,,WITT 30-15 (-15),,"GOOD 3PTR by ALI-SHAKIR,RASHAAD",1
09:39,,30 (+13),,17,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",BSC 30-17 (-13),,"GOOD LAYUP by RUDAK,MATEUSZ(in the paint)",1
09:12,"GOOD 3PTR by PUMROY,JORDAN",33 (+16),,17,,WITT 33-17 (-16),,"GOOD 3PTR by PUMROY,JORDAN",1
--,"ASSIST  by ALI-SHAKIR,RASHAAD",,,,,,,"ASSIST  by ALI-SHAKIR,RASHAAD",1
08:57,,33 (+13),,20,"GOOD 3PTR by BAK,CALVIN",BSC 33-20 (-13),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
08:33,"MISS 3PTR by PUMROY,JORDAN",,,,,,,"MISS 3PTR by PUMROY,JORDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:28,"SUB IN by BERTEMES,JACOB",,,,,,,"SUB IN by BERTEMES,JACOB",1
08:28,"SUB IN by BALSER,MITCHELL",,,,,,,"SUB IN by BALSER,MITCHELL",1
08:28,"SUB OUT by PUMROY,JORDAN",,,,,,,"SUB OUT by PUMROY,JORDAN",1
08:28,"SUB OUT by ALI-SHAKIR,RASHAAD",,,,,,,"SUB OUT by ALI-SHAKIR,RASHAAD",1
08:19,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:00,"GOOD LAYUP by ROY,CHAD(in the paint)",35 (+15),,20,,WITT 35-20 (-15),,"GOOD LAYUP by ROY,CHAD(in the paint)",1
--,"ASSIST  by BERTEMES,JACOB",,,,,,,"ASSIST  by BERTEMES,JACOB",1
07:53,,,,,"MISS 3PTR by MOORE,KADEN",,,"MISS 3PTR by MOORE,KADEN",1
--,"REBOUND DEF by MARTIN,LANDON",,,,,,,"REBOUND DEF by MARTIN,LANDON",1
07:42,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
07:42,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
07:40,"MISS 3PTR by BALSER,MITCHELL",,,,,,,"MISS 3PTR by BALSER,MITCHELL",1
--,"REBOUND OFF by ROY,CHAD",,,,,,,"REBOUND OFF by ROY,CHAD",1
07:35,"GOOD LAYUP by ROY,CHAD(in the paint)",37 (+17),,20,,WITT 37-20 (-17),,"GOOD LAYUP by ROY,CHAD(in the paint)",1
07:27,,37 (+14),,23,"GOOD 3PTR by YANCEY,RICH",BSC 37-23 (-14),,"GOOD 3PTR by YANCEY,RICH",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
06:52,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:52,"SUB IN by MORGAN,MICHAEL",,,,,,,"SUB IN by MORGAN,MICHAEL",1
06:52,"SUB OUT by MARTIN,LANDON",,,,,,,"SUB OUT by MARTIN,LANDON",1
06:52,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
06:52,,,,,"SUB IN by MCCURRY,CONAL",,,"SUB IN by MCCURRY,CONAL",1
06:52,,,,,"SUB IN by ,BRUCE BRIGHT JR",,,"SUB IN by ,BRUCE BRIGHT JR",1
06:52,,,,,"SUB IN by ZHOU,ANDY",,,"SUB IN by ZHOU,ANDY",1
06:52,,,,,"SUB IN by LOVING,TAU",,,"SUB IN by LOVING,TAU",1
06:52,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
06:52,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
06:52,,,,,"SUB OUT by RUDAK,MATEUSZ",,,"SUB OUT by RUDAK,MATEUSZ",1
06:52,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
06:52,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
06:32,"FOUL  by ROY,CHAD",,,,,,,"FOUL  by ROY,CHAD",1
06:32,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:32,,37 (+13),,24,"GOOD FT by STEWART,CHRISTIAN",BSC 37-24 (-13),,"GOOD FT by STEWART,CHRISTIAN",1
06:32,"SUB IN by SLONEKER,CHRIS",,,,,,,"SUB IN by SLONEKER,CHRIS",1
06:32,"SUB OUT by SEIPEL,CONNOR",,,,,,,"SUB OUT by SEIPEL,CONNOR",1
06:24,"MISS LAYUP by SLONEKER,CHRIS",,,,,,,"MISS LAYUP by SLONEKER,CHRIS",1
--,,,,,"REBOUND DEF by MCCURRY,CONAL",,,"REBOUND DEF by MCCURRY,CONAL",1
05:59,"FOUL  by BERTEMES,JACOB",,,,,,,"FOUL  by BERTEMES,JACOB",1
05:59,,37 (+12),,25,"GOOD FT by ZHOU,ANDY",BSC 37-25 (-12),,"GOOD FT by ZHOU,ANDY",1
05:59,,37 (+11),,26,"GOOD FT by ZHOU,ANDY",BSC 37-26 (-11),,"GOOD FT by ZHOU,ANDY",1
05:59,"SUB IN by PUMROY,JORDAN",,,,,,,"SUB IN by PUMROY,JORDAN",1
05:59,"SUB OUT by BERTEMES,JACOB",,,,,,,"SUB OUT by BERTEMES,JACOB",1
05:59,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
05:59,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
05:59,,,,,"SUB IN by DENBESTIN,COLE",,,"SUB IN by DENBESTIN,COLE",1
05:59,,,,,"SUB IN by BUTLER,TERENCE",,,"SUB IN by BUTLER,TERENCE",1
05:59,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
05:59,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
05:59,,,,,"SUB OUT by MCCURRY,CONAL",,,"SUB OUT by MCCURRY,CONAL",1
05:59,,,,,"SUB OUT by ,BRUCE BRIGHT JR",,,"SUB OUT by ,BRUCE BRIGHT JR",1
05:59,,,,,"SUB OUT by ZHOU,ANDY",,,"SUB OUT by ZHOU,ANDY",1
05:59,,,,,"SUB OUT by LOVING,TAU",,,"SUB OUT by LOVING,TAU",1
05:47,"GOOD LAYUP by SLONEKER,CHRIS(in the paint)",39 (+13),,26,,WITT 39-26 (-13),,"GOOD LAYUP by SLONEKER,CHRIS(in the paint)",1
--,"ASSIST  by PUMROY,JORDAN",,,,,,,"ASSIST  by PUMROY,JORDAN",1
05:41,,39 (+10),,29,"GOOD 3PTR by DENBESTIN,COLE",BSC 39-29 (-10),,"GOOD 3PTR by DENBESTIN,COLE",1
--,,,,,"ASSIST  by ALLISON,ZACH",,,"ASSIST  by ALLISON,ZACH",1
05:18,"MISS JUMPER by ROY,CHAD",,,,,,,"MISS JUMPER by ROY,CHAD",1
--,,,,,"REBOUND DEF by BUTLER,TERENCE",,,"REBOUND DEF by BUTLER,TERENCE",1
05:00,,,,,"MISS LAYUP by DENBESTIN,COLE",,,"MISS LAYUP by DENBESTIN,COLE",1
--,"REBOUND DEF by SLONEKER,CHRIS",,,,,,,"REBOUND DEF by SLONEKER,CHRIS",1
04:40,"GOOD JUMPER by PUMROY,JORDAN",41 (+12),,29,,WITT 41-29 (-12),,"GOOD JUMPER by PUMROY,JORDAN",1
--,"ASSIST  by BALSER,MITCHELL",,,,,,,"ASSIST  by BALSER,MITCHELL",1
04:14,,41 (+9),,32,"GOOD 3PTR by ALLISON,ZACH",BSC 41-32 (-9),,"GOOD 3PTR by ALLISON,ZACH",1
03:45,"TURNOVER  by SLONEKER,CHRIS",,,,,,,"TURNOVER  by SLONEKER,CHRIS",1
03:45,"SUB IN by SEIPEL,CONNOR",,,,,,,"SUB IN by SEIPEL,CONNOR",1
03:45,"SUB OUT by ROY,CHAD",,,,,,,"SUB OUT by ROY,CHAD",1
03:28,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
03:28,"BLOCK  by SEIPEL,CONNOR",,,,,,,"BLOCK  by SEIPEL,CONNOR",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
03:24,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
--,"REBOUND DEF by PUMROY,JORDAN",,,,,,,"REBOUND DEF by PUMROY,JORDAN",1
03:17,"GOOD 3PTR by BALSER,MITCHELL",44 (+12),,32,,WITT 44-32 (-12),,"GOOD 3PTR by BALSER,MITCHELL",1
--,"ASSIST  by MORGAN,MICHAEL",,,,,,,"ASSIST  by MORGAN,MICHAEL",1
03:09,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",1
--,"REBOUND DEF by BALSER,MITCHELL",,,,,,,"REBOUND DEF by BALSER,MITCHELL",1
03:01,"GOOD LAYUP by SLONEKER,CHRIS(fastbreak)(in the paint)",46 (+14),,32,,WITT 46-32 (-14),,"GOOD LAYUP by SLONEKER,CHRIS(fastbreak)(in the paint)",1
--,"ASSIST  by MORGAN,MICHAEL",,,,,,,"ASSIST  by MORGAN,MICHAEL",1
02:52,"FOUL  by BALSER,MITCHELL",,,,,,,"FOUL  by BALSER,MITCHELL",1
02:52,"SUB IN by ALI-SHAKIR,RASHAAD",,,,,,,"SUB IN by ALI-SHAKIR,RASHAAD",1
02:52,"SUB OUT by PUMROY,JORDAN",,,,,,,"SUB OUT by PUMROY,JORDAN",1
02:52,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
02:52,,,,,"SUB IN by RUDAK,MATEUSZ",,,"SUB IN by RUDAK,MATEUSZ",1
02:52,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
02:52,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
02:52,,,,,"SUB OUT by BUTLER,TERENCE",,,"SUB OUT by BUTLER,TERENCE",1
02:52,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
02:37,,,,,"MISS LAYUP by RUDAK,MATEUSZ",,,"MISS LAYUP by RUDAK,MATEUSZ",1
--,"REBOUND DEF by BALSER,MITCHELL",,,,,,,"REBOUND DEF by BALSER,MITCHELL",1
02:32,"MISS LAYUP by BALSER,MITCHELL",,,,,,,"MISS LAYUP by BALSER,MITCHELL",1
--,"REBOUND OFF by MORGAN,MICHAEL",,,,,,,"REBOUND OFF by MORGAN,MICHAEL",1
02:03,"MISS 3PTR by BALSER,MITCHELL",,,,,,,"MISS 3PTR by BALSER,MITCHELL",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
01:58,"FOUL  by SLONEKER,CHRIS",,,,,,,"FOUL  by SLONEKER,CHRIS",1
01:58,"SUB IN by PUMROY,JORDAN",,,,,,,"SUB IN by PUMROY,JORDAN",1
01:58,"SUB OUT by BALSER,MITCHELL",,,,,,,"SUB OUT by BALSER,MITCHELL",1
01:58,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
01:58,,,,,"SUB IN by ALLISON,ZACH",,,"SUB IN by ALLISON,ZACH",1
01:58,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
01:58,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
01:58,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
01:58,,,,,"SUB OUT by DENBESTIN,COLE",,,"SUB OUT by DENBESTIN,COLE",1
01:49,,46 (+11),,35,"GOOD 3PTR by SPENCE,BEN",BSC 46-35 (-11),,"GOOD 3PTR by SPENCE,BEN",1
01:21,"GOOD JUMPER by SEIPEL,CONNOR",48 (+13),,35,,WITT 48-35 (-13),,"GOOD JUMPER by SEIPEL,CONNOR",1
--,"ASSIST  by PUMROY,JORDAN",,,,,,,"ASSIST  by PUMROY,JORDAN",1
00:58,,,,,"MISS LAYUP by RUDAK,MATEUSZ",,,"MISS LAYUP by RUDAK,MATEUSZ",1
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",1
00:50,,48 (+10),,38,"GOOD 3PTR by ALLISON,ZACH",BSC 48-38 (-10),,"GOOD 3PTR by ALLISON,ZACH",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
00:20,,,,,"FOUL  by RUDAK,MATEUSZ",,,"FOUL  by RUDAK,MATEUSZ",1
00:20,"MISS FT by ALI-SHAKIR,RASHAAD",,,,,,,"MISS FT by ALI-SHAKIR,RASHAAD",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:20,"GOOD FT by ALI-SHAKIR,RASHAAD",49 (+11),,38,,WITT 49-38 (-11),,"GOOD FT by ALI-SHAKIR,RASHAAD",1
00:20,"SUB IN by ROY,CHAD",,,,,,,"SUB IN by ROY,CHAD",1
00:20,"SUB IN by BALSER,MITCHELL",,,,,,,"SUB IN by BALSER,MITCHELL",1
00:20,"SUB IN by MARTIN,LANDON",,,,,,,"SUB IN by MARTIN,LANDON",1
00:20,"SUB OUT by ALI-SHAKIR,RASHAAD",,,,,,,"SUB OUT by ALI-SHAKIR,RASHAAD",1
00:20,"SUB OUT by PUMROY,JORDAN",,,,,,,"SUB OUT by PUMROY,JORDAN",1
00:20,"SUB OUT by SLONEKER,CHRIS",,,,,,,"SUB OUT by SLONEKER,CHRIS",1
00:03,,,,,"TURNOVER  by ALLISON,ZACH",,,"TURNOVER  by ALLISON,ZACH",1
00:02,"STEAL  by ROY,CHAD",,,,,,,"STEAL  by ROY,CHAD",1
19:37,,,,,"MISS JUMPER by DENEKA,HARRISON",,,"MISS JUMPER by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by DENEKA,HARRISON",,,"REBOUND OFF by DENEKA,HARRISON",2
19:37,"FOUL  by BALSER,MITCHELL",,,,,,,"FOUL  by BALSER,MITCHELL",2
19:27,,,,,"MISS 3PTR by DENEKA,HARRISON",,,"MISS 3PTR by DENEKA,HARRISON",2
--,,,,,"REBOUND OFF by RUDAK,MATEUSZ",,,"REBOUND OFF by RUDAK,MATEUSZ",2
19:23,"FOUL  by JOHNSON,JAMES",,,,,,,"FOUL  by JOHNSON,JAMES",2
19:23,,,,,"MISS FT by RUDAK,MATEUSZ",,,"MISS FT by RUDAK,MATEUSZ",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
