Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:43,"GOOD 3PTR by BAK,CALVIN",9 (+1),,8,,17BSC-M 9-8 (+1),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by BUTLER,TERENCE",,,,,,,"ASSIST  by BUTLER,TERENCE",1
14:24,,9,,10 (+1),"GOOD LAYUP by GRAVES,JOHN JAY(in the paint)",HCM 9-10 (-1),,"GOOD LAYUP by GRAVES,JOHN JAY(in the paint)",1
14:15,,,,,"FOUL  by GRAVES,JOHN JAY",,,"FOUL  by GRAVES,JOHN JAY",1
14:01,"MISS LAYUP by BAK,CALVIN",,,,,,,"MISS LAYUP by BAK,CALVIN",1
--,,,,,"REBOUND DEF by BEEMAN,JALEEL",,,"REBOUND DEF by BEEMAN,JALEEL",1
13:55,,9,,12 (+3),"GOOD LAYUP by BEEMAN,JALEEL(fastbreak)(in the paint)",HCM 9-12 (-3),,"GOOD LAYUP by BEEMAN,JALEEL(fastbreak)(in the paint)",1
13:44,"GOOD 3PTR by RUDAK,MATEUSZ",12,,12,,17BSC-M 12-12 (0),,"GOOD 3PTR by RUDAK,MATEUSZ",1
--,"ASSIST  by ALLISON,ZACH",,,,,,,"ASSIST  by ALLISON,ZACH",1
13:35,,,,,"TURNOVER  by HOBSON,CHARVEZ'",,,"TURNOVER  by HOBSON,CHARVEZ'",1
13:30,"STEAL  by SPENCE,BEN",,,,,,,"STEAL  by SPENCE,BEN",1
13:26,"GOOD LAYUP by BAK,CALVIN(in the paint)",14 (+2),,12,,17BSC-M 14-12 (+2),,"GOOD LAYUP by BAK,CALVIN(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
13:19,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",1
13:19,,,,,"MISS FT by GRAVES,JOHN JAY",,,"MISS FT by GRAVES,JOHN JAY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
13:19,,,,,"SUB IN by PINES,KYANTE",,,"SUB IN by PINES,KYANTE",1
13:19,,,,,"SUB IN by JONES,RJ",,,"SUB IN by JONES,RJ",1
13:19,,,,,"SUB IN by REID,BRYANT",,,"SUB IN by REID,BRYANT",1
13:19,,,,,"SUB OUT by BOYD,CAM",,,"SUB OUT by BOYD,CAM",1
13:19,,,,,"SUB OUT by BEEMAN,JALEEL",,,"SUB OUT by BEEMAN,JALEEL",1
13:19,,,,,"SUB OUT by KING,ISAIAH",,,"SUB OUT by KING,ISAIAH",1
13:09,,14 (+1),,13,"GOOD FT by GRAVES,JOHN JAY",HCM 14-13 (+1),,"GOOD FT by GRAVES,JOHN JAY",1
13:03,"TURNOVER  by BAK,CALVIN",,,,,,,"TURNOVER  by BAK,CALVIN",1
13:01,,,,,"STEAL  by HOBSON,CHARVEZ'",,,"STEAL  by HOBSON,CHARVEZ'",1
13:00,,14,,15 (+1),"GOOD DUNK by HOBSON,CHARVEZ'(in the paint)",HCM 14-15 (-1),,"GOOD DUNK by HOBSON,CHARVEZ'(in the paint)",1
12:45,"TURNOVER  by DENBESTIN,COLE",,,,,,,"TURNOVER  by DENBESTIN,COLE",1
12:43,"TURNOVER  by DENEKA,HARRISON",,,,,,,"TURNOVER  by DENEKA,HARRISON",1
12:41,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
12:41,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
12:41,"SUB IN by DENBESTIN,COLE",,,,,,,"SUB IN by DENBESTIN,COLE",1
12:41,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",1
12:41,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
12:41,,,,,"SUB IN by ELMORE,TC",,,"SUB IN by ELMORE,TC",1
12:41,,,,,"SUB OUT by HOBSON,CHARVEZ'",,,"SUB OUT by HOBSON,CHARVEZ'",1
12:32,,14,,18 (+4),"GOOD 3PTR by PINES,KYANTE",HCM 14-18 (-4),,"GOOD 3PTR by PINES,KYANTE",1
--,,,,,"ASSIST  by JONES,RJ",,,"ASSIST  by JONES,RJ",1
12:20,,,,,"FOUL  by REID,BRYANT",,,"FOUL  by REID,BRYANT",1
12:20,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
12:20,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",1
12:20,"SUB IN by LOVING,TAU",,,,,,,"SUB IN by LOVING,TAU",1
12:20,"SUB IN by MCCURRY,CONAL",,,,,,,"SUB IN by MCCURRY,CONAL",1
12:20,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
12:20,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
12:20,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
12:20,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",1
12:20,,,,,"SUB IN by BEEMAN,JALEEL",,,"SUB IN by BEEMAN,JALEEL",1
12:20,,,,,"SUB OUT by REID,BRYANT",,,"SUB OUT by REID,BRYANT",1
12:15,"TURNOVER  by MCCURRY,CONAL",,,,,,,"TURNOVER  by MCCURRY,CONAL",1
12:11,,,,,"STEAL  by ELMORE,TC",,,"STEAL  by ELMORE,TC",1
12:08,"FOUL  by LOVING,TAU",,,,,,,"FOUL  by LOVING,TAU",1
12:08,,,,,"MISS FT by MCLEAN,BRANDON",,,"MISS FT by MCLEAN,BRANDON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
