Time Remaining,BU-M,Away Team Score,Play Team Indicator,Home Team Score,17BSC-M,Game Score,Team Indicator,Play,Period
13:02,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
13:02,"GOOD FT by ROBERS,JOSHUA",6,,18 (+12),,BU-M 6-18 (+12),,"GOOD FT by ROBERS,JOSHUA",1
13:02,"MISS FT by ROBERS,JOSHUA",,,,,,,"MISS FT by ROBERS,JOSHUA",1
--,,,,,"REBOUND DEF by RUDAK,MATEUSZ",,,"REBOUND DEF by RUDAK,MATEUSZ",1
13:02,,,,,"SUB IN by ZHOU,ANDY",,,"SUB IN by ZHOU,ANDY",1
13:02,,,,,"SUB OUT by ALLISON,ZACH",,,"SUB OUT by ALLISON,ZACH",1
12:47,,6,,21 (+15),"GOOD 3PTR by ZHOU,ANDY",17BSC-M 6-21 (+15),,"GOOD 3PTR by ZHOU,ANDY",1
--,,,,,"ASSIST  by YANCEY,RICH",,,"ASSIST  by YANCEY,RICH",1
12:37,,,,,"FOUL  by ZHOU,ANDY",,,"FOUL  by ZHOU,ANDY",1
12:37,"SUB IN by BROWN,ISAIAH",,,,,,,"SUB IN by BROWN,ISAIAH",1
12:37,"SUB IN by PRICE,VICTOR",,,,,,,"SUB IN by PRICE,VICTOR",1
12:37,"SUB IN by WEBER,BRENT",,,,,,,"SUB IN by WEBER,BRENT",1
12:37,"SUB IN by RICHARDSON,TERIK",,,,,,,"SUB IN by RICHARDSON,TERIK",1
12:37,"SUB IN by PATTERSON,KYLE",,,,,,,"SUB IN by PATTERSON,KYLE",1
12:37,"SUB OUT by LORRIS,JOHN",,,,,,,"SUB OUT by LORRIS,JOHN",1
12:37,"SUB OUT by COLE,DAVID",,,,,,,"SUB OUT by COLE,DAVID",1
12:37,"SUB OUT by LEATHERWOOD,TREVEYON",,,,,,,"SUB OUT by LEATHERWOOD,TREVEYON",1
12:37,"SUB OUT by ROBERS,JOSHUA",,,,,,,"SUB OUT by ROBERS,JOSHUA",1
12:37,"SUB OUT by WORKS,JOHN",,,,,,,"SUB OUT by WORKS,JOHN",1
12:30,"MISS LAYUP by BROWN,ISAIAH",,,,,,,"MISS LAYUP by BROWN,ISAIAH",1
12:30,,,,,"BLOCK  by YANCEY,RICH",,,"BLOCK  by YANCEY,RICH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:20,"GOOD JUMPER by PRICE,VICTOR",8,,21 (+13),,BU-M 8-21 (+13),,"GOOD JUMPER by PRICE,VICTOR",1
--,"ASSIST  by PATTERSON,KYLE",,,,,,,"ASSIST  by PATTERSON,KYLE",1
12:07,,8,,23 (+15),"GOOD LAYUP by ZHOU,ANDY(fastbreak)(in the paint)",17BSC-M 8-23 (+15),,"GOOD LAYUP by ZHOU,ANDY(fastbreak)(in the paint)",1
11:50,"FOUL  by WEBER,BRENT",,,,,,,"FOUL  by WEBER,BRENT",1
11:50,"TURNOVER  by WEBER,BRENT",,,,,,,"TURNOVER  by WEBER,BRENT",1
11:50,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:35,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",1
11:33,"STEAL  by PATTERSON,KYLE",,,,,,,"STEAL  by PATTERSON,KYLE",1
11:31,"TURNOVER  by PATTERSON,KYLE",,,,,,,"TURNOVER  by PATTERSON,KYLE",1
11:30,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
11:20,,,,,"MISS JUMPER by ZHOU,ANDY",,,"MISS JUMPER by ZHOU,ANDY",1
11:20,"BLOCK  by PATTERSON,KYLE",,,,,,,"BLOCK  by PATTERSON,KYLE",1
--,,,,,"REBOUND OFF by ZHOU,ANDY",,,"REBOUND OFF by ZHOU,ANDY",1
11:15,,8,,26 (+18),"GOOD 3PTR by SPENCE,BEN",17BSC-M 8-26 (+18),,"GOOD 3PTR by SPENCE,BEN",1
--,,,,,"ASSIST  by DENBESTEN,COLE",,,"ASSIST  by DENBESTEN,COLE",1
10:56,"TURNOVER  by PATTERSON,KYLE",,,,,,,"TURNOVER  by PATTERSON,KYLE",1
10:55,,,,,"STEAL  by ZHOU,ANDY",,,"STEAL  by ZHOU,ANDY",1
10:52,,,,,"MISS LAYUP by ZHOU,ANDY",,,"MISS LAYUP by ZHOU,ANDY",1
--,,,,,"REBOUND OFF by DENBESTEN,COLE",,,"REBOUND OFF by DENBESTEN,COLE",1
10:44,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:41,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
10:41,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
10:41,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
10:41,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
10:29,"MISS 3PTR by RICHARDSON,TERIK",,,,,,,"MISS 3PTR by RICHARDSON,TERIK",1
--,"REBOUND OFF by RICHARDSON,TERIK",,,,,,,"REBOUND OFF by RICHARDSON,TERIK",1
10:09,"GOOD 3PTR by BROWN,ISAIAH",11,,26 (+15),,BU-M 11-26 (+15),,"GOOD 3PTR by BROWN,ISAIAH",1
--,"ASSIST  by PATTERSON,KYLE",,,,,,,"ASSIST  by PATTERSON,KYLE",1
09:55,,,,,"TURNOVER  by ZHOU,ANDY",,,"TURNOVER  by ZHOU,ANDY",1
09:53,"STEAL  by RICHARDSON,TERIK",,,,,,,"STEAL  by RICHARDSON,TERIK",1
09:50,"GOOD 3PTR by PRICE,VICTOR(fastbreak)(in the paint)",14,,26 (+12),,BU-M 14-26 (+12),,"GOOD 3PTR by PRICE,VICTOR(fastbreak)(in the paint)",1
--,"ASSIST  by RICHARDSON,TERIK",,,,,,,"ASSIST  by RICHARDSON,TERIK",1
09:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:44,,,,,"TURNOVER  by ALLISON,ZACH",,,"TURNOVER  by ALLISON,ZACH",1
09:42,"STEAL  by PATTERSON,KYLE",,,,,,,"STEAL  by PATTERSON,KYLE",1
