Time Remaining,17BSC-M,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
11:27,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",1
11:27,"SUB IN by YANCEY,RICH",,,,,,,"SUB IN by YANCEY,RICH",1
11:27,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
11:27,"SUB OUT by LOVING,JIBRI",,,,,,,"SUB OUT by LOVING,JIBRI",1
11:27,"SUB OUT by MOORE,KADEN",,,,,,,"SUB OUT by MOORE,KADEN",1
11:27,"SUB OUT by MCCURRY,CONAL",,,,,,,"SUB OUT by MCCURRY,CONAL",1
11:27,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",1
11:21,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",1
--,,,,,"REBOUND OFF by CLARK,ETHAN",,,"REBOUND OFF by CLARK,ETHAN",1
11:17,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
10:48,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",1
--,,,,,"REBOUND DEF by JOHNSON,CORY",,,"REBOUND DEF by JOHNSON,CORY",1
10:40,,,,,"MISS JUMPER by JOHNSON,CORY",,,"MISS JUMPER by JOHNSON,CORY",1
--,"REBOUND DEF by RUDAK,MATEUSZ",,,,,,,"REBOUND DEF by RUDAK,MATEUSZ",1
10:27,"GOOD JUMPER by SPENCE,BEN",15 (+5),,10,,17BSC-M 15-10 (+5),,"GOOD JUMPER by SPENCE,BEN",1
09:56,,15 (+3),,12,"GOOD JUMPER by MARDER,NICK",BCM 15-12 (+3),,"GOOD JUMPER by MARDER,NICK",1
09:46,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",1
09:45,,,,,"STEAL  by MARDER,NICK",,,"STEAL  by MARDER,NICK",1
09:41,,15 (+1),,14,"GOOD LAYUP by CLARK,ETHAN(in the paint)",BCM 15-14 (+1),,"GOOD LAYUP by CLARK,ETHAN(in the paint)",1
--,,,,,"ASSIST  by MARDER,NICK",,,"ASSIST  by MARDER,NICK",1
09:18,"GOOD JUMPER by SPENCE,BEN",17 (+3),,14,,17BSC-M 17-14 (+3),,"GOOD JUMPER by SPENCE,BEN",1
08:51,,,,,"MISS 3PTR by MARDER,NICK",,,"MISS 3PTR by MARDER,NICK",1
--,"REBOUND DEF by YANCEY,RICH",,,,,,,"REBOUND DEF by YANCEY,RICH",1
08:38,"GOOD 3PTR by DENBESTEN,COLE",20 (+6),,14,,17BSC-M 20-14 (+6),,"GOOD 3PTR by DENBESTEN,COLE",1
08:20,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",1
08:20,"SUB IN by MCCURRY,CONAL",,,,,,,"SUB IN by MCCURRY,CONAL",1
08:20,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
08:20,,,,,"SUB IN by FORTE,MCCARTY",,,"SUB IN by FORTE,MCCARTY",1
08:20,,,,,"SUB IN by MOORE,MILES",,,"SUB IN by MOORE,MILES",1
08:20,,,,,"SUB IN by MCCLOUD,ALTON",,,"SUB IN by MCCLOUD,ALTON",1
08:20,,,,,"SUB IN by HIRSH,ELIJAH",,,"SUB IN by HIRSH,ELIJAH",1
08:20,,,,,"SUB OUT by ATKINSON,QUINN",,,"SUB OUT by ATKINSON,QUINN",1
08:20,,,,,"SUB OUT by JOHNSON,CORY",,,"SUB OUT by JOHNSON,CORY",1
08:20,,,,,"SUB OUT by CLARK,ETHAN",,,"SUB OUT by CLARK,ETHAN",1
08:20,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
