Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
01:38,"SUB IN by LOVING,TAU",,,,,,,"SUB IN by LOVING,TAU",2
01:38,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
01:38,"SUB OUT by RUDAK,MATEUSZ",,,,,,,"SUB OUT by RUDAK,MATEUSZ",2
01:38,"SUB OUT by DENEKA,HARRISON",,,,,,,"SUB OUT by DENEKA,HARRISON",2
01:38,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",2
01:38,"SUB OUT by BUTLER,TERENCE",,,,,,,"SUB OUT by BUTLER,TERENCE",2
01:38,"SUB OUT by ALLISON,ZACH",,,,,,,"SUB OUT by ALLISON,ZACH",2
01:35,"FOUL  by ZHOU,ANDY",,,,,,,"FOUL  by ZHOU,ANDY",2
01:35,,75,,87 (+12),"GOOD FT by D'AMICO,MICHAEL",SJFC 75-87 (-12),,"GOOD FT by D'AMICO,MICHAEL",2
01:35,,75,,88 (+13),"GOOD FT by D'AMICO,MICHAEL",SJFC 75-88 (-13),,"GOOD FT by D'AMICO,MICHAEL",2
01:35,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",2
01:35,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",2
01:35,"SUB IN by RUDAK,MATEUSZ",,,,,,,"SUB IN by RUDAK,MATEUSZ",2
01:35,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",2
01:35,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",2
01:35,"SUB OUT by ZHOU,ANDY",,,,,,,"SUB OUT by ZHOU,ANDY",2
01:35,"SUB OUT by ,BRUCE BRIGHT JR",,,,,,,"SUB OUT by ,BRUCE BRIGHT JR",2
01:35,"SUB OUT by MCCURRY,CONAL",,,,,,,"SUB OUT by MCCURRY,CONAL",2
01:35,"SUB OUT by LOVING,TAU",,,,,,,"SUB OUT by LOVING,TAU",2
01:35,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
01:35,,,,,"SUB IN by MORALES,DANIEL",,,"SUB IN by MORALES,DANIEL",2
01:35,,,,,"SUB OUT by ROBINSON,SAMMY",,,"SUB OUT by ROBINSON,SAMMY",2
01:30,"MISS LAYUP by BUTLER,TERENCE",,,,,,,"MISS LAYUP by BUTLER,TERENCE",2
--,"REBOUND OFF by BUTLER,TERENCE",,,,,,,"REBOUND OFF by BUTLER,TERENCE",2
01:27,"MISS LAYUP by BUTLER,TERENCE",,,,,,,"MISS LAYUP by BUTLER,TERENCE",2
--,,,,,"REBOUND DEF by MORALES,DANIEL",,,"REBOUND DEF by MORALES,DANIEL",2
01:22,"FOUL  by ALLISON,ZACH",,,,,,,"FOUL  by ALLISON,ZACH",2
01:22,,75,,89 (+14),"GOOD FT by ENGLISH,TYLER",SJFC 75-89 (-14),,"GOOD FT by ENGLISH,TYLER",2
01:22,,75,,90 (+15),"GOOD FT by ENGLISH,TYLER",SJFC 75-90 (-15),,"GOOD FT by ENGLISH,TYLER",2
01:22,,,,,"SUB IN by HENDERSON,RYAN",,,"SUB IN by HENDERSON,RYAN",2
01:22,,,,,"SUB OUT by ENGLISH,TYLER",,,"SUB OUT by ENGLISH,TYLER",2
01:07,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND DEF by MORALES,DANIEL",,,"REBOUND DEF by MORALES,DANIEL",2
00:59,"FOUL  by BAK,CALVIN",,,,,,,"FOUL  by BAK,CALVIN",2
00:59,,75,,91 (+16),"GOOD FT by MORALES,DANIEL",SJFC 75-91 (-16),,"GOOD FT by MORALES,DANIEL",2
00:59,,75,,92 (+17),"GOOD FT by MORALES,DANIEL",SJFC 75-92 (-17),,"GOOD FT by MORALES,DANIEL",2
00:59,,,,,"SUB IN by VALERIANI,MARK",,,"SUB IN by VALERIANI,MARK",2
00:59,,,,,"SUB OUT by D'AMICO,MICHAEL",,,"SUB OUT by D'AMICO,MICHAEL",2
00:35,"MISS 3PTR by BUTLER,TERENCE",,,,,,,"MISS 3PTR by BUTLER,TERENCE",2
--,,,,,"REBOUND DEF by FARRELL,TYLER",,,"REBOUND DEF by FARRELL,TYLER",2
00:29,,75,,94 (+19),"GOOD LAYUP by HARRINGTON,DYLAN(in the paint)",SJFC 75-94 (-19),,"GOOD LAYUP by HARRINGTON,DYLAN(in the paint)",2
00:09,"MISS LAYUP by BUTLER,TERENCE",,,,,,,"MISS LAYUP by BUTLER,TERENCE",2
--,,,,,"REBOUND DEF by HENDERSON,RYAN",,,"REBOUND DEF by HENDERSON,RYAN",2
