Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,SJFC,Game Score,Team Indicator,Play,Period
12:29,,,,,"MISS JUMPER by ENGLISH,TYLER",,,"MISS JUMPER by ENGLISH,TYLER",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
12:10,"GOOD LAYUP by YANCEY,RICH(in the paint)",14 (+3),,11,,BSC 14-11 (+3),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
11:45,,14 (+1),,13,"GOOD LAYUP by HAIGHT,JAKE(in the paint)",SJFC 14-13 (+1),,"GOOD LAYUP by HAIGHT,JAKE(in the paint)",1
11:38,"SUB IN by BUTLER,TERENCE",,,,,,,"SUB IN by BUTLER,TERENCE",1
11:38,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
11:38,"SUB OUT by DENBESTIN,COLE",,,,,,,"SUB OUT by DENBESTIN,COLE",1
11:38,"SUB OUT by YANCEY,RICH",,,,,,,"SUB OUT by YANCEY,RICH",1
11:38,,,,,"SUB IN by ROBINSON,SAMMY",,,"SUB IN by ROBINSON,SAMMY",1
11:38,,,,,"SUB IN by VALERIANI,MARK",,,"SUB IN by VALERIANI,MARK",1
11:38,,,,,"SUB OUT by D'AMICO,MICHAEL",,,"SUB OUT by D'AMICO,MICHAEL",1
11:38,,,,,"SUB OUT by FARRELL,TYLER",,,"SUB OUT by FARRELL,TYLER",1
11:35,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
11:32,,,,,"STEAL  by ROBINSON,SAMMY",,,"STEAL  by ROBINSON,SAMMY",1
11:28,,,,,"MISS 3PTR by ROBINSON,SAMMY",,,"MISS 3PTR by ROBINSON,SAMMY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
11:26,"SUB IN by DENEKA,HARRISON",,,,,,,"SUB IN by DENEKA,HARRISON",1
11:26,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
11:08,"MISS JUMPER by DENEKA,HARRISON",,,,,,,"MISS JUMPER by DENEKA,HARRISON",1
--,"REBOUND OFF by BUTLER,TERENCE",,,,,,,"REBOUND OFF by BUTLER,TERENCE",1
11:07,,,,,"FOUL  by MORALES,DANIEL",,,"FOUL  by MORALES,DANIEL",1
11:07,"SUB IN by ALLISON,ZACH",,,,,,,"SUB IN by ALLISON,ZACH",1
11:07,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
11:01,"MISS LAYUP by DENEKA,HARRISON",,,,,,,"MISS LAYUP by DENEKA,HARRISON",1
11:01,,,,,"BLOCK  by HAIGHT,JAKE",,,"BLOCK  by HAIGHT,JAKE",1
--,,,,,"REBOUND DEF by VALERIANI,MARK",,,"REBOUND DEF by VALERIANI,MARK",1
10:51,,14,,15 (+1),"GOOD LAYUP by HAIGHT,JAKE(in the paint)",SJFC 14-15 (-1),,"GOOD LAYUP by HAIGHT,JAKE(in the paint)",1
10:44,"GOOD 3PTR by DENEKA,HARRISON",17 (+2),,15,,BSC 17-15 (+2),,"GOOD 3PTR by DENEKA,HARRISON",1
--,"ASSIST  by ALLISON,ZACH",,,,,,,"ASSIST  by ALLISON,ZACH",1
10:35,,,,,"SUB IN by HENDERSON,RYAN",,,"SUB IN by HENDERSON,RYAN",1
10:35,,,,,"SUB OUT by HAIGHT,JAKE",,,"SUB OUT by HAIGHT,JAKE",1
10:30,,,,,"TURNOVER  by HENDERSON,RYAN",,,"TURNOVER  by HENDERSON,RYAN",1
10:26,"GOOD LAYUP by BAK,CALVIN(fastbreak)(in the paint)",19 (+4),,15,,BSC 19-15 (+4),,"GOOD LAYUP by BAK,CALVIN(fastbreak)(in the paint)",1
10:05,,19 (+2),,17,"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",SJFC 19-17 (+2),,"GOOD LAYUP by ROBINSON,SAMMY(in the paint)",1
10:05,"FOUL  by RUDAK,MATEUSZ",,,,,,,"FOUL  by RUDAK,MATEUSZ",1
10:05,,,,,"MISS FT by ROBINSON,SAMMY",,,"MISS FT by ROBINSON,SAMMY",1
--,"REBOUND DEF by ALLISON,ZACH",,,,,,,"REBOUND DEF by ALLISON,ZACH",1
09:57,"GOOD LAYUP by ALLISON,ZACH(in the paint)",21 (+4),,17,,BSC 21-17 (+4),,"GOOD LAYUP by ALLISON,ZACH(in the paint)",1
09:57,,,,,"FOUL  by MORALES,DANIEL",,,"FOUL  by MORALES,DANIEL",1
09:57,"MISS FT by ALLISON,ZACH",,,,,,,"MISS FT by ALLISON,ZACH",1
--,,,,,"REBOUND DEF by MORALES,DANIEL",,,"REBOUND DEF by MORALES,DANIEL",1
09:34,,,,,"MISS 3PTR by HENDERSON,RYAN",,,"MISS 3PTR by HENDERSON,RYAN",1
--,"REBOUND DEF by ALLISON,ZACH",,,,,,,"REBOUND DEF by ALLISON,ZACH",1
09:28,"TURNOVER  by BUTLER,TERENCE",,,,,,,"TURNOVER  by BUTLER,TERENCE",1
09:28,,,,,"SUB OUT by MORALES,DANIEL",,,"SUB OUT by MORALES,DANIEL",1
09:26,"FOUL  by DENEKA,HARRISON",,,,,,,"FOUL  by DENEKA,HARRISON",1
09:26,,21 (+3),,18,"GOOD FT by ENGLISH,TYLER",SJFC 21-18 (+3),,"GOOD FT by ENGLISH,TYLER",1
09:26,,,,,"MISS FT by ENGLISH,TYLER",,,"MISS FT by ENGLISH,TYLER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:26,"SUB IN by MOORE,KADEN",,,,,,,"SUB IN by MOORE,KADEN",1
