Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,JCU,Game Score,Team Indicator,Play,Period
02:43,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",1
02:43,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",1
02:43,,,,,"SUB IN by ANGERS,RYAN",,,"SUB IN by ANGERS,RYAN",1
02:43,,,,,"SUB OUT by SHONTZ,COREY",,,"SUB OUT by SHONTZ,COREY",1
02:43,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",1
02:43,,,,,"SUB OUT by HARTNETT,MICHAEL",,,"SUB OUT by HARTNETT,MICHAEL",1
02:43,,,,,"SUB OUT by SWEENEY,REGAN",,,"SUB OUT by SWEENEY,REGAN",1
02:43,,,,,"SUB OUT by MEYER,JOE",,,"SUB OUT by MEYER,JOE",1
02:25,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",1
--,,,,,"REBOUND DEF by SWEENEY,CONOR",,,"REBOUND DEF by SWEENEY,CONOR",1
02:13,,,,,"SUB IN by COMBS,JORDAN",,,"SUB IN by COMBS,JORDAN",1
02:13,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",1
02:13,,,,,"SUB OUT by HENDRICKSON,DAVID",,,"SUB OUT by HENDRICKSON,DAVID",1
02:13,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",1
02:02,,,,,"MISS LAYUP by ANGERS,RYAN",,,"MISS LAYUP by ANGERS,RYAN",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
01:38,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",1
--,,,,,"REBOUND DEF by SWEENEY,CONOR",,,"REBOUND DEF by SWEENEY,CONOR",1
01:29,,,,,"MISS LAYUP by SWEENEY,CONOR",,,"MISS LAYUP by SWEENEY,CONOR",1
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",1
01:10,,,,,"FOUL  by JANZ,KENNY",,,"FOUL  by JANZ,KENNY",1
01:10,"MISS FT by ROSS,GREG",,,,,,,"MISS FT by ROSS,GREG",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:10,"GOOD FT by ROSS,GREG",34,,37 (+3),,CENTRE_M 34-37 (-3),,"GOOD FT by ROSS,GREG",1
01:10,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
01:10,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
01:10,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",1
01:10,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
01:10,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
01:10,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",1
01:10,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",1
01:10,,,,,"SUB IN by MEYER,JOE",,,"SUB IN by MEYER,JOE",1
01:10,,,,,"SUB IN by HARTNETT,MICHAEL",,,"SUB IN by HARTNETT,MICHAEL",1
01:10,,,,,"SUB OUT by COMBS,JORDAN",,,"SUB OUT by COMBS,JORDAN",1
01:10,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",1
01:10,,,,,"SUB OUT by SWEENEY,CONOR",,,"SUB OUT by SWEENEY,CONOR",1
00:52,"FOUL  by MELLOAN,JAMES",,,,,,,"FOUL  by MELLOAN,JAMES",1
00:52,,,,,"MISS FT by MEYER,JOE",,,"MISS FT by MEYER,JOE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:52,,34,,38 (+4),"GOOD FT by MEYER,JOE",JCU 34-38 (-4),,"GOOD FT by MEYER,JOE",1
00:52,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",1
00:52,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
00:52,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",1
00:52,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",1
00:52,,,,,"SUB IN by SHONTZ,COREY",,,"SUB IN by SHONTZ,COREY",1
00:52,,,,,"SUB OUT by ANGERS,RYAN",,,"SUB OUT by ANGERS,RYAN",1
00:30,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",1
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",1
00:27,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",1
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",1
00:23,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",1
--,,,,,"REBOUND DEF by HUBBARD,KYLE",,,"REBOUND DEF by HUBBARD,KYLE",1
00:23,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",1
00:23,,34,,39 (+5),"GOOD FT by HUBBARD,KYLE",JCU 34-39 (-5),,"GOOD FT by HUBBARD,KYLE",1
00:23,,,,,"MISS FT by HUBBARD,KYLE",,,"MISS FT by HUBBARD,KYLE",1
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",1
00:19,,,,,"FOUL  by SWEENEY,PATRICK",,,"FOUL  by SWEENEY,PATRICK",1
00:19,"GOOD FT by ROSS,GREG",35,,39 (+4),,CENTRE_M 35-39 (-4),,"GOOD FT by ROSS,GREG",1
00:19,"GOOD FT by ROSS,GREG",36,,39 (+3),,CENTRE_M 36-39 (-3),,"GOOD FT by ROSS,GREG",1
00:19,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",1
00:19,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",1
00:19,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",1
00:19,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",1
00:11,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",1
00:11,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",1
00:11,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",1
00:11,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",1
00:11,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",1
00:11,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",1
00:02,,,,,"TURNOVER  by MEYER,JOE",,,"TURNOVER  by MEYER,JOE",1
00:00,"MISS 3PTR by ROSS,GREG",,,,,,,"MISS 3PTR by ROSS,GREG",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:50,,36,,41 (+5),"GOOD LAYUP by HESTER,MARK(in the paint)",JCU 36-41 (-5),,"GOOD LAYUP by HESTER,MARK(in the paint)",2
19:39,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
19:37,,,,,"STEAL  by HUBBARD,KYLE",,,"STEAL  by HUBBARD,KYLE",2
19:28,,36,,44 (+8),"GOOD 3PTR by HARTNETT,MICHAEL",JCU 36-44 (-8),,"GOOD 3PTR by HARTNETT,MICHAEL",2
--,,,,,"ASSIST  by SHONTZ,COREY",,,"ASSIST  by SHONTZ,COREY",2
19:04,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",2
19:04,,,,,"BLOCK  by HESTER,MARK",,,"BLOCK  by HESTER,MARK",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
18:53,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",2
18:52,,,,,"STEAL  by SHONTZ,COREY",,,"STEAL  by SHONTZ,COREY",2
18:45,,,,,"MISS LAYUP by HESTER,MARK",,,"MISS LAYUP by HESTER,MARK",2
18:45,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
18:35,,36,,46 (+10),"GOOD LAYUP by SHONTZ,COREY(in the paint)",JCU 36-46 (-10),,"GOOD LAYUP by SHONTZ,COREY(in the paint)",2
18:32,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
18:32,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",2
18:32,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",2
17:53,"MISS LAYUP by GRIGGS,MATT",,,,,,,"MISS LAYUP by GRIGGS,MATT",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
17:51,"GOOD LAYUP by ROSS,GREG(in the paint)",38,,46 (+8),,CENTRE_M 38-46 (-8),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
17:39,,,,,"MISS 3PTR by MEYER,JOE",,,"MISS 3PTR by MEYER,JOE",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
17:28,"GOOD 3PTR by GRIGGS,MATT(fastbreak)",41,,46 (+5),,CENTRE_M 41-46 (-5),,"GOOD 3PTR by GRIGGS,MATT(fastbreak)",2
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",2
17:13,,,,,"MISS 3PTR by HARTNETT,MICHAEL",,,"MISS 3PTR by HARTNETT,MICHAEL",2
--,,,,,"REBOUND OFF by SWEENEY,PATRICK",,,"REBOUND OFF by SWEENEY,PATRICK",2
17:00,,,,,"MISS LAYUP by SWEENEY,PATRICK",,,"MISS LAYUP by SWEENEY,PATRICK",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
16:54,,,,,"FOUL  by MEYER,JOE",,,"FOUL  by MEYER,JOE",2
16:54,"GOOD FT by MULLANEY,JEFF",42,,46 (+4),,CENTRE_M 42-46 (-4),,"GOOD FT by MULLANEY,JEFF",2
16:54,"GOOD FT by MULLANEY,JEFF",43,,46 (+3),,CENTRE_M 43-46 (-3),,"GOOD FT by MULLANEY,JEFF",2
16:54,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",2
16:54,,,,,"SUB IN by ANGERS,RYAN",,,"SUB IN by ANGERS,RYAN",2
16:54,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",2
16:54,,,,,"SUB IN by COMBS,JORDAN",,,"SUB IN by COMBS,JORDAN",2
16:54,,,,,"SUB IN by SWEENEY,CONOR",,,"SUB IN by SWEENEY,CONOR",2
16:54,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",2
16:54,,,,,"SUB OUT by HARTNETT,MICHAEL",,,"SUB OUT by HARTNETT,MICHAEL",2
16:54,,,,,"SUB OUT by SHONTZ,COREY",,,"SUB OUT by SHONTZ,COREY",2
16:54,,,,,"SUB OUT by MEYER,JOE",,,"SUB OUT by MEYER,JOE",2
16:54,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",2
16:34,,,,,"MISS 3PTR by COMBS,JORDAN",,,"MISS 3PTR by COMBS,JORDAN",2
--,"REBOUND DEF by GRIGGS,MATT",,,,,,,"REBOUND DEF by GRIGGS,MATT",2
16:28,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by HESTER,MARK",,,"REBOUND DEF by HESTER,MARK",2
16:19,,,,,"TURNOVER  by HESTER,MARK",,,"TURNOVER  by HESTER,MARK",2
16:17,"STEAL  by KARSNER,JOSH",,,,,,,"STEAL  by KARSNER,JOSH",2
16:09,"GOOD LAYUP by KARSNER,JOSH(in the paint)",45,,46 (+1),,CENTRE_M 45-46 (-1),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",2
15:57,,45,,49 (+4),"GOOD 3PTR by HESTER,MARK",JCU 45-49 (-4),,"GOOD 3PTR by HESTER,MARK",2
--,,,,,"ASSIST  by ANGERS,RYAN",,,"ASSIST  by ANGERS,RYAN",2
15:37,,,,,"FOUL  by SWEENEY,CONOR",,,"FOUL  by SWEENEY,CONOR",2
15:37,"GOOD FT by ROSS,GREG",46,,49 (+3),,CENTRE_M 46-49 (-3),,"GOOD FT by ROSS,GREG",2
15:37,"GOOD FT by ROSS,GREG",47,,49 (+2),,CENTRE_M 47-49 (-2),,"GOOD FT by ROSS,GREG",2
15:37,"SUB IN by JACKSON,CASEY",,,,,,,"SUB IN by JACKSON,CASEY",2
15:37,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
15:37,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
15:37,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",2
15:37,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
15:37,,,,,"SUB IN by MEYER,JOE",,,"SUB IN by MEYER,JOE",2
15:37,,,,,"SUB OUT by SWEENEY,CONOR",,,"SUB OUT by SWEENEY,CONOR",2
15:34,,,,,"MISS FT by HESTER,MARK",,,"MISS FT by HESTER,MARK",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
15:34,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by HESTER,MARK",,,"REBOUND DEF by HESTER,MARK",2
15:33,,,,,"TURNOVER  by ANGERS,RYAN",,,"TURNOVER  by ANGERS,RYAN",2
15:22,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",2
15:22,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",2
15:22,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
15:22,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
15:22,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
15:22,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",2
15:22,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",2
15:00,,,,,"MISS LAYUP by SWEENEY,PATRICK",,,"MISS LAYUP by SWEENEY,PATRICK",2
--,"REBOUND DEF by JACKSON,CASEY",,,,,,,"REBOUND DEF by JACKSON,CASEY",2
14:48,"TURNOVER  by NEWSOME,TAYLOR",,,,,,,"TURNOVER  by NEWSOME,TAYLOR",2
14:48,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
14:48,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
14:48,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",2
14:48,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
14:30,,47,,52 (+5),"GOOD 3PTR by MEYER,JOE",JCU 47-52 (-5),,"GOOD 3PTR by MEYER,JOE",2
--,,,,,"ASSIST  by SWEENEY,PATRICK",,,"ASSIST  by SWEENEY,PATRICK",2
14:18,"MISS LAYUP by LOPEZ,COLLIN",,,,,,,"MISS LAYUP by LOPEZ,COLLIN",2
14:18,,,,,"BLOCK  by JANZ,KENNY",,,"BLOCK  by JANZ,KENNY",2
--,,,,,"REBOUND DEF by SWEENEY,PATRICK",,,"REBOUND DEF by SWEENEY,PATRICK",2
14:11,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",2
14:11,,,,,"SUB IN by HUBBARD,KYLE",,,"SUB IN by HUBBARD,KYLE",2
14:11,,,,,"SUB IN by SHONTZ,COREY",,,"SUB IN by SHONTZ,COREY",2
14:11,,,,,"SUB IN by HARTNETT,MICHAEL",,,"SUB IN by HARTNETT,MICHAEL",2
14:11,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",2
14:11,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",2
14:11,,,,,"SUB OUT by ANGERS,RYAN",,,"SUB OUT by ANGERS,RYAN",2
14:11,,,,,"SUB OUT by COMBS,JORDAN",,,"SUB OUT by COMBS,JORDAN",2
14:08,,,,,"TURNOVER  by SHONTZ,COREY",,,"TURNOVER  by SHONTZ,COREY",2
14:06,"STEAL  by NEWSOME,TAYLOR",,,,,,,"STEAL  by NEWSOME,TAYLOR",2
13:52,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",2
13:51,,,,,"STEAL  by SHONTZ,COREY",,,"STEAL  by SHONTZ,COREY",2
13:44,,,,,"MISS 3PTR by HARTNETT,MICHAEL",,,"MISS 3PTR by HARTNETT,MICHAEL",2
--,,,,,"REBOUND OFF by MEYER,JOE",,,"REBOUND OFF by MEYER,JOE",2
13:40,,,,,"MISS LAYUP by MEYER,JOE",,,"MISS LAYUP by MEYER,JOE",2
13:40,"BLOCK  by MELLOAN,JAMES",,,,,,,"BLOCK  by MELLOAN,JAMES",2
--,"REBOUND DEF by JACKSON,CASEY",,,,,,,"REBOUND DEF by JACKSON,CASEY",2
13:33,"TURNOVER  by GRIGGS,MATT",,,,,,,"TURNOVER  by GRIGGS,MATT",2
13:33,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
13:33,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
13:33,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",2
13:33,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",2
13:25,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
13:22,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
13:22,,47,,53 (+6),"GOOD FT by MEYER,JOE",JCU 47-53 (-6),,"GOOD FT by MEYER,JOE",2
13:22,,,,,"MISS FT by MEYER,JOE",,,"MISS FT by MEYER,JOE",2
--,,,,,"REBOUND OFF by SHONTZ,COREY",,,"REBOUND OFF by SHONTZ,COREY",2
13:22,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
13:22,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
13:15,,,,,"TURNOVER  by HESTER,MARK",,,"TURNOVER  by HESTER,MARK",2
13:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:15,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
13:15,"SUB OUT by JACKSON,CASEY",,,,,,,"SUB OUT by JACKSON,CASEY",2
13:15,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",2
13:15,,,,,"SUB OUT by HESTER,MARK",,,"SUB OUT by HESTER,MARK",2
12:57,,,,,"FOUL  by HARTNETT,MICHAEL",,,"FOUL  by HARTNETT,MICHAEL",2
12:57,"GOOD FT by LOPEZ,COLLIN",48,,53 (+5),,CENTRE_M 48-53 (-5),,"GOOD FT by LOPEZ,COLLIN",2
12:57,"GOOD FT by LOPEZ,COLLIN",49,,53 (+4),,CENTRE_M 49-53 (-4),,"GOOD FT by LOPEZ,COLLIN",2
12:50,,,,,"MISS LAYUP by SHONTZ,COREY",,,"MISS LAYUP by SHONTZ,COREY",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
12:19,"GOOD JUMPER by ELLIS,BRYON",51,,53 (+2),,CENTRE_M 51-53 (-2),,"GOOD JUMPER by ELLIS,BRYON",2
11:59,,,,,"MISS 3PTR by HARTNETT,MICHAEL",,,"MISS 3PTR by HARTNETT,MICHAEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:59,,,,,"FOUL  by HUBBARD,KYLE",,,"FOUL  by HUBBARD,KYLE",2
11:59,,,,,"SUB IN by SWEENEY,CONOR",,,"SUB IN by SWEENEY,CONOR",2
11:59,,,,,"SUB IN by JANZ,KENNY",,,"SUB IN by JANZ,KENNY",2
11:59,,,,,"SUB IN by COMBS,JORDAN",,,"SUB IN by COMBS,JORDAN",2
11:59,,,,,"SUB IN by ANGERS,RYAN",,,"SUB IN by ANGERS,RYAN",2
11:59,,,,,"SUB IN by HESTER,MARK",,,"SUB IN by HESTER,MARK",2
11:59,,,,,"SUB OUT by MEYER,JOE",,,"SUB OUT by MEYER,JOE",2
11:59,,,,,"SUB OUT by HUBBARD,KYLE",,,"SUB OUT by HUBBARD,KYLE",2
11:59,,,,,"SUB OUT by SWEENEY,PATRICK",,,"SUB OUT by SWEENEY,PATRICK",2
11:59,,,,,"SUB OUT by SHONTZ,COREY",,,"SUB OUT by SHONTZ,COREY",2
11:59,,,,,"SUB OUT by HARTNETT,MICHAEL",,,"SUB OUT by HARTNETT,MICHAEL",2
11:48,"GOOD 3PTR by ELLIS,BRYON",54 (+1),,53,,CENTRE_M 54-53 (+1),,"GOOD 3PTR by ELLIS,BRYON",2
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",2
11:28,,,,,"MISS LAYUP by ANGERS,RYAN",,,"MISS LAYUP by ANGERS,RYAN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
11:28,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",2
11:28,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
11:28,,,,,"SUB IN by HENDRICKSON,DAVID",,,"SUB IN by HENDRICKSON,DAVID",2
11:28,,,,,"SUB OUT by COMBS,JORDAN",,,"SUB OUT by COMBS,JORDAN",2
11:08,"GOOD 3PTR by ELLIS,BRYON",57 (+4),,53,,CENTRE_M 57-53 (+4),,"GOOD 3PTR by ELLIS,BRYON",2
10:48,,,,,"MISS 3PTR by HESTER,MARK",,,"MISS 3PTR by HESTER,MARK",2
--,"REBOUND DEF by MELLOAN,JAMES",,,,,,,"REBOUND DEF by MELLOAN,JAMES",2
10:29,"MISS JUMPER by MELLOAN,JAMES",,,,,,,"MISS JUMPER by MELLOAN,JAMES",2
--,,,,,"REBOUND DEF by ANGERS,RYAN",,,"REBOUND DEF by ANGERS,RYAN",2
10:17,,,,,"MISS 3PTR by ANGERS,RYAN",,,"MISS 3PTR by ANGERS,RYAN",2
--,,,,,"REBOUND OFF by SWEENEY,CONOR",,,"REBOUND OFF by SWEENEY,CONOR",2
10:15,,57 (+2),,55,"GOOD LAYUP by SWEENEY,CONOR(in the paint)",JCU 57-55 (+2),,"GOOD LAYUP by SWEENEY,CONOR(in the paint)",2
09:53,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by SWEENEY,CONOR",,,"REBOUND DEF by SWEENEY,CONOR",2
09:42,,,,,"MISS 3PTR by HESTER,MARK",,,"MISS 3PTR by HESTER,MARK",2
--,,,,,"REBOUND OFF by JANZ,KENNY",,,"REBOUND OFF by JANZ,KENNY",2
09:36,,,,,"FOUL  by HESTER,MARK",,,"FOUL  by HESTER,MARK",2
09:36,,,,,"TURNOVER  by HESTER,MARK",,,"TURNOVER  by HESTER,MARK",2
09:36,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",2
09:36,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
09:36,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
09:36,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
09:36,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",2
09:36,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",2
09:36,,,,,"SUB IN by SWEENEY,PATRICK",,,"SUB IN by SWEENEY,PATRICK",2
09:36,,,,,"SUB IN by SHONTZ,COREY",,,"SUB IN by SHONTZ,COREY",2
09:36,,,,,"SUB IN by MEYER,JOE",,,"SUB IN by MEYER,JOE",2
09:36,,,,,"SUB IN by HARTNETT,MICHAEL",,,"SUB IN by HARTNETT,MICHAEL",2
09:36,,,,,"SUB OUT by SWEENEY,CONOR",,,"SUB OUT by SWEENEY,CONOR",2
09:36,,,,,"SUB OUT by JANZ,KENNY",,,"SUB OUT by JANZ,KENNY",2
09:36,,,,,"SUB OUT by HENDRICKSON,DAVID",,,"SUB OUT by HENDRICKSON,DAVID",2
09:36,,,,,"SUB OUT by ANGERS,RYAN",,,"SUB OUT by ANGERS,RYAN",2
09:24,"TURNOVER  by TAYLOR,CHRIS",,,,,,,"TURNOVER  by TAYLOR,CHRIS",2
09:22,,,,,"STEAL  by HUBBARD,KYLE",,,"STEAL  by HUBBARD,KYLE",2
09:12,,57,,58 (+1),"GOOD 3PTR by SHONTZ,COREY",JCU 57-58 (-1),,"GOOD 3PTR by SHONTZ,COREY",2
--,,,,,"ASSIST  by MEYER,JOE",,,"ASSIST  by MEYER,JOE",2
08:55,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",2
08:44,,,,,"MISS 3PTR by SHONTZ,COREY",,,"MISS 3PTR by SHONTZ,COREY",2
--,,,,,"REBOUND OFF by HARTNETT,MICHAEL",,,"REBOUND OFF by HARTNETT,MICHAEL",2
08:35,,,,,"TURNOVER  by SWEENEY,PATRICK",,,"TURNOVER  by SWEENEY,PATRICK",2
08:33,"STEAL  by MULLANEY,JEFF",,,,,,,"STEAL  by MULLANEY,JEFF",2
08:25,,,,,"FOUL  by HARTNETT,MICHAEL",,,"FOUL  by HARTNETT,MICHAEL",2
08:25,"GOOD FT by MULLANEY,JEFF",58,,58,,CENTRE_M 58-58 (0),,"GOOD FT by MULLANEY,JEFF",2
08:25,"GOOD FT by MULLANEY,JEFF",59 (+1),,58,,CENTRE_M 59-58 (+1),,"GOOD FT by MULLANEY,JEFF",2
08:25,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
08:25,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
08:06,"FOUL  by MELLOAN,JAMES",,,,,,,"FOUL  by MELLOAN,JAMES",2
08:01,,,,,"MISS 3PTR by SHONTZ,COREY",,,"MISS 3PTR by SHONTZ,COREY",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
