Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,AC-M,Game Score,Team Indicator,Play,Period
09:06,"MISS JUMPER by LOPEZ,COLLIN",,,,,,,"MISS JUMPER by LOPEZ,COLLIN",2
09:06,,,,,"BLOCK  by PHILLIPS,WALTER",,,"BLOCK  by PHILLIPS,WALTER",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:52,,,,,"TURNOVER  by HANCOCK,JORDAN",,,"TURNOVER  by HANCOCK,JORDAN",2
08:51,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",2
08:49,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",2
08:48,,,,,"STEAL  by ANWARY,AARON",,,"STEAL  by ANWARY,AARON",2
08:40,,50 (+7),,43,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",AC-M 50-43 (+7),,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",2
08:26,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
08:05,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
08:01,"GOOD LAYUP by ROSS,GREG(in the paint)",52 (+9),,43,,CENTRE_M 52-43 (+9),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
07:47,,,,,"MISS JUMPER by THOMPSON,ANTOINE",,,"MISS JUMPER by THOMPSON,ANTOINE",2
--,,,,,"REBOUND OFF by THOMPSON,ANTOINE",,,"REBOUND OFF by THOMPSON,ANTOINE",2
07:44,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
07:44,,,,,"MISS FT by THOMPSON,ANTOINE",,,"MISS FT by THOMPSON,ANTOINE",2
--,,,,,"REBOUND OFF by SAUNDERS,JOSH",,,"REBOUND OFF by SAUNDERS,JOSH",2
07:41,,52 (+7),,45,"GOOD LAYUP by SAUNDERS,JOSH(in the paint)",AC-M 52-45 (+7),,"GOOD LAYUP by SAUNDERS,JOSH(in the paint)",2
07:21,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by THOMPSON,ANTOINE",,,"REBOUND DEF by THOMPSON,ANTOINE",2
06:54,,52 (+5),,47,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",AC-M 52-47 (+5),,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",2
06:44,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:36,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
06:36,,,,,"BLOCK  by MICHAEL,ALEN",,,"BLOCK  by MICHAEL,ALEN",2
--,"REBOUND OFF by ELLIS,BRYON",,,,,,,"REBOUND OFF by ELLIS,BRYON",2
06:26,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
06:18,"GOOD 3PTR by KARSNER,JOSH",55 (+8),,47,,CENTRE_M 55-47 (+8),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
05:58,,55 (+6),,49,"GOOD JUMPER by SAUNDERS,JOSH",AC-M 55-49 (+6),,"GOOD JUMPER by SAUNDERS,JOSH",2
--,,,,,"ASSIST  by HANCOCK,JORDAN",,,"ASSIST  by HANCOCK,JORDAN",2
05:37,"GOOD 3PTR by ELLIS,BRYON",58 (+9),,49,,CENTRE_M 58-49 (+9),,"GOOD 3PTR by ELLIS,BRYON",2
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",2
05:19,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
05:19,,,,,"MISS FT by HANCOCK,JORDAN",,,"MISS FT by HANCOCK,JORDAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
05:19,,58 (+8),,50,"GOOD FT by HANCOCK,JORDAN",AC-M 58-50 (+8),,"GOOD FT by HANCOCK,JORDAN",2
04:49,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by OKPALA,RANSOM",,,"REBOUND DEF by OKPALA,RANSOM",2
04:43,,,,,"TURNOVER  by SAUNDERS,JOSH",,,"TURNOVER  by SAUNDERS,JOSH",2
04:42,"STEAL  by MULLANEY,JEFF",,,,,,,"STEAL  by MULLANEY,JEFF",2
04:20,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by PHILLIPS,WALTER",,,"REBOUND DEF by PHILLIPS,WALTER",2
03:57,,58 (+6),,52,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",AC-M 58-52 (+6),,"GOOD LAYUP by THOMPSON,ANTOINE(in the paint)",2
03:33,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by THOMPSON,ANTOINE",,,"REBOUND DEF by THOMPSON,ANTOINE",2
03:18,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
03:18,,58 (+5),,53,"GOOD FT by PHILLIPS,WALTER",AC-M 58-53 (+5),,"GOOD FT by PHILLIPS,WALTER",2
03:18,,58 (+4),,54,"GOOD FT by PHILLIPS,WALTER",AC-M 58-54 (+4),,"GOOD FT by PHILLIPS,WALTER",2
02:49,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
02:49,,,,,"BLOCK  by PHILLIPS,WALTER",,,"BLOCK  by PHILLIPS,WALTER",2
--,,,,,"REBOUND DEF by OKPALA,RANSOM",,,"REBOUND DEF by OKPALA,RANSOM",2
02:40,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
02:38,,58 (+3),,55,"GOOD FT by PHILLIPS,WALTER",AC-M 58-55 (+3),,"GOOD FT by PHILLIPS,WALTER",2
02:38,,,,,"MISS FT by PHILLIPS,WALTER",,,"MISS FT by PHILLIPS,WALTER",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
02:16,"GOOD 3PTR by LOPEZ,COLLIN",61 (+6),,55,,CENTRE_M 61-55 (+6),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
02:12,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:57,,,,,"TURNOVER  by PHILLIPS,WALTER",,,"TURNOVER  by PHILLIPS,WALTER",2
01:57,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",2
01:30,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
--,,,,,"REBOUND DEF by SAUNDERS,JOSH",,,"REBOUND DEF by SAUNDERS,JOSH",2
01:22,,,,,"MISS LAYUP by HANCOCK,JORDAN",,,"MISS LAYUP by HANCOCK,JORDAN",2
--,,,,,"REBOUND OFF by THOMPSON,ANTOINE",,,"REBOUND OFF by THOMPSON,ANTOINE",2
01:18,,,,,"MISS LAYUP by THOMPSON,ANTOINE",,,"MISS LAYUP by THOMPSON,ANTOINE",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
01:13,,61 (+4),,57,"GOOD JUMPER by SAUNDERS,JOSH(in the paint)",AC-M 61-57 (+4),,"GOOD JUMPER by SAUNDERS,JOSH(in the paint)",2
01:09,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:03,,,,,"FOUL  by PHILLIPS,WALTER",,,"FOUL  by PHILLIPS,WALTER",2
00:33,"GOOD JUMPER by MULLANEY,JEFF(in the paint)",63 (+6),,57,,CENTRE_M 63-57 (+6),,"GOOD JUMPER by MULLANEY,JEFF(in the paint)",2
00:23,,,,,"MISS 3PTR by THOMPSON,ANTOINE",,,"MISS 3PTR by THOMPSON,ANTOINE",2
--,,,,,"REBOUND OFF by SAUNDERS,JOSH",,,"REBOUND OFF by SAUNDERS,JOSH",2
00:19,"FOUL  by LOPEZ,COLLIN",,,,,,,"FOUL  by LOPEZ,COLLIN",2
00:19,,,,,"MISS FT by SAUNDERS,JOSH",,,"MISS FT by SAUNDERS,JOSH",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:16,,,,,"FOUL  by OKPALA,RANSOM",,,"FOUL  by OKPALA,RANSOM",2
00:16,"GOOD FT by ROSS,GREG",64 (+7),,57,,CENTRE_M 64-57 (+7),,"GOOD FT by ROSS,GREG",2
00:16,"GOOD FT by ROSS,GREG",65 (+8),,57,,CENTRE_M 65-57 (+8),,"GOOD FT by ROSS,GREG",2
00:16,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:14,,,,,"TURNOVER  by OKPALA,RANSOM",,,"TURNOVER  by OKPALA,RANSOM",2
