Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,RCMBB12,Game Score,Team Indicator,Play,Period
12:57,,,,,"MISS FT by GALOW,ANDREW",,,"MISS FT by GALOW,ANDREW",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:33,,30,,41 (+11),"GOOD FT by GALOW,ANDREW",RCMBB12 30-41 (-11),,"GOOD FT by GALOW,ANDREW",2
12:14,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
12:14,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",2
12:14,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
12:14,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
12:03,"MISS 3PTR by JACKSON,CASEY",,,,,,,"MISS 3PTR by JACKSON,CASEY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:55,,,,,"SUB IN by GALLAGHER,MICHAEL",,,"SUB IN by GALLAGHER,MICHAEL",2
11:55,,,,,"SUB IN by DUNAVANT,JOHN",,,"SUB IN by DUNAVANT,JOHN",2
11:55,,,,,"SUB OUT by WATSON,SHANE",,,"SUB OUT by WATSON,SHANE",2
11:55,,,,,"SUB OUT by GALOW,ANDREW",,,"SUB OUT by GALOW,ANDREW",2
11:49,,30,,43 (+13),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 30-43 (-13),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
11:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:44,"TURNOVER  by KARSNER,JOSH",,,,,,,"TURNOVER  by KARSNER,JOSH",2
11:44,,,,,"STEAL  by CHIEN,KEVIN",,,"STEAL  by CHIEN,KEVIN",2
11:44,,,,,"MISS LAYUP by LIVSEY,GEOFF",,,"MISS LAYUP by LIVSEY,GEOFF",2
--,,,,,"REBOUND OFF by LIVSEY,GEOFF",,,"REBOUND OFF by LIVSEY,GEOFF",2
11:44,,30,,45 (+15),"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",RCMBB12 30-45 (-15),,"GOOD LAYUP by LIVSEY,GEOFF(in the paint)",2
11:44,,,,,"FOUL  by GALLAGHER,MICHAEL",,,"FOUL  by GALLAGHER,MICHAEL",2
11:44,"GOOD FT by ROSS,GREG",31,,45 (+14),,CENTRE_M 31-45 (-14),,"GOOD FT by ROSS,GREG",2
11:44,"MISS FT by ROSS,GREG",,,,,,,"MISS FT by ROSS,GREG",2
--,,,,,"REBOUND DEF by HARTWELL,THEO",,,"REBOUND DEF by HARTWELL,THEO",2
11:44,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
11:43,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
11:43,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
11:43,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
11:43,"SUB OUT by JACKSON,CASEY",,,,,,,"SUB OUT by JACKSON,CASEY",2
11:43,,,,,"SUB IN by MILLER,JOEY",,,"SUB IN by MILLER,JOEY",2
11:43,,,,,"SUB IN by CHIEN,KEVIN",,,"SUB IN by CHIEN,KEVIN",2
11:43,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
11:43,,,,,"SUB OUT by MCGRAIL,PATRICK",,,"SUB OUT by MCGRAIL,PATRICK",2
11:43,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
11:43,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
11:28,"GOOD 3PTR by KARSNER,JOSH",34,,45 (+11),,CENTRE_M 34-45 (-11),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
11:04,,,,,"TURNOVER  by MILLER,JOEY",,,"TURNOVER  by MILLER,JOEY",2
11:01,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",2
10:57,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by DUNAVANT,JOHN",,,"REBOUND DEF by DUNAVANT,JOHN",2
10:46,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
09:14,,34,,48 (+14),"GOOD 3PTR by GALOW,ANDREW",RCMBB12 34-48 (-14),,"GOOD 3PTR by GALOW,ANDREW",2
09:14,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
09:14,,,,,"MISS JUMPER by HARTWELL,THEO",,,"MISS JUMPER by HARTWELL,THEO",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
09:14,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
09:14,,,,,"MISS 3PTR by LIVSEY,GEOFF",,,"MISS 3PTR by LIVSEY,GEOFF",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
09:14,,,,,"FOUL  by HARTWELL,THEO",,,"FOUL  by HARTWELL,THEO",2
09:14,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
09:14,,,,,"FOUL  by LIVSEY,GEOFF",,,"FOUL  by LIVSEY,GEOFF",2
09:14,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
09:14,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
09:14,,,,,"SUB IN by MCGRAIL,PATRICK",,,"SUB IN by MCGRAIL,PATRICK",2
09:14,,,,,"SUB IN by GALOW,ANDREW",,,"SUB IN by GALOW,ANDREW",2
09:14,,,,,"SUB OUT by MILLER,JOEY",,,"SUB OUT by MILLER,JOEY",2
09:14,,,,,"SUB OUT by CHIEN,KEVIN",,,"SUB OUT by CHIEN,KEVIN",2
09:14,,,,,"SUB OUT by GALLAGHER,MICHAEL",,,"SUB OUT by GALLAGHER,MICHAEL",2
09:14,,,,,"SUB OUT by KILPATRICK,KORY",,,"SUB OUT by KILPATRICK,KORY",2
09:06,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",2
09:05,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
09:00,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
09:00,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",2
09:00,,,,,"SUB IN by KILPATRICK,KORY",,,"SUB IN by KILPATRICK,KORY",2
09:00,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
08:56,,34,,51 (+17),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 34-51 (-17),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
08:32,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",2
07:40,"GOOD 3PTR by KARSNER,JOSH",37,,51 (+14),,CENTRE_M 37-51 (-14),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by MULLANEY,JEFF",,,,,,,"ASSIST  by MULLANEY,JEFF",2
07:26,,37,,53 (+16),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 37-53 (-16),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
--,,,,,"ASSIST  by LIVSEY,GEOFF",,,"ASSIST  by LIVSEY,GEOFF",2
07:13,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
07:10,,37,,54 (+17),"GOOD FT by KILPATRICK,KORY",RCMBB12 37-54 (-17),,"GOOD FT by KILPATRICK,KORY",2
06:55,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",2
--,"REBOUND OFF by TAYLOR,CHRIS",,,,,,,"REBOUND OFF by TAYLOR,CHRIS",2
06:49,"GOOD 3PTR by MULLANEY,JEFF",40,,54 (+14),,CENTRE_M 40-54 (-14),,"GOOD 3PTR by MULLANEY,JEFF",2
--,"ASSIST  by KARSNER,JOSH",,,,,,,"ASSIST  by KARSNER,JOSH",2
06:27,,,,,"MISS LAYUP by KILPATRICK,KORY",,,"MISS LAYUP by KILPATRICK,KORY",2
06:27,"BLOCK  by KARSNER,JOSH",,,,,,,"BLOCK  by KARSNER,JOSH",2
--,,,,,"REBOUND OFF by KILPATRICK,KORY",,,"REBOUND OFF by KILPATRICK,KORY",2
06:07,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
05:57,,40,,55 (+15),"GOOD FT by KILPATRICK,KORY",RCMBB12 40-55 (-15),,"GOOD FT by KILPATRICK,KORY",2
05:53,,40,,56 (+16),"GOOD FT by KILPATRICK,KORY",RCMBB12 40-56 (-16),,"GOOD FT by KILPATRICK,KORY",2
05:53,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
05:53,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
05:47,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",42,,56 (+14),,CENTRE_M 42-56 (-14),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
05:30,,42,,59 (+17),"GOOD 3PTR by DUNAVANT,JOHN",RCMBB12 42-59 (-17),,"GOOD 3PTR by DUNAVANT,JOHN",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
05:13,,,,,"FOUL  by MCGRAIL,PATRICK",,,"FOUL  by MCGRAIL,PATRICK",2
05:00,"GOOD FT by MULLANEY,JEFF",43,,59 (+16),,CENTRE_M 43-59 (-16),,"GOOD FT by MULLANEY,JEFF",2
04:52,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,"REBOUND OFF by TAYLOR,CHRIS",,,,,,,"REBOUND OFF by TAYLOR,CHRIS",2
04:47,"GOOD 3PTR by MULLANEY,JEFF",46,,59 (+13),,CENTRE_M 46-59 (-13),,"GOOD 3PTR by MULLANEY,JEFF",2
--,"ASSIST  by TAYLOR,CHRIS",,,,,,,"ASSIST  by TAYLOR,CHRIS",2
04:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
04:45,,46,,61 (+15),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 46-61 (-15),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
04:45,,,,,"FOUL  by KILPATRICK,KORY",,,"FOUL  by KILPATRICK,KORY",2
04:45,,,,,"SUB IN by LIVSEY,GEOFF",,,"SUB IN by LIVSEY,GEOFF",2
04:45,,,,,"SUB OUT by HARTWELL,THEO",,,"SUB OUT by HARTWELL,THEO",2
04:38,"GOOD FT by ROSS,GREG",47,,61 (+14),,CENTRE_M 47-61 (-14),,"GOOD FT by ROSS,GREG",2
04:38,"GOOD FT by ROSS,GREG",48,,61 (+13),,CENTRE_M 48-61 (-13),,"GOOD FT by ROSS,GREG",2
04:38,,48,,63 (+15),"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",RCMBB12 48-63 (-15),,"GOOD LAYUP by DUNAVANT,JOHN(in the paint)",2
04:38,"GOOD 3PTR by MULLANEY,JEFF",51,,63 (+12),,CENTRE_M 51-63 (-12),,"GOOD 3PTR by MULLANEY,JEFF",2
04:38,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
04:22,,,,,"SUB IN by HARTWELL,THEO",,,"SUB IN by HARTWELL,THEO",2
04:22,,,,,"SUB OUT by LIVSEY,GEOFF",,,"SUB OUT by LIVSEY,GEOFF",2
04:16,"MISS LAYUP by ROSS,GREG",,,,,,,"MISS LAYUP by ROSS,GREG",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
04:09,"GOOD LAYUP by ROSS,GREG(in the paint)",53,,63 (+10),,CENTRE_M 53-63 (-10),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
03:45,,53,,65 (+12),"GOOD JUMPER by DUNAVANT,JOHN",RCMBB12 53-65 (-12),,"GOOD JUMPER by DUNAVANT,JOHN",2
03:38,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
03:30,,53,,66 (+13),"GOOD FT by DUNAVANT,JOHN",RCMBB12 53-66 (-13),,"GOOD FT by DUNAVANT,JOHN",2
03:04,,,,,"MISS 3PTR by GALOW,ANDREW",,,"MISS 3PTR by GALOW,ANDREW",2
02:55,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by GALOW,ANDREW",,,"REBOUND DEF by GALOW,ANDREW",2
02:47,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
02:30,,53,,68 (+15),"GOOD LAYUP by HARTWELL,THEO(in the paint)",RCMBB12 53-68 (-15),,"GOOD LAYUP by HARTWELL,THEO(in the paint)",2
--,,,,,"ASSIST  by GALOW,ANDREW",,,"ASSIST  by GALOW,ANDREW",2
02:18,"TURNOVER  by ROSS,GREG",,,,,,,"TURNOVER  by ROSS,GREG",2
02:15,,,,,"STEAL  by GALOW,ANDREW",,,"STEAL  by GALOW,ANDREW",2
02:03,,,,,"MISS 3PTR by KILPATRICK,KORY",,,"MISS 3PTR by KILPATRICK,KORY",2
--,"REBOUND DEF by TAYLOR,CHRIS",,,,,,,"REBOUND DEF by TAYLOR,CHRIS",2
01:51,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
01:22,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
01:22,,53,,69 (+16),"GOOD FT by MCGRAIL,PATRICK",RCMBB12 53-69 (-16),,"GOOD FT by MCGRAIL,PATRICK",2
01:22,,53,,70 (+17),"GOOD FT by MCGRAIL,PATRICK",RCMBB12 53-70 (-17),,"GOOD FT by MCGRAIL,PATRICK",2
01:22,,,,,"MISS 3PTR by DUNAVANT,JOHN",,,"MISS 3PTR by DUNAVANT,JOHN",2
--,,,,,"REBOUND OFF by PHILLIPS,JEREMY",,,"REBOUND OFF by PHILLIPS,JEREMY",2
01:22,"SUB IN by LOHR,MATT",,,,,,,"SUB IN by LOHR,MATT",2
01:22,"SUB IN by MELLOAN,JAMES",,,,,,,"SUB IN by MELLOAN,JAMES",2
01:22,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
01:22,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
01:19,,53,,72 (+19),"GOOD LAYUP by KILPATRICK,KORY(in the paint)",RCMBB12 53-72 (-19),,"GOOD LAYUP by KILPATRICK,KORY(in the paint)",2
01:04,"GOOD 3PTR by KARSNER,JOSH",56,,72 (+16),,CENTRE_M 56-72 (-16),,"GOOD 3PTR by KARSNER,JOSH",2
00:49,"SUB IN by NEWSOME,TAYLOR",,,,,,,"SUB IN by NEWSOME,TAYLOR",2
00:49,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
00:49,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
00:49,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",2
00:26,,,,,"TURNOVER  by HARTWELL,THEO",,,"TURNOVER  by HARTWELL,THEO",2
00:24,"STEAL  by LOHR,MATT",,,,,,,"STEAL  by LOHR,MATT",2
00:19,"GOOD LAYUP by LOHR,MATT(in the paint)",58,,72 (+14),,CENTRE_M 58-72 (-14),,"GOOD LAYUP by LOHR,MATT(in the paint)",2
