Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
10:32,"SUB IN by BROWN,TYLER",,,,,,,"SUB IN by BROWN,TYLER",1
10:32,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
10:32,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
10:32,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
10:32,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
10:32,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
10:32,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
10:32,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
10:15,,,,,"MISS JUMPER by LOPEZ,COLLIN",,,"MISS JUMPER by LOPEZ,COLLIN",1
--,"REBOUND DEF by BROWN,TYLER",,,,,,,"REBOUND DEF by BROWN,TYLER",1
10:05,"TURNOVER  by WILLIAMS,TRENT",,,,,,,"TURNOVER  by WILLIAMS,TRENT",1
09:46,,8,,17 (+9),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 8-17 (+9),,"GOOD 3PTR by LOPEZ,COLLIN",1
--,,,,,"ASSIST  by JACKSON,CASEY",,,"ASSIST  by JACKSON,CASEY",1
09:36,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:19,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
08:58,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,"REBOUND DEF by BEVIACQUA,BRYAN",,,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",1
08:30,"GOOD 3PTR by BEVIACQUA,BRYAN",11,,17 (+6),,SEW 11-17 (+6),,"GOOD 3PTR by BEVIACQUA,BRYAN",1
--,"ASSIST  by AFFRONTI,LEWIS",,,,,,,"ASSIST  by AFFRONTI,LEWIS",1
08:11,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by BEVIACQUA,BRYAN",,,,,,,"REBOUND DEF by BEVIACQUA,BRYAN",1
07:50,"MISS LAYUP by BROWN,TYLER",,,,,,,"MISS LAYUP by BROWN,TYLER",1
--,"REBOUND OFF by BROWN,TYLER",,,,,,,"REBOUND OFF by BROWN,TYLER",1
07:47,,,,,"FOUL  by JACKSON,CASEY",,,"FOUL  by JACKSON,CASEY",1
07:47,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:47,"MISS FT by BROWN,TYLER",,,,,,,"MISS FT by BROWN,TYLER",1
