Time Remaining,CAMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,"REBOUND OFF by WILLIAMS,AJ",,,,,,,"REBOUND OFF by WILLIAMS,AJ",2
16:13,"GOOD LAYUP by WILLIAMS,AJ(in the paint)",38 (+5),,33,,CAMB 38-33 (-5),,"GOOD LAYUP by WILLIAMS,AJ(in the paint)",2
15:52,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",2
--,"REBOUND DEF by BOYD,JOHN",,,,,,,"REBOUND DEF by BOYD,JOHN",2
15:47,"TURNOVER  by BOYD,JOHN",,,,,,,"TURNOVER  by BOYD,JOHN",2
15:31,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",2
15:24,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,"REBOUND DEF by DULAC,GORAN",,,,,,,"REBOUND DEF by DULAC,GORAN",2
15:12,"GOOD 3PTR by BOYD,JOHN",41 (+8),,33,,CAMB 41-33 (-8),,"GOOD 3PTR by BOYD,JOHN",2
--,"ASSIST  by MAYO,SEAN",,,,,,,"ASSIST  by MAYO,SEAN",2
14:57,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:55,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
14:55,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
14:44,"MISS JUMPER by MAYO,SEAN",,,,,,,"MISS JUMPER by MAYO,SEAN",2
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",2
14:37,,41 (+6),,35,"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 41-35 (-6),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
14:07,"TURNOVER  by WILLIAMS,AJ",,,,,,,"TURNOVER  by WILLIAMS,AJ",2
14:05,,,,,"STEAL  by LOPEZ,COLLIN",,,"STEAL  by LOPEZ,COLLIN",2
13:50,,41 (+3),,38,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 41-38 (-3),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",2
13:29,"GOOD JUMPER by DULAC,GORAN",43 (+5),,38,,CAMB 43-38 (-5),,"GOOD JUMPER by DULAC,GORAN",2
--,"ASSIST  by MAYO,SEAN",,,,,,,"ASSIST  by MAYO,SEAN",2
13:26,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
13:26,"SUB IN by RAFFERTY,FRAN",,,,,,,"SUB IN by RAFFERTY,FRAN",2
13:26,"SUB OUT by DULAC,GORAN",,,,,,,"SUB OUT by DULAC,GORAN",2
13:26,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
13:26,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
13:11,,,,,"MISS JUMPER by NEWSOME,TAYLOR",,,"MISS JUMPER by NEWSOME,TAYLOR",2
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",2
12:59,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND OFF by NEWSOME,TAYLOR",,,"REBOUND OFF by NEWSOME,TAYLOR",2
12:52,,,,,"TURNOVER  by NEWSOME,TAYLOR",,,"TURNOVER  by NEWSOME,TAYLOR",2
12:50,"STEAL  by LEMONS,CORY",,,,,,,"STEAL  by LEMONS,CORY",2
12:48,"MISS LAYUP by LEMONS,CORY",,,,,,,"MISS LAYUP by LEMONS,CORY",2
--,"REBOUND OFF by MAYO,SEAN",,,,,,,"REBOUND OFF by MAYO,SEAN",2
12:44,"GOOD LAYUP by MAYO,SEAN(in the paint)",45 (+7),,38,,CAMB 45-38 (-7),,"GOOD LAYUP by MAYO,SEAN(in the paint)",2
12:16,,45 (+5),,40,"GOOD JUMPER by ROSS,GREG",CENTRE_M 45-40 (-5),,"GOOD JUMPER by ROSS,GREG",2
11:57,"MISS 3PTR by BOYD,JOHN",,,,,,,"MISS 3PTR by BOYD,JOHN",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
11:35,,45 (+2),,43,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 45-43 (-2),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by NEWSOME,TAYLOR",,,"ASSIST  by NEWSOME,TAYLOR",2
11:17,"MISS LAYUP by RAFFERTY,FRAN",,,,,,,"MISS LAYUP by RAFFERTY,FRAN",2
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",2
11:10,,,,,"MISS LAYUP by GRIGGS,MATT",,,"MISS LAYUP by GRIGGS,MATT",2
--,"REBOUND DEF by MAYO,SEAN",,,,,,,"REBOUND DEF by MAYO,SEAN",2
10:56,"GOOD JUMPER by RAFFERTY,FRAN",47 (+4),,43,,CAMB 47-43 (-4),,"GOOD JUMPER by RAFFERTY,FRAN",2
10:43,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:43,"SUB IN by KNOWLES,JEREMY",,,,,,,"SUB IN by KNOWLES,JEREMY",2
10:43,"SUB IN by MILLER,JON",,,,,,,"SUB IN by MILLER,JON",2
10:43,"SUB OUT by WILLIAMS,AJ",,,,,,,"SUB OUT by WILLIAMS,AJ",2
10:43,"SUB OUT by MAYO,SEAN",,,,,,,"SUB OUT by MAYO,SEAN",2
10:43,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",2
10:43,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",2
10:43,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",2
10:43,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
10:36,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",2
--,"REBOUND DEF by BOYD,JOHN",,,,,,,"REBOUND DEF by BOYD,JOHN",2
10:29,,,,,"FOUL  by GRIGGS,MATT",,,"FOUL  by GRIGGS,MATT",2
10:17,"TURNOVER  by LEMONS,CORY",,,,,,,"TURNOVER  by LEMONS,CORY",2
10:15,,,,,"STEAL  by GRIGGS,MATT",,,"STEAL  by GRIGGS,MATT",2
10:11,,47 (+1),,46,"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 47-46 (-1),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",2
09:56,"GOOD JUMPER by RAFFERTY,FRAN",49 (+3),,46,,CAMB 49-46 (-3),,"GOOD JUMPER by RAFFERTY,FRAN",2
--,"ASSIST  by LEMONS,CORY",,,,,,,"ASSIST  by LEMONS,CORY",2
09:28,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
09:28,"STEAL  by MILLER,JON",,,,,,,"STEAL  by MILLER,JON",2
09:28,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
09:28,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",2
09:28,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
09:28,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
09:28,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
09:11,"TURNOVER  by KNOWLES,JEREMY",,,,,,,"TURNOVER  by KNOWLES,JEREMY",2
09:09,,,,,"STEAL  by MULLANEY,JEFF",,,"STEAL  by MULLANEY,JEFF",2
08:48,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND DEF by RAFFERTY,FRAN",,,,,,,"REBOUND DEF by RAFFERTY,FRAN",2
08:40,"GOOD LAYUP by MILLER,JON(in the paint)",51 (+5),,46,,CAMB 51-46 (-5),,"GOOD LAYUP by MILLER,JON(in the paint)",2
--,"ASSIST  by RAFFERTY,FRAN",,,,,,,"ASSIST  by RAFFERTY,FRAN",2
08:18,,51 (+3),,48,"GOOD JUMPER by GRIGGS,MATT",CENTRE_M 51-48 (-3),,"GOOD JUMPER by GRIGGS,MATT",2
07:51,,,,,"FOUL  by MELLOAN,JAMES",,,"FOUL  by MELLOAN,JAMES",2
07:51,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",2
07:51,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",2
07:24,"MISS 3PTR by KNOWLES,JEREMY",,,,,,,"MISS 3PTR by KNOWLES,JEREMY",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
07:12,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND DEF by KNOWLES,JEREMY",,,,,,,"REBOUND DEF by KNOWLES,JEREMY",2
07:08,,,,,"FOUL  by ELLIS,BRYON",,,"FOUL  by ELLIS,BRYON",2
07:08,"SUB IN by WILLIAMS,AJ",,,,,,,"SUB IN by WILLIAMS,AJ",2
07:08,"SUB OUT by BOYD,JOHN",,,,,,,"SUB OUT by BOYD,JOHN",2
07:08,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
07:08,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
06:50,"MISS JUMPER by LEMONS,CORY",,,,,,,"MISS JUMPER by LEMONS,CORY",2
--,"REBOUND OFF by KNOWLES,JEREMY",,,,,,,"REBOUND OFF by KNOWLES,JEREMY",2
06:45,"FOUL  by KNOWLES,JEREMY",,,,,,,"FOUL  by KNOWLES,JEREMY",2
06:45,"TURNOVER  by KNOWLES,JEREMY",,,,,,,"TURNOVER  by KNOWLES,JEREMY",2
06:15,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
06:08,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",2
--,"REBOUND DEF by MILLER,JON",,,,,,,"REBOUND DEF by MILLER,JON",2
05:57,"MISS 3PTR by WILLIAMS,AJ",,,,,,,"MISS 3PTR by WILLIAMS,AJ",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
05:30,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",2
--,"REBOUND DEF by RAFFERTY,FRAN",,,,,,,"REBOUND DEF by RAFFERTY,FRAN",2
05:09,"SUB IN by DULAC,GORAN",,,,,,,"SUB IN by DULAC,GORAN",2
05:09,"SUB OUT by MILLER,JON",,,,,,,"SUB OUT by MILLER,JON",2
05:09,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",2
05:09,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
05:03,"MISS 3PTR by LEMONS,CORY",,,,,,,"MISS 3PTR by LEMONS,CORY",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
04:52,,,,,"MISS LAYUP by MULLANEY,JEFF",,,"MISS LAYUP by MULLANEY,JEFF",2
04:52,"BLOCK  by KNOWLES,JEREMY",,,,,,,"BLOCK  by KNOWLES,JEREMY",2
--,,,,,"REBOUND OFF by ELLIS,BRYON",,,"REBOUND OFF by ELLIS,BRYON",2
04:42,,51,,51,"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 51-51 (0),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
04:26,"FOUL  by LEMONS,CORY",,,,,,,"FOUL  by LEMONS,CORY",2
04:26,"TURNOVER  by LEMONS,CORY",,,,,,,"TURNOVER  by LEMONS,CORY",2
04:10,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
04:08,"STEAL  by KNOWLES,JEREMY",,,,,,,"STEAL  by KNOWLES,JEREMY",2
04:05,"GOOD LAYUP by KNOWLES,JEREMY(in the paint)",53 (+2),,51,,CAMB 53-51 (-2),,"GOOD LAYUP by KNOWLES,JEREMY(in the paint)",2
03:39,"FOUL  by WILLIAMS,AJ",,,,,,,"FOUL  by WILLIAMS,AJ",2
03:39,"SUB IN by BOYD,JOHN",,,,,,,"SUB IN by BOYD,JOHN",2
03:39,"SUB OUT by WILLIAMS,AJ",,,,,,,"SUB OUT by WILLIAMS,AJ",2
03:28,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
03:11,"FOUL  by KNOWLES,JEREMY",,,,,,,"FOUL  by KNOWLES,JEREMY",2
03:00,,53,,53,"GOOD JUMPER by ROSS,GREG",CENTRE_M 53-53 (0),,"GOOD JUMPER by ROSS,GREG",2
--,,,,,"ASSIST  by ELLIS,BRYON",,,"ASSIST  by ELLIS,BRYON",2
03:00,"FOUL  by RAFFERTY,FRAN",,,,,,,"FOUL  by RAFFERTY,FRAN",2
03:00,,53,,54 (+1),"GOOD FT by ROSS,GREG",CENTRE_M 53-54 (+1),,"GOOD FT by ROSS,GREG",2
02:38,"MISS JUMPER by BOYD,JOHN",,,,,,,"MISS JUMPER by BOYD,JOHN",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
02:07,,53,,56 (+3),"GOOD JUMPER by MULLANEY,JEFF",CENTRE_M 53-56 (+3),,"GOOD JUMPER by MULLANEY,JEFF",2
01:48,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
01:33,"MISS LAYUP by DULAC,GORAN",,,,,,,"MISS LAYUP by DULAC,GORAN",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
01:19,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:04,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,"REBOUND DEF by BOYD,JOHN",,,,,,,"REBOUND DEF by BOYD,JOHN",2
00:56,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:56,"GOOD LAYUP by BOYD,JOHN(in the paint)",55,,56 (+1),,CAMB 55-56 (+1),,"GOOD LAYUP by BOYD,JOHN(in the paint)",2
00:56,"SUB IN by WILLIAMS,AJ",,,,,,,"SUB IN by WILLIAMS,AJ",2
00:56,"SUB OUT by BOYD,JOHN",,,,,,,"SUB OUT by BOYD,JOHN",2
00:56,"SUB OUT by DULAC,GORAN",,,,,,,"SUB OUT by DULAC,GORAN",2
00:41,"SUB IN by DULAC,GORAN",,,,,,,"SUB IN by DULAC,GORAN",2
00:41,"SUB OUT by WILLIAMS,AJ",,,,,,,"SUB OUT by WILLIAMS,AJ",2
00:26,"FOUL  by LEMONS,CORY",,,,,,,"FOUL  by LEMONS,CORY",2
00:26,,,,,"MISS FT by ELLIS,BRYON",,,"MISS FT by ELLIS,BRYON",2
--,"REBOUND DEF by RAFFERTY,FRAN",,,,,,,"REBOUND DEF by RAFFERTY,FRAN",2
00:21,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:21,"SUB IN by WILLIAMS,AJ",,,,,,,"SUB IN by WILLIAMS,AJ",2
00:21,"SUB OUT by DULAC,GORAN",,,,,,,"SUB OUT by DULAC,GORAN",2
00:10,,,,,"FOUL  by MULLANEY,JEFF",,,"FOUL  by MULLANEY,JEFF",2
00:04,"GOOD JUMPER by LEMONS,CORY",57 (+1),,56,,CAMB 57-56 (-1),,"GOOD JUMPER by LEMONS,CORY",2
00:02,"SUB IN by DULAC,GORAN",,,,,,,"SUB IN by DULAC,GORAN",2
00:02,"SUB OUT by WILLIAMS,AJ",,,,,,,"SUB OUT by WILLIAMS,AJ",2
00:00,"FOUL  by RAFFERTY,FRAN",,,,,,,"FOUL  by RAFFERTY,FRAN",2
00:00,,,,,"MISS FT by ROSS,GREG",,,"MISS FT by ROSS,GREG",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:00,,57,,57,"GOOD FT by ROSS,GREG",CENTRE_M 57-57 (0),,"GOOD FT by ROSS,GREG",2
04:49,"MISS 3PTR by RAFFERTY,FRAN",,,,,,,"MISS 3PTR by RAFFERTY,FRAN",3
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",3
04:25,,57,,59 (+2),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 57-59 (+2),,"GOOD JUMPER by KARSNER,JOSH",3
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",3
04:13,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",3
04:13,"GOOD FT by RAFFERTY,FRAN",58,,59 (+1),,CAMB 58-59 (+1),,"GOOD FT by RAFFERTY,FRAN",3
04:13,"MISS FT by RAFFERTY,FRAN",,,,,,,"MISS FT by RAFFERTY,FRAN",3
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",3
03:57,"FOUL  by BOYD,JOHN",,,,,,,"FOUL  by BOYD,JOHN",3
03:57,,58,,60 (+2),"GOOD FT by MULLANEY,JEFF",CENTRE_M 58-60 (+2),,"GOOD FT by MULLANEY,JEFF",3
03:57,,58,,61 (+3),"GOOD FT by MULLANEY,JEFF",CENTRE_M 58-61 (+3),,"GOOD FT by MULLANEY,JEFF",3
03:44,"GOOD LAYUP by LEMONS,CORY(in the paint)",60,,61 (+1),,CAMB 60-61 (+1),,"GOOD LAYUP by LEMONS,CORY(in the paint)",3
03:14,,60,,63 (+3),"GOOD JUMPER by MULLANEY,JEFF",CENTRE_M 60-63 (+3),,"GOOD JUMPER by MULLANEY,JEFF",3
03:00,"MISS 3PTR by RAFFERTY,FRAN",,,,,,,"MISS 3PTR by RAFFERTY,FRAN",3
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",3
02:31,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",3
02:27,"STEAL  by RAFFERTY,FRAN",,,,,,,"STEAL  by RAFFERTY,FRAN",3
02:19,"GOOD JUMPER by LEMONS,CORY",62,,63 (+1),,CAMB 62-63 (+1),,"GOOD JUMPER by LEMONS,CORY",3
02:19,"SUB IN by KNOWLES,JEREMY",,,,,,,"SUB IN by KNOWLES,JEREMY",3
02:19,"SUB OUT by BOYD,JOHN",,,,,,,"SUB OUT by BOYD,JOHN",3
02:02,"FOUL  by LEMONS,CORY",,,,,,,"FOUL  by LEMONS,CORY",3
02:02,,,,,"MISS FT by ROSS,GREG",,,"MISS FT by ROSS,GREG",3
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,3
02:02,,62,,64 (+2),"GOOD FT by ROSS,GREG",CENTRE_M 62-64 (+2),,"GOOD FT by ROSS,GREG",3
01:44,"GOOD JUMPER by DULAC,GORAN",64,,64,,CAMB 64-64 (0),,"GOOD JUMPER by DULAC,GORAN",3
--,"ASSIST  by RAFFERTY,FRAN",,,,,,,"ASSIST  by RAFFERTY,FRAN",3
01:34,"FOUL  by KNOWLES,JEREMY",,,,,,,"FOUL  by KNOWLES,JEREMY",3
01:34,,64,,65 (+1),"GOOD FT by MULLANEY,JEFF",CENTRE_M 64-65 (+1),,"GOOD FT by MULLANEY,JEFF",3
01:34,,,,,"MISS FT by MULLANEY,JEFF",,,"MISS FT by MULLANEY,JEFF",3
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,3
01:32,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,3
01:11,"MISS JUMPER by LEMONS,CORY",,,,,,,"MISS JUMPER by LEMONS,CORY",3
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",3
00:40,,64,,67 (+3),"GOOD JUMPER by ROSS,GREG",CENTRE_M 64-67 (+3),,"GOOD JUMPER by ROSS,GREG",3
00:20,"GOOD 3PTR by DULAC,GORAN",67,,67,,CAMB 67-67 (0),,"GOOD 3PTR by DULAC,GORAN",3
00:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,3
00:17,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",3
00:00,"FOUL  by RAFFERTY,FRAN",,,,,,,"FOUL  by RAFFERTY,FRAN",3
00:00,,67,,68 (+1),"GOOD FT by ROSS,GREG",CENTRE_M 67-68 (+1),,"GOOD FT by ROSS,GREG",3
00:00,,67,,69 (+2),"GOOD FT by ROSS,GREG",CENTRE_M 67-69 (+2),,"GOOD FT by ROSS,GREG",3
