Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,TRINITY,Game Score,Team Indicator,Play,Period
13:21,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
13:10,,,,,"TURNOVER  by HOPSON,HEATH",,,"TURNOVER  by HOPSON,HEATH",2
13:08,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
12:51,,,,,"FOUL  by HOPSON,HEATH",,,"FOUL  by HOPSON,HEATH",2
12:51,"GOOD FT by WHITESIDE,DONOVAN",30,,33 (+3),,CENTRE 30-33 (-3),,"GOOD FT by WHITESIDE,DONOVAN",2
12:51,"GOOD FT by WHITESIDE,DONOVAN",31,,33 (+2),,CENTRE 31-33 (-2),,"GOOD FT by WHITESIDE,DONOVAN",2
12:51,,,,,"SUB IN by SELLING,MATT",,,"SUB IN by SELLING,MATT",2
12:51,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
12:35,,,,,"MISS LAYUP by LAVANWAY,JOHN",,,"MISS LAYUP by LAVANWAY,JOHN",2
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",2
12:24,"MISS JUMPER by TAYLOR,CHRIS",,,,,,,"MISS JUMPER by TAYLOR,CHRIS",2
--,"REBOUND OFF by MELLOAN,JAMES",,,,,,,"REBOUND OFF by MELLOAN,JAMES",2
12:20,"MISS JUMPER by MELLOAN,JAMES",,,,,,,"MISS JUMPER by MELLOAN,JAMES",2
12:20,,,,,"BLOCK  by SELLING,MATT",,,"BLOCK  by SELLING,MATT",2
--,,,,,"REBOUND DEF by HOPSON,HEATH",,,"REBOUND DEF by HOPSON,HEATH",2
12:09,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
12:09,,,,,"SUB IN by LAMBERT,ZACH",,,"SUB IN by LAMBERT,ZACH",2
12:09,,,,,"SUB OUT by HOPSON,HEATH",,,"SUB OUT by HOPSON,HEATH",2
11:41,,,,,"TURNOVER  by LAVANWAY,JOHN",,,"TURNOVER  by LAVANWAY,JOHN",2
11:41,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
11:41,"SUB OUT by MELLOAN,JAMES",,,,,,,"SUB OUT by MELLOAN,JAMES",2
11:25,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",33,,33,,CENTRE 33-33 (0),,"GOOD LAYUP by WHITESIDE,DONOVAN(in the paint)",2
11:10,,,,,"MISS JUMPER by FELDMAN,MATT",,,"MISS JUMPER by FELDMAN,MATT",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
10:47,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",35 (+2),,33,,CENTRE 35-33 (+2),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
10:36,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
10:36,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
10:36,,,,,"SUB OUT by BEALL,RYAN",,,"SUB OUT by BEALL,RYAN",2
10:24,,35,,35,"GOOD JUMPER by FELDMAN,MATT",TRINITY 35-35 (0),,"GOOD JUMPER by FELDMAN,MATT",2
--,,,,,"ASSIST  by LAVANWAY,JOHN",,,"ASSIST  by LAVANWAY,JOHN",2
10:19,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",2
10:19,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",2
09:56,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,"REBOUND OFF by WHITESIDE,DONOVAN",,,,,,,"REBOUND OFF by WHITESIDE,DONOVAN",2
09:54,,,,,"FOUL  by FELDMAN,MATT",,,"FOUL  by FELDMAN,MATT",2
09:40,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
09:39,,,,,"STEAL  by SELLING,MATT",,,"STEAL  by SELLING,MATT",2
09:32,,35,,38 (+3),"GOOD 3PTR by LAMBERT,ZACH",TRINITY 35-38 (-3),,"GOOD 3PTR by LAMBERT,ZACH",2
--,,,,,"ASSIST  by KITZINGER,ROBERT",,,"ASSIST  by KITZINGER,ROBERT",2
09:15,"GOOD JUMPER by MULLANEY,JEFF(in the paint)",37,,38 (+1),,CENTRE 37-38 (-1),,"GOOD JUMPER by MULLANEY,JEFF(in the paint)",2
08:57,,37,,41 (+4),"GOOD 3PTR by LAMBERT,ZACH",TRINITY 37-41 (-4),,"GOOD 3PTR by LAMBERT,ZACH",2
--,,,,,"ASSIST  by LAVANWAY,JOHN",,,"ASSIST  by LAVANWAY,JOHN",2
08:46,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:32,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
08:32,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
08:32,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
08:32,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
08:15,"MISS 3PTR by TAYLOR,CHRIS",,,,,,,"MISS 3PTR by TAYLOR,CHRIS",2
--,"REBOUND OFF by MULLANEY,JEFF",,,,,,,"REBOUND OFF by MULLANEY,JEFF",2
07:56,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
07:39,,37,,44 (+7),"GOOD 3PTR by LAMBERT,ZACH",TRINITY 37-44 (-7),,"GOOD 3PTR by LAMBERT,ZACH",2
--,,,,,"ASSIST  by BEALL,RYAN",,,"ASSIST  by BEALL,RYAN",2
07:17,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
07:16,,,,,"STEAL  by BEALL,RYAN",,,"STEAL  by BEALL,RYAN",2
07:10,,,,,"SUB IN by BEALL,RYAN",,,"SUB IN by BEALL,RYAN",2
07:10,,,,,"SUB OUT by SELLING,MATT",,,"SUB OUT by SELLING,MATT",2
06:49,,,,,"MISS 3PTR by BEALL,RYAN",,,"MISS 3PTR by BEALL,RYAN",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
06:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
06:38,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
06:38,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
06:38,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
06:38,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
06:38,,,,,"SUB IN by YOUNG,WILLIAM",,,"SUB IN by YOUNG,WILLIAM",2
06:38,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",2
06:20,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
06:02,,,,,"TURNOVER  by LAMBERT,ZACH",,,"TURNOVER  by LAMBERT,ZACH",2
06:01,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
05:52,"MISS 3PTR by LOPEZ,COLLIN",,,,,,,"MISS 3PTR by LOPEZ,COLLIN",2
--,,,,,"REBOUND DEF by KITZINGER,ROBERT",,,"REBOUND DEF by KITZINGER,ROBERT",2
05:37,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
05:37,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:23,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
05:08,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
05:07,,,,,"FOUL  by LAVANWAY,JOHN",,,"FOUL  by LAVANWAY,JOHN",2
04:34,"MISS LAYUP by MULLANEY,JEFF",,,,,,,"MISS LAYUP by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",2
04:19,,37,,46 (+9),"GOOD JUMPER by LAMBERT,ZACH",TRINITY 37-46 (-9),,"GOOD JUMPER by LAMBERT,ZACH",2
--,,,,,"ASSIST  by YOUNG,WILLIAM",,,"ASSIST  by YOUNG,WILLIAM",2
03:52,,,,,"FOUL  by BEALL,RYAN",,,"FOUL  by BEALL,RYAN",2
03:52,"GOOD FT by MULLANEY,JEFF",38,,46 (+8),,CENTRE 38-46 (-8),,"GOOD FT by MULLANEY,JEFF",2
03:52,"MISS FT by MULLANEY,JEFF",,,,,,,"MISS FT by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by LAVANWAY,JOHN",,,"REBOUND DEF by LAVANWAY,JOHN",2
03:29,,38,,48 (+10),"GOOD JUMPER by LAMBERT,ZACH(in the paint)",TRINITY 38-48 (-10),,"GOOD JUMPER by LAMBERT,ZACH(in the paint)",2
--,,,,,"ASSIST  by LAVANWAY,JOHN",,,"ASSIST  by LAVANWAY,JOHN",2
02:57,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
02:55,,,,,"STEAL  by YOUNG,WILLIAM",,,"STEAL  by YOUNG,WILLIAM",2
02:49,,,,,"TURNOVER  by YOUNG,WILLIAM",,,"TURNOVER  by YOUNG,WILLIAM",2
02:48,"STEAL  by ROSS,GREG",,,,,,,"STEAL  by ROSS,GREG",2
02:38,"MISS LAYUP by WHITESIDE,DONOVAN",,,,,,,"MISS LAYUP by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by KITZINGER,ROBERT",,,"REBOUND DEF by KITZINGER,ROBERT",2
02:27,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
02:27,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
02:27,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
02:07,,,,,"MISS 3PTR by KITZINGER,ROBERT",,,"MISS 3PTR by KITZINGER,ROBERT",2
--,"REBOUND DEF by LOPEZ,COLLIN",,,,,,,"REBOUND DEF by LOPEZ,COLLIN",2
01:50,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by BEALL,RYAN",,,"REBOUND DEF by BEALL,RYAN",2
01:41,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
01:41,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
01:41,,38,,49 (+11),"GOOD FT by FELDMAN,MATT",TRINITY 38-49 (-11),,"GOOD FT by FELDMAN,MATT",2
01:41,,38,,50 (+12),"GOOD FT by FELDMAN,MATT",TRINITY 38-50 (-12),,"GOOD FT by FELDMAN,MATT",2
01:41,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
01:41,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
01:41,,,,,"SUB IN by BEALL,RYAN",,,"SUB IN by BEALL,RYAN",2
01:41,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",2
01:41,,,,,"SUB IN by HOPSON,HEATH",,,"SUB IN by HOPSON,HEATH",2
01:41,,,,,"SUB IN by FELDMAN,MATT",,,"SUB IN by FELDMAN,MATT",2
01:41,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",2
01:41,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
01:41,,,,,"SUB OUT by BEALL,RYAN",,,"SUB OUT by BEALL,RYAN",2
01:41,,,,,"SUB OUT by LAVANWAY,JOHN",,,"SUB OUT by LAVANWAY,JOHN",2
01:36,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
01:36,,,,,"BLOCK  by HOPSON,HEATH",,,"BLOCK  by HOPSON,HEATH",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
01:29,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
01:29,"GOOD 3PTR by KARSNER,JOSH",41,,50 (+9),,CENTRE 41-50 (-9),,"GOOD 3PTR by KARSNER,JOSH",2
--,"ASSIST  by LOPEZ,COLLIN",,,,,,,"ASSIST  by LOPEZ,COLLIN",2
01:29,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
01:29,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
01:29,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
01:29,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
01:29,,,,,"SUB IN by FELDMAN,MATT",,,"SUB IN by FELDMAN,MATT",2
01:29,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
01:29,,,,,"SUB OUT by BEALL,RYAN",,,"SUB OUT by BEALL,RYAN",2
01:29,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
01:26,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
01:26,,41,,51 (+10),"GOOD FT by YOUNG,WILLIAM",TRINITY 41-51 (-10),,"GOOD FT by YOUNG,WILLIAM",2
01:26,,41,,52 (+11),"GOOD FT by YOUNG,WILLIAM",TRINITY 41-52 (-11),,"GOOD FT by YOUNG,WILLIAM",2
01:26,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
01:26,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
01:26,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
01:26,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
01:26,,,,,"SUB IN by BEALL,RYAN",,,"SUB IN by BEALL,RYAN",2
01:26,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",2
01:26,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",2
01:26,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
01:19,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,"REBOUND OFF by MULLANEY,JEFF",,,,,,,"REBOUND OFF by MULLANEY,JEFF",2
01:15,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",43,,52 (+9),,CENTRE 43-52 (-9),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
01:15,,,,,"FOUL  by LAMBERT,ZACH",,,"FOUL  by LAMBERT,ZACH",2
01:15,"GOOD FT by MULLANEY,JEFF",44,,52 (+8),,CENTRE 44-52 (-8),,"GOOD FT by MULLANEY,JEFF",2
01:15,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
01:15,"SUB IN by TAYLOR,CHRIS",,,,,,,"SUB IN by TAYLOR,CHRIS",2
01:15,"SUB OUT by KARSNER,JOSH",,,,,,,"SUB OUT by KARSNER,JOSH",2
01:15,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
01:15,,,,,"SUB IN by FELDMAN,MATT",,,"SUB IN by FELDMAN,MATT",2
01:15,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
01:15,,,,,"SUB OUT by BEALL,RYAN",,,"SUB OUT by BEALL,RYAN",2
01:15,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
01:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
01:07,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
01:07,,44,,53 (+9),"GOOD FT by HOPSON,HEATH",TRINITY 44-53 (-9),,"GOOD FT by HOPSON,HEATH",2
01:07,,44,,54 (+10),"GOOD FT by HOPSON,HEATH",TRINITY 44-54 (-10),,"GOOD FT by HOPSON,HEATH",2
01:07,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",2
01:07,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
01:07,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
01:07,"SUB OUT by TAYLOR,CHRIS",,,,,,,"SUB OUT by TAYLOR,CHRIS",2
01:07,,,,,"SUB IN by BEALL,RYAN",,,"SUB IN by BEALL,RYAN",2
01:07,,,,,"SUB IN by WILT,JONATHAN",,,"SUB IN by WILT,JONATHAN",2
01:07,,,,,"SUB OUT by FELDMAN,MATT",,,"SUB OUT by FELDMAN,MATT",2
01:07,,,,,"SUB OUT by KITZINGER,ROBERT",,,"SUB OUT by KITZINGER,ROBERT",2
00:59,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",46,,54 (+8),,CENTRE 46-54 (-8),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
00:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:53,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
00:53,,46,,55 (+9),"GOOD FT by LAMBERT,ZACH",TRINITY 46-55 (-9),,"GOOD FT by LAMBERT,ZACH",2
00:53,,46,,56 (+10),"GOOD FT by LAMBERT,ZACH",TRINITY 46-56 (-10),,"GOOD FT by LAMBERT,ZACH",2
00:48,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
00:47,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
00:47,,46,,57 (+11),"GOOD FT by LAMBERT,ZACH",TRINITY 46-57 (-11),,"GOOD FT by LAMBERT,ZACH",2
00:47,,,,,"MISS FT by LAMBERT,ZACH",,,"MISS FT by LAMBERT,ZACH",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
00:38,"GOOD LAYUP by ROSS,GREG(in the paint)",48,,57 (+9),,CENTRE 48-57 (-9),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
00:35,"FOUL  by MULLANEY,JEFF",,,,,,,"FOUL  by MULLANEY,JEFF",2
00:35,,,,,"MISS FT by WILT,JONATHAN",,,"MISS FT by WILT,JONATHAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:35,,,,,"MISS FT by WILT,JONATHAN",,,"MISS FT by WILT,JONATHAN",2
--,"REBOUND DEF by KARSNER,JOSH",,,,,,,"REBOUND DEF by KARSNER,JOSH",2
00:24,"GOOD LAYUP by ROSS,GREG(in the paint)",50,,57 (+7),,CENTRE 50-57 (-7),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
00:22,"FOUL  by TAYLOR,CHRIS",,,,,,,"FOUL  by TAYLOR,CHRIS",2
00:22,,50,,58 (+8),"GOOD FT by KITZINGER,ROBERT",TRINITY 50-58 (-8),,"GOOD FT by KITZINGER,ROBERT",2
00:22,,50,,59 (+9),"GOOD FT by KITZINGER,ROBERT",TRINITY 50-59 (-9),,"GOOD FT by KITZINGER,ROBERT",2
00:15,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by WILT,JONATHAN",,,"REBOUND DEF by WILT,JONATHAN",2
00:10,"FOUL  by KARSNER,JOSH",,,,,,,"FOUL  by KARSNER,JOSH",2
00:10,,50,,60 (+10),"GOOD FT by HOPSON,HEATH",TRINITY 50-60 (-10),,"GOOD FT by HOPSON,HEATH",2
00:10,,50,,61 (+11),"GOOD FT by HOPSON,HEATH",TRINITY 50-61 (-11),,"GOOD FT by HOPSON,HEATH",2
00:10,,,,,"SUB IN by KITZINGER,ROBERT",,,"SUB IN by KITZINGER,ROBERT",2
00:10,,,,,"SUB OUT by WILT,JONATHAN",,,"SUB OUT by WILT,JONATHAN",2
00:03,"MISS 3PTR by KARSNER,JOSH",,,,,,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND DEF by LAMBERT,ZACH",,,"REBOUND DEF by LAMBERT,ZACH",2
