Time Remaining,BEREA_M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",1
19:48,"MISS 3PTR by PONDER,AARON",,,,,,,"MISS 3PTR by PONDER,AARON",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
19:34,,29,,38 (+9),"GOOD LAYUP by MULLANEY,JEFF(in the paint)",CENTRE_M 29-38 (+9),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
--,,,,,"ASSIST  by TAYLOR,CHRIS",,,"ASSIST  by TAYLOR,CHRIS",2
19:09,"MISS JUMPER by WEBSTER,TEVIN",,,,,,,"MISS JUMPER by WEBSTER,TEVIN",2
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",2
18:55,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",2
--,"REBOUND DEF by WEBSTER,TEVIN",,,,,,,"REBOUND DEF by WEBSTER,TEVIN",2
18:39,"GOOD LAYUP by WEBSTER,TEVIN(in the paint)",31,,38 (+7),,BEREA_M 31-38 (+7),,"GOOD LAYUP by WEBSTER,TEVIN(in the paint)",2
--,"ASSIST  by CROSS,HARRY",,,,,,,"ASSIST  by CROSS,HARRY",2
18:17,,31,,40 (+9),"GOOD JUMPER by KARSNER,JOSH",CENTRE_M 31-40 (+9),,"GOOD JUMPER by KARSNER,JOSH",2
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",2
18:03,"TURNOVER  by PONDER,AARON",,,,,,,"TURNOVER  by PONDER,AARON",2
18:01,,,,,"STEAL  by TAYLOR,CHRIS",,,"STEAL  by TAYLOR,CHRIS",2
17:57,"FOUL  by WEBSTER,TEVIN",,,,,,,"FOUL  by WEBSTER,TEVIN",2
17:57,"SUB IN by CONGLETON,TREY",,,,,,,"SUB IN by CONGLETON,TREY",2
17:57,"SUB IN by GARMON,DOMINIQUE",,,,,,,"SUB IN by GARMON,DOMINIQUE",2
17:57,"SUB IN by CLARK,JOSH",,,,,,,"SUB IN by CLARK,JOSH",2
17:57,"SUB OUT by DAVIS,DEREK",,,,,,,"SUB OUT by DAVIS,DEREK",2
17:57,"SUB OUT by RILEY,KOTY",,,,,,,"SUB OUT by RILEY,KOTY",2
17:57,"SUB OUT by PONDER,AARON",,,,,,,"SUB OUT by PONDER,AARON",2
17:41,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",2
17:41,"BLOCK  by WEBSTER,TEVIN",,,,,,,"BLOCK  by WEBSTER,TEVIN",2
--,"REBOUND DEF by CROSS,HARRY",,,,,,,"REBOUND DEF by CROSS,HARRY",2
17:34,"MISS JUMPER by CROSS,HARRY",,,,,,,"MISS JUMPER by CROSS,HARRY",2
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",2
17:17,"FOUL  by WEBSTER,TEVIN",,,,,,,"FOUL  by WEBSTER,TEVIN",2
17:13,,31,,43 (+12),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 31-43 (+12),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
17:02,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
17:02,"SUB IN by CANNON,KAIRO",,,,,,,"SUB IN by CANNON,KAIRO",2
17:02,"SUB OUT by WEBSTER,TEVIN",,,,,,,"SUB OUT by WEBSTER,TEVIN",2
16:44,"GOOD JUMPER by CLARK,JOSH",33,,43 (+10),,BEREA_M 33-43 (+10),,"GOOD JUMPER by CLARK,JOSH",2
16:26,,33,,46 (+13),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 33-46 (+13),,"GOOD 3PTR by ELLIS,BRYON",2
16:12,"TURNOVER  by CONGLETON,TREY",,,,,,,"TURNOVER  by CONGLETON,TREY",2
16:10,,,,,"STEAL  by MULLANEY,JEFF",,,"STEAL  by MULLANEY,JEFF",2
16:05,"SUB IN by RILEY,KOTY",,,,,,,"SUB IN by RILEY,KOTY",2
16:05,"SUB OUT by CONGLETON,TREY",,,,,,,"SUB OUT by CONGLETON,TREY",2
15:56,,33,,48 (+15),"GOOD JUMPER by TAYLOR,CHRIS",CENTRE_M 33-48 (+15),,"GOOD JUMPER by TAYLOR,CHRIS",2
15:43,"MISS JUMPER by CANNON,KAIRO",,,,,,,"MISS JUMPER by CANNON,KAIRO",2
--,"REBOUND OFF by CLARK,JOSH",,,,,,,"REBOUND OFF by CLARK,JOSH",2
15:39,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",2
15:39,"GOOD FT by CLARK,JOSH",34,,48 (+14),,BEREA_M 34-48 (+14),,"GOOD FT by CLARK,JOSH",2
15:39,"GOOD FT by CLARK,JOSH",35,,48 (+13),,BEREA_M 35-48 (+13),,"GOOD FT by CLARK,JOSH",2
15:39,"SUB IN by DAVIS,DEREK",,,,,,,"SUB IN by DAVIS,DEREK",2
15:39,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",2
15:21,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",2
15:13,,,,,"MISS FT by MULLANEY,JEFF",,,"MISS FT by MULLANEY,JEFF",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:13,,35,,49 (+14),"GOOD FT by MULLANEY,JEFF",CENTRE_M 35-49 (+14),,"GOOD FT by MULLANEY,JEFF",2
15:13,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
15:13,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
15:04,"TURNOVER  by CLARK,JOSH",,,,,,,"TURNOVER  by CLARK,JOSH",2
14:53,,,,,"MISS 3PTR by ROSS,GREG",,,"MISS 3PTR by ROSS,GREG",2
--,"REBOUND DEF by CROSS,HARRY",,,,,,,"REBOUND DEF by CROSS,HARRY",2
14:44,"GOOD LAYUP by RILEY,KOTY(in the paint)",37,,49 (+12),,BEREA_M 37-49 (+12),,"GOOD LAYUP by RILEY,KOTY(in the paint)",2
14:23,,37,,51 (+14),"GOOD JUMPER by ROSS,GREG",CENTRE_M 37-51 (+14),,"GOOD JUMPER by ROSS,GREG",2
--,,,,,"ASSIST  by LOPEZ,COLLIN",,,"ASSIST  by LOPEZ,COLLIN",2
14:09,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
14:09,"GOOD FT by CROSS,HARRY",38,,51 (+13),,BEREA_M 38-51 (+13),,"GOOD FT by CROSS,HARRY",2
14:09,"GOOD FT by CROSS,HARRY",39,,51 (+12),,BEREA_M 39-51 (+12),,"GOOD FT by CROSS,HARRY",2
14:09,"SUB IN by WEBSTER,TEVIN",,,,,,,"SUB IN by WEBSTER,TEVIN",2
14:09,"SUB IN by HAYDEN,RASHAD",,,,,,,"SUB IN by HAYDEN,RASHAD",2
14:09,"SUB OUT by CANNON,KAIRO",,,,,,,"SUB OUT by CANNON,KAIRO",2
14:09,"SUB OUT by DAVIS,DEREK",,,,,,,"SUB OUT by DAVIS,DEREK",2
14:09,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",2
14:09,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
14:09,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
14:09,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",2
13:53,,39,,53 (+14),"GOOD LAYUP by ROSS,GREG(in the paint)",CENTRE_M 39-53 (+14),,"GOOD LAYUP by ROSS,GREG(in the paint)",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
13:39,"GOOD 3PTR by CROSS,HARRY",42,,53 (+11),,BEREA_M 42-53 (+11),,"GOOD 3PTR by CROSS,HARRY",2
--,"ASSIST  by RILEY,KOTY",,,,,,,"ASSIST  by RILEY,KOTY",2
13:20,,,,,"MISS LAYUP by MULLANEY,JEFF",,,"MISS LAYUP by MULLANEY,JEFF",2
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",2
13:15,,42,,54 (+12),"GOOD FT by ROSS,GREG",CENTRE_M 42-54 (+12),,"GOOD FT by ROSS,GREG",2
13:15,,42,,55 (+13),"GOOD FT by ROSS,GREG",CENTRE_M 42-55 (+13),,"GOOD FT by ROSS,GREG",2
13:15,"SUB IN by PONDER,AARON",,,,,,,"SUB IN by PONDER,AARON",2
13:15,"SUB IN by CONGLETON,TREY",,,,,,,"SUB IN by CONGLETON,TREY",2
13:15,"SUB OUT by RILEY,KOTY",,,,,,,"SUB OUT by RILEY,KOTY",2
13:15,"SUB OUT by CLARK,JOSH",,,,,,,"SUB OUT by CLARK,JOSH",2
13:15,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",2
13:15,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
13:04,"GOOD LAYUP by CROSS,HARRY(in the paint)",44,,55 (+11),,BEREA_M 44-55 (+11),,"GOOD LAYUP by CROSS,HARRY(in the paint)",2
12:45,,,,,"MISS 3PTR by LOPEZ,COLLIN",,,"MISS 3PTR by LOPEZ,COLLIN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:42,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
12:42,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
12:26,"TURNOVER  by HAYDEN,RASHAD",,,,,,,"TURNOVER  by HAYDEN,RASHAD",2
12:24,,,,,"STEAL  by GRIGGS,MATT",,,"STEAL  by GRIGGS,MATT",2
12:21,,44,,58 (+14),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 44-58 (+14),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
12:17,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
12:17,"SUB IN by GARMON,DOMINIQUE",,,,,,,"SUB IN by GARMON,DOMINIQUE",2
12:17,"SUB OUT by HAYDEN,RASHAD",,,,,,,"SUB OUT by HAYDEN,RASHAD",2
12:12,"TURNOVER  by WEBSTER,TEVIN",,,,,,,"TURNOVER  by WEBSTER,TEVIN",2
12:11,,,,,"STEAL  by WHITESIDE,DONOVAN",,,"STEAL  by WHITESIDE,DONOVAN",2
12:10,"FOUL  by GARMON,DOMINIQUE",,,,,,,"FOUL  by GARMON,DOMINIQUE",2
12:10,,44,,59 (+15),"GOOD FT by GRIGGS,MATT",CENTRE_M 44-59 (+15),,"GOOD FT by GRIGGS,MATT",2
12:10,,44,,60 (+16),"GOOD FT by GRIGGS,MATT",CENTRE_M 44-60 (+16),,"GOOD FT by GRIGGS,MATT",2
11:46,"GOOD DUNK by WEBSTER,TEVIN(in the paint)",46,,60 (+14),,BEREA_M 46-60 (+14),,"GOOD DUNK by WEBSTER,TEVIN(in the paint)",2
--,"ASSIST  by CROSS,HARRY",,,,,,,"ASSIST  by CROSS,HARRY",2
11:46,,,,,"FOUL  by WHITESIDE,DONOVAN",,,"FOUL  by WHITESIDE,DONOVAN",2
11:46,"MISS FT by WEBSTER,TEVIN",,,,,,,"MISS FT by WEBSTER,TEVIN",2
--,,,,,"REBOUND DEF by MELLOAN,JAMES",,,"REBOUND DEF by MELLOAN,JAMES",2
11:46,"SUB IN by CANNON,KAIRO",,,,,,,"SUB IN by CANNON,KAIRO",2
11:46,"SUB OUT by CONGLETON,TREY",,,,,,,"SUB OUT by CONGLETON,TREY",2
11:46,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",2
11:46,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
11:15,,,,,"MISS JUMPER by LOPEZ,COLLIN",,,"MISS JUMPER by LOPEZ,COLLIN",2
--,"REBOUND DEF by PONDER,AARON",,,,,,,"REBOUND DEF by PONDER,AARON",2
11:06,"MISS 3PTR by CROSS,HARRY",,,,,,,"MISS 3PTR by CROSS,HARRY",2
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",2
10:50,,46,,62 (+16),"GOOD LAYUP by MELLOAN,JAMES(in the paint)",CENTRE_M 46-62 (+16),,"GOOD LAYUP by MELLOAN,JAMES(in the paint)",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
10:37,"GOOD JUMPER by CANNON,KAIRO",48,,62 (+14),,BEREA_M 48-62 (+14),,"GOOD JUMPER by CANNON,KAIRO",2
--,"ASSIST  by CROSS,HARRY",,,,,,,"ASSIST  by CROSS,HARRY",2
10:10,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
10:08,"STEAL  by CROSS,HARRY",,,,,,,"STEAL  by CROSS,HARRY",2
10:04,"TURNOVER  by CROSS,HARRY",,,,,,,"TURNOVER  by CROSS,HARRY",2
10:02,,,,,"STEAL  by LOPEZ,COLLIN",,,"STEAL  by LOPEZ,COLLIN",2
09:56,,48,,65 (+17),"GOOD 3PTR by LOPEZ,COLLIN",CENTRE_M 48-65 (+17),,"GOOD 3PTR by LOPEZ,COLLIN",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
09:31,"MISS LAYUP by CANNON,KAIRO",,,,,,,"MISS LAYUP by CANNON,KAIRO",2
--,,,,,"REBOUND DEF by LOPEZ,COLLIN",,,"REBOUND DEF by LOPEZ,COLLIN",2
09:25,,48,,67 (+19),"GOOD LAYUP by GRIGGS,MATT(in the paint)",CENTRE_M 48-67 (+19),,"GOOD LAYUP by GRIGGS,MATT(in the paint)",2
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",2
09:14,"GOOD JUMPER by WEBSTER,TEVIN",50,,67 (+17),,BEREA_M 50-67 (+17),,"GOOD JUMPER by WEBSTER,TEVIN",2
--,"ASSIST  by PONDER,AARON",,,,,,,"ASSIST  by PONDER,AARON",2
08:54,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
08:54,"SUB IN by BENNETT,LATHAN",,,,,,,"SUB IN by BENNETT,LATHAN",2
08:54,"SUB IN by CLARK,JOSH",,,,,,,"SUB IN by CLARK,JOSH",2
08:54,"SUB OUT by PONDER,AARON",,,,,,,"SUB OUT by PONDER,AARON",2
08:54,"SUB OUT by WEBSTER,TEVIN",,,,,,,"SUB OUT by WEBSTER,TEVIN",2
08:54,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
08:54,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",2
08:54,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",2
08:54,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",2
08:54,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",2
08:54,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
08:51,,50,,69 (+19),"GOOD JUMPER by WHITESIDE,DONOVAN",CENTRE_M 50-69 (+19),,"GOOD JUMPER by WHITESIDE,DONOVAN",2
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",2
08:41,"MISS JUMPER by BENNETT,LATHAN",,,,,,,"MISS JUMPER by BENNETT,LATHAN",2
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",2
08:21,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:18,"FOUL  by CLARK,JOSH",,,,,,,"FOUL  by CLARK,JOSH",2
08:10,,50,,70 (+20),"GOOD FT by ROSS,GREG",CENTRE_M 50-70 (+20),,"GOOD FT by ROSS,GREG",2
08:10,,50,,71 (+21),"GOOD FT by ROSS,GREG",CENTRE_M 50-71 (+21),,"GOOD FT by ROSS,GREG",2
07:55,"MISS JUMPER by CLARK,JOSH",,,,,,,"MISS JUMPER by CLARK,JOSH",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
07:43,,,,,"MISS 3PTR by GRIGGS,MATT",,,"MISS 3PTR by GRIGGS,MATT",2
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",2
07:33,,50,,73 (+23),"GOOD LAYUP by GRIGGS,MATT(in the paint)",CENTRE_M 50-73 (+23),,"GOOD LAYUP by GRIGGS,MATT(in the paint)",2
--,,,,,"ASSIST  by WHITESIDE,DONOVAN",,,"ASSIST  by WHITESIDE,DONOVAN",2
07:18,"MISS 3PTR by DAVIS,DEREK",,,,,,,"MISS 3PTR by DAVIS,DEREK",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
06:59,,50,,76 (+26),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 50-76 (+26),,"GOOD 3PTR by KARSNER,JOSH",2
06:37,"TURNOVER  by BENNETT,LATHAN",,,,,,,"TURNOVER  by BENNETT,LATHAN",2
06:34,,,,,"STEAL  by GRIGGS,MATT",,,"STEAL  by GRIGGS,MATT",2
06:32,,,,,"TURNOVER  by GRIGGS,MATT",,,"TURNOVER  by GRIGGS,MATT",2
06:32,"SUB IN by PONDER,AARON",,,,,,,"SUB IN by PONDER,AARON",2
06:32,"SUB IN by RILEY,KOTY",,,,,,,"SUB IN by RILEY,KOTY",2
06:32,"SUB OUT by BENNETT,LATHAN",,,,,,,"SUB OUT by BENNETT,LATHAN",2
06:32,"SUB OUT by CANNON,KAIRO",,,,,,,"SUB OUT by CANNON,KAIRO",2
06:32,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",2
06:32,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",2
06:32,,,,,"SUB IN by JACKSON,CASEY",,,"SUB IN by JACKSON,CASEY",2
06:32,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
06:32,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",2
06:32,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",2
06:25,"MISS JUMPER by CLARK,JOSH",,,,,,,"MISS JUMPER by CLARK,JOSH",2
--,"REBOUND OFF by PONDER,AARON",,,,,,,"REBOUND OFF by PONDER,AARON",2
06:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:20,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",2
06:20,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",2
06:14,,,,,"FOUL  by MELLOAN,JAMES",,,"FOUL  by MELLOAN,JAMES",2
06:11,"GOOD 3PTR by CROSS,HARRY",53,,76 (+23),,BEREA_M 53-76 (+23),,"GOOD 3PTR by CROSS,HARRY",2
--,"ASSIST  by PONDER,AARON",,,,,,,"ASSIST  by PONDER,AARON",2
05:50,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",2
05:50,,,,,"TURNOVER  by LOPEZ,COLLIN",,,"TURNOVER  by LOPEZ,COLLIN",2
05:35,"GOOD 3PTR by CROSS,HARRY",56,,76 (+20),,BEREA_M 56-76 (+20),,"GOOD 3PTR by CROSS,HARRY",2
--,"ASSIST  by PONDER,AARON",,,,,,,"ASSIST  by PONDER,AARON",2
05:13,,56,,78 (+22),"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",CENTRE_M 56-78 (+22),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",2
05:01,"GOOD 3PTR by CROSS,HARRY",59,,78 (+19),,BEREA_M 59-78 (+19),,"GOOD 3PTR by CROSS,HARRY",2
--,"ASSIST  by PONDER,AARON",,,,,,,"ASSIST  by PONDER,AARON",2
04:42,,59,,81 (+22),"GOOD 3PTR by JACKSON,CASEY",CENTRE_M 59-81 (+22),,"GOOD 3PTR by JACKSON,CASEY",2
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",2
04:24,"GOOD LAYUP by RILEY,KOTY(in the paint)",61,,81 (+20),,BEREA_M 61-81 (+20),,"GOOD LAYUP by RILEY,KOTY(in the paint)",2
--,"ASSIST  by CLARK,JOSH",,,,,,,"ASSIST  by CLARK,JOSH",2
04:04,,,,,"TURNOVER  by GRIGGS,MATT",,,"TURNOVER  by GRIGGS,MATT",2
04:02,"STEAL  by PONDER,AARON",,,,,,,"STEAL  by PONDER,AARON",2
03:59,"GOOD LAYUP by CROSS,HARRY(in the paint)",63,,81 (+18),,BEREA_M 63-81 (+18),,"GOOD LAYUP by CROSS,HARRY(in the paint)",2
--,"ASSIST  by PONDER,AARON",,,,,,,"ASSIST  by PONDER,AARON",2
03:41,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",2
--,,,,,"REBOUND OFF by MELLOAN,JAMES",,,"REBOUND OFF by MELLOAN,JAMES",2
03:33,,63,,84 (+21),"GOOD 3PTR by JACKSON,CASEY",CENTRE_M 63-84 (+21),,"GOOD 3PTR by JACKSON,CASEY",2
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",2
03:17,"TURNOVER  by CLARK,JOSH",,,,,,,"TURNOVER  by CLARK,JOSH",2
03:15,,,,,"STEAL  by GRIGGS,MATT",,,"STEAL  by GRIGGS,MATT",2
03:08,"FOUL  by GARMON,DOMINIQUE",,,,,,,"FOUL  by GARMON,DOMINIQUE",2
03:08,,63,,85 (+22),"GOOD FT by MELLOAN,JAMES",CENTRE_M 63-85 (+22),,"GOOD FT by MELLOAN,JAMES",2
03:08,,,,,"MISS FT by MELLOAN,JAMES",,,"MISS FT by MELLOAN,JAMES",2
--,"REBOUND DEF by CURRIER,DJ",,,,,,,"REBOUND DEF by CURRIER,DJ",2
03:08,"SUB IN by CURRIER,DJ",,,,,,,"SUB IN by CURRIER,DJ",2
03:08,"SUB IN by CONGLETON,TREY",,,,,,,"SUB IN by CONGLETON,TREY",2
03:08,"SUB IN by WEBSTER,TEVIN",,,,,,,"SUB IN by WEBSTER,TEVIN",2
03:08,"SUB IN by HAYDEN,RASHAD",,,,,,,"SUB IN by HAYDEN,RASHAD",2
03:08,"SUB OUT by PONDER,AARON",,,,,,,"SUB OUT by PONDER,AARON",2
03:08,"SUB OUT by GARMON,DOMINIQUE",,,,,,,"SUB OUT by GARMON,DOMINIQUE",2
03:08,"SUB OUT by RILEY,KOTY",,,,,,,"SUB OUT by RILEY,KOTY",2
03:08,"SUB OUT by CLARK,JOSH",,,,,,,"SUB OUT by CLARK,JOSH",2
03:08,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
03:08,,,,,"SUB IN by LOHR,MATT",,,"SUB IN by LOHR,MATT",2
03:08,,,,,"SUB IN by WHITESIDE,DONOVAN",,,"SUB IN by WHITESIDE,DONOVAN",2
03:08,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
03:08,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",2
03:08,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",2
03:06,,,,,"FOUL  by MELLOAN,JAMES",,,"FOUL  by MELLOAN,JAMES",2
03:06,"GOOD FT by CURRIER,DJ",64,,85 (+21),,BEREA_M 64-85 (+21),,"GOOD FT by CURRIER,DJ",2
03:06,"MISS FT by CURRIER,DJ",,,,,,,"MISS FT by CURRIER,DJ",2
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",2
03:06,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",2
03:06,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",2
02:46,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",2
--,"REBOUND DEF by CROSS,HARRY",,,,,,,"REBOUND DEF by CROSS,HARRY",2
02:37,"MISS LAYUP by CROSS,HARRY",,,,,,,"MISS LAYUP by CROSS,HARRY",2
--,,,,,"REBOUND DEF by LOHR,MATT",,,"REBOUND DEF by LOHR,MATT",2
02:25,,64,,87 (+23),"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",CENTRE_M 64-87 (+23),,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",2
02:11,,,,,"MISS JUMPER by LOHR,MATT",,,"MISS JUMPER by LOHR,MATT",2
--,"REBOUND DEF by PONDER,AARON",,,,,,,"REBOUND DEF by PONDER,AARON",2
02:01,"FOUL  by CONGLETON,TREY",,,,,,,"FOUL  by CONGLETON,TREY",2
02:01,,64,,88 (+24),"GOOD FT by LOHR,MATT",CENTRE_M 64-88 (+24),,"GOOD FT by LOHR,MATT",2
02:01,,64,,89 (+25),"GOOD FT by LOHR,MATT",CENTRE_M 64-89 (+25),,"GOOD FT by LOHR,MATT",2
02:01,"SUB IN by CANNON,KAIRO",,,,,,,"SUB IN by CANNON,KAIRO",2
02:01,"SUB IN by MCINTOSH,BRAD",,,,,,,"SUB IN by MCINTOSH,BRAD",2
02:01,"SUB IN by CARLTON,BRYCE",,,,,,,"SUB IN by CARLTON,BRYCE",2
02:01,"SUB OUT by CONGLETON,TREY",,,,,,,"SUB OUT by CONGLETON,TREY",2
02:01,"SUB OUT by CROSS,HARRY",,,,,,,"SUB OUT by CROSS,HARRY",2
02:01,"SUB OUT by WEBSTER,TEVIN",,,,,,,"SUB OUT by WEBSTER,TEVIN",2
02:01,,,,,"SUB IN by WRIGHT,SPENCER",,,"SUB IN by WRIGHT,SPENCER",2
02:01,,,,,"SUB IN by CAHALL,CALVIN",,,"SUB IN by CAHALL,CALVIN",2
02:01,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",2
02:01,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",2
01:47,"MISS 3PTR by HAYDEN,RASHAD",,,,,,,"MISS 3PTR by HAYDEN,RASHAD",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:44,,,,,"SUB IN by SAGRAVES,AUSTIN",,,"SUB IN by SAGRAVES,AUSTIN",2
01:44,,,,,"SUB IN by GEEGAN,MIKE",,,"SUB IN by GEEGAN,MIKE",2
