Time Remaining,MCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
08:30,,,,,"SUB IN by JACKSON,CASEY",,,"SUB IN by JACKSON,CASEY",1
08:30,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
08:30,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
08:30,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
08:30,,,,,"SUB OUT by MULLANEY,JEFF",,,"SUB OUT by MULLANEY,JEFF",1
08:30,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
08:30,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
08:13,"TURNOVER  by SIBLEY,RANDE",,,,,,,"TURNOVER  by SIBLEY,RANDE",1
08:12,,,,,"STEAL  by NEWSOME,TAYLOR",,,"STEAL  by NEWSOME,TAYLOR",1
07:54,,,,,"MISS 3PTR by JACKSON,CASEY",,,"MISS 3PTR by JACKSON,CASEY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
07:52,"SUB IN by WILLIAMSON,BEN",,,,,,,"SUB IN by WILLIAMSON,BEN",1
07:52,"SUB IN by LAMBERT,WES",,,,,,,"SUB IN by LAMBERT,WES",1
07:52,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",1
07:52,"SUB OUT by SIBLEY,RANDE",,,,,,,"SUB OUT by SIBLEY,RANDE",1
07:40,"GOOD JUMPER by WILLETT,MAVERICK",14,,24 (+10),,MCM 14-24 (+10),,"GOOD JUMPER by WILLETT,MAVERICK",1
--,"ASSIST  by STANLEY,MILTON",,,,,,,"ASSIST  by STANLEY,MILTON",1
07:11,,,,,"TURNOVER  by MELLOAN,JAMES",,,"TURNOVER  by MELLOAN,JAMES",1
07:06,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
06:51,"MISS JUMPER by STANLEY,MILTON",,,,,,,"MISS JUMPER by STANLEY,MILTON",1
--,"REBOUND OFF by STANLEY,MILTON",,,,,,,"REBOUND OFF by STANLEY,MILTON",1
06:47,"GOOD LAYUP by STANLEY,MILTON(in the paint)",16,,24 (+8),,MCM 16-24 (+8),,"GOOD LAYUP by STANLEY,MILTON(in the paint)",1
06:20,,,,,"MISS JUMPER by JACKSON,CASEY",,,"MISS JUMPER by JACKSON,CASEY",1
--,"REBOUND DEF by RUCKER,DONALD",,,,,,,"REBOUND DEF by RUCKER,DONALD",1
06:14,"TURNOVER  by STANLEY,MILTON",,,,,,,"TURNOVER  by STANLEY,MILTON",1
06:14,,,,,"SUB IN by MULLANEY,JEFF",,,"SUB IN by MULLANEY,JEFF",1
06:14,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
06:14,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
06:14,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
06:14,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
06:14,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
06:14,,,,,"SUB OUT by JACKSON,CASEY",,,"SUB OUT by JACKSON,CASEY",1
06:14,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
05:59,,16,,26 (+10),"GOOD JUMPER by ROSS,GREG",CENTRE_M 16-26 (+10),,"GOOD JUMPER by ROSS,GREG",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
05:48,"MISS 3PTR by WILLIAMSON,BEN",,,,,,,"MISS 3PTR by WILLIAMSON,BEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:27,,16,,29 (+13),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 16-29 (+13),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
05:12,"MISS JUMPER by STANLEY,MILTON",,,,,,,"MISS JUMPER by STANLEY,MILTON",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
04:54,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by RUCKER,DONALD",,,,,,,"REBOUND DEF by RUCKER,DONALD",1
04:48,"GOOD LAYUP by WILLETT,MAVERICK(in the paint)",18,,29 (+11),,MCM 18-29 (+11),,"GOOD LAYUP by WILLETT,MAVERICK(in the paint)",1
--,"ASSIST  by WILLIAMSON,BEN",,,,,,,"ASSIST  by WILLIAMSON,BEN",1
04:45,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:32,,18,,31 (+13),"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",CENTRE_M 18-31 (+13),,"GOOD LAYUP by TAYLOR,CHRIS(in the paint)",1
04:18,"GOOD JUMPER by STANLEY,MILTON",20,,31 (+11),,MCM 20-31 (+11),,"GOOD JUMPER by STANLEY,MILTON",1
04:02,"FOUL  by RUCKER,DONALD",,,,,,,"FOUL  by RUCKER,DONALD",1
04:02,"SUB IN by FORD,CHRISTIAN",,,,,,,"SUB IN by FORD,CHRISTIAN",1
04:02,"SUB OUT by LAMBERT,WES",,,,,,,"SUB OUT by LAMBERT,WES",1
03:53,,,,,"FOUL  by ROSS,GREG",,,"FOUL  by ROSS,GREG",1
03:53,,,,,"TURNOVER  by ROSS,GREG",,,"TURNOVER  by ROSS,GREG",1
03:53,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
03:53,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
03:36,"GOOD LAYUP by STANLEY,MILTON(in the paint)",22,,31 (+9),,MCM 22-31 (+9),,"GOOD LAYUP by STANLEY,MILTON(in the paint)",1
03:12,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by WILLETT,MAVERICK",,,,,,,"REBOUND DEF by WILLETT,MAVERICK",1
02:53,"MISS JUMPER by WILLETT,MAVERICK",,,,,,,"MISS JUMPER by WILLETT,MAVERICK",1
--,"REBOUND OFF by STANLEY,MILTON",,,,,,,"REBOUND OFF by STANLEY,MILTON",1
02:48,"MISS LAYUP by STANLEY,MILTON",,,,,,,"MISS LAYUP by STANLEY,MILTON",1
--,,,,,"REBOUND DEF by TAYLOR,CHRIS",,,"REBOUND DEF by TAYLOR,CHRIS",1
02:38,,,,,"MISS JUMPER by TAYLOR,CHRIS",,,"MISS JUMPER by TAYLOR,CHRIS",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:35,"SUB IN by BODEWIG,JOEY",,,,,,,"SUB IN by BODEWIG,JOEY",1
02:35,"SUB IN by LAMBERT,WES",,,,,,,"SUB IN by LAMBERT,WES",1
02:35,"SUB OUT by WILLIAMSON,BEN",,,,,,,"SUB OUT by WILLIAMSON,BEN",1
02:35,"SUB OUT by WILLETT,MAVERICK",,,,,,,"SUB OUT by WILLETT,MAVERICK",1
02:35,,,,,"SUB IN by NEWSOME,TAYLOR",,,"SUB IN by NEWSOME,TAYLOR",1
02:35,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
02:35,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
02:35,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
02:35,,,,,"SUB OUT by KARSNER,JOSH",,,"SUB OUT by KARSNER,JOSH",1
02:35,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
02:16,"FOUL  by FORD,CHRISTIAN",,,,,,,"FOUL  by FORD,CHRISTIAN",1
01:56,,,,,"TURNOVER  by NEWSOME,TAYLOR",,,"TURNOVER  by NEWSOME,TAYLOR",1
01:53,"STEAL  by LAMBERT,WES",,,,,,,"STEAL  by LAMBERT,WES",1
01:48,"MISS JUMPER by BODEWIG,JOEY",,,,,,,"MISS JUMPER by BODEWIG,JOEY",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
01:17,,,,,"MISS 3PTR by MULLANEY,JEFF",,,"MISS 3PTR by MULLANEY,JEFF",1
01:17,"BLOCK  by STANLEY,MILTON",,,,,,,"BLOCK  by STANLEY,MILTON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:17,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
01:17,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
01:17,,,,,"SUB OUT by TAYLOR,CHRIS",,,"SUB OUT by TAYLOR,CHRIS",1
01:17,,,,,"SUB OUT by NEWSOME,TAYLOR",,,"SUB OUT by NEWSOME,TAYLOR",1
01:07,,,,,"TURNOVER  by GRIGGS,MATT",,,"TURNOVER  by GRIGGS,MATT",1
01:07,,,,,"SUB IN by ELLIS,BRYON",,,"SUB IN by ELLIS,BRYON",1
01:07,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
01:02,"GOOD LAYUP by RUCKER,DONALD(in the paint)",24,,31 (+7),,MCM 24-31 (+7),,"GOOD LAYUP by RUCKER,DONALD(in the paint)",1
00:35,,,,,"MISS JUMPER by GRIGGS,MATT",,,"MISS JUMPER by GRIGGS,MATT",1
--,"REBOUND DEF by RUCKER,DONALD",,,,,,,"REBOUND DEF by RUCKER,DONALD",1
00:15,"TURNOVER  by STANLEY,MILTON",,,,,,,"TURNOVER  by STANLEY,MILTON",1
00:15,,,,,"STEAL  by MULLANEY,JEFF",,,"STEAL  by MULLANEY,JEFF",1
00:15,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",1
00:15,,,,,"SUB IN by LOPEZ,COLLIN",,,"SUB IN by LOPEZ,COLLIN",1
00:15,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",1
00:15,,,,,"SUB OUT by ELLIS,BRYON",,,"SUB OUT by ELLIS,BRYON",1
00:00,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by LAMBERT,WES",,,,,,,"REBOUND DEF by LAMBERT,WES",1
19:43,"GOOD JUMPER by WILLETT,MAVERICK",26,,31 (+5),,MCM 26-31 (+5),,"GOOD JUMPER by WILLETT,MAVERICK",2
19:21,,26,,34 (+8),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 26-34 (+8),,"GOOD 3PTR by ELLIS,BRYON",2
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",2
19:00,"MISS JUMPER by STANLEY,MILTON",,,,,,,"MISS JUMPER by STANLEY,MILTON",2
--,,,,,"REBOUND DEF by ELLIS,BRYON",,,"REBOUND DEF by ELLIS,BRYON",2
18:52,,,,,"MISS 3PTR by ELLIS,BRYON",,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND OFF by KARSNER,JOSH",,,"REBOUND OFF by KARSNER,JOSH",2
18:17,"FOUL  by WILLETT,MAVERICK",,,,,,,"FOUL  by WILLETT,MAVERICK",2
17:55,,26,,36 (+10),"GOOD LAYUP by MULLANEY,JEFF(in the paint)",CENTRE_M 26-36 (+10),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
17:44,"MISS JUMPER by SIBLEY,RANDE",,,,,,,"MISS JUMPER by SIBLEY,RANDE",2
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",2
17:24,,26,,39 (+13),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 26-39 (+13),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by GRIGGS,MATT",,,"ASSIST  by GRIGGS,MATT",2
17:09,"GOOD JUMPER by SIBLEY,RANDE",28,,39 (+11),,MCM 28-39 (+11),,"GOOD JUMPER by SIBLEY,RANDE",2
16:50,,28,,42 (+14),"GOOD 3PTR by KARSNER,JOSH",CENTRE_M 28-42 (+14),,"GOOD 3PTR by KARSNER,JOSH",2
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",2
16:35,"TURNOVER  by SIBLEY,RANDE",,,,,,,"TURNOVER  by SIBLEY,RANDE",2
16:29,,,,,"STEAL  by KARSNER,JOSH",,,"STEAL  by KARSNER,JOSH",2
16:29,"SUB IN by LAMBERT,WES",,,,,,,"SUB IN by LAMBERT,WES",2
16:29,"SUB IN by RUCKER,DONALD",,,,,,,"SUB IN by RUCKER,DONALD",2
16:29,"SUB IN by WILLIAMSON,BEN",,,,,,,"SUB IN by WILLIAMSON,BEN",2
16:29,"SUB OUT by FORD,CHRISTIAN",,,,,,,"SUB OUT by FORD,CHRISTIAN",2
16:29,"SUB OUT by BUTLER,OSCAR",,,,,,,"SUB OUT by BUTLER,OSCAR",2
16:29,"SUB OUT by SIBLEY,RANDE",,,,,,,"SUB OUT by SIBLEY,RANDE",2
16:29,,,,,"SUB IN by TAYLOR,CHRIS",,,"SUB IN by TAYLOR,CHRIS",2
16:29,,,,,"SUB OUT by GRIGGS,MATT",,,"SUB OUT by GRIGGS,MATT",2
16:15,,28,,44 (+16),"GOOD JUMPER by ROSS,GREG",CENTRE_M 28-44 (+16),,"GOOD JUMPER by ROSS,GREG",2
16:07,"TURNOVER  by STANLEY,MILTON",,,,,,,"TURNOVER  by STANLEY,MILTON",2
15:47,,28,,46 (+18),"GOOD JUMPER by ROSS,GREG",CENTRE_M 28-46 (+18),,"GOOD JUMPER by ROSS,GREG",2
15:40,"MISS JUMPER by LAMBERT,WES",,,,,,,"MISS JUMPER by LAMBERT,WES",2
--,"REBOUND OFF by RUCKER,DONALD",,,,,,,"REBOUND OFF by RUCKER,DONALD",2
15:35,"MISS LAYUP by RUCKER,DONALD",,,,,,,"MISS LAYUP by RUCKER,DONALD",2
--,"REBOUND OFF by WILLETT,MAVERICK",,,,,,,"REBOUND OFF by WILLETT,MAVERICK",2
15:30,,,,,"FOUL  by MULLANEY,JEFF",,,"FOUL  by MULLANEY,JEFF",2
15:30,"GOOD FT by WILLETT,MAVERICK",29,,46 (+17),,MCM 29-46 (+17),,"GOOD FT by WILLETT,MAVERICK",2
15:30,"GOOD FT by WILLETT,MAVERICK",30,,46 (+16),,MCM 30-46 (+16),,"GOOD FT by WILLETT,MAVERICK",2
