Time Remaining,TU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
06:42,"SUB IN by SELLING,MATT",,,,,,,"SUB IN by SELLING,MATT",1
06:42,"SUB OUT by BEALL,RYAN",,,,,,,"SUB OUT by BEALL,RYAN",1
06:27,"MISS JUMPER by SELLING,MATT",,,,,,,"MISS JUMPER by SELLING,MATT",1
--,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",,,"REBOUND DEF by WHITESIDE,DONOVAN",1
06:21,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
06:21,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
05:53,,13,,18 (+5),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 13-18 (+5),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by MULLANEY,JEFF",,,"ASSIST  by MULLANEY,JEFF",1
05:38,"MISS JUMPER by KITZINGER,ROBERT",,,,,,,"MISS JUMPER by KITZINGER,ROBERT",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
05:30,,,,,"MISS LAYUP by LOPEZ,COLLIN",,,"MISS LAYUP by LOPEZ,COLLIN",1
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",1
05:29,,,,,"FOUL  by LOPEZ,COLLIN",,,"FOUL  by LOPEZ,COLLIN",1
05:24,"MISS JUMPER by KITZINGER,ROBERT",,,,,,,"MISS JUMPER by KITZINGER,ROBERT",1
--,,,,,"REBOUND DEF by ROSS,GREG",,,"REBOUND DEF by ROSS,GREG",1
05:00,,,,,"MISS JUMPER by MULLANEY,JEFF",,,"MISS JUMPER by MULLANEY,JEFF",1
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",1
04:53,"TURNOVER  by YOUNG,WILLIAM",,,,,,,"TURNOVER  by YOUNG,WILLIAM",1
04:53,"SUB IN by LAMBERT,ZACH",,,,,,,"SUB IN by LAMBERT,ZACH",1
04:53,"SUB OUT by KITZINGER,ROBERT",,,,,,,"SUB OUT by KITZINGER,ROBERT",1
04:53,,,,,"SUB IN by GRIGGS,MATT",,,"SUB IN by GRIGGS,MATT",1
04:53,,,,,"SUB IN by KARSNER,JOSH",,,"SUB IN by KARSNER,JOSH",1
04:53,,,,,"SUB OUT by LOPEZ,COLLIN",,,"SUB OUT by LOPEZ,COLLIN",1
04:53,,,,,"SUB OUT by WHITESIDE,DONOVAN",,,"SUB OUT by WHITESIDE,DONOVAN",1
04:45,,13,,20 (+7),"GOOD LAYUP by KARSNER,JOSH(in the paint)",CENTRE_M 13-20 (+7),,"GOOD LAYUP by KARSNER,JOSH(in the paint)",1
--,,,,,"ASSIST  by ROSS,GREG",,,"ASSIST  by ROSS,GREG",1
04:45,"FOUL  by HOPSON,HEATH",,,,,,,"FOUL  by HOPSON,HEATH",1
04:45,,13,,21 (+8),"GOOD FT by KARSNER,JOSH",CENTRE_M 13-21 (+8),,"GOOD FT by KARSNER,JOSH",1
04:45,"SUB IN by BEALL,RYAN",,,,,,,"SUB IN by BEALL,RYAN",1
04:45,"SUB OUT by SELLING,MATT",,,,,,,"SUB OUT by SELLING,MATT",1
04:45,,,,,"SUB IN by MELLOAN,JAMES",,,"SUB IN by MELLOAN,JAMES",1
04:45,,,,,"SUB OUT by ROSS,GREG",,,"SUB OUT by ROSS,GREG",1
04:28,"MISS 3PTR by LAMBERT,ZACH",,,,,,,"MISS 3PTR by LAMBERT,ZACH",1
--,,,,,"REBOUND DEF by MULLANEY,JEFF",,,"REBOUND DEF by MULLANEY,JEFF",1
04:26,"FOUL  by HOPSON,HEATH",,,,,,,"FOUL  by HOPSON,HEATH",1
04:23,"SUB IN by KITZINGER,ROBERT",,,,,,,"SUB IN by KITZINGER,ROBERT",1
04:23,"SUB OUT by HOPSON,HEATH",,,,,,,"SUB OUT by HOPSON,HEATH",1
04:23,,,,,"SUB IN by ROSS,GREG",,,"SUB IN by ROSS,GREG",1
04:23,,,,,"SUB OUT by MELLOAN,JAMES",,,"SUB OUT by MELLOAN,JAMES",1
04:00,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
--,"REBOUND DEF by WILT,JONATHAN",,,,,,,"REBOUND DEF by WILT,JONATHAN",1
03:48,"TURNOVER  by WILT,JONATHAN",,,,,,,"TURNOVER  by WILT,JONATHAN",1
03:48,"SUB IN by LAVANWAY,JOHN",,,,,,,"SUB IN by LAVANWAY,JOHN",1
03:48,"SUB OUT by WILT,JONATHAN",,,,,,,"SUB OUT by WILT,JONATHAN",1
03:16,,,,,"MISS JUMPER by ROSS,GREG",,,"MISS JUMPER by ROSS,GREG",1
--,,,,,"REBOUND OFF by ROSS,GREG",,,"REBOUND OFF by ROSS,GREG",1
03:11,,,,,"MISS LAYUP by ROSS,GREG",,,"MISS LAYUP by ROSS,GREG",1
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",1
02:52,"MISS JUMPER by KITZINGER,ROBERT",,,,,,,"MISS JUMPER by KITZINGER,ROBERT",1
--,,,,,"REBOUND DEF by GRIGGS,MATT",,,"REBOUND DEF by GRIGGS,MATT",1
02:31,,13,,24 (+11),"GOOD 3PTR by ELLIS,BRYON",CENTRE_M 13-24 (+11),,"GOOD 3PTR by ELLIS,BRYON",1
--,,,,,"ASSIST  by KARSNER,JOSH",,,"ASSIST  by KARSNER,JOSH",1
02:06,"GOOD JUMPER by BEALL,RYAN",15,,24 (+9),,TU-M 15-24 (+9),,"GOOD JUMPER by BEALL,RYAN",1
01:53,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by YOUNG,WILLIAM",,,,,,,"REBOUND DEF by YOUNG,WILLIAM",1
01:39,"GOOD JUMPER by LAMBERT,ZACH",17,,24 (+7),,TU-M 17-24 (+7),,"GOOD JUMPER by LAMBERT,ZACH",1
01:13,,,,,"MISS 3PTR by KARSNER,JOSH",,,"MISS 3PTR by KARSNER,JOSH",1
--,"REBOUND DEF by KITZINGER,ROBERT",,,,,,,"REBOUND DEF by KITZINGER,ROBERT",1
00:51,"MISS JUMPER by BEALL,RYAN",,,,,,,"MISS JUMPER by BEALL,RYAN",1
--,"REBOUND OFF by LAMBERT,ZACH",,,,,,,"REBOUND OFF by LAMBERT,ZACH",1
00:48,,,,,"FOUL  by KARSNER,JOSH",,,"FOUL  by KARSNER,JOSH",1
