Time Remaining,CENTRE_M,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
15:45,"SUB OUT by CRAWFORD,JOSH",,,,,,,"SUB OUT by CRAWFORD,JOSH",2
15:25,"MISS 3PTR by MULLANEY,JEFF",,,,,,,"MISS 3PTR by MULLANEY,JEFF",2
--,"REBOUND OFF by NEWSOME,TAYLOR",,,,,,,"REBOUND OFF by NEWSOME,TAYLOR",2
15:03,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by VAUGHN,MARCUS",,,"REBOUND DEF by VAUGHN,MARCUS",2
14:42,,,,,"MISS JUMPER by CRAFT,BLAKE",,,"MISS JUMPER by CRAFT,BLAKE",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
14:12,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:10,"FOUL  by NEWSOME,TAYLOR",,,,,,,"FOUL  by NEWSOME,TAYLOR",2
14:10,,,,,"SUB IN by BRAYMAN,ALEX",,,"SUB IN by BRAYMAN,ALEX",2
14:10,,,,,"SUB IN by TUCK,STEPHEN",,,"SUB IN by TUCK,STEPHEN",2
14:10,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
14:10,,,,,"SUB OUT by SPIVEY,STEPHEN",,,"SUB OUT by SPIVEY,STEPHEN",2
13:52,,,,,"MISS 3PTR by GAYLOR,BRITT",,,"MISS 3PTR by GAYLOR,BRITT",2
--,,,,,"REBOUND OFF by BRAYMAN,ALEX",,,"REBOUND OFF by BRAYMAN,ALEX",2
13:31,,,,,"MISS JUMPER by TUCK,STEPHEN",,,"MISS JUMPER by TUCK,STEPHEN",2
--,"REBOUND DEF by NEWSOME,TAYLOR",,,,,,,"REBOUND DEF by NEWSOME,TAYLOR",2
13:17,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",2
13:17,"MISS FT by ROSS,GREG",,,,,,,"MISS FT by ROSS,GREG",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:17,"GOOD FT by ROSS,GREG",32,,32,,CENTRE_M 32-32 (0),,"GOOD FT by ROSS,GREG",2
13:17,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
13:17,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
13:17,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",2
13:17,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",2
12:50,,,,,"TURNOVER  by BRAYMAN,ALEX",,,"TURNOVER  by BRAYMAN,ALEX",2
12:50,,,,,"SUB IN by MADDOX,BRANDON",,,"SUB IN by MADDOX,BRANDON",2
12:50,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",2
12:32,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",34 (+2),,32,,CENTRE_M 34-32 (+2),,"GOOD LAYUP by NEWSOME,TAYLOR(in the paint)",2
12:14,,,,,"TURNOVER  by BRAYMAN,ALEX",,,"TURNOVER  by BRAYMAN,ALEX",2
12:13,"STEAL  by MULLANEY,JEFF",,,,,,,"STEAL  by MULLANEY,JEFF",2
12:06,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",36 (+4),,32,,CENTRE_M 36-32 (+4),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
11:44,,,,,"MISS JUMPER by MADDOX,BRANDON",,,"MISS JUMPER by MADDOX,BRANDON",2
--,"REBOUND DEF by MULLANEY,JEFF",,,,,,,"REBOUND DEF by MULLANEY,JEFF",2
11:26,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,"REBOUND OFF by ROSS,GREG",,,,,,,"REBOUND OFF by ROSS,GREG",2
11:19,"MISS JUMPER by ROSS,GREG",,,,,,,"MISS JUMPER by ROSS,GREG",2
--,,,,,"REBOUND DEF by TUCK,STEPHEN",,,"REBOUND DEF by TUCK,STEPHEN",2
11:04,,36 (+1),,35,"GOOD 3PTR by BRAYMAN,ALEX",LCM 36-35 (+1),,"GOOD 3PTR by BRAYMAN,ALEX",2
--,,,,,"ASSIST  by CRAFT,BLAKE",,,"ASSIST  by CRAFT,BLAKE",2
10:45,,,,,"FOUL  by BRAYMAN,ALEX",,,"FOUL  by BRAYMAN,ALEX",2
10:45,"GOOD FT by ROSS,GREG",37 (+2),,35,,CENTRE_M 37-35 (+2),,"GOOD FT by ROSS,GREG",2
10:45,"GOOD FT by ROSS,GREG",38 (+3),,35,,CENTRE_M 38-35 (+3),,"GOOD FT by ROSS,GREG",2
10:45,"SUB IN by LLOYD,ALEX",,,,,,,"SUB IN by LLOYD,ALEX",2
10:45,"SUB IN by ELLIS,BRYON",,,,,,,"SUB IN by ELLIS,BRYON",2
10:45,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",2
10:45,"SUB OUT by NEWSOME,TAYLOR",,,,,,,"SUB OUT by NEWSOME,TAYLOR",2
10:45,,,,,"SUB IN by WHITFIELD,NIC",,,"SUB IN by WHITFIELD,NIC",2
10:45,,,,,"SUB IN by SPIVEY,STEPHEN",,,"SUB IN by SPIVEY,STEPHEN",2
10:45,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",2
10:45,,,,,"SUB OUT by MADDOX,BRANDON",,,"SUB OUT by MADDOX,BRANDON",2
10:45,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",2
10:45,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
10:20,,,,,"MISS JUMPER by GAYLOR,BRITT",,,"MISS JUMPER by GAYLOR,BRITT",2
--,,,,,"REBOUND OFF by VAUGHN,MARCUS",,,"REBOUND OFF by VAUGHN,MARCUS",2
09:59,,,,,"TURNOVER  by GAYLOR,BRITT",,,"TURNOVER  by GAYLOR,BRITT",2
09:58,"GOOD JUMPER by LLOYD,ALEX",40 (+5),,35,,CENTRE_M 40-35 (+5),,"GOOD JUMPER by LLOYD,ALEX",2
09:58,"STEAL  by ELLIS,BRYON",,,,,,,"STEAL  by ELLIS,BRYON",2
09:47,,,,,"FOUL  by SPIVEY,STEPHEN",,,"FOUL  by SPIVEY,STEPHEN",2
09:47,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",2
09:47,,,,,"SUB OUT by BRAYMAN,ALEX",,,"SUB OUT by BRAYMAN,ALEX",2
09:46,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",2
09:46,"GOOD FT by ROSS,GREG",41 (+6),,35,,CENTRE_M 41-35 (+6),,"GOOD FT by ROSS,GREG",2
09:46,"GOOD FT by ROSS,GREG",42 (+7),,35,,CENTRE_M 42-35 (+7),,"GOOD FT by ROSS,GREG",2
09:46,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",2
09:46,,,,,"SUB OUT by TUCK,STEPHEN",,,"SUB OUT by TUCK,STEPHEN",2
09:23,,,,,"MISS JUMPER by SPIVEY,STEPHEN",,,"MISS JUMPER by SPIVEY,STEPHEN",2
--,"REBOUND DEF by WHITESIDE,DONOVAN",,,,,,,"REBOUND DEF by WHITESIDE,DONOVAN",2
09:12,"GOOD JUMPER by ROSS,GREG",44 (+9),,35,,CENTRE_M 44-35 (+9),,"GOOD JUMPER by ROSS,GREG",2
--,"ASSIST  by ELLIS,BRYON",,,,,,,"ASSIST  by ELLIS,BRYON",2
08:50,"FOUL  by ELLIS,BRYON",,,,,,,"FOUL  by ELLIS,BRYON",2
08:50,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",2
08:50,,,,,"SUB OUT by HOWARD,JEROD",,,"SUB OUT by HOWARD,JEROD",2
08:49,,,,,"MISS JUMPER by VAUGHN,MARCUS",,,"MISS JUMPER by VAUGHN,MARCUS",2
--,"REBOUND DEF by LLOYD,ALEX",,,,,,,"REBOUND DEF by LLOYD,ALEX",2
08:30,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",2
08:30,"GOOD FT by ROSS,GREG",45 (+10),,35,,CENTRE_M 45-35 (+10),,"GOOD FT by ROSS,GREG",2
08:30,"GOOD FT by ROSS,GREG",46 (+11),,35,,CENTRE_M 46-35 (+11),,"GOOD FT by ROSS,GREG",2
08:30,"SUB IN by MULLANEY,JEFF",,,,,,,"SUB IN by MULLANEY,JEFF",2
08:30,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",2
08:04,,46 (+8),,38,"GOOD 3PTR by VAUGHN,MARCUS",LCM 46-38 (+8),,"GOOD 3PTR by VAUGHN,MARCUS",2
--,,,,,"ASSIST  by SPIVEY,STEPHEN",,,"ASSIST  by SPIVEY,STEPHEN",2
08:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:29,"GOOD 3PTR by ROSS,GREG",49 (+11),,38,,CENTRE_M 49-38 (+11),,"GOOD 3PTR by ROSS,GREG",2
--,"ASSIST  by LLOYD,ALEX",,,,,,,"ASSIST  by LLOYD,ALEX",2
06:56,,,,,"MISS JUMPER by CRAFT,BLAKE",,,"MISS JUMPER by CRAFT,BLAKE",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
06:26,"GOOD 3PTR by ELLIS,BRYON",52 (+14),,38,,CENTRE_M 52-38 (+14),,"GOOD 3PTR by ELLIS,BRYON",2
--,"ASSIST  by ROSS,GREG",,,,,,,"ASSIST  by ROSS,GREG",2
06:03,,,,,"MISS JUMPER by GAYLOR,BRITT",,,"MISS JUMPER by GAYLOR,BRITT",2
--,,,,,"REBOUND OFF by SPIVEY,STEPHEN",,,"REBOUND OFF by SPIVEY,STEPHEN",2
05:58,,52 (+12),,40,"GOOD JUMPER by SPIVEY,STEPHEN(in the paint)",LCM 52-40 (+12),,"GOOD JUMPER by SPIVEY,STEPHEN(in the paint)",2
05:37,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",2
--,,,,,"REBOUND DEF by GAYLOR,BRITT",,,"REBOUND DEF by GAYLOR,BRITT",2
05:13,,,,,"TURNOVER  by CRAFT,BLAKE",,,"TURNOVER  by CRAFT,BLAKE",2
05:12,"STEAL  by LLOYD,ALEX",,,,,,,"STEAL  by LLOYD,ALEX",2
05:03,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
05:03,"SUB IN by CRAWFORD,JOSH",,,,,,,"SUB IN by CRAWFORD,JOSH",2
05:03,"SUB OUT by ROSS,GREG",,,,,,,"SUB OUT by ROSS,GREG",2
04:40,"MISS JUMPER by CRAWFORD,JOSH",,,,,,,"MISS JUMPER by CRAWFORD,JOSH",2
--,"REBOUND OFF by LLOYD,ALEX",,,,,,,"REBOUND OFF by LLOYD,ALEX",2
04:36,"GOOD JUMPER by LLOYD,ALEX(in the paint)",54 (+14),,40,,CENTRE_M 54-40 (+14),,"GOOD JUMPER by LLOYD,ALEX(in the paint)",2
04:26,,,,,"TURNOVER  by WHITFIELD,NIC",,,"TURNOVER  by WHITFIELD,NIC",2
04:23,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",2
04:18,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",56 (+16),,40,,CENTRE_M 56-40 (+16),,"GOOD LAYUP by MULLANEY,JEFF(in the paint)",2
04:05,,,,,"MISS JUMPER by SPIVEY,STEPHEN",,,"MISS JUMPER by SPIVEY,STEPHEN",2
--,"REBOUND DEF by CRAWFORD,JOSH",,,,,,,"REBOUND DEF by CRAWFORD,JOSH",2
03:43,"TURNOVER  by LLOYD,ALEX",,,,,,,"TURNOVER  by LLOYD,ALEX",2
03:43,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
03:43,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
03:43,,,,,"SUB IN by CHASE,NATHAN",,,"SUB IN by CHASE,NATHAN",2
03:43,,,,,"SUB IN by BRAYMAN,ALEX",,,"SUB IN by BRAYMAN,ALEX",2
03:43,,,,,"SUB OUT by VAUGHN,MARCUS",,,"SUB OUT by VAUGHN,MARCUS",2
03:43,,,,,"SUB OUT by SPIVEY,STEPHEN",,,"SUB OUT by SPIVEY,STEPHEN",2
03:14,,56 (+13),,43,"GOOD 3PTR by CRAFT,BLAKE",LCM 56-43 (+13),,"GOOD 3PTR by CRAFT,BLAKE",2
02:47,"MISS JUMPER by MULLANEY,JEFF",,,,,,,"MISS JUMPER by MULLANEY,JEFF",2
--,"REBOUND OFF by CRAWFORD,JOSH",,,,,,,"REBOUND OFF by CRAWFORD,JOSH",2
02:31,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",2
02:27,,,,,"STEAL  by CHASE,NATHAN",,,"STEAL  by CHASE,NATHAN",2
02:24,,,,,"MISS 3PTR by BRAYMAN,ALEX",,,"MISS 3PTR by BRAYMAN,ALEX",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:19,"SUB IN by ROSS,GREG",,,,,,,"SUB IN by ROSS,GREG",2
02:19,"SUB OUT by LLOYD,ALEX",,,,,,,"SUB OUT by LLOYD,ALEX",2
02:19,,,,,"SUB IN by HOWARD,JEROD",,,"SUB IN by HOWARD,JEROD",2
02:19,,,,,"SUB IN by VAUGHN,MARCUS",,,"SUB IN by VAUGHN,MARCUS",2
02:19,,,,,"SUB IN by TUCK,STEPHEN",,,"SUB IN by TUCK,STEPHEN",2
02:19,,,,,"SUB OUT by CHASE,NATHAN",,,"SUB OUT by CHASE,NATHAN",2
02:19,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",2
02:19,,,,,"SUB OUT by CRAFT,BLAKE",,,"SUB OUT by CRAFT,BLAKE",2
02:12,"TURNOVER  by MULLANEY,JEFF",,,,,,,"TURNOVER  by MULLANEY,JEFF",2
02:08,,,,,"STEAL  by TUCK,STEPHEN",,,"STEAL  by TUCK,STEPHEN",2
02:06,,,,,"MISS 3PTR by TUCK,STEPHEN",,,"MISS 3PTR by TUCK,STEPHEN",2
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",2
01:46,,,,,"FOUL  by VAUGHN,MARCUS",,,"FOUL  by VAUGHN,MARCUS",2
01:43,,,,,"FOUL  by TUCK,STEPHEN",,,"FOUL  by TUCK,STEPHEN",2
01:43,"MISS FT by GRIGGS,MATT",,,,,,,"MISS FT by GRIGGS,MATT",2
--,,,,,"REBOUND DEF by WHITFIELD,NIC",,,"REBOUND DEF by WHITFIELD,NIC",2
01:43,,,,,"SUB IN by CRAFT,BLAKE",,,"SUB IN by CRAFT,BLAKE",2
01:43,,,,,"SUB OUT by TUCK,STEPHEN",,,"SUB OUT by TUCK,STEPHEN",2
01:33,,56 (+10),,46,"GOOD 3PTR by CRAFT,BLAKE",LCM 56-46 (+10),,"GOOD 3PTR by CRAFT,BLAKE",2
01:29,,,,,"FOUL  by BRAYMAN,ALEX",,,"FOUL  by BRAYMAN,ALEX",2
01:29,"MISS FT by GRIGGS,MATT",,,,,,,"MISS FT by GRIGGS,MATT",2
--,,,,,"REBOUND DEF by BRAYMAN,ALEX",,,"REBOUND DEF by BRAYMAN,ALEX",2
01:16,,,,,"MISS 3PTR by BRAYMAN,ALEX",,,"MISS 3PTR by BRAYMAN,ALEX",2
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",2
01:14,"TURNOVER  by ELLIS,BRYON",,,,,,,"TURNOVER  by ELLIS,BRYON",2
01:14,"SUB IN by WHITESIDE,DONOVAN",,,,,,,"SUB IN by WHITESIDE,DONOVAN",2
01:14,"SUB IN by LLOYD,ALEX",,,,,,,"SUB IN by LLOYD,ALEX",2
01:14,"SUB OUT by GRIGGS,MATT",,,,,,,"SUB OUT by GRIGGS,MATT",2
01:14,"SUB OUT by CRAWFORD,JOSH",,,,,,,"SUB OUT by CRAWFORD,JOSH",2
01:13,"FOUL  by ROSS,GREG",,,,,,,"FOUL  by ROSS,GREG",2
01:10,"FOUL  by LLOYD,ALEX",,,,,,,"FOUL  by LLOYD,ALEX",2
01:10,,,,,"SUB IN by GAYLOR,BRITT",,,"SUB IN by GAYLOR,BRITT",2
01:10,,,,,"SUB OUT by HOWARD,JEROD",,,"SUB OUT by HOWARD,JEROD",2
00:58,,,,,"MISS 3PTR by CRAFT,BLAKE",,,"MISS 3PTR by CRAFT,BLAKE",2
--,"REBOUND DEF by ROSS,GREG",,,,,,,"REBOUND DEF by ROSS,GREG",2
00:53,,,,,"FOUL  by BRAYMAN,ALEX",,,"FOUL  by BRAYMAN,ALEX",2
00:51,"GOOD FT by ROSS,GREG",57 (+11),,46,,CENTRE_M 57-46 (+11),,"GOOD FT by ROSS,GREG",2
00:51,"GOOD FT by ROSS,GREG",58 (+12),,46,,CENTRE_M 58-46 (+12),,"GOOD FT by ROSS,GREG",2
00:45,"FOUL  by WHITESIDE,DONOVAN",,,,,,,"FOUL  by WHITESIDE,DONOVAN",2
00:45,,,,,"MISS FT by VAUGHN,MARCUS",,,"MISS FT by VAUGHN,MARCUS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:45,,58 (+11),,47,"GOOD FT by VAUGHN,MARCUS",LCM 58-47 (+11),,"GOOD FT by VAUGHN,MARCUS",2
00:45,,58 (+10),,48,"GOOD FT by VAUGHN,MARCUS",LCM 58-48 (+10),,"GOOD FT by VAUGHN,MARCUS",2
00:45,"SUB IN by CRAWFORD,JOSH",,,,,,,"SUB IN by CRAWFORD,JOSH",2
00:45,"SUB OUT by LLOYD,ALEX",,,,,,,"SUB OUT by LLOYD,ALEX",2
00:45,,,,,"SUB IN by TUCK,STEPHEN",,,"SUB IN by TUCK,STEPHEN",2
00:45,,,,,"SUB OUT by BRAYMAN,ALEX",,,"SUB OUT by BRAYMAN,ALEX",2
00:39,,,,,"FOUL  by WHITFIELD,NIC",,,"FOUL  by WHITFIELD,NIC",2
00:39,"GOOD FT by ELLIS,BRYON",59 (+11),,48,,CENTRE_M 59-48 (+11),,"GOOD FT by ELLIS,BRYON",2
00:39,"GOOD FT by ELLIS,BRYON",60 (+12),,48,,CENTRE_M 60-48 (+12),,"GOOD FT by ELLIS,BRYON",2
00:39,"SUB IN by GRIGGS,MATT",,,,,,,"SUB IN by GRIGGS,MATT",2
00:39,"SUB IN by LLOYD,ALEX",,,,,,,"SUB IN by LLOYD,ALEX",2
00:39,"SUB OUT by WHITESIDE,DONOVAN",,,,,,,"SUB OUT by WHITESIDE,DONOVAN",2
00:39,"SUB OUT by CRAWFORD,JOSH",,,,,,,"SUB OUT by CRAWFORD,JOSH",2
00:39,,,,,"SUB IN by BRAYMAN,ALEX",,,"SUB IN by BRAYMAN,ALEX",2
00:39,,,,,"SUB OUT by WHITFIELD,NIC",,,"SUB OUT by WHITFIELD,NIC",2
00:32,,,,,"MISS 3PTR by GAYLOR,BRITT",,,"MISS 3PTR by GAYLOR,BRITT",2
--,,,,,"REBOUND OFF by TUCK,STEPHEN",,,"REBOUND OFF by TUCK,STEPHEN",2
00:23,,,,,"MISS 3PTR by TUCK,STEPHEN",,,"MISS 3PTR by TUCK,STEPHEN",2
--,"REBOUND DEF by ELLIS,BRYON",,,,,,,"REBOUND DEF by ELLIS,BRYON",2
00:20,,,,,"FOUL  by TUCK,STEPHEN",,,"FOUL  by TUCK,STEPHEN",2
00:20,"GOOD FT by ELLIS,BRYON",61 (+13),,48,,CENTRE_M 61-48 (+13),,"GOOD FT by ELLIS,BRYON",2
00:20,"GOOD FT by ELLIS,BRYON",62 (+14),,48,,CENTRE_M 62-48 (+14),,"GOOD FT by ELLIS,BRYON",2
00:20,"SUB IN by LOPEZ,COLLIN",,,,,,,"SUB IN by LOPEZ,COLLIN",2
00:20,"SUB IN by SMITH,DEE",,,,,,,"SUB IN by SMITH,DEE",2
00:20,"SUB OUT by MULLANEY,JEFF",,,,,,,"SUB OUT by MULLANEY,JEFF",2
00:20,"SUB OUT by ELLIS,BRYON",,,,,,,"SUB OUT by ELLIS,BRYON",2
00:20,,,,,"SUB IN by CHASE,NATHAN",,,"SUB IN by CHASE,NATHAN",2
00:20,,,,,"SUB OUT by GAYLOR,BRITT",,,"SUB OUT by GAYLOR,BRITT",2
00:18,"MISS 3PTR by ELLIS,BRYON",,,,,,,"MISS 3PTR by ELLIS,BRYON",2
--,,,,,"REBOUND DEF by MADDOX,BRANDON",,,"REBOUND DEF by MADDOX,BRANDON",2
