Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,DEGA,Game Score,Team Indicator,Play,Period
11:56,,,,,"FOUL  by NICHOLS,DEVIN",,,"FOUL  by NICHOLS,DEVIN",1
11:56,,,,,"FOUL  by SIMMONS,TRE",,,"FOUL  by SIMMONS,TRE",1
11:47,,8 (+2),,6,"GOOD JUMPER by SANDS,COREY",DEGA 8-6 (+2),,"GOOD JUMPER by SANDS,COREY",1
11:27,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND DEF by NICHOLS,DEVIN",,,"REBOUND DEF by NICHOLS,DEVIN",1
11:01,,,,,"MISS JUMPER by PEGUES,KESHAWN",,,"MISS JUMPER by PEGUES,KESHAWN",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
10:46,,8,,8,"GOOD JUMPER by SANDS,COREY",DEGA 8-8 (0),,"GOOD JUMPER by SANDS,COREY",1
10:02,"GOOD 3PTR by GREEN,KALEB",11 (+3),,8,,BSC 11-8 (+3),,"GOOD 3PTR by GREEN,KALEB",1
09:34,,11 (+1),,10,"GOOD JUMPER by FORTE,JASHON",DEGA 11-10 (+1),,"GOOD JUMPER by FORTE,JASHON",1
09:13,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
09:13,,,,,"BLOCK  by FORTE,JASHON",,,"BLOCK  by FORTE,JASHON",1
--,,,,,"REBOUND DEF by FORTE,JASHON",,,"REBOUND DEF by FORTE,JASHON",1
08:49,,11,,12 (+1),"GOOD LAYUP by ANUM,ETHELBERT(in the paint)",DEGA 11-12 (-1),,"GOOD LAYUP by ANUM,ETHELBERT(in the paint)",1
--,,,,,"ASSIST  by CRUMBLEY,JORDAN",,,"ASSIST  by CRUMBLEY,JORDAN",1
08:02,"MISS 3PTR by GARRIDO,BRANDAN",,,,,,,"MISS 3PTR by GARRIDO,BRANDAN",1
--,"REBOUND OFF by SPENCE,SAMUEL",,,,,,,"REBOUND OFF by SPENCE,SAMUEL",1
08:02,,,,,"FOUL  by PEGUES,KESHAWN",,,"FOUL  by PEGUES,KESHAWN",1
08:02,"GOOD FT by SPENCE,SAMUEL",12,,12,,BSC 12-12 (0),,"GOOD FT by SPENCE,SAMUEL",1
08:02,"GOOD FT by SPENCE,SAMUEL",13 (+1),,12,,BSC 13-12 (+1),,"GOOD FT by SPENCE,SAMUEL",1
07:39,,,,,"SUB IN by CAMPBELL,WILFRED",,,"SUB IN by CAMPBELL,WILFRED",1
07:39,,,,,"SUB IN by CRUMBLEY,JORDAN",,,"SUB IN by CRUMBLEY,JORDAN",1
07:39,,,,,"SUB OUT by TATUM,JAVON",,,"SUB OUT by TATUM,JAVON",1
07:39,,,,,"SUB OUT by NICHOLS,DEVIN",,,"SUB OUT by NICHOLS,DEVIN",1
06:40,,,,,"SUB IN by SIMMONS,KOBE",,,"SUB IN by SIMMONS,KOBE",1
06:40,,,,,"SUB IN by BEANE,JIMMY",,,"SUB IN by BEANE,JIMMY",1
06:40,,,,,"SUB OUT by PEGUES,KESHAWN",,,"SUB OUT by PEGUES,KESHAWN",1
06:40,,,,,"SUB OUT by CAMPBELL,WILFRED",,,"SUB OUT by CAMPBELL,WILFRED",1
06:36,,13,,14 (+1),"GOOD LAYUP by SANDS,COREY(in the paint)",DEGA 13-14 (-1),,"GOOD LAYUP by SANDS,COREY(in the paint)",1
06:36,,,,,"FOUL  by ANUM,ETHELBERT",,,"FOUL  by ANUM,ETHELBERT",1
06:36,"MISS FT by GARRIDO,BRANDAN",,,,,,,"MISS FT by GARRIDO,BRANDAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:15,"GOOD 3PTR by BISHOP,BRYSON",16 (+2),,14,,BSC 16-14 (+2),,"GOOD 3PTR by BISHOP,BRYSON",1
05:42,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
05:42,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
05:42,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
05:42,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
05:42,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
05:42,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
05:42,,,,,"SUB IN by CAMPBELL,WILFRED",,,"SUB IN by CAMPBELL,WILFRED",1
05:42,,,,,"SUB IN by HAMILTON,M",,,"SUB IN by HAMILTON,M",1
05:42,,,,,"SUB OUT by SIMMONS,KOBE",,,"SUB OUT by SIMMONS,KOBE",1
05:42,,,,,"SUB OUT by BEANE,JIMMY",,,"SUB OUT by BEANE,JIMMY",1
05:42,,,,,"SUB OUT by TATUM,JAVON",,,"SUB OUT by TATUM,JAVON",1
05:42,,,,,"SUB OUT by NICHOLS,DEVIN",,,"SUB OUT by NICHOLS,DEVIN",1
05:42,,,,,"SUB OUT by ANUM,ETHELBERT",,,"SUB OUT by ANUM,ETHELBERT",1
05:30,,,,,"TURNOVER  by CRUMBLEY,JORDAN",,,"TURNOVER  by CRUMBLEY,JORDAN",1
05:24,"STEAL  by GLOVER,COLIN",,,,,,,"STEAL  by GLOVER,COLIN",1
05:18,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,,,,,"REBOUND DEF by SANDS,COREY",,,"REBOUND DEF by SANDS,COREY",1
05:08,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",1
05:08,,,,,"SUB IN by PEGUES,KESHAWN",,,"SUB IN by PEGUES,KESHAWN",1
04:59,,16,,16,"GOOD JUMPER by CRUMBLEY,JORDAN",DEGA 16-16 (0),,"GOOD JUMPER by CRUMBLEY,JORDAN",1
04:32,,,,,"FOUL  by HAMILTON,M",,,"FOUL  by HAMILTON,M",1
04:32,"GOOD FT by DAVIS,BRODY",17 (+1),,16,,BSC 17-16 (+1),,"GOOD FT by DAVIS,BRODY",1
04:32,,,,,"SUB IN by SIMMONS,TRE",,,"SUB IN by SIMMONS,TRE",1
04:32,,,,,"SUB IN by FORTE,JASHON",,,"SUB IN by FORTE,JASHON",1
04:32,,,,,"SUB OUT by CRUMBLEY,JORDAN",,,"SUB OUT by CRUMBLEY,JORDAN",1
04:32,,,,,"SUB OUT by PEGUES,KESHAWN",,,"SUB OUT by PEGUES,KESHAWN",1
04:17,,,,,"MISS LAYUP by FORTE,JASHON",,,"MISS LAYUP by FORTE,JASHON",1
04:17,"BLOCK  by DAVIS,BRODY",,,,,,,"BLOCK  by DAVIS,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:12,,17,,18 (+1),"GOOD LAYUP by CRUMBLEY,JORDAN(in the paint)",DEGA 17-18 (-1),,"GOOD LAYUP by CRUMBLEY,JORDAN(in the paint)",1
03:56,"GOOD 3PTR by BISHOP,BRYSON",20 (+2),,18,,BSC 20-18 (+2),,"GOOD 3PTR by BISHOP,BRYSON",1
--,"ASSIST  by GREEN,KALEB",,,,,,,"ASSIST  by GREEN,KALEB",1
03:30,,,,,"MISS LAYUP by CRUMBLEY,JORDAN",,,"MISS LAYUP by CRUMBLEY,JORDAN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
03:24,,,,,"FOUL  by HAMILTON,M",,,"FOUL  by HAMILTON,M",1
03:24,"GOOD FT by BISHOP,BRYSON",21 (+3),,18,,BSC 21-18 (+3),,"GOOD FT by BISHOP,BRYSON",1
03:24,"GOOD FT by BISHOP,BRYSON",22 (+4),,18,,BSC 22-18 (+4),,"GOOD FT by BISHOP,BRYSON",1
03:24,"MISS FT by BISHOP,BRYSON",,,,,,,"MISS FT by BISHOP,BRYSON",1
--,,,,,"REBOUND DEF by FORTE,JASHON",,,"REBOUND DEF by FORTE,JASHON",1
03:01,,,,,"MISS LAYUP by FORTE,JASHON",,,"MISS LAYUP by FORTE,JASHON",1
--,"REBOUND DEF by DAVIS,BRODY",,,,,,,"REBOUND DEF by DAVIS,BRODY",1
02:15,,22 (+1),,21,"GOOD 3PTR by SIMMONS,TRE",DEGA 22-21 (+1),,"GOOD 3PTR by SIMMONS,TRE",1
01:55,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
01:53,,,,,"STEAL  by SIMMONS,TRE",,,"STEAL  by SIMMONS,TRE",1
01:52,,22,,23 (+1),"GOOD LAYUP by SIMMONS,TRE(in the paint)",DEGA 22-23 (-1),,"GOOD LAYUP by SIMMONS,TRE(in the paint)",1
01:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
01:52,,,,,"SUB IN by CAMPBELL,WILFRED",,,"SUB IN by CAMPBELL,WILFRED",1
01:52,,,,,"SUB IN by FORTE,JASHON",,,"SUB IN by FORTE,JASHON",1
01:52,,,,,"SUB IN by HAMILTON,M",,,"SUB IN by HAMILTON,M",1
01:52,,,,,"SUB IN by CRUMBLEY,JORDAN",,,"SUB IN by CRUMBLEY,JORDAN",1
01:52,,,,,"SUB IN by PEGUES,KESHAWN",,,"SUB IN by PEGUES,KESHAWN",1
01:52,,,,,"SUB IN by TATUM,JAVON",,,"SUB IN by TATUM,JAVON",1
01:52,,,,,"SUB IN by ANUM,ETHELBERT",,,"SUB IN by ANUM,ETHELBERT",1
01:52,,,,,"SUB IN by SIMMONS,KOBE",,,"SUB IN by SIMMONS,KOBE",1
01:52,,,,,"SUB OUT by PEGUES,KESHAWN",,,"SUB OUT by PEGUES,KESHAWN",1
01:52,,,,,"SUB OUT by SIMMONS,KOBE",,,"SUB OUT by SIMMONS,KOBE",1
01:52,,,,,"SUB OUT by TATUM,JAVON",,,"SUB OUT by TATUM,JAVON",1
01:52,,,,,"SUB OUT by ANUM,ETHELBERT",,,"SUB OUT by ANUM,ETHELBERT",1
01:52,,,,,"SUB OUT by CAMPBELL,WILFRED",,,"SUB OUT by CAMPBELL,WILFRED",1
01:52,,,,,"SUB OUT by HAMILTON,M",,,"SUB OUT by HAMILTON,M",1
01:52,,,,,"SUB OUT by FORTE,JASHON",,,"SUB OUT by FORTE,JASHON",1
01:52,,,,,"SUB OUT by SANDS,COREY",,,"SUB OUT by SANDS,COREY",1
01:41,"MISS LAYUP by BISHOP,BRYSON",,,,,,,"MISS LAYUP by BISHOP,BRYSON",1
--,,,,,"REBOUND DEF by HAMILTON,M",,,"REBOUND DEF by HAMILTON,M",1
01:18,,,,,"MISS 3PTR by SIMMONS,TRE",,,"MISS 3PTR by SIMMONS,TRE",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
01:18,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
01:12,,,,,"MISS 3PTR by SANDS,COREY",,,"MISS 3PTR by SANDS,COREY",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
00:56,"GOOD 3PTR by GREEN,KALEB",25 (+2),,23,,BSC 25-23 (+2),,"GOOD 3PTR by GREEN,KALEB",1
00:18,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
00:18,,,,,"FOUL  by FORTE,JASHON",,,"FOUL  by FORTE,JASHON",1
00:06,,,,,"FOUL  by CRUMBLEY,JORDAN",,,"FOUL  by CRUMBLEY,JORDAN",1
00:06,"GOOD FT by CHILDERS,JOSH",26 (+3),,23,,BSC 26-23 (+3),,"GOOD FT by CHILDERS,JOSH",1
00:04,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:37,,26 (+1),,25,"GOOD LAYUP by ANUM,ETHELBERT(in the paint)",DEGA 26-25 (+1),,"GOOD LAYUP by ANUM,ETHELBERT(in the paint)",2
--,,,,,"ASSIST  by PEGUES,KESHAWN",,,"ASSIST  by PEGUES,KESHAWN",2
19:10,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",2
18:59,,26,,27 (+1),"GOOD DUNK by PEGUES,KESHAWN(in the paint)",DEGA 26-27 (-1),,"GOOD DUNK by PEGUES,KESHAWN(in the paint)",2
--,,,,,"ASSIST  by TATUM,JAVON",,,"ASSIST  by TATUM,JAVON",2
18:50,,,,,"FOUL  by TATUM,JAVON",,,"FOUL  by TATUM,JAVON",2
18:40,"TURNOVER  by GLOVER,CAM",,,,,,,"TURNOVER  by GLOVER,CAM",2
18:38,,,,,"STEAL  by ANUM,ETHELBERT",,,"STEAL  by ANUM,ETHELBERT",2
18:29,,26,,29 (+3),"GOOD LAYUP by NICHOLS,DEVIN(in the paint)",DEGA 26-29 (-3),,"GOOD LAYUP by NICHOLS,DEVIN(in the paint)",2
18:07,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",28,,29 (+1),,BSC 28-29 (-1),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
17:45,,,,,"MISS LAYUP by PEGUES,KESHAWN",,,"MISS LAYUP by PEGUES,KESHAWN",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
17:33,"MISS LAYUP by GREEN,KALEB",,,,,,,"MISS LAYUP by GREEN,KALEB",2
17:33,,,,,"BLOCK  by NICHOLS,DEVIN",,,"BLOCK  by NICHOLS,DEVIN",2
--,,,,,"REBOUND DEF by TATUM,JAVON",,,"REBOUND DEF by TATUM,JAVON",2
17:19,,,,,"MISS LAYUP by TATUM,JAVON",,,"MISS LAYUP by TATUM,JAVON",2
--,,,,,"REBOUND OFF by TATUM,JAVON",,,"REBOUND OFF by TATUM,JAVON",2
17:13,,28,,31 (+3),"GOOD LAYUP by TATUM,JAVON(in the paint)",DEGA 28-31 (-3),,"GOOD LAYUP by TATUM,JAVON(in the paint)",2
17:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:34,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",2
--,,,,,"REBOUND DEF by PEGUES,KESHAWN",,,"REBOUND DEF by PEGUES,KESHAWN",2
16:21,,,,,"MISS JUMPER by TATUM,JAVON",,,"MISS JUMPER by TATUM,JAVON",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:17,,,,,"SUB IN by SIMMONS,TRE",,,"SUB IN by SIMMONS,TRE",2
16:17,,,,,"SUB IN by CRUMBLEY,JORDAN",,,"SUB IN by CRUMBLEY,JORDAN",2
16:17,,,,,"SUB IN by SIMMONS,KOBE",,,"SUB IN by SIMMONS,KOBE",2
16:17,,,,,"SUB OUT by PEGUES,KESHAWN",,,"SUB OUT by PEGUES,KESHAWN",2
16:17,,,,,"SUB OUT by NICHOLS,DEVIN",,,"SUB OUT by NICHOLS,DEVIN",2
16:17,,,,,"SUB OUT by SANDS,COREY",,,"SUB OUT by SANDS,COREY",2
16:08,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",30,,31 (+1),,BSC 30-31 (-1),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,"ASSIST  by GLOVER,COLIN",,,,,,,"ASSIST  by GLOVER,COLIN",2
15:55,"FOUL  by SPENCE,SAMUEL",,,,,,,"FOUL  by SPENCE,SAMUEL",2
15:55,,30,,32 (+2),"GOOD FT by PEGUES,KESHAWN",DEGA 30-32 (-2),,"GOOD FT by PEGUES,KESHAWN",2
15:32,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by TATUM,JAVON",,,"REBOUND DEF by TATUM,JAVON",2
15:14,,,,,"SUB IN by PEGUES,KESHAWN",,,"SUB IN by PEGUES,KESHAWN",2
15:14,,,,,"SUB OUT by SIMMONS,TRE",,,"SUB OUT by SIMMONS,TRE",2
15:09,,30,,34 (+4),"GOOD LAYUP by SANDS,COREY(in the paint)",DEGA 30-34 (-4),,"GOOD LAYUP by SANDS,COREY(in the paint)",2
14:54,,,,,"FOUL  by SANDS,COREY",,,"FOUL  by SANDS,COREY",2
14:54,,,,,"SUB IN by HAMILTON,M",,,"SUB IN by HAMILTON,M",2
14:54,,,,,"SUB OUT by PEGUES,KESHAWN",,,"SUB OUT by PEGUES,KESHAWN",2
14:40,,,,,"SUB IN by CAMPBELL,WILFRED",,,"SUB IN by CAMPBELL,WILFRED",2
14:40,,,,,"SUB IN by PEGUES,KESHAWN",,,"SUB IN by PEGUES,KESHAWN",2
14:40,,,,,"SUB OUT by SIMMONS,KOBE",,,"SUB OUT by SIMMONS,KOBE",2
14:40,,,,,"SUB OUT by HAMILTON,M",,,"SUB OUT by HAMILTON,M",2
14:29,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",2
14:26,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",2
14:26,,,,,"MISS FT by PEGUES,KESHAWN",,,"MISS FT by PEGUES,KESHAWN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:26,,30,,35 (+5),"GOOD FT by PEGUES,KESHAWN",DEGA 30-35 (-5),,"GOOD FT by PEGUES,KESHAWN",2
14:06,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",2
--,,,,,"REBOUND DEF by PEGUES,KESHAWN",,,"REBOUND DEF by PEGUES,KESHAWN",2
13:54,,30,,37 (+7),"GOOD LAYUP by PEGUES,KESHAWN(in the paint)",DEGA 30-37 (-7),,"GOOD LAYUP by PEGUES,KESHAWN(in the paint)",2
13:40,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by CAMPBELL,WILFRED",,,"REBOUND DEF by CAMPBELL,WILFRED",2
13:32,,,,,"FOUL  by FORTE,JASHON",,,"FOUL  by FORTE,JASHON",2
13:23,"GOOD LAYUP by PATRICK,DYLAN(in the paint)",32,,37 (+5),,BSC 32-37 (-5),,"GOOD LAYUP by PATRICK,DYLAN(in the paint)",2
12:54,,,,,"MISS LAYUP by PEGUES,KESHAWN",,,"MISS LAYUP by PEGUES,KESHAWN",2
--,"REBOUND DEF by GLOVER,COLIN",,,,,,,"REBOUND DEF by GLOVER,COLIN",2
12:42,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",2
12:42,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",2
12:42,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",2
12:42,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
12:42,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",2
12:42,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",2
12:42,,,,,"SUB IN by FORTE,JASHON",,,"SUB IN by FORTE,JASHON",2
12:42,,,,,"SUB OUT by ANUM,ETHELBERT",,,"SUB OUT by ANUM,ETHELBERT",2
12:32,,,,,"FOUL  by CAMPBELL,WILFRED",,,"FOUL  by CAMPBELL,WILFRED",2
12:27,"TURNOVER  by BISHOP,BRYSON",,,,,,,"TURNOVER  by BISHOP,BRYSON",2
12:24,,,,,"STEAL  by PEGUES,KESHAWN",,,"STEAL  by PEGUES,KESHAWN",2
12:06,,,,,"MISS LAYUP by PEGUES,KESHAWN",,,"MISS LAYUP by PEGUES,KESHAWN",2
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",2
11:59,"MISS LAYUP by GILLISPIE,JAY",,,,,,,"MISS LAYUP by GILLISPIE,JAY",2
--,,,,,"REBOUND DEF by CAMPBELL,WILFRED",,,"REBOUND DEF by CAMPBELL,WILFRED",2
11:51,,32,,39 (+7),"GOOD DUNK by PEGUES,KESHAWN(in the paint)",DEGA 32-39 (-7),,"GOOD DUNK by PEGUES,KESHAWN(in the paint)",2
11:18,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",2
--,,,,,"REBOUND DEF by CAMPBELL,WILFRED",,,"REBOUND DEF by CAMPBELL,WILFRED",2
11:11,,32,,41 (+9),"GOOD LAYUP by PEGUES,KESHAWN(in the paint)",DEGA 32-41 (-9),,"GOOD LAYUP by PEGUES,KESHAWN(in the paint)",2
11:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
11:06,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
11:06,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",2
11:06,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",2
11:06,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",2
11:06,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",2
11:06,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
10:45,"GOOD LAYUP by GREEN,KALEB(in the paint)",34,,41 (+7),,BSC 34-41 (-7),,"GOOD LAYUP by GREEN,KALEB(in the paint)",2
10:37,,,,,"SUB IN by ANUM,ETHELBERT",,,"SUB IN by ANUM,ETHELBERT",2
10:37,,,,,"SUB OUT by TATUM,JAVON",,,"SUB OUT by TATUM,JAVON",2
10:15,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND DEF by PEGUES,KESHAWN",,,"REBOUND DEF by PEGUES,KESHAWN",2
10:04,"FOUL  by SPENCE,SAMUEL",,,,,,,"FOUL  by SPENCE,SAMUEL",2
10:04,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",2
10:04,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",2
10:04,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",2
10:04,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",2
10:02,,,,,"SUB IN by SANDS,COREY",,,"SUB IN by SANDS,COREY",2
10:02,,,,,"SUB OUT by FORTE,JASHON",,,"SUB OUT by FORTE,JASHON",2
09:49,,,,,"TURNOVER  by CAMPBELL,WILFRED",,,"TURNOVER  by CAMPBELL,WILFRED",2
09:34,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",36,,41 (+5),,BSC 36-41 (-5),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
09:12,,36,,43 (+7),"GOOD JUMPER by ANUM,ETHELBERT",DEGA 36-43 (-7),,"GOOD JUMPER by ANUM,ETHELBERT",2
08:52,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,"REBOUND OFF by GREEN,KALEB",,,,,,,"REBOUND OFF by GREEN,KALEB",2
08:45,"GOOD 3PTR by GREEN,KALEB",39,,43 (+4),,BSC 39-43 (-4),,"GOOD 3PTR by GREEN,KALEB",2
08:39,,,,,TIMEOUT FULL by TEAM,,,TIMEOUT FULL by TEAM,2
08:20,,,,,"MISS LAYUP by CRUMBLEY,JORDAN",,,"MISS LAYUP by CRUMBLEY,JORDAN",2
--,,,,,"REBOUND OFF by PEGUES,KESHAWN",,,"REBOUND OFF by PEGUES,KESHAWN",2
08:14,,39,,45 (+6),"GOOD LAYUP by PEGUES,KESHAWN(in the paint)",DEGA 39-45 (-6),,"GOOD LAYUP by PEGUES,KESHAWN(in the paint)",2
08:07,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",2
--,,,,,"REBOUND DEF by ANUM,ETHELBERT",,,"REBOUND DEF by ANUM,ETHELBERT",2
07:46,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
07:46,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",2
07:46,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",2
07:29,,,,,"TURNOVER  by SANDS,COREY",,,"TURNOVER  by SANDS,COREY",2
07:25,"STEAL  by GREEN,KALEB",,,,,,,"STEAL  by GREEN,KALEB",2
