Time Remaining,COV,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
12:56,"SUB IN by GERNATT,JONATHAN",,,,,,,"SUB IN by GERNATT,JONATHAN",1
12:56,"SUB OUT by ST. GERMAIN,MICHAEL",,,,,,,"SUB OUT by ST. GERMAIN,MICHAEL",1
12:56,,,,,"SUB OUT by DEAN,NOLAN",,,"SUB OUT by DEAN,NOLAN",1
12:56,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
12:56,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
12:56,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
12:56,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",1
12:50,,13,,15 (+2),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 13-15 (+2),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
12:30,,,,,"FOUL  by GREEN,KALEB",,,"FOUL  by GREEN,KALEB",1
12:30,"SUB OUT by MATHIS,WALKER",,,,,,,"SUB OUT by MATHIS,WALKER",1
12:30,"SUB IN by IGBANU,PROMISE",,,,,,,"SUB IN by IGBANU,PROMISE",1
12:21,"GOOD JUMPER by HESTER,CHARLIE(in the paint)",15,,15,,COV 15-15 (0),,"GOOD JUMPER by HESTER,CHARLIE(in the paint)",1
12:13,,,,,"FOUL  by DAVIS,BRODY",,,"FOUL  by DAVIS,BRODY",1
11:57,"TURNOVER  by IGBANU,PROMISE",,,,,,,"TURNOVER  by IGBANU,PROMISE",1
11:57,,,,,"STEAL  by JACKSON,MARTISE",,,"STEAL  by JACKSON,MARTISE",1
11:52,,,,,"MISS 3PTR by GREEN,KALEB",,,"MISS 3PTR by GREEN,KALEB",1
--,,,,,"REBOUND OFF by GILLISPIE,JAY",,,"REBOUND OFF by GILLISPIE,JAY",1
11:50,"FOUL  by IGBANU,PROMISE",,,,,,,"FOUL  by IGBANU,PROMISE",1
11:50,,,,,"MISS FT by GILLISPIE,JAY(fastbreak)",,,"MISS FT by GILLISPIE,JAY(fastbreak)",1
11:50,"SUB OUT by IGBANU,PROMISE",,,,,,,"SUB OUT by IGBANU,PROMISE",1
11:50,"SUB IN by WITT,ELI",,,,,,,"SUB IN by WITT,ELI",1
--,"REBOUND DEF by HESTER,CHARLIE",,,,,,,"REBOUND DEF by HESTER,CHARLIE",1
11:28,"GOOD 3PTR by GERNATT,JONATHAN",18 (+3),,15,,COV 18-15 (-3),,"GOOD 3PTR by GERNATT,JONATHAN",1
11:12,,,,,"MISS LAYUP by DAVIS,BRODY(in the paint)",,,"MISS LAYUP by DAVIS,BRODY(in the paint)",1
--,"REBOUND DEF by GERNATT,JONATHAN",,,,,,,"REBOUND DEF by GERNATT,JONATHAN",1
11:00,"MISS LAYUP by WITT,ELI(in the paint)",,,,,,,"MISS LAYUP by WITT,ELI(in the paint)",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
10:50,,18 (+1),,17,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 18-17 (-1),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",1
10:50,"FOUL  by WITT,ELI",,,,,,,"FOUL  by WITT,ELI",1
10:50,"SUB OUT by HESTER,CHARLIE",,,,,,,"SUB OUT by HESTER,CHARLIE",1
10:50,"SUB IN by MATHIS,WALKER",,,,,,,"SUB IN by MATHIS,WALKER",1
10:48,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,"REBOUND DEF by GERNATT,JONATHAN",,,,,,,"REBOUND DEF by GERNATT,JONATHAN",1
10:44,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
10:44,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",1
10:44,,,,,"SUB OUT by DAVIS,BRODY",,,"SUB OUT by DAVIS,BRODY",1
10:44,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",1
10:44,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",1
10:44,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
10:32,"GOOD LAYUP by NOEL,MALCOLM(in the paint)",20 (+3),,17,,COV 20-17 (-3),,"GOOD LAYUP by NOEL,MALCOLM(in the paint)",1
10:32,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
10:31,"GOOD FT by NOEL,MALCOLM",21 (+4),,17,,COV 21-17 (-4),,"GOOD FT by NOEL,MALCOLM",1
10:18,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",1
10:18,"SUB OUT by WITT,ELI",,,,,,,"SUB OUT by WITT,ELI",1
10:18,"SUB IN by PEARLMAN,LOGAN",,,,,,,"SUB IN by PEARLMAN,LOGAN",1
10:07,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",1
10:07,"MISS 3PTR by GERNATT,JONATHAN",,,,,,,"MISS 3PTR by GERNATT,JONATHAN",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
09:51,,21 (+1),,20,"GOOD 3PTR by BARNETT,CHARLIE",BSC 21-20 (-1),,"GOOD 3PTR by BARNETT,CHARLIE",1
--,,,,,"ASSIST  by PATRICK,DYLAN",,,"ASSIST  by PATRICK,DYLAN",1
09:32,"GOOD JUMPER by NOEL,MALCOLM",23 (+3),,20,,COV 23-20 (-3),,"GOOD JUMPER by NOEL,MALCOLM",1
09:05,,23 (+1),,22,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",BSC 23-22 (-1),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
08:43,"MISS JUMPER by MATHIS,WALKER(in the paint)",,,,,,,"MISS JUMPER by MATHIS,WALKER(in the paint)",1
08:43,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
08:37,,,,,"TURNOVER  by CHILDERS,JOSH",,,"TURNOVER  by CHILDERS,JOSH",1
08:37,"STEAL  by PEARLMAN,LOGAN",,,,,,,"STEAL  by PEARLMAN,LOGAN",1
08:31,"MISS LAYUP by NOEL,MALCOLM(in the paint)",,,,,,,"MISS LAYUP by NOEL,MALCOLM(in the paint)",1
--,,,,,"REBOUND DEF by PATRICK,DYLAN",,,"REBOUND DEF by PATRICK,DYLAN",1
08:25,,,,,"MISS 3PTR by BARNETT,CHARLIE",,,"MISS 3PTR by BARNETT,CHARLIE",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
08:18,"FOUL  by NOEL,MALCOLM",,,,,,,"FOUL  by NOEL,MALCOLM",1
08:17,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:17,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
08:17,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
08:17,"SUB OUT by CROWDEN,LUKE",,,,,,,"SUB OUT by CROWDEN,LUKE",1
08:17,"SUB OUT by GERNATT,JONATHAN",,,,,,,"SUB OUT by GERNATT,JONATHAN",1
08:17,"SUB OUT by MATHIS,WALKER",,,,,,,"SUB OUT by MATHIS,WALKER",1
08:17,"SUB IN by HESTER,CHARLIE",,,,,,,"SUB IN by HESTER,CHARLIE",1
08:17,"SUB IN by ST. GERMAIN,MICHAEL",,,,,,,"SUB IN by ST. GERMAIN,MICHAEL",1
08:17,"SUB IN by MITCHELL,FISHER",,,,,,,"SUB IN by MITCHELL,FISHER",1
08:17,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",1
--,"REBOUND DEF by PEARLMAN,LOGAN",,,,,,,"REBOUND DEF by PEARLMAN,LOGAN",1
08:05,"GOOD 3PTR by MITCHELL,FISHER",26 (+4),,22,,COV 26-22 (-4),,"GOOD 3PTR by MITCHELL,FISHER",1
--,"ASSIST  by NOEL,MALCOLM",,,,,,,"ASSIST  by NOEL,MALCOLM",1
07:52,,,,,"MISS 3PTR by SPENCE,SAMUEL",,,"MISS 3PTR by SPENCE,SAMUEL",1
--,"REBOUND DEF by HESTER,CHARLIE",,,,,,,"REBOUND DEF by HESTER,CHARLIE",1
07:41,"MISS JUMPER by NOEL,MALCOLM(in the paint)",,,,,,,"MISS JUMPER by NOEL,MALCOLM(in the paint)",1
--,"REBOUND OFF by HESTER,CHARLIE",,,,,,,"REBOUND OFF by HESTER,CHARLIE",1
07:36,"GOOD LAYUP by HESTER,CHARLIE(in the paint)",28 (+6),,22,,COV 28-22 (-6),,"GOOD LAYUP by HESTER,CHARLIE(in the paint)",1
07:30,"FOUL  by HESTER,CHARLIE",,,,,,,"FOUL  by HESTER,CHARLIE",1
07:30,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:30,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",1
07:30,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
07:30,,,,,"SUB OUT by PATRICK,DYLAN",,,"SUB OUT by PATRICK,DYLAN",1
07:30,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
07:30,,,,,"SUB IN by DEAN,NOLAN",,,"SUB IN by DEAN,NOLAN",1
07:30,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",1
07:30,,28 (+5),,23,"GOOD FT by SPENCE,SAMUEL(fastbreak)",BSC 28-23 (-5),,"GOOD FT by SPENCE,SAMUEL(fastbreak)",1
07:30,,28 (+4),,24,"GOOD FT by SPENCE,SAMUEL(fastbreak)",BSC 28-24 (-4),,"GOOD FT by SPENCE,SAMUEL(fastbreak)",1
07:12,"GOOD JUMPER by NOEL,MALCOLM(in the paint)",30 (+6),,24,,COV 30-24 (-6),,"GOOD JUMPER by NOEL,MALCOLM(in the paint)",1
06:55,,30 (+3),,27,"GOOD 3PTR by GREEN,KALEB",BSC 30-27 (-3),,"GOOD 3PTR by GREEN,KALEB",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
06:40,"GOOD 3PTR by MITCHELL,FISHER",33 (+6),,27,,COV 33-27 (-6),,"GOOD 3PTR by MITCHELL,FISHER",1
--,"ASSIST  by NOEL,MALCOLM",,,,,,,"ASSIST  by NOEL,MALCOLM",1
06:23,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"REBOUND OFF by DEAN,NOLAN",,,"REBOUND OFF by DEAN,NOLAN",1
06:19,,,,,"MISS LAYUP by DEAN,NOLAN(in the paint)",,,"MISS LAYUP by DEAN,NOLAN(in the paint)",1
--,,,,,"REBOUND OFF by SPENCE,SAMUEL",,,"REBOUND OFF by SPENCE,SAMUEL",1
06:18,"FOUL  by PEARLMAN,LOGAN",,,,,,,"FOUL  by PEARLMAN,LOGAN",1
06:18,,,,,"MISS FT by SPENCE,SAMUEL",,,"MISS FT by SPENCE,SAMUEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
06:18,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
06:18,,,,,"SUB IN by THOMPSON,CHRISTIAN",,,"SUB IN by THOMPSON,CHRISTIAN",1
06:17,,33 (+5),,28,"GOOD FT by SPENCE,SAMUEL",BSC 33-28 (-5),,"GOOD FT by SPENCE,SAMUEL",1
05:54,"MISS JUMPER by HESTER,CHARLIE(in the paint)",,,,,,,"MISS JUMPER by HESTER,CHARLIE(in the paint)",1
--,"REBOUND OFF by PEARLMAN,LOGAN",,,,,,,"REBOUND OFF by PEARLMAN,LOGAN",1
05:54,,,,,"BLOCK  by DEAN,NOLAN",,,"BLOCK  by DEAN,NOLAN",1
05:50,"GOOD LAYUP by MITCHELL,FISHER(in the paint)",35 (+7),,28,,COV 35-28 (-7),,"GOOD LAYUP by MITCHELL,FISHER(in the paint)",1
05:40,,35 (+4),,31,"GOOD 3PTR by BISHOP,BRYSON",BSC 35-31 (-4),,"GOOD 3PTR by BISHOP,BRYSON",1
--,,,,,"ASSIST  by GREEN,KALEB",,,"ASSIST  by GREEN,KALEB",1
05:21,"MISS 3PTR by MITCHELL,FISHER",,,,,,,"MISS 3PTR by MITCHELL,FISHER",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:20,"SUB OUT by ST. GERMAIN,MICHAEL",,,,,,,"SUB OUT by ST. GERMAIN,MICHAEL",1
05:20,"SUB IN by GERNATT,JONATHAN",,,,,,,"SUB IN by GERNATT,JONATHAN",1
05:20,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",1
05:20,,,,,"SUB IN by PATRICK,DYLAN",,,"SUB IN by PATRICK,DYLAN",1
05:06,,35 (+2),,33,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",BSC 35-33 (-2),,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",1
05:06,"FOUL  by MITCHELL,FISHER",,,,,,,"FOUL  by MITCHELL,FISHER",1
05:06,,,,,"MISS FT by THOMPSON,CHRISTIAN",,,"MISS FT by THOMPSON,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:06,,,,,"MISS FT by THOMPSON,CHRISTIAN",,,"MISS FT by THOMPSON,CHRISTIAN",1
--,"REBOUND DEF by HESTER,CHARLIE",,,,,,,"REBOUND DEF by HESTER,CHARLIE",1
04:53,"MISS 3PTR by MITCHELL,FISHER",,,,,,,"MISS 3PTR by MITCHELL,FISHER",1
--,"REBOUND OFF by GERNATT,JONATHAN",,,,,,,"REBOUND OFF by GERNATT,JONATHAN",1
04:49,"MISS LAYUP by GERNATT,JONATHAN(in the paint)",,,,,,,"MISS LAYUP by GERNATT,JONATHAN(in the paint)",1
--,,,,,"REBOUND DEF by PATRICK,DYLAN",,,"REBOUND DEF by PATRICK,DYLAN",1
04:44,,,,,"TURNOVER  by PATRICK,DYLAN",,,"TURNOVER  by PATRICK,DYLAN",1
04:44,"STEAL  by MITCHELL,FISHER",,,,,,,"STEAL  by MITCHELL,FISHER",1
04:32,"GOOD LAYUP by GERNATT,JONATHAN(in the paint)",37 (+4),,33,,COV 37-33 (-4),,"GOOD LAYUP by GERNATT,JONATHAN(in the paint)",1
04:12,,,,,"MISS LAYUP by SPENCE,SAMUEL(in the paint)",,,"MISS LAYUP by SPENCE,SAMUEL(in the paint)",1
--,"REBOUND DEF by NOEL,MALCOLM",,,,,,,"REBOUND DEF by NOEL,MALCOLM",1
04:06,,,,,"FOUL  by THOMPSON,CHRISTIAN",,,"FOUL  by THOMPSON,CHRISTIAN",1
04:06,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",1
04:06,,,,,"SUB OUT by THOMPSON,CHRISTIAN",,,"SUB OUT by THOMPSON,CHRISTIAN",1
04:06,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
04:06,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
04:06,"SUB OUT by PEARLMAN,LOGAN",,,,,,,"SUB OUT by PEARLMAN,LOGAN",1
04:06,"SUB OUT by MITCHELL,FISHER",,,,,,,"SUB OUT by MITCHELL,FISHER",1
04:06,"SUB IN by CROWDEN,LUKE",,,,,,,"SUB IN by CROWDEN,LUKE",1
04:06,"SUB IN by MATHIS,WALKER",,,,,,,"SUB IN by MATHIS,WALKER",1
03:50,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
03:50,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:50,,,,,"SUB OUT by PATRICK,DYLAN",,,"SUB OUT by PATRICK,DYLAN",1
03:50,,,,,"SUB OUT by DEAN,NOLAN",,,"SUB OUT by DEAN,NOLAN",1
03:50,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",1
03:50,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",1
03:50,"MISS FT by MATHIS,WALKER",,,,,,,"MISS FT by MATHIS,WALKER",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:50,"GOOD FT by MATHIS,WALKER",38 (+5),,33,,COV 38-33 (-5),,"GOOD FT by MATHIS,WALKER",1
03:35,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",1
03:35,"BLOCK  by MATHIS,WALKER",,,,,,,"BLOCK  by MATHIS,WALKER",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:35,"TURNOVER  by GERNATT,JONATHAN",,,,,,,"TURNOVER  by GERNATT,JONATHAN",1
03:35,,,,,"STEAL  by GREEN,KALEB",,,"STEAL  by GREEN,KALEB",1
03:30,,,,,"MISS 3PTR by GREEN,KALEB",,,"MISS 3PTR by GREEN,KALEB",1
--,"REBOUND DEF by GERNATT,JONATHAN",,,,,,,"REBOUND DEF by GERNATT,JONATHAN",1
03:26,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
03:26,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
03:26,,,,,"SUB IN by SPENCE,SAMUEL",,,"SUB IN by SPENCE,SAMUEL",1
03:26,"MISS FT by GERNATT,JONATHAN(fastbreak)",,,,,,,"MISS FT by GERNATT,JONATHAN(fastbreak)",1
--,,,,,"REBOUND DEF by SPENCE,SAMUEL",,,"REBOUND DEF by SPENCE,SAMUEL",1
03:11,"FOUL  by CROWDEN,LUKE",,,,,,,"FOUL  by CROWDEN,LUKE",1
03:11,,38 (+4),,34,"GOOD FT by BISHOP,BRYSON",BSC 38-34 (-4),,"GOOD FT by BISHOP,BRYSON",1
03:11,,38 (+3),,35,"GOOD FT by BISHOP,BRYSON",BSC 38-35 (-3),,"GOOD FT by BISHOP,BRYSON",1
03:02,"TURNOVER  by NOEL,MALCOLM",,,,,,,"TURNOVER  by NOEL,MALCOLM",1
03:02,,,,,"STEAL  by BISHOP,BRYSON",,,"STEAL  by BISHOP,BRYSON",1
02:57,,38 (+1),,37,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",BSC 38-37 (-1),,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
02:30,"GOOD 3PTR by CROWDEN,LUKE",41 (+4),,37,,COV 41-37 (-4),,"GOOD 3PTR by CROWDEN,LUKE",1
--,"ASSIST  by MATHIS,WALKER",,,,,,,"ASSIST  by MATHIS,WALKER",1
