Time Remaining,MUW,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
12:07,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
12:07,"SUB OUT by HOPKINS,BRYE",,,,,,,"SUB OUT by HOPKINS,BRYE",1
12:07,"SUB OUT by WRIGHT,SHON",,,,,,,"SUB OUT by WRIGHT,SHON",1
12:07,"SUB IN by CAUSEY,QUINTIYUS",,,,,,,"SUB IN by CAUSEY,QUINTIYUS",1
12:07,"SUB IN by SMITHEY,TYSON",,,,,,,"SUB IN by SMITHEY,TYSON",1
12:02,,21 (+11),,10,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",BSC 21-10 (-11),,"GOOD JUMPER by GILLISPIE,JAY(in the paint)",1
11:46,"MISS JUMPER by SMITHEY,TYSON(in the paint)",,,,,,,"MISS JUMPER by SMITHEY,TYSON(in the paint)",1
11:46,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",1
11:39,,,,,"MISS 3PTR by BISHOP,BRYSON",,,"MISS 3PTR by BISHOP,BRYSON",1
--,,,,,"REBOUND OFF by JACKSON,MARTISE",,,"REBOUND OFF by JACKSON,MARTISE",1
11:35,,,,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",,,"MISS LAYUP by JACKSON,MARTISE(in the paint)",1
--,"REBOUND DEF by WRIGHT,THOMAS",,,,,,,"REBOUND DEF by WRIGHT,THOMAS",1
11:27,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",1
11:27,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:27,"MISS FT by CAUSEY,QUINTIYUS(fastbreak)",,,,,,,"MISS FT by CAUSEY,QUINTIYUS(fastbreak)",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:27,"GOOD FT by CAUSEY,QUINTIYUS(fastbreak)",22 (+12),,10,,MUW 22-10 (-12),,"GOOD FT by CAUSEY,QUINTIYUS(fastbreak)",1
11:19,"FOUL  by CAUSEY,QUINTIYUS",,,,,,,"FOUL  by CAUSEY,QUINTIYUS",1
11:19,,22 (+11),,11,"GOOD FT by GLOVER,CAM(fastbreak)",BSC 22-11 (-11),,"GOOD FT by GLOVER,CAM(fastbreak)",1
11:19,"SUB OUT by SHEPHERD,ANDREW",,,,,,,"SUB OUT by SHEPHERD,ANDREW",1
11:19,"SUB IN by EVANS,CHRIS",,,,,,,"SUB IN by EVANS,CHRIS",1
