Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Mill,Game Score,Team Indicator,Play,Period
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:31,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
08:31,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
08:31,"SUB OUT by DEAN,NOLAN",,,,,,,"SUB OUT by DEAN,NOLAN",1
08:31,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
08:18,"GOOD JUMPER by GLOVER,CAM(in the paint)",21 (+9),,12,,BSC 21-12 (+9),,"GOOD JUMPER by GLOVER,CAM(in the paint)",1
08:05,,,,,"TURNOVER  by WATSON,DOUG",,,"TURNOVER  by WATSON,DOUG",1
08:05,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
07:57,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
07:49,"GOOD 3PTR by JACKSON,MARTISE",24 (+12),,12,,BSC 24-12 (+12),,"GOOD 3PTR by JACKSON,MARTISE",1
07:31,"FOUL  by SPENCE,SAMUEL",,,,,,,"FOUL  by SPENCE,SAMUEL",1
07:31,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:31,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
07:31,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
07:31,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
07:31,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
07:31,,,,,"MISS FT by PHILLIPS JR,RODNEY",,,"MISS FT by PHILLIPS JR,RODNEY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:31,,24 (+11),,13,"GOOD FT by PHILLIPS JR,RODNEY",Mill 24-13 (+11),,"GOOD FT by PHILLIPS JR,RODNEY",1
07:29,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
07:29,,,,,"SUB OUT by PHILLIPS JR,RODNEY",,,"SUB OUT by PHILLIPS JR,RODNEY",1
07:29,,,,,"SUB IN by STEPHEN,SETH",,,"SUB IN by STEPHEN,SETH",1
07:29,,,,,"SUB IN by BUSH,RODREEKAS",,,"SUB IN by BUSH,RODREEKAS",1
07:25,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",26 (+13),,13,,BSC 26-13 (+13),,"GOOD JUMPER by PATRICK,DYLAN(in the paint)",1
06:56,,,,,"MISS JUMPER by STEPHEN,SETH(in the paint)",,,"MISS JUMPER by STEPHEN,SETH(in the paint)",1
--,"REBOUND DEF by THOMPSON,CHRISTIAN",,,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
06:42,"TURNOVER  by THOMPSON,CHRISTIAN",,,,,,,"TURNOVER  by THOMPSON,CHRISTIAN",1
06:42,,,,,"STEAL  by BUSH,RODREEKAS",,,"STEAL  by BUSH,RODREEKAS",1
06:23,,,,,"TURNOVER  by STEPHEN,SETH",,,"TURNOVER  by STEPHEN,SETH",1
06:23,"STEAL  by THOMPSON,CHRISTIAN",,,,,,,"STEAL  by THOMPSON,CHRISTIAN",1
06:13,"TURNOVER  by THOMPSON,CHRISTIAN",,,,,,,"TURNOVER  by THOMPSON,CHRISTIAN",1
06:13,,,,,"STEAL  by WATSON,DOUG",,,"STEAL  by WATSON,DOUG",1
06:13,,,,,"SUB OUT by STEPHEN,SETH",,,"SUB OUT by STEPHEN,SETH",1
06:13,,,,,"SUB IN by URSIN,AARON",,,"SUB IN by URSIN,AARON",1
05:46,,,,,"MISS JUMPER by URSIN,AARON(in the paint)",,,"MISS JUMPER by URSIN,AARON(in the paint)",1
--,"REBOUND DEF by PATRICK,DYLAN",,,,,,,"REBOUND DEF by PATRICK,DYLAN",1
05:37,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by BONNECAZE,STEWART",,,"REBOUND DEF by BONNECAZE,STEWART",1
05:31,"FOUL  by SPENCE,SAMUEL",,,,,,,"FOUL  by SPENCE,SAMUEL",1
05:31,,,,,"SUB OUT by URSIN,AARON",,,"SUB OUT by URSIN,AARON",1
05:31,,,,,"SUB IN by GORTON,MACK",,,"SUB IN by GORTON,MACK",1
05:31,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
05:31,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
05:31,"SUB IN by DEAN,NOLAN",,,,,,,"SUB IN by DEAN,NOLAN",1
05:31,"SUB IN by DAVIS,BRODY",,,,,,,"SUB IN by DAVIS,BRODY",1
05:31,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
05:31,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
05:19,,26 (+10),,16,"GOOD 3PTR by BONNECAZE,STEWART",Mill 26-16 (+10),,"GOOD 3PTR by BONNECAZE,STEWART",1
--,,,,,"ASSIST  by RUCKER,CAM",,,"ASSIST  by RUCKER,CAM",1
05:09,,,,,"FOUL  by RUCKER,CAM",,,"FOUL  by RUCKER,CAM",1
05:09,"GOOD FT by PATRICK,DYLAN",27 (+11),,16,,BSC 27-16 (+11),,"GOOD FT by PATRICK,DYLAN",1
05:09,,,,,"SUB OUT by RUCKER,CAM",,,"SUB OUT by RUCKER,CAM",1
05:09,,,,,"SUB IN by GASCA,DAKOTA",,,"SUB IN by GASCA,DAKOTA",1
05:09,"GOOD FT by PATRICK,DYLAN",28 (+12),,16,,BSC 28-16 (+12),,"GOOD FT by PATRICK,DYLAN",1
05:09,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
05:09,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
04:52,,,,,"MISS JUMPER by WATSON,DOUG",,,"MISS JUMPER by WATSON,DOUG",1
--,"REBOUND DEF by SPENCE,SAMUEL",,,,,,,"REBOUND DEF by SPENCE,SAMUEL",1
04:42,"FOUL  by DEAN,NOLAN",,,,,,,"FOUL  by DEAN,NOLAN",1
04:42,"TURNOVER  by DEAN,NOLAN",,,,,,,"TURNOVER  by DEAN,NOLAN",1
04:21,,,,,"TURNOVER  by BUSH,RODREEKAS",,,"TURNOVER  by BUSH,RODREEKAS",1
04:21,"STEAL  by SPENCE,SAMUEL",,,,,,,"STEAL  by SPENCE,SAMUEL",1
04:21,,,,,"SUB OUT by BONNECAZE,STEWART",,,"SUB OUT by BONNECAZE,STEWART",1
04:21,,,,,"SUB IN by LITTLE ,JAMES",,,"SUB IN by LITTLE ,JAMES",1
04:14,"GOOD JUMPER by GREEN,KALEB(in the paint)",30 (+14),,16,,BSC 30-16 (+14),,"GOOD JUMPER by GREEN,KALEB(in the paint)",1
04:01,"FOUL  by DAVIS,BRODY",,,,,,,"FOUL  by DAVIS,BRODY",1
03:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:59,,,,,"SUB OUT by GASCA,DAKOTA",,,"SUB OUT by GASCA,DAKOTA",1
03:59,,,,,"SUB OUT by BUSH,RODREEKAS",,,"SUB OUT by BUSH,RODREEKAS",1
03:59,,,,,"SUB IN by RUCKER,CAM",,,"SUB IN by RUCKER,CAM",1
03:59,,,,,"SUB IN by ROTH,DREW",,,"SUB IN by ROTH,DREW",1
03:59,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
03:59,"SUB OUT by DEAN,NOLAN",,,,,,,"SUB OUT by DEAN,NOLAN",1
03:59,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
03:59,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
03:59,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",1
03:59,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
