Time Remaining,HUNTINGD,Away Team Score,Play Team Indicator,Home Team Score,BIRMINGH,Game Score,Team Indicator,Play,Period
--,"ASSIST  by KNOX,RASHAWN",,,,,,,"ASSIST  by KNOX,RASHAWN",1
11:07,,,,,"MISS LAYUP by PATRICK,DYLAN",,,"MISS LAYUP by PATRICK,DYLAN",1
--,"REBOUND DEF by KNOX,RASHAWN",,,,,,,"REBOUND DEF by KNOX,RASHAWN",1
11:00,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",19,,21 (+2),,HUNTINGD 19-21 (+2),,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",1
10:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:51,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
10:51,,19,,23 (+4),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BIRMINGH 19-23 (+4),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
10:51,"MISS 3PTR by JOHNS,NATE",,,,,,,"MISS 3PTR by JOHNS,NATE",1
--,"REBOUND OFF by GARDNER,MAX",,,,,,,"REBOUND OFF by GARDNER,MAX",1
10:51,"GOOD LAYUP by GARDNER,MAX(in the paint)",21,,23 (+2),,HUNTINGD 21-23 (+2),,"GOOD LAYUP by GARDNER,MAX(in the paint)",1
10:51,,21,,25 (+4),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BIRMINGH 21-25 (+4),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
10:44,,,,,"FOUL  by GILLISPIE,JAY",,,"FOUL  by GILLISPIE,JAY",1
10:19,"BLOCK  by AUTIN,JEREMY",,,,,,,"BLOCK  by AUTIN,JEREMY",1
09:40,,,,,"MISS 3PTR by GLOVER,CAM",,,"MISS 3PTR by GLOVER,CAM",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:17,"STEAL  by HARDEN,REESE",,,,,,,"STEAL  by HARDEN,REESE",1
08:59,,,,,"STEAL  by JACKSON,MARTISE",,,"STEAL  by JACKSON,MARTISE",1
08:55,,21,,27 (+6),"GOOD LAYUP by DAVIS,BRODY(in the paint)",BIRMINGH 21-27 (+6),,"GOOD LAYUP by DAVIS,BRODY(in the paint)",1
08:49,,,,,"STEAL  by JACKSON,MARTISE",,,"STEAL  by JACKSON,MARTISE",1
08:42,,21,,29 (+8),"GOOD LAYUP by GREEN,KALEB(in the paint)",BIRMINGH 21-29 (+8),,"GOOD LAYUP by GREEN,KALEB(in the paint)",1
08:29,,,,,"FOUL  by BISHOP,BRYSON",,,"FOUL  by BISHOP,BRYSON",1
08:29,"GOOD FT by JOHNS,NATE",22,,29 (+7),,HUNTINGD 22-29 (+7),,"GOOD FT by JOHNS,NATE",1
08:29,"GOOD FT by JOHNS,NATE",23,,29 (+6),,HUNTINGD 23-29 (+6),,"GOOD FT by JOHNS,NATE",1
08:05,,23,,31 (+8),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BIRMINGH 23-31 (+8),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
07:47,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
07:47,,,,,"MISS 3PTR by DEAN,NOLAN",,,"MISS 3PTR by DEAN,NOLAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:47,"GOOD JUMPER by GARDNER,MAX",25,,31 (+6),,HUNTINGD 25-31 (+6),,"GOOD JUMPER by GARDNER,MAX",1
07:47,,,,,"MISS LAYUP by CHILDERS,JOSH",,,"MISS LAYUP by CHILDERS,JOSH",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
07:47,,,,,"SUB IN by DEAN,NOLAN",,,"SUB IN by DEAN,NOLAN",1
07:47,,,,,"SUB IN by GLOVER,COLIN",,,"SUB IN by GLOVER,COLIN",1
07:47,,,,,"SUB OUT by BISHOP,BRYSON",,,"SUB OUT by BISHOP,BRYSON",1
07:47,,,,,"SUB OUT by GILLISPIE,JAY",,,"SUB OUT by GILLISPIE,JAY",1
07:44,"MISS 3PTR by JOHNS,NATE",,,,,,,"MISS 3PTR by JOHNS,NATE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:13,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",1
07:13,"GOOD FT by TOWNSEND,MARCUS",26,,31 (+5),,HUNTINGD 26-31 (+5),,"GOOD FT by TOWNSEND,MARCUS",1
07:13,"MISS FT by TOWNSEND,MARCUS",,,,,,,"MISS FT by TOWNSEND,MARCUS",1
--,,,,,"REBOUND DEF by DEAN,NOLAN",,,"REBOUND DEF by DEAN,NOLAN",1
07:13,,26,,33 (+7),"GOOD LAYUP by GLOVER,CAM(in the paint)",BIRMINGH 26-33 (+7),,"GOOD LAYUP by GLOVER,CAM(in the paint)",1
07:01,"MISS LAYUP by TOWNSEND,MARCUS",,,,,,,"MISS LAYUP by TOWNSEND,MARCUS",1
07:01,,,,,"BLOCK  by THOMPSON,CHRISTIAN",,,"BLOCK  by THOMPSON,CHRISTIAN",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
06:42,,26,,36 (+10),"GOOD 3PTR by GLOVER,CAM",BIRMINGH 26-36 (+10),,"GOOD 3PTR by GLOVER,CAM",1
06:25,"MISS LAYUP by PAGE,SAM",,,,,,,"MISS LAYUP by PAGE,SAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:13,,,,,"FOUL  by GLOVER,COLIN",,,"FOUL  by GLOVER,COLIN",1
06:13,"GOOD FT by PAGE,SAM",27,,36 (+9),,HUNTINGD 27-36 (+9),,"GOOD FT by PAGE,SAM",1
06:13,"GOOD FT by PAGE,SAM",28,,36 (+8),,HUNTINGD 28-36 (+8),,"GOOD FT by PAGE,SAM",1
06:13,"FOUL  by MURPHY,MYLES",,,,,,,"FOUL  by MURPHY,MYLES",1
06:13,,,,,"MISS FT by THOMPSON,CHRISTIAN",,,"MISS FT by THOMPSON,CHRISTIAN",1
06:13,,,,,"SUB IN by TRAPP,REED",,,"SUB IN by TRAPP,REED",1
06:13,,,,,"SUB OUT by JACKSON,MARTISE",,,"SUB OUT by JACKSON,MARTISE",1
05:54,,28,,37 (+9),"GOOD FT by THOMPSON,CHRISTIAN",BIRMINGH 28-37 (+9),,"GOOD FT by THOMPSON,CHRISTIAN",1
05:35,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",30,,37 (+7),,HUNTINGD 30-37 (+7),,"GOOD LAYUP by KNOX,RASHAWN(in the paint)",1
05:19,,30,,39 (+9),"GOOD LAYUP by DEAN,NOLAN(in the paint)",BIRMINGH 30-39 (+9),,"GOOD LAYUP by DEAN,NOLAN(in the paint)",1
05:07,"MISS LAYUP by MURPHY,MYLES",,,,,,,"MISS LAYUP by MURPHY,MYLES",1
--,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
05:00,,,,,"TURNOVER  by GLOVER,COLIN",,,"TURNOVER  by GLOVER,COLIN",1
04:55,"MISS LAYUP by MURPHY,MYLES",,,,,,,"MISS LAYUP by MURPHY,MYLES",1
04:55,,,,,"BLOCK  by THOMPSON,CHRISTIAN",,,"BLOCK  by THOMPSON,CHRISTIAN",1
--,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
04:48,,,,,"MISS 3PTR by GLOVER,COLIN",,,"MISS 3PTR by GLOVER,COLIN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:23,,,,,"MISS LAYUP by THOMPSON,CHRISTIAN",,,"MISS LAYUP by THOMPSON,CHRISTIAN",1
--,"REBOUND DEF by DUMAS,CHASE",,,,,,,"REBOUND DEF by DUMAS,CHASE",1
03:55,"MISS 3PTR by HAWKINS,DAQUAN",,,,,,,"MISS 3PTR by HAWKINS,DAQUAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:43,"FOUL  by MURPHY,MYLES",,,,,,,"FOUL  by MURPHY,MYLES",1
03:43,,,,,"SUB IN by BISHOP,BRYSON",,,"SUB IN by BISHOP,BRYSON",1
03:43,,,,,"SUB OUT by DEAN,NOLAN",,,"SUB OUT by DEAN,NOLAN",1
03:40,,,,,"MISS LAYUP by THOMPSON,CHRISTIAN",,,"MISS LAYUP by THOMPSON,CHRISTIAN",1
--,,,,,"REBOUND OFF by THOMPSON,CHRISTIAN",,,"REBOUND OFF by THOMPSON,CHRISTIAN",1
03:33,"FOUL  by MURPHY,MYLES",,,,,,,"FOUL  by MURPHY,MYLES",1
03:33,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
03:33,,30,,40 (+10),"GOOD FT by THOMPSON,CHRISTIAN",BIRMINGH 30-40 (+10),,"GOOD FT by THOMPSON,CHRISTIAN",1
03:33,,,,,"MISS FT by THOMPSON,CHRISTIAN",,,"MISS FT by THOMPSON,CHRISTIAN",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
03:24,"MISS LAYUP by GARDNER,MAX",,,,,,,"MISS LAYUP by GARDNER,MAX",1
--,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
03:07,"FOUL  by JOHNS,NATE",,,,,,,"FOUL  by JOHNS,NATE",1
03:07,,30,,41 (+11),"GOOD FT by GILLISPIE,JAY",BIRMINGH 30-41 (+11),,"GOOD FT by GILLISPIE,JAY",1
03:07,,,,,"MISS FT by GILLISPIE,JAY",,,"MISS FT by GILLISPIE,JAY",1
--,"REBOUND DEF by GARDNER,MAX",,,,,,,"REBOUND DEF by GARDNER,MAX",1
03:07,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
03:07,"GOOD FT by GARDNER,MAX",31,,41 (+10),,HUNTINGD 31-41 (+10),,"GOOD FT by GARDNER,MAX",1
03:07,"MISS FT by GARDNER,MAX",,,,,,,"MISS FT by GARDNER,MAX",1
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",1
03:07,,,,,"MISS JUMPER by GLOVER,CAM",,,"MISS JUMPER by GLOVER,CAM",1
--,"REBOUND DEF by JOHNS,NATE",,,,,,,"REBOUND DEF by JOHNS,NATE",1
03:07,,,,,"STEAL  by GILLISPIE,JAY",,,"STEAL  by GILLISPIE,JAY",1
03:07,,31,,43 (+12),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BIRMINGH 31-43 (+12),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,,,,,"ASSIST  by BISHOP,BRYSON",,,"ASSIST  by BISHOP,BRYSON",1
03:07,"MISS JUMPER by PAGE,SAM",,,,,,,"MISS JUMPER by PAGE,SAM",1
--,,,,,"REBOUND DEF by GREEN,KALEB",,,"REBOUND DEF by GREEN,KALEB",1
