Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,LAGRANGE,Game Score,Team Indicator,Play,Period
12:36,"MISS 3PTR by SPENCE,SAMUEL",,,,,,,"MISS 3PTR by SPENCE,SAMUEL",2
--,,,,,"REBOUND DEF by SMITH,KYLE",,,"REBOUND DEF by SMITH,KYLE",2
12:36,,50,,51 (+1),"GOOD 3PTR by LYONS,CAMERIN",LAGRANGE 50-51 (-1),,"GOOD 3PTR by LYONS,CAMERIN",2
--,,,,,"ASSIST  by COFIELD,GABE",,,"ASSIST  by COFIELD,GABE",2
12:11,"MISS 3PTR by PATRICK,DYLAN",,,,,,,"MISS 3PTR by PATRICK,DYLAN",2
--,,,,,"REBOUND DEF by COFIELD,GABE",,,"REBOUND DEF by COFIELD,GABE",2
12:02,,,,,"MISS LAYUP by SMITH,KYLE",,,"MISS LAYUP by SMITH,KYLE",2
--,"REBOUND DEF by SPENCE,SAMUEL",,,,,,,"REBOUND DEF by SPENCE,SAMUEL",2
11:53,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,"REBOUND OFF by DAVIS,BRODY",,,,,,,"REBOUND OFF by DAVIS,BRODY",2
11:53,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND DEF by ODEN,ISAIAH",,,"REBOUND DEF by ODEN,ISAIAH",2
11:53,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
11:53,,,,,"TURNOVER  by ODEN,ISAIAH",,,"TURNOVER  by ODEN,ISAIAH",2
11:53,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",2
11:53,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",52 (+1),,51,,BIRMINGH 52-51 (+1),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",2
11:42,,52,,53 (+1),"GOOD JUMPER by ODEN,ISAIAH",LAGRANGE 52-53 (-1),,"GOOD JUMPER by ODEN,ISAIAH",2
11:25,"MISS LAYUP by GILLISPIE,JAY",,,,,,,"MISS LAYUP by GILLISPIE,JAY",2
--,,,,,"REBOUND DEF by ODEN,ISAIAH",,,"REBOUND DEF by ODEN,ISAIAH",2
11:11,,,,,"MISS LAYUP by HILL,ZAC",,,"MISS LAYUP by HILL,ZAC",2
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",2
11:00,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:00,"GOOD 3PTR by BISHOP,BRYSON",55 (+2),,53,,BIRMINGH 55-53 (+2),,"GOOD 3PTR by BISHOP,BRYSON",2
--,"ASSIST  by GLOVER,CAM",,,,,,,"ASSIST  by GLOVER,CAM",2
10:45,,55,,55,"GOOD LAYUP by LYONS,CAMERIN(in the paint)",LAGRANGE 55-55 (0),,"GOOD LAYUP by LYONS,CAMERIN(in the paint)",2
10:38,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
10:26,,,,,"FOUL  by EVANS,GRANT",,,"FOUL  by EVANS,GRANT",2
10:26,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",2
10:26,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",57 (+2),,55,,BIRMINGH 57-55 (+2),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",2
10:26,"FOUL  by SPENCE,SAMUEL",,,,,,,"FOUL  by SPENCE,SAMUEL",2
10:07,,,,,"MISS 3PTR by LYONS,CAMERIN",,,"MISS 3PTR by LYONS,CAMERIN",2
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",2
09:58,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND DEF by PETTIGREW,ISAIAH",,,"REBOUND DEF by PETTIGREW,ISAIAH",2
09:47,,,,,"MISS 3PTR by SCOTT,BRODIE",,,"MISS 3PTR by SCOTT,BRODIE",2
--,"REBOUND DEF by BISHOP,BRYSON",,,,,,,"REBOUND DEF by BISHOP,BRYSON",2
09:13,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND DEF by LYONS,CAMERIN",,,"REBOUND DEF by LYONS,CAMERIN",2
09:00,,57,,57,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",LAGRANGE 57-57 (0),,"GOOD LAYUP by DOLHANCYK,COOPER(in the paint)",2
--,"REBOUND DEF by JACKSON,MARTISE",,,,,,,"REBOUND DEF by JACKSON,MARTISE",2
--,"REBOUND DEF by SPENCE,SAMUEL",,,,,,,"REBOUND DEF by SPENCE,SAMUEL",2
08:42,,,,,"MISS 3PTR by SCOTT,BRODIE",,,"MISS 3PTR by SCOTT,BRODIE",2
08:12,,,,,"FOUL  by EVANS,GRANT",,,"FOUL  by EVANS,GRANT",2
08:11,"TURNOVER  by SPENCE,SAMUEL",,,,,,,"TURNOVER  by SPENCE,SAMUEL",2
07:55,"FOUL  by GREEN,KALEB",,,,,,,"FOUL  by GREEN,KALEB",2
07:55,,57,,58 (+1),"GOOD FT by HILL,ZAC",LAGRANGE 57-58 (-1),,"GOOD FT by HILL,ZAC",2
07:55,,57,,59 (+2),"GOOD FT by HILL,ZAC",LAGRANGE 57-59 (-2),,"GOOD FT by HILL,ZAC",2
07:51,"GOOD LAYUP by GREEN,KALEB(in the paint)",59,,59,,BIRMINGH 59-59 (0),,"GOOD LAYUP by GREEN,KALEB(in the paint)",2
07:27,,59,,62 (+3),"GOOD 3PTR by EDWARDS,BERSHARD",LAGRANGE 59-62 (-3),,"GOOD 3PTR by EDWARDS,BERSHARD",2
07:13,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:53,,,,,"FOUL  by HILL,ZAC",,,"FOUL  by HILL,ZAC",2
06:53,,,,,"FOUL  by SCOTT,BRODIE",,,"FOUL  by SCOTT,BRODIE",2
06:53,"GOOD FT by GLOVER,CAM",60,,62 (+2),,BIRMINGH 60-62 (-2),,"GOOD FT by GLOVER,CAM",2
06:53,"GOOD FT by GLOVER,CAM",61,,62 (+1),,BIRMINGH 61-62 (-1),,"GOOD FT by GLOVER,CAM",2
06:53,,,,,"TURNOVER  by SCOTT,BRODIE",,,"TURNOVER  by SCOTT,BRODIE",2
06:44,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:29,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
06:18,,,,,"FOUL  by PETTIGREW,ISAIAH",,,"FOUL  by PETTIGREW,ISAIAH",2
06:18,,,,,"TURNOVER  by PETTIGREW,ISAIAH",,,"TURNOVER  by PETTIGREW,ISAIAH",2
06:17,"MISS 3PTR by GILLISPIE,JAY",,,,,,,"MISS 3PTR by GILLISPIE,JAY",2
--,,,,,"REBOUND DEF by SMITH,KYLE",,,"REBOUND DEF by SMITH,KYLE",2
06:17,,61,,64 (+3),"GOOD LAYUP by SCOTT,BRODIE(in the paint)",LAGRANGE 61-64 (-3),,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",2
--,,,,,"ASSIST  by LYONS,CAMERIN",,,"ASSIST  by LYONS,CAMERIN",2
06:17,"TURNOVER  by PATRICK,DYLAN",,,,,,,"TURNOVER  by PATRICK,DYLAN",2
06:10,,,,,"MISS 3PTR by SMITH,KYLE",,,"MISS 3PTR by SMITH,KYLE",2
--,,,,,"REBOUND OFF by SCOTT,BRODIE",,,"REBOUND OFF by SCOTT,BRODIE",2
06:03,,61,,66 (+5),"GOOD LAYUP by SCOTT,BRODIE(in the paint)",LAGRANGE 61-66 (-5),,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",2
05:43,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",2
--,,,,,"REBOUND DEF by PETTIGREW,ISAIAH",,,"REBOUND DEF by PETTIGREW,ISAIAH",2
05:28,,61,,68 (+7),"GOOD LAYUP by LYONS,CAMERIN(in the paint)",LAGRANGE 61-68 (-7),,"GOOD LAYUP by LYONS,CAMERIN(in the paint)",2
05:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:02,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",2
05:00,,,,,"STEAL  by SCOTT,BRODIE",,,"STEAL  by SCOTT,BRODIE",2
04:59,,,,,"MISS 3PTR by SCOTT,BRODIE",,,"MISS 3PTR by SCOTT,BRODIE",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
04:51,"GOOD LAYUP by GLOVER,COLIN(in the paint)",63,,68 (+5),,BIRMINGH 63-68 (-5),,"GOOD LAYUP by GLOVER,COLIN(in the paint)",2
04:46,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",2
04:41,,63,,70 (+7),"GOOD LAYUP by SCOTT,BRODIE(in the paint)",LAGRANGE 63-70 (-7),,"GOOD LAYUP by SCOTT,BRODIE(in the paint)",2
04:26,"GOOD LAYUP by GLOVER,CAM(in the paint)",65,,70 (+5),,BIRMINGH 65-70 (-5),,"GOOD LAYUP by GLOVER,CAM(in the paint)",2
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",2
04:07,,65,,72 (+7),"GOOD LAYUP by LYONS,CAMERIN(in the paint)",LAGRANGE 65-72 (-7),,"GOOD LAYUP by LYONS,CAMERIN(in the paint)",2
04:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
04:07,,,,,"FOUL  by COFIELD,GABE",,,"FOUL  by COFIELD,GABE",2
04:07,"GOOD FT by CHILDERS,JOSH",66,,72 (+6),,BIRMINGH 66-72 (-6),,"GOOD FT by CHILDERS,JOSH",2
04:07,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",2
03:55,,,,,"MISS 3PTR by SMITH,KYLE",,,"MISS 3PTR by SMITH,KYLE",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
03:46,"TURNOVER  by JACKSON,MARTISE",,,,,,,"TURNOVER  by JACKSON,MARTISE",2
03:45,,,,,"STEAL  by HILL,ZAC",,,"STEAL  by HILL,ZAC",2
03:01,,66,,74 (+8),"GOOD JUMPER by EDWARDS,BERSHARD",LAGRANGE 66-74 (-8),,"GOOD JUMPER by EDWARDS,BERSHARD",2
02:41,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",68,,74 (+6),,BIRMINGH 68-74 (-6),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,"ASSIST  by GLOVER,CAM",,,,,,,"ASSIST  by GLOVER,CAM",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
02:10,,,,,"MISS 3PTR by HILL,ZAC",,,"MISS 3PTR by HILL,ZAC",2
02:01,"TURNOVER  by GREEN,KALEB",,,,,,,"TURNOVER  by GREEN,KALEB",2
01:28,,68,,76 (+8),"GOOD LAYUP by HILL,ZAC(in the paint)",LAGRANGE 68-76 (-8),,"GOOD LAYUP by HILL,ZAC(in the paint)",2
--,,,,,"ASSIST  by EDWARDS,BERSHARD",,,"ASSIST  by EDWARDS,BERSHARD",2
01:16,,,,,"FOUL  by SMITH,KYLE",,,"FOUL  by SMITH,KYLE",2
01:16,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",70,,76 (+6),,BIRMINGH 70-76 (-6),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
01:16,"GOOD FT by GILLISPIE,JAY",71,,76 (+5),,BIRMINGH 71-76 (-5),,"GOOD FT by GILLISPIE,JAY",2
01:15,,,,,"TURNOVER  by EDWARDS,BERSHARD",,,"TURNOVER  by EDWARDS,BERSHARD",2
01:13,"STEAL  by GILLISPIE,JAY",,,,,,,"STEAL  by GILLISPIE,JAY",2
01:08,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",2
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",2
00:55,,71,,78 (+7),"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",LAGRANGE 71-78 (-7),,"GOOD LAYUP by EDWARDS,BERSHARD(in the paint)",2
00:53,"TURNOVER  by GLOVER,CAM",,,,,,,"TURNOVER  by GLOVER,CAM",2
00:37,"FOUL  by GLOVER,CAM",,,,,,,"FOUL  by GLOVER,CAM",2
00:37,,71,,79 (+8),"GOOD FT by EDWARDS,BERSHARD",LAGRANGE 71-79 (-8),,"GOOD FT by EDWARDS,BERSHARD",2
00:37,,71,,80 (+9),"GOOD FT by EDWARDS,BERSHARD",LAGRANGE 71-80 (-9),,"GOOD FT by EDWARDS,BERSHARD",2
00:35,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",2
00:35,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",2
00:35,,71,,81 (+10),"GOOD FT by HILL,ZAC",LAGRANGE 71-81 (-10),,"GOOD FT by HILL,ZAC",2
00:35,,,,,"MISS FT by HILL,ZAC",,,"MISS FT by HILL,ZAC",2
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",2
00:35,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",2
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",2
00:35,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",2
00:35,,,,,"MISS FT by HILL,ZAC",,,"MISS FT by HILL,ZAC",2
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",2
00:35,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",2
--,,,,,"REBOUND DEF by SMITH,KYLE",,,"REBOUND DEF by SMITH,KYLE",2
00:35,,71,,82 (+11),"GOOD FT by SMITH,KYLE",LAGRANGE 71-82 (-11),,"GOOD FT by SMITH,KYLE",2
00:35,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",2
--,,,,,"REBOUND DEF by HILL,ZAC",,,"REBOUND DEF by HILL,ZAC",2
