Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,HC-MBK,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND DEF by KRONENBERGER,BEAU",,,"REBOUND DEF by KRONENBERGER,BEAU",1
11:02,,,,,"MISS 3PTR by MAYO,DREW",,,"MISS 3PTR by MAYO,DREW",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
10:53,"TURNOVER  by CHILDERS,JOSH",,,,,,,"TURNOVER  by CHILDERS,JOSH",1
10:51,,,,,"STEAL  by MAYO,DREW",,,"STEAL  by MAYO,DREW",1
10:36,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",1
10:35,"STEAL  by CHILDERS,JOSH",,,,,,,"STEAL  by CHILDERS,JOSH",1
10:31,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
10:27,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
10:12,,,,,"TURNOVER  by COBB,DANIEL",,,"TURNOVER  by COBB,DANIEL",1
10:10,"STEAL  by BARNETT,CHARLIE",,,,,,,"STEAL  by BARNETT,CHARLIE",1
10:09,"TURNOVER  by BARNETT,CHARLIE",,,,,,,"TURNOVER  by BARNETT,CHARLIE",1
10:06,,,,,"STEAL  by MAYO,DREW",,,"STEAL  by MAYO,DREW",1
10:03,,,,,"MISS LAYUP by COBB,DANIEL",,,"MISS LAYUP by COBB,DANIEL",1
10:03,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,"REBOUND DEF by BARNETT,CHARLIE",,,,,,,"REBOUND DEF by BARNETT,CHARLIE",1
09:50,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",13 (+5),,8,,BSCM 13-8 (+5),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
09:50,,,,,"FOUL  by BERRY,COLTEN",,,"FOUL  by BERRY,COLTEN",1
09:50,"GOOD FT by CHILDERS,JOSH",14 (+6),,8,,BSCM 14-8 (+6),,"GOOD FT by CHILDERS,JOSH",1
09:50,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
09:50,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",1
09:50,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
09:50,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
09:50,,,,,"SUB IN by WEAVER,BRADEN",,,"SUB IN by WEAVER,BRADEN",1
09:50,,,,,"SUB IN by TORRES,JADEN",,,"SUB IN by TORRES,JADEN",1
09:50,,,,,"SUB OUT by COBB,DANIEL",,,"SUB OUT by COBB,DANIEL",1
09:50,,,,,"SUB OUT by MCMULLIN,COLTON",,,"SUB OUT by MCMULLIN,COLTON",1
09:37,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
09:37,,14 (+5),,9,"GOOD FT by MAYO,DREW",HC-MBK 14-9 (+5),,"GOOD FT by MAYO,DREW",1
