Time Remaining,PIED,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
04:38,"GOOD JUMPER by JOLLY,RYAN(in the paint)",69,,70 (+1),,PIED 69-70 (+1),,"GOOD JUMPER by JOLLY,RYAN(in the paint)",2
04:16,,,,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",,,"MISS JUMPER by CHILDERS,JOSH(in the paint)",2
--,"REBOUND DEF by BEAGLE,GARRETT",,,,,,,"REBOUND DEF by BEAGLE,GARRETT",2
03:57,"TURNOVER  by BEAGLE,GARRETT",,,,,,,"TURNOVER  by BEAGLE,GARRETT",2
03:57,,,,,"STEAL  by CHILDERS,JOSH",,,"STEAL  by CHILDERS,JOSH",2
03:51,"FOUL  by JOLLY,RYAN",,,,,,,"FOUL  by JOLLY,RYAN",2
03:51,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
03:36,,,,,"MISS 3PTR by SPENCE,SAMUEL",,,"MISS 3PTR by SPENCE,SAMUEL",2
--,"REBOUND DEF by RICHTER,WILL",,,,,,,"REBOUND DEF by RICHTER,WILL",2
03:30,"GOOD LAYUP by CLEMENTS-OWENS,ORRY(fastbreak)(in the paint)",71 (+1),,70,,PIED 71-70 (-1),,"GOOD LAYUP by CLEMENTS-OWENS,ORRY(fastbreak)(in the paint)",2
--,"ASSIST  by RICHTER,WILL",,,,,,,"ASSIST  by RICHTER,WILL",2
03:17,,,,,"SUB OUT by GREEN,KALEB",,,"SUB OUT by GREEN,KALEB",2
03:17,,,,,"SUB OUT by SPENCE,SAMUEL",,,"SUB OUT by SPENCE,SAMUEL",2
03:17,,,,,"SUB IN by JACKSON,MARTISE",,,"SUB IN by JACKSON,MARTISE",2
03:17,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",2
03:08,,71,,72 (+1),"GOOD JUMPER by GLOVER,CAM(in the paint)",BSC 71-72 (+1),,"GOOD JUMPER by GLOVER,CAM(in the paint)",2
02:56,"TURNOVER  by JOLLY,RYAN",,,,,,,"TURNOVER  by JOLLY,RYAN",2
02:56,,,,,"STEAL  by GLOVER,CAM",,,"STEAL  by GLOVER,CAM",2
02:52,,,,,"TURNOVER  by GLOVER,CAM",,,"TURNOVER  by GLOVER,CAM",2
02:43,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",,,,,,,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
02:34,,71,,74 (+3),"GOOD LAYUP by GLOVER,COLIN(in the paint)",BSC 71-74 (+3),,"GOOD LAYUP by GLOVER,COLIN(in the paint)",2
02:34,"FOUL  by BEAGLE,GARRETT",,,,,,,"FOUL  by BEAGLE,GARRETT",2
02:34,"SUB OUT by BEAGLE,GARRETT",,,,,,,"SUB OUT by BEAGLE,GARRETT",2
02:34,"SUB IN by PALMER,AARON",,,,,,,"SUB IN by PALMER,AARON",2
02:34,,71,,75 (+4),"GOOD FT by GLOVER,COLIN",BSC 71-75 (+4),,"GOOD FT by GLOVER,COLIN",2
02:20,"MISS 3PTR by RICHTER,WILL",,,,,,,"MISS 3PTR by RICHTER,WILL",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
02:07,,71,,78 (+7),"GOOD 3PTR by GLOVER,COLIN",BSC 71-78 (+7),,"GOOD 3PTR by GLOVER,COLIN",2
--,,,,,"ASSIST  by GILLISPIE,JAY",,,"ASSIST  by GILLISPIE,JAY",2
01:47,"MISS 3PTR by JOLLY,RYAN",,,,,,,"MISS 3PTR by JOLLY,RYAN",2
--,"REBOUND OFF by PALMER,AARON",,,,,,,"REBOUND OFF by PALMER,AARON",2
01:45,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",2
01:45,"GOOD FT by PALMER,AARON",72,,78 (+6),,PIED 72-78 (+6),,"GOOD FT by PALMER,AARON",2
01:45,"MISS FT by PALMER,AARON",,,,,,,"MISS FT by PALMER,AARON",2
--,,,,,"REBOUND DEF by GLOVER,COLIN",,,"REBOUND DEF by GLOVER,COLIN",2
01:45,"FOUL  by PALMER,AARON",,,,,,,"FOUL  by PALMER,AARON",2
01:45,"SUB OUT by PALMER,AARON",,,,,,,"SUB OUT by PALMER,AARON",2
01:45,"SUB IN by REARDON,NOAH",,,,,,,"SUB IN by REARDON,NOAH",2
01:45,,72,,79 (+7),"GOOD FT by GLOVER,COLIN(fastbreak)",BSC 72-79 (+7),,"GOOD FT by GLOVER,COLIN(fastbreak)",2
01:45,,72,,80 (+8),"GOOD FT by GLOVER,COLIN(fastbreak)",BSC 72-80 (+8),,"GOOD FT by GLOVER,COLIN(fastbreak)",2
01:33,"MISS JUMPER by JOLLY,RYAN(in the paint)",,,,,,,"MISS JUMPER by JOLLY,RYAN(in the paint)",2
01:33,,,,,"BLOCK  by CHILDERS,JOSH",,,"BLOCK  by CHILDERS,JOSH",2
--,,,,,"REBOUND DEF by GLOVER,CAM",,,"REBOUND DEF by GLOVER,CAM",2
01:21,,72,,82 (+10),"GOOD JUMPER by JACKSON,MARTISE(in the paint)",BSC 72-82 (+10),,"GOOD JUMPER by JACKSON,MARTISE(in the paint)",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
01:15,,,,,"FOUL  by GLOVER,CAM",,,"FOUL  by GLOVER,CAM",2
01:15,"MISS FT by REARDON,NOAH(fastbreak)",,,,,,,"MISS FT by REARDON,NOAH(fastbreak)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
01:15,"SUB OUT by JOLLY,RYAN",,,,,,,"SUB OUT by JOLLY,RYAN",2
01:15,"SUB IN by HELENBROOK,JOE",,,,,,,"SUB IN by HELENBROOK,JOE",2
01:15,"GOOD FT by REARDON,NOAH(fastbreak)",73,,82 (+9),,PIED 73-82 (+9),,"GOOD FT by REARDON,NOAH(fastbreak)",2
01:15,,,,,"FOUL  by GLOVER,COLIN",,,"FOUL  by GLOVER,COLIN",2
01:15,,,,,"SUB OUT by GLOVER,COLIN",,,"SUB OUT by GLOVER,COLIN",2
01:15,,,,,"SUB IN by GREEN,KALEB",,,"SUB IN by GREEN,KALEB",2
01:15,"SUB OUT by HELENBROOK,JOE",,,,,,,"SUB OUT by HELENBROOK,JOE",2
01:15,"SUB IN by JOLLY,RYAN",,,,,,,"SUB IN by JOLLY,RYAN",2
01:15,,,,,"TURNOVER  by GLOVER,COLIN",,,"TURNOVER  by GLOVER,COLIN",2
01:14,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",,,,,,,"MISS LAYUP by CLEMENTS-OWENS,ORRY(in the paint)",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
01:01,,73,,84 (+11),"GOOD LAYUP by GILLISPIE,JAY(in the paint)",BSC 73-84 (+11),,"GOOD LAYUP by GILLISPIE,JAY(in the paint)",2
--,,,,,"ASSIST  by GLOVER,CAM",,,"ASSIST  by GLOVER,CAM",2
00:43,"MISS JUMPER by JOLLY,RYAN(in the paint)",,,,,,,"MISS JUMPER by JOLLY,RYAN(in the paint)",2
--,"REBOUND OFF by REARDON,NOAH",,,,,,,"REBOUND OFF by REARDON,NOAH",2
00:37,"MISS 3PTR by STIMPSON,ANDREW",,,,,,,"MISS 3PTR by STIMPSON,ANDREW",2
--,,,,,"REBOUND DEF by GILLISPIE,JAY",,,"REBOUND DEF by GILLISPIE,JAY",2
00:28,,73,,86 (+13),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 73-86 (+13),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",2
--,,,,,"ASSIST  by JACKSON,MARTISE",,,"ASSIST  by JACKSON,MARTISE",2
00:19,,,,,"FOUL  by JACKSON,MARTISE",,,"FOUL  by JACKSON,MARTISE",2
00:19,"GOOD FT by JOLLY,RYAN",74,,86 (+12),,PIED 74-86 (+12),,"GOOD FT by JOLLY,RYAN",2
00:19,"GOOD FT by JOLLY,RYAN",75,,86 (+11),,PIED 75-86 (+11),,"GOOD FT by JOLLY,RYAN",2
