Time Remaining,BIRMINGH,Away Team Score,Play Team Indicator,Home Team Score,HUNTINGD,Game Score,Team Indicator,Play,Period
16:34,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",1
16:34,,,,,"SUB OUT by HAWKINS,DAQUAN",,,"SUB OUT by HAWKINS,DAQUAN",1
16:33,"GOOD JUMPER by GLOVER,CAM",6 (+6),,0,,BIRMINGH 6-0 (+6),,"GOOD JUMPER by GLOVER,CAM",1
16:24,"FOUL  by GREEN,KALEB",,,,,,,"FOUL  by GREEN,KALEB",1
16:21,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
16:07,,,,,"MISS JUMPER by DUMAS,CHASE",,,"MISS JUMPER by DUMAS,CHASE",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
15:42,"GOOD 3PTR by GLOVER,CAM",9 (+9),,0,,BIRMINGH 9-0 (+9),,"GOOD 3PTR by GLOVER,CAM",1
--,"ASSIST  by GILLISPIE,JAY",,,,,,,"ASSIST  by GILLISPIE,JAY",1
15:23,,,,,"MISS LAYUP by PAGE,SAM",,,"MISS LAYUP by PAGE,SAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:19,,,,,"SUB IN by MURPHY,MYLES",,,"SUB IN by MURPHY,MYLES",1
15:19,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
15:12,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
15:12,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
15:12,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
15:12,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
14:57,,,,,"MISS 3PTR by DUMAS,CHASE",,,"MISS 3PTR by DUMAS,CHASE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:52,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
14:37,,9 (+6),,3,"GOOD 3PTR by KNOX,RASHAWN",HUNTINGD 9-3 (+6),,"GOOD 3PTR by KNOX,RASHAWN",1
--,,,,,"ASSIST  by GARDNER,MAX",,,"ASSIST  by GARDNER,MAX",1
14:19,"TURNOVER  by GLOVER,CAM",,,,,,,"TURNOVER  by GLOVER,CAM",1
14:19,,,,,"SUB IN by JOHNS,NATE",,,"SUB IN by JOHNS,NATE",1
14:19,,,,,"SUB IN by TOWNSEND,MARCUS",,,"SUB IN by TOWNSEND,MARCUS",1
14:19,,,,,"SUB OUT by GARDNER,MAX",,,"SUB OUT by GARDNER,MAX",1
14:19,,,,,"SUB OUT by GOOLESBY,TATE",,,"SUB OUT by GOOLESBY,TATE",1
13:56,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
13:46,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,,,,,"REBOUND DEF by TOWNSEND,MARCUS",,,"REBOUND DEF by TOWNSEND,MARCUS",1
13:31,,,,,"MISS LAYUP by DUMAS,CHASE",,,"MISS LAYUP by DUMAS,CHASE",1
13:31,"BLOCK  by DAVIS,BRODY",,,,,,,"BLOCK  by DAVIS,BRODY",1
--,"REBOUND DEF by DAVIS,BRODY",,,,,,,"REBOUND DEF by DAVIS,BRODY",1
13:22,"GOOD 3PTR by BISHOP,BRYSON",12 (+9),,3,,BIRMINGH 12-3 (+9),,"GOOD 3PTR by BISHOP,BRYSON",1
12:57,,,,,"MISS LAYUP by TOWNSEND,MARCUS",,,"MISS LAYUP by TOWNSEND,MARCUS",1
--,,,,,"REBOUND OFF by JOHNS,NATE",,,"REBOUND OFF by JOHNS,NATE",1
12:53,,,,,"TURNOVER  by JOHNS,NATE",,,"TURNOVER  by JOHNS,NATE",1
12:51,"STEAL  by GLOVER,CAM",,,,,,,"STEAL  by GLOVER,CAM",1
12:49,"GOOD LAYUP by BISHOP,BRYSON(fastbreak)(in the paint)",14 (+11),,3,,BIRMINGH 14-3 (+11),,"GOOD LAYUP by BISHOP,BRYSON(fastbreak)(in the paint)",1
--,"ASSIST  by GLOVER,CAM",,,,,,,"ASSIST  by GLOVER,CAM",1
12:42,,,,,"MISS 3PTR by JOHNS,NATE",,,"MISS 3PTR by JOHNS,NATE",1
--,"REBOUND DEF by GLOVER,CAM",,,,,,,"REBOUND DEF by GLOVER,CAM",1
12:32,,,,,"FOUL  by JOHNS,NATE",,,"FOUL  by JOHNS,NATE",1
12:32,"MISS FT by DAVIS,BRODY",,,,,,,"MISS FT by DAVIS,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:32,"GOOD FT by DAVIS,BRODY",15 (+12),,3,,BIRMINGH 15-3 (+12),,"GOOD FT by DAVIS,BRODY",1
12:32,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
12:32,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
12:32,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
12:32,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
12:32,,,,,"SUB IN by GARDNER,MAX",,,"SUB IN by GARDNER,MAX",1
12:32,,,,,"SUB IN by AUTIN,JEREMY",,,"SUB IN by AUTIN,JEREMY",1
12:32,,,,,"SUB IN by HARDEN,REESE",,,"SUB IN by HARDEN,REESE",1
12:32,,,,,"SUB OUT by DUMAS,CHASE",,,"SUB OUT by DUMAS,CHASE",1
12:32,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",1
12:32,,,,,"SUB OUT by KNOX,RASHAWN",,,"SUB OUT by KNOX,RASHAWN",1
12:29,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
12:29,"SUB OUT by DAVIS,BRODY",,,,,,,"SUB OUT by DAVIS,BRODY",1
12:11,,,,,"MISS JUMPER by HARDEN,REESE",,,"MISS JUMPER by HARDEN,REESE",1
--,,,,,"REBOUND OFF by MURPHY,MYLES",,,"REBOUND OFF by MURPHY,MYLES",1
12:05,,15 (+10),,5,"GOOD LAYUP by MURPHY,MYLES(in the paint)",HUNTINGD 15-5 (+10),,"GOOD LAYUP by MURPHY,MYLES(in the paint)",1
11:51,"TURNOVER  by BISHOP,BRYSON",,,,,,,"TURNOVER  by BISHOP,BRYSON",1
11:51,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
11:51,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
11:51,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
11:51,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
11:19,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
11:19,,,,,"MISS FT by MURPHY,MYLES",,,"MISS FT by MURPHY,MYLES",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:19,,15 (+9),,6,"GOOD FT by MURPHY,MYLES",HUNTINGD 15-6 (+9),,"GOOD FT by MURPHY,MYLES",1
11:19,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",1
11:19,,,,,"SUB OUT by MURPHY,MYLES",,,"SUB OUT by MURPHY,MYLES",1
11:08,"GOOD 3PTR by GILLISPIE,JAY",18 (+12),,6,,BIRMINGH 18-6 (+12),,"GOOD 3PTR by GILLISPIE,JAY",1
--,"ASSIST  by GREEN,KALEB",,,,,,,"ASSIST  by GREEN,KALEB",1
10:50,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
10:50,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
10:50,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",1
10:50,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
10:50,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
10:36,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
10:28,"MISS LAYUP by GLOVER,CAM",,,,,,,"MISS LAYUP by GLOVER,CAM",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
10:23,"MISS 3PTR by GREEN,KALEB",,,,,,,"MISS 3PTR by GREEN,KALEB",1
--,,,,,"REBOUND DEF by PAGE,SAM",,,"REBOUND DEF by PAGE,SAM",1
10:01,,18 (+10),,8,"GOOD LAYUP by AUTIN,JEREMY(in the paint)",HUNTINGD 18-8 (+10),,"GOOD LAYUP by AUTIN,JEREMY(in the paint)",1
09:47,,,,,"FOUL  by AUTIN,JEREMY",,,"FOUL  by AUTIN,JEREMY",1
09:47,,,,,"SUB IN by HAWKINS,DAQUAN",,,"SUB IN by HAWKINS,DAQUAN",1
09:47,,,,,"SUB OUT by PAGE,SAM",,,"SUB OUT by PAGE,SAM",1
09:45,"TURNOVER  by GLOVER,COLIN",,,,,,,"TURNOVER  by GLOVER,COLIN",1
09:13,,,,,"MISS LAYUP by HAWKINS,DAQUAN",,,"MISS LAYUP by HAWKINS,DAQUAN",1
09:13,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:13,"SUB IN by SPENCE,SAMUEL",,,,,,,"SUB IN by SPENCE,SAMUEL",1
09:13,"SUB IN by THOMPSON,CHRISTIAN",,,,,,,"SUB IN by THOMPSON,CHRISTIAN",1
09:13,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
09:13,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
09:13,,,,,"SUB IN by GOOLESBY,TATE",,,"SUB IN by GOOLESBY,TATE",1
09:13,,,,,"SUB OUT by HARDEN,REESE",,,"SUB OUT by HARDEN,REESE",1
08:57,"FOUL  by GLOVER,COLIN",,,,,,,"FOUL  by GLOVER,COLIN",1
08:44,,,,,"TURNOVER  by TOWNSEND,MARCUS",,,"TURNOVER  by TOWNSEND,MARCUS",1
08:43,"STEAL  by GLOVER,COLIN",,,,,,,"STEAL  by GLOVER,COLIN",1
08:41,"GOOD LAYUP by GLOVER,CAM(fastbreak)(in the paint)",20 (+12),,8,,BIRMINGH 20-8 (+12),,"GOOD LAYUP by GLOVER,CAM(fastbreak)(in the paint)",1
--,"ASSIST  by GLOVER,COLIN",,,,,,,"ASSIST  by GLOVER,COLIN",1
08:16,,,,,"MISS LAYUP by GOOLESBY,TATE",,,"MISS LAYUP by GOOLESBY,TATE",1
--,"REBOUND DEF by SPENCE,SAMUEL",,,,,,,"REBOUND DEF by SPENCE,SAMUEL",1
08:07,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",22 (+14),,8,,BIRMINGH 22-8 (+14),,"GOOD LAYUP by GREEN,KALEB(fastbreak)(in the paint)",1
07:48,"FOUL  by THOMPSON,CHRISTIAN",,,,,,,"FOUL  by THOMPSON,CHRISTIAN",1
07:48,"SUB IN by PATRICK,DYLAN",,,,,,,"SUB IN by PATRICK,DYLAN",1
07:48,"SUB IN by BISHOP,BRYSON",,,,,,,"SUB IN by BISHOP,BRYSON",1
07:48,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
07:48,"SUB OUT by GLOVER,CAM",,,,,,,"SUB OUT by GLOVER,CAM",1
07:48,"SUB OUT by GREEN,KALEB",,,,,,,"SUB OUT by GREEN,KALEB",1
07:48,"SUB OUT by GLOVER,COLIN",,,,,,,"SUB OUT by GLOVER,COLIN",1
07:48,,,,,"SUB IN by MURPHY,MYLES",,,"SUB IN by MURPHY,MYLES",1
07:48,,,,,"SUB IN by JOHNS,NATE",,,"SUB IN by JOHNS,NATE",1
07:48,,,,,"SUB OUT by AUTIN,JEREMY",,,"SUB OUT by AUTIN,JEREMY",1
07:48,,,,,"SUB OUT by TOWNSEND,MARCUS",,,"SUB OUT by TOWNSEND,MARCUS",1
07:45,,22 (+12),,10,"GOOD JUMPER by JOHNS,NATE",HUNTINGD 22-10 (+12),,"GOOD JUMPER by JOHNS,NATE",1
07:36,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by GARDNER,MAX",,,"REBOUND DEF by GARDNER,MAX",1
07:14,,,,,"MISS LAYUP by JOHNS,NATE",,,"MISS LAYUP by JOHNS,NATE",1
--,"REBOUND DEF by THOMPSON,CHRISTIAN",,,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
07:03,"MISS 3PTR by BISHOP,BRYSON",,,,,,,"MISS 3PTR by BISHOP,BRYSON",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
06:54,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",24 (+14),,10,,BIRMINGH 24-10 (+14),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",1
06:31,,,,,"MISS JUMPER by JOHNS,NATE",,,"MISS JUMPER by JOHNS,NATE",1
--,"REBOUND DEF by THOMPSON,CHRISTIAN",,,,,,,"REBOUND DEF by THOMPSON,CHRISTIAN",1
06:21,"TURNOVER  by BISHOP,BRYSON",,,,,,,"TURNOVER  by BISHOP,BRYSON",1
06:21,,,,,"SUB IN by TOWNSEND,MARCUS",,,"SUB IN by TOWNSEND,MARCUS",1
06:21,,,,,"SUB OUT by MURPHY,MYLES",,,"SUB OUT by MURPHY,MYLES",1
06:12,,,,,"TURNOVER  by HAWKINS,DAQUAN",,,"TURNOVER  by HAWKINS,DAQUAN",1
06:11,"STEAL  by PATRICK,DYLAN",,,,,,,"STEAL  by PATRICK,DYLAN",1
06:02,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",26 (+16),,10,,BIRMINGH 26-10 (+16),,"GOOD LAYUP by THOMPSON,CHRISTIAN(in the paint)",1
05:35,,,,,"TURNOVER  by GOOLESBY,TATE",,,"TURNOVER  by GOOLESBY,TATE",1
05:35,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
05:35,"SUB OUT by THOMPSON,CHRISTIAN",,,,,,,"SUB OUT by THOMPSON,CHRISTIAN",1
05:26,"MISS 3PTR by JACKSON,MARTISE",,,,,,,"MISS 3PTR by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by HAWKINS,DAQUAN",,,"REBOUND DEF by HAWKINS,DAQUAN",1
05:08,,26 (+13),,13,"GOOD 3PTR by GOOLESBY,TATE",HUNTINGD 26-13 (+13),,"GOOD 3PTR by GOOLESBY,TATE",1
--,,,,,"ASSIST  by GARDNER,MAX",,,"ASSIST  by GARDNER,MAX",1
04:59,"TURNOVER  by BISHOP,BRYSON",,,,,,,"TURNOVER  by BISHOP,BRYSON",1
04:55,,,,,"STEAL  by GARDNER,MAX",,,"STEAL  by GARDNER,MAX",1
04:52,,26 (+11),,15,"GOOD LAYUP by TOWNSEND,MARCUS(fastbreak)(in the paint)",HUNTINGD 26-15 (+11),,"GOOD LAYUP by TOWNSEND,MARCUS(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GARDNER,MAX",,,"ASSIST  by GARDNER,MAX",1
04:51,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:51,,,,,"SUB IN by AUTIN,JEREMY",,,"SUB IN by AUTIN,JEREMY",1
04:51,,,,,"SUB IN by DUMAS,CHASE",,,"SUB IN by DUMAS,CHASE",1
04:51,,,,,"SUB OUT by JOHNS,NATE",,,"SUB OUT by JOHNS,NATE",1
04:51,,,,,"SUB OUT by GARDNER,MAX",,,"SUB OUT by GARDNER,MAX",1
04:48,"SUB IN by GLOVER,CAM",,,,,,,"SUB IN by GLOVER,CAM",1
04:48,"SUB OUT by PATRICK,DYLAN",,,,,,,"SUB OUT by PATRICK,DYLAN",1
04:40,,,,,"FOUL  by DUMAS,CHASE",,,"FOUL  by DUMAS,CHASE",1
04:36,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
--,"REBOUND OFF by JACKSON,MARTISE",,,,,,,"REBOUND OFF by JACKSON,MARTISE",1
04:33,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",28 (+13),,15,,BIRMINGH 28-15 (+13),,"GOOD LAYUP by JACKSON,MARTISE(in the paint)",1
04:04,,,,,"MISS LAYUP by HAWKINS,DAQUAN",,,"MISS LAYUP by HAWKINS,DAQUAN",1
--,,,,,"REBOUND OFF by HAWKINS,DAQUAN",,,"REBOUND OFF by HAWKINS,DAQUAN",1
03:57,"FOUL  by GLOVER,CAM",,,,,,,"FOUL  by GLOVER,CAM",1
03:57,,,,,"MISS FT by HAWKINS,DAQUAN",,,"MISS FT by HAWKINS,DAQUAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:57,,28 (+12),,16,"GOOD FT by HAWKINS,DAQUAN",HUNTINGD 28-16 (+12),,"GOOD FT by HAWKINS,DAQUAN",1
03:57,,,,,"SUB IN by KNOX,RASHAWN",,,"SUB IN by KNOX,RASHAWN",1
03:57,,,,,"SUB IN by MURPHY,MYLES",,,"SUB IN by MURPHY,MYLES",1
03:57,,,,,"SUB OUT by TOWNSEND,MARCUS",,,"SUB OUT by TOWNSEND,MARCUS",1
03:57,,,,,"SUB OUT by GOOLESBY,TATE",,,"SUB OUT by GOOLESBY,TATE",1
03:36,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",30 (+14),,16,,BIRMINGH 30-16 (+14),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
--,"ASSIST  by BISHOP,BRYSON",,,,,,,"ASSIST  by BISHOP,BRYSON",1
03:19,,30 (+12),,18,"GOOD JUMPER by MURPHY,MYLES(fastbreak)",HUNTINGD 30-18 (+12),,"GOOD JUMPER by MURPHY,MYLES(fastbreak)",1
03:01,"GOOD LAYUP by SPENCE,SAMUEL(in the paint)",32 (+14),,18,,BIRMINGH 32-18 (+14),,"GOOD LAYUP by SPENCE,SAMUEL(in the paint)",1
--,"ASSIST  by JACKSON,MARTISE",,,,,,,"ASSIST  by JACKSON,MARTISE",1
02:43,,32 (+11),,21,"GOOD 3PTR by HAWKINS,DAQUAN",HUNTINGD 32-21 (+11),,"GOOD 3PTR by HAWKINS,DAQUAN",1
--,,,,,"ASSIST  by KNOX,RASHAWN",,,"ASSIST  by KNOX,RASHAWN",1
02:23,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",34 (+13),,21,,BIRMINGH 34-21 (+13),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
02:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
02:02,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
02:02,"SUB IN by GLOVER,COLIN",,,,,,,"SUB IN by GLOVER,COLIN",1
02:02,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",1
02:02,"SUB OUT by BISHOP,BRYSON",,,,,,,"SUB OUT by BISHOP,BRYSON",1
02:02,"SUB OUT by SPENCE,SAMUEL",,,,,,,"SUB OUT by SPENCE,SAMUEL",1
02:02,"SUB OUT by JACKSON,MARTISE",,,,,,,"SUB OUT by JACKSON,MARTISE",1
02:02,,,,,"SUB IN by HARDEN,REESE",,,"SUB IN by HARDEN,REESE",1
02:02,,,,,"SUB IN by GARDNER,MAX",,,"SUB IN by GARDNER,MAX",1
02:02,,,,,"SUB OUT by DUMAS,CHASE",,,"SUB OUT by DUMAS,CHASE",1
02:02,,,,,"SUB OUT by HAWKINS,DAQUAN",,,"SUB OUT by HAWKINS,DAQUAN",1
01:59,,,,,"MISS LAYUP by AUTIN,JEREMY",,,"MISS LAYUP by AUTIN,JEREMY",1
--,,,,,"REBOUND OFF by MURPHY,MYLES",,,"REBOUND OFF by MURPHY,MYLES",1
01:56,,34 (+11),,23,"GOOD LAYUP by MURPHY,MYLES(in the paint)",HUNTINGD 34-23 (+11),,"GOOD LAYUP by MURPHY,MYLES(in the paint)",1
01:41,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",36 (+13),,23,,BIRMINGH 36-23 (+13),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
01:20,,,,,"TURNOVER  by MURPHY,MYLES",,,"TURNOVER  by MURPHY,MYLES",1
01:20,"SUB IN by JACKSON,MARTISE",,,,,,,"SUB IN by JACKSON,MARTISE",1
01:20,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
01:09,"MISS 3PTR by GLOVER,COLIN",,,,,,,"MISS 3PTR by GLOVER,COLIN",1
--,,,,,"REBOUND DEF by KNOX,RASHAWN",,,"REBOUND DEF by KNOX,RASHAWN",1
00:56,,,,,"TURNOVER  by KNOX,RASHAWN",,,"TURNOVER  by KNOX,RASHAWN",1
00:55,"STEAL  by JACKSON,MARTISE",,,,,,,"STEAL  by JACKSON,MARTISE",1
00:52,"MISS LAYUP by JACKSON,MARTISE",,,,,,,"MISS LAYUP by JACKSON,MARTISE",1
--,,,,,"REBOUND DEF by KNOX,RASHAWN",,,"REBOUND DEF by KNOX,RASHAWN",1
00:46,,,,,"TURNOVER  by AUTIN,JEREMY",,,"TURNOVER  by AUTIN,JEREMY",1
00:37,,,,,"FOUL  by HARDEN,REESE",,,"FOUL  by HARDEN,REESE",1
00:37,"GOOD FT by JACKSON,MARTISE",37 (+14),,23,,BIRMINGH 37-23 (+14),,"GOOD FT by JACKSON,MARTISE",1
00:37,"GOOD FT by JACKSON,MARTISE",38 (+15),,23,,BIRMINGH 38-23 (+15),,"GOOD FT by JACKSON,MARTISE",1
00:37,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",1
00:37,,,,,"SUB IN by GOOLESBY,TATE",,,"SUB IN by GOOLESBY,TATE",1
00:37,,,,,"SUB IN by HAWKINS,DAQUAN",,,"SUB IN by HAWKINS,DAQUAN",1
00:37,,,,,"SUB OUT by AUTIN,JEREMY",,,"SUB OUT by AUTIN,JEREMY",1
00:37,,,,,"SUB OUT by KNOX,RASHAWN",,,"SUB OUT by KNOX,RASHAWN",1
00:37,,,,,"SUB OUT by HARDEN,REESE",,,"SUB OUT by HARDEN,REESE",1
00:06,,38 (+13),,25,"GOOD JUMPER by GOOLESBY,TATE",HUNTINGD 38-25 (+13),,"GOOD JUMPER by GOOLESBY,TATE",1
00:00,"MISS 3PTR by GLOVER,CAM",,,,,,,"MISS 3PTR by GLOVER,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:41,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",2
19:41,"SUB IN by GREEN,KALEB",,,,,,,"SUB IN by GREEN,KALEB",2
19:41,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",2
19:31,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",2
19:14,,,,,"MISS 3PTR by GOOLESBY,TATE",,,"MISS 3PTR by GOOLESBY,TATE",2
--,,,,,"REBOUND OFF by GARDNER,MAX",,,"REBOUND OFF by GARDNER,MAX",2
19:07,,,,,"TURNOVER  by PAGE,SAM",,,"TURNOVER  by PAGE,SAM",2
19:05,"STEAL  by CHILDERS,JOSH",,,,,,,"STEAL  by CHILDERS,JOSH",2
19:00,"FOUL  by JACKSON,MARTISE",,,,,,,"FOUL  by JACKSON,MARTISE",2
18:33,,,,,"MISS JUMPER by HAWKINS,DAQUAN",,,"MISS JUMPER by HAWKINS,DAQUAN",2
--,,,,,"REBOUND OFF by HAWKINS,DAQUAN",,,"REBOUND OFF by HAWKINS,DAQUAN",2
18:27,,,,,"MISS LAYUP by HAWKINS,DAQUAN",,,"MISS LAYUP by HAWKINS,DAQUAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:24,,,,,"MISS JUMPER by GARDNER,MAX",,,"MISS JUMPER by GARDNER,MAX",2
--,"REBOUND DEF by GREEN,KALEB",,,,,,,"REBOUND DEF by GREEN,KALEB",2
