Time Remaining,STOCKTON,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
14:42,"MISS 3PTR by WILLIAMS,JAMES",,,,,,,"MISS 3PTR by WILLIAMS,JAMES",2
--,,,,,"REBOUND DEF by GERCHOW,ALEX",,,"REBOUND DEF by GERCHOW,ALEX",2
14:35,,43 (+8),,35,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 43-35 (-8),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
13:58,"GOOD 3PTR by WILLIAMS,JAMES",46 (+11),,35,,STOCKTON 46-35 (-11),,"GOOD 3PTR by WILLIAMS,JAMES",2
--,"ASSIST  by JOHNSON,KEVIN",,,,,,,"ASSIST  by JOHNSON,KEVIN",2
13:40,,46 (+8),,38,"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 46-38 (-8),,"GOOD 3PTR by MCELVEEN,MAC",2
13:13,"GOOD JUMPER by JOHNSON,KEVIN",48 (+10),,38,,STOCKTON 48-38 (-10),,"GOOD JUMPER by JOHNSON,KEVIN",2
13:01,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:01,"SUB IN by PERRY,MIKE",,,,,,,"SUB IN by PERRY,MIKE",2
13:01,"SUB IN by JOHNSON,RAMEEL",,,,,,,"SUB IN by JOHNSON,RAMEEL",2
13:01,"SUB OUT by BLAMON,JOSH",,,,,,,"SUB OUT by BLAMON,JOSH",2
13:01,"SUB OUT by JOHNSON,KEVIN",,,,,,,"SUB OUT by JOHNSON,KEVIN",2
13:01,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",2
13:01,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",2
13:01,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
13:01,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
12:37,"FOUL  by USUWA,NNAMDI",,,,,,,"FOUL  by USUWA,NNAMDI",2
12:37,,48 (+9),,39,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 48-39 (-9),,"GOOD FT by AUBERT,DUSTIN",2
12:37,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",2
--,"REBOUND DEF by WOODARD,ANTHONY",,,,,,,"REBOUND DEF by WOODARD,ANTHONY",2
12:37,"SUB IN by WOODARD,ANTHONY",,,,,,,"SUB IN by WOODARD,ANTHONY",2
12:37,"SUB OUT by USUWA,NNAMDI",,,,,,,"SUB OUT by USUWA,NNAMDI",2
12:09,"GOOD JUMPER by SUHR,RICH",50 (+11),,39,,STOCKTON 50-39 (-11),,"GOOD JUMPER by SUHR,RICH",2
11:51,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
11:47,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",2
--,"REBOUND DEF by PERRY,MIKE",,,,,,,"REBOUND DEF by PERRY,MIKE",2
11:35,"MISS 3PTR by WILLIAMS,JAMES",,,,,,,"MISS 3PTR by WILLIAMS,JAMES",2
--,,,,,"REBOUND DEF by HANTSAD,RAJAN",,,"REBOUND DEF by HANTSAD,RAJAN",2
11:21,"FOUL  by WOODARD,ANTHONY",,,,,,,"FOUL  by WOODARD,ANTHONY",2
11:21,"SUB IN by BLAMON,JOSH",,,,,,,"SUB IN by BLAMON,JOSH",2
11:21,"SUB IN by BOLDEN,NATE",,,,,,,"SUB IN by BOLDEN,NATE",2
11:21,"SUB OUT by SUHR,RICH",,,,,,,"SUB OUT by SUHR,RICH",2
11:21,"SUB OUT by WOODARD,ANTHONY",,,,,,,"SUB OUT by WOODARD,ANTHONY",2
11:21,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
11:21,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
10:48,,,,,"MISS 3PTR by HANTSAD,RAJAN",,,"MISS 3PTR by HANTSAD,RAJAN",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
10:46,"FOUL  by WILLIAMS,JAMES",,,,,,,"FOUL  by WILLIAMS,JAMES",2
10:45,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
10:45,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
10:43,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
10:24,"TURNOVER  by BOLDEN,NATE",,,,,,,"TURNOVER  by BOLDEN,NATE",2
10:24,"FOUL  by BOLDEN,NATE",,,,,,,"FOUL  by BOLDEN,NATE",2
10:11,,50 (+8),,42,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 50-42 (-8),,"GOOD 3PTR by KASTNER,MURRAY",2
--,,,,,"ASSIST  by HANTSAD,RAJAN",,,"ASSIST  by HANTSAD,RAJAN",2
09:45,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",2
09:45,"SUB IN by JOHNSON,KEVIN",,,,,,,"SUB IN by JOHNSON,KEVIN",2
09:45,"SUB OUT by PERRY,MIKE",,,,,,,"SUB OUT by PERRY,MIKE",2
09:29,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",2
09:29,,,,,"SUB IN by FILLINGIM,DANIEL",,,"SUB IN by FILLINGIM,DANIEL",2
09:29,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",2
09:13,,,,,"FOUL  by HANTSAD,RAJAN",,,"FOUL  by HANTSAD,RAJAN",2
09:13,"GOOD FT by WILLIAMS,JAMES",51 (+9),,42,,STOCKTON 51-42 (-9),,"GOOD FT by WILLIAMS,JAMES",2
09:13,"GOOD FT by WILLIAMS,JAMES",52 (+10),,42,,STOCKTON 52-42 (-10),,"GOOD FT by WILLIAMS,JAMES",2
09:13,"SUB IN by SUHR,RICH",,,,,,,"SUB IN by SUHR,RICH",2
09:13,"SUB IN by USUWA,NNAMDI",,,,,,,"SUB IN by USUWA,NNAMDI",2
09:13,"SUB OUT by WILLIAMS,JAMES",,,,,,,"SUB OUT by WILLIAMS,JAMES",2
09:13,"SUB OUT by BOLDEN,NATE",,,,,,,"SUB OUT by BOLDEN,NATE",2
09:13,,,,,"SUB IN by GAGEN,BRENNAN",,,"SUB IN by GAGEN,BRENNAN",2
09:13,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",2
08:50,,,,,"MISS LAYUP by GAGEN,BRENNAN",,,"MISS LAYUP by GAGEN,BRENNAN",2
08:50,"BLOCK  by BLAMON,JOSH",,,,,,,"BLOCK  by BLAMON,JOSH",2
--,,,,,"REBOUND OFF by FILLINGIM,DANIEL",,,"REBOUND OFF by FILLINGIM,DANIEL",2
08:40,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by BLAMON,JOSH",,,,,,,"REBOUND DEF by BLAMON,JOSH",2
08:33,"GOOD LAYUP by USUWA,NNAMDI(fastbreak)(in the paint)",54 (+12),,42,,STOCKTON 54-42 (-12),,"GOOD LAYUP by USUWA,NNAMDI(fastbreak)(in the paint)",2
08:18,,,,,"MISS LAYUP by FREBIS,RONNIE",,,"MISS LAYUP by FREBIS,RONNIE",2
--,,,,,"REBOUND OFF by GAGEN,BRENNAN",,,"REBOUND OFF by GAGEN,BRENNAN",2
07:52,,54 (+10),,44,"GOOD JUMPER by KASTNER,MURRAY",MILLSAPS 54-44 (-10),,"GOOD JUMPER by KASTNER,MURRAY",2
07:21,"MISS 3PTR by JOHNSON,KEVIN",,,,,,,"MISS 3PTR by JOHNSON,KEVIN",2
--,,,,,"REBOUND DEF by FILLINGIM,DANIEL",,,"REBOUND DEF by FILLINGIM,DANIEL",2
07:11,,54 (+8),,46,"GOOD LAYUP by KASTNER,MURRAY(fastbreak)(in the paint)",MILLSAPS 54-46 (-8),,"GOOD LAYUP by KASTNER,MURRAY(fastbreak)(in the paint)",2
06:49,"MISS 3PTR by BLAMON,JOSH",,,,,,,"MISS 3PTR by BLAMON,JOSH",2
--,,,,,"REBOUND DEF by GAGEN,BRENNAN",,,"REBOUND DEF by GAGEN,BRENNAN",2
06:39,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
06:39,"SUB IN by WILLIAMS,JAMES",,,,,,,"SUB IN by WILLIAMS,JAMES",2
06:39,"SUB OUT by BLAMON,JOSH",,,,,,,"SUB OUT by BLAMON,JOSH",2
06:39,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",2
06:39,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",2
06:39,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",2
06:39,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
06:20,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND DEF by WILLIAMS,JAMES",,,,,,,"REBOUND DEF by WILLIAMS,JAMES",2
06:10,"GOOD LAYUP by USUWA,NNAMDI(in the paint)",56 (+10),,46,,STOCKTON 56-46 (-10),,"GOOD LAYUP by USUWA,NNAMDI(in the paint)",2
--,"ASSIST  by JOHNSON,RAMEEL",,,,,,,"ASSIST  by JOHNSON,RAMEEL",2
05:35,,,,,"MISS LAYUP by GERCHOW,ALEX",,,"MISS LAYUP by GERCHOW,ALEX",2
05:35,"BLOCK  by USUWA,NNAMDI",,,,,,,"BLOCK  by USUWA,NNAMDI",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:34,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",2
05:34,,,,,"SUB OUT by FILLINGIM,DANIEL",,,"SUB OUT by FILLINGIM,DANIEL",2
05:32,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",2
--,"REBOUND DEF by JOHNSON,RAMEEL",,,,,,,"REBOUND DEF by JOHNSON,RAMEEL",2
05:22,"MISS JUMPER by WILLIAMS,JAMES",,,,,,,"MISS JUMPER by WILLIAMS,JAMES",2
--,"REBOUND OFF by USUWA,NNAMDI",,,,,,,"REBOUND OFF by USUWA,NNAMDI",2
05:20,"GOOD JUMPER by USUWA,NNAMDI(in the paint)",58 (+12),,46,,STOCKTON 58-46 (-12),,"GOOD JUMPER by USUWA,NNAMDI(in the paint)",2
05:00,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
04:58,,58 (+10),,48,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",MILLSAPS 58-48 (-10),,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",2
04:30,"MISS LAYUP by JOHNSON,KEVIN",,,,,,,"MISS LAYUP by JOHNSON,KEVIN",2
04:30,,,,,"BLOCK  by GILLIGAN,TULLY",,,"BLOCK  by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",2
03:53,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",2
03:53,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",2
03:53,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",2
03:42,"GOOD JUMPER by USUWA,NNAMDI(in the paint)",60 (+12),,48,,STOCKTON 60-48 (-12),,"GOOD JUMPER by USUWA,NNAMDI(in the paint)",2
--,"ASSIST  by JOHNSON,RAMEEL",,,,,,,"ASSIST  by JOHNSON,RAMEEL",2
03:41,,,,,"FOUL  by GAGEN,BRENNAN",,,"FOUL  by GAGEN,BRENNAN",2
03:41,"GOOD FT by USUWA,NNAMDI",61 (+13),,48,,STOCKTON 61-48 (-13),,"GOOD FT by USUWA,NNAMDI",2
03:41,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
03:41,,,,,"SUB OUT by GAGEN,BRENNAN",,,"SUB OUT by GAGEN,BRENNAN",2
03:25,,,,,"MISS LAYUP by KASTNER,MURRAY",,,"MISS LAYUP by KASTNER,MURRAY",2
--,,,,,"REBOUND OFF by GERCHOW,ALEX",,,"REBOUND OFF by GERCHOW,ALEX",2
03:22,,61 (+11),,50,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",MILLSAPS 61-50 (-11),,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",2
02:59,"MISS JUMPER by JOHNSON,RAMEEL",,,,,,,"MISS JUMPER by JOHNSON,RAMEEL",2
02:59,,,,,"BLOCK  by GERCHOW,ALEX",,,"BLOCK  by GERCHOW,ALEX",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
02:53,"GOOD 3PTR by WILLIAMS,JAMES",64 (+14),,50,,STOCKTON 64-50 (-14),,"GOOD 3PTR by WILLIAMS,JAMES",2
--,"ASSIST  by JOHNSON,RAMEEL",,,,,,,"ASSIST  by JOHNSON,RAMEEL",2
02:34,"FOUL  by SUHR,RICH",,,,,,,"FOUL  by SUHR,RICH",2
02:34,,64 (+13),,51,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 64-51 (-13),,"GOOD FT by AUBERT,DUSTIN",2
02:34,,64 (+12),,52,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 64-52 (-12),,"GOOD FT by AUBERT,DUSTIN",2
02:34,,,,,"SUB IN by FILLINGIM,DANIEL",,,"SUB IN by FILLINGIM,DANIEL",2
02:34,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",2
02:34,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",2
02:34,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",2
02:12,"MISS 3PTR by WILLIAMS,JAMES",,,,,,,"MISS 3PTR by WILLIAMS,JAMES",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
01:55,"GOOD 3PTR by JOHNSON,KEVIN",67 (+15),,52,,STOCKTON 67-52 (-15),,"GOOD 3PTR by JOHNSON,KEVIN",2
--,"ASSIST  by WILLIAMS,JAMES",,,,,,,"ASSIST  by WILLIAMS,JAMES",2
01:45,,67 (+12),,55,"GOOD 3PTR by FILLINGIM,DANIEL",MILLSAPS 67-55 (-12),,"GOOD 3PTR by FILLINGIM,DANIEL",2
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",2
01:29,"TURNOVER  by WILLIAMS,JAMES",,,,,,,"TURNOVER  by WILLIAMS,JAMES",2
01:28,,,,,"STEAL  by MCELVEEN,MAC",,,"STEAL  by MCELVEEN,MAC",2
01:27,,67 (+10),,57,"GOOD DUNK by MCELVEEN,MAC(in the paint)",MILLSAPS 67-57 (-10),,"GOOD DUNK by MCELVEEN,MAC(in the paint)",2
01:23,,,,,"FOUL  by AUBERT,DUSTIN",,,"FOUL  by AUBERT,DUSTIN",2
01:17,"TURNOVER  by WILLIAMS,JAMES",,,,,,,"TURNOVER  by WILLIAMS,JAMES",2
01:17,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",2
01:17,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",2
01:17,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",2
01:17,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
01:09,,67 (+8),,59,"GOOD JUMPER by HANTSAD,RAJAN(in the paint)",MILLSAPS 67-59 (-8),,"GOOD JUMPER by HANTSAD,RAJAN(in the paint)",2
01:07,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:07,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
01:07,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",2
01:01,"MISS LAYUP by JOHNSON,RAMEEL",,,,,,,"MISS LAYUP by JOHNSON,RAMEEL",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
00:54,,67 (+5),,62,"GOOD 3PTR by KASTNER,MURRAY",MILLSAPS 67-62 (-5),,"GOOD 3PTR by KASTNER,MURRAY",2
00:52,"FOUL  by SUHR,RICH",,,,,,,"FOUL  by SUHR,RICH",2
00:52,,67 (+4),,63,"GOOD FT by AUBERT,DUSTIN",MILLSAPS 67-63 (-4),,"GOOD FT by AUBERT,DUSTIN",2
00:52,,,,,"MISS FT by AUBERT,DUSTIN",,,"MISS FT by AUBERT,DUSTIN",2
--,"REBOUND DEF by JOHNSON,RAMEEL",,,,,,,"REBOUND DEF by JOHNSON,RAMEEL",2
00:52,"SUB IN by BLAMON,JOSH",,,,,,,"SUB IN by BLAMON,JOSH",2
00:52,"SUB OUT by SUHR,RICH",,,,,,,"SUB OUT by SUHR,RICH",2
00:44,,,,,"FOUL  by FILLINGIM,DANIEL",,,"FOUL  by FILLINGIM,DANIEL",2
00:44,"MISS FT by BLAMON,JOSH",,,,,,,"MISS FT by BLAMON,JOSH",2
--,,,,,"REBOUND DEF by FILLINGIM,DANIEL",,,"REBOUND DEF by FILLINGIM,DANIEL",2
00:30,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",2
--,"REBOUND DEF by BLAMON,JOSH",,,,,,,"REBOUND DEF by BLAMON,JOSH",2
00:23,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",2
00:23,"GOOD FT by JOHNSON,RAMEEL",68 (+5),,63,,STOCKTON 68-63 (-5),,"GOOD FT by JOHNSON,RAMEEL",2
00:23,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:23,"MISS FT by JOHNSON,RAMEEL",,,,,,,"MISS FT by JOHNSON,RAMEEL",2
--,,,,,"REBOUND DEF by FILLINGIM,DANIEL",,,"REBOUND DEF by FILLINGIM,DANIEL",2
00:23,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",2
00:23,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",2
00:17,,,,,"MISS 3PTR by HANTSAD,RAJAN",,,"MISS 3PTR by HANTSAD,RAJAN",2
--,,,,,"REBOUND OFF by KASTNER,MURRAY",,,"REBOUND OFF by KASTNER,MURRAY",2
00:13,,,,,"MISS JUMPER by KASTNER,MURRAY",,,"MISS JUMPER by KASTNER,MURRAY",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:10,"SUB IN by SUHR,RICH",,,,,,,"SUB IN by SUHR,RICH",2
00:10,"SUB OUT by USUWA,NNAMDI",,,,,,,"SUB OUT by USUWA,NNAMDI",2
00:10,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",2
00:10,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",2
00:09,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",2
00:09,"GOOD FT by SUHR,RICH",69 (+6),,63,,STOCKTON 69-63 (-6),,"GOOD FT by SUHR,RICH",2
00:09,"GOOD FT by SUHR,RICH",70 (+7),,63,,STOCKTON 70-63 (-7),,"GOOD FT by SUHR,RICH",2
00:04,,70 (+5),,65,"GOOD LAYUP by FILLINGIM,DANIEL(in the paint)",MILLSAPS 70-65 (-5),,"GOOD LAYUP by FILLINGIM,DANIEL(in the paint)",2
00:02,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
00:01,,,,,"FOUL  by FILLINGIM,DANIEL",,,"FOUL  by FILLINGIM,DANIEL",2
00:01,"MISS FT by WILLIAMS,JAMES",,,,,,,"MISS FT by WILLIAMS,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:01,"MISS FT by WILLIAMS,JAMES",,,,,,,"MISS FT by WILLIAMS,JAMES",2
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",2
