Time Remaining,MCMB1314,Away Team Score,Play Team Indicator,Home Team Score,UDMB1314,Game Score,Team Indicator,Play,Period
01:12,,25,,32 (+7),"GOOD 3PTR by BAMBACE,SEAN",UDMB1314 25-32 (-7),,"GOOD 3PTR by BAMBACE,SEAN",1
--,,,,,"ASSIST  by SARRAT,MICHAEL",,,"ASSIST  by SARRAT,MICHAEL",1
00:59,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",1
00:59,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",1
00:59,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
00:59,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
00:26,,25,,34 (+9),"GOOD JUMPER by BAMBACE,SEAN(in the paint)",UDMB1314 25-34 (-9),,"GOOD JUMPER by BAMBACE,SEAN(in the paint)",1
--,,,,,"ASSIST  by SARRAT,MICHAEL",,,"ASSIST  by SARRAT,MICHAEL",1
00:01,"MISS LAYUP by AUBERT,DUSTIN",,,,,,,"MISS LAYUP by AUBERT,DUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
19:49,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by DAVIDSON,ROSS",,,"REBOUND DEF by DAVIDSON,ROSS",2
19:39,,,,,"TURNOVER  by DAVIDSON,ROSS",,,"TURNOVER  by DAVIDSON,ROSS",2
19:38,"STEAL  by FREBIS,RONNIE",,,,,,,"STEAL  by FREBIS,RONNIE",2
19:36,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
19:14,,,,,"TURNOVER  by WYATT,AARON",,,"TURNOVER  by WYATT,AARON",2
19:08,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",27,,34 (+7),,MCMB1314 27-34 (-7),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
18:56,,,,,"MISS 3PTR by DAVIDSON,ROSS",,,"MISS 3PTR by DAVIDSON,ROSS",2
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",2
18:48,"MISS LAYUP by KASTNER,MURRAY",,,,,,,"MISS LAYUP by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by WILSON,NATE",,,"REBOUND DEF by WILSON,NATE",2
18:32,,,,,"TURNOVER  by BLACKBURN,BLAINE",,,"TURNOVER  by BLACKBURN,BLAINE",2
18:31,"STEAL  by FREBIS,RONNIE",,,,,,,"STEAL  by FREBIS,RONNIE",2
18:26,"GOOD 3PTR by ROBERTSON,MARC(fastbreak)",30,,34 (+4),,MCMB1314 30-34 (-4),,"GOOD 3PTR by ROBERTSON,MARC(fastbreak)",2
--,"ASSIST  by FREBIS,RONNIE",,,,,,,"ASSIST  by FREBIS,RONNIE",2
18:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
18:03,,,,,"MISS JUMPER by WYATT,AARON",,,"MISS JUMPER by WYATT,AARON",2
--,,,,,"REBOUND OFF by WILSON,NATE",,,"REBOUND OFF by WILSON,NATE",2
17:55,,,,,"MISS LAYUP by WYATT,AARON",,,"MISS LAYUP by WYATT,AARON",2
--,,,,,"REBOUND OFF by WYATT,AARON",,,"REBOUND OFF by WYATT,AARON",2
17:52,,30,,36 (+6),"GOOD LAYUP by WYATT,AARON(in the paint)",UDMB1314 30-36 (-6),,"GOOD LAYUP by WYATT,AARON(in the paint)",2
17:38,"GOOD LAYUP by BERGER,RYAN(in the paint)",32,,36 (+4),,MCMB1314 32-36 (-4),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",2
17:37,,,,,"SUB IN by MALONE,KYM",,,"SUB IN by MALONE,KYM",2
17:37,,,,,"SUB OUT by HAMPSON,MICHAEL",,,"SUB OUT by HAMPSON,MICHAEL",2
17:25,,,,,"TURNOVER  by GONZALEZ,LORENZO",,,"TURNOVER  by GONZALEZ,LORENZO",2
17:06,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",2
17:06,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
17:06,"MISS FT by BERGER,RYAN",,,,,,,"MISS FT by BERGER,RYAN",2
--,,,,,"REBOUND DEF by DAVIDSON,ROSS",,,"REBOUND DEF by DAVIDSON,ROSS",2
16:49,,,,,"MISS JUMPER by DAVIDSON,ROSS",,,"MISS JUMPER by DAVIDSON,ROSS",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
16:32,"MISS JUMPER by FREBIS,RONNIE",,,,,,,"MISS JUMPER by FREBIS,RONNIE",2
--,,,,,"REBOUND DEF by DAVIDSON,ROSS",,,"REBOUND DEF by DAVIDSON,ROSS",2
16:09,,,,,"TURNOVER  by WYATT,AARON",,,"TURNOVER  by WYATT,AARON",2
16:06,"STEAL  by ROBERTSON,MARC",,,,,,,"STEAL  by ROBERTSON,MARC",2
16:04,"MISS JUMPER by ROBERTSON,MARC",,,,,,,"MISS JUMPER by ROBERTSON,MARC",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
16:01,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",34,,36 (+2),,MCMB1314 34-36 (-2),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",2
15:49,SUB IN by 0,,,,,,,SUB IN by 0,2
15:49,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",2
15:49,SUB IN by 0,,,,,,,SUB IN by 0,2
15:49,SUB OUT by 0,,,,,,,SUB OUT by 0,2
15:49,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
15:49,SUB OUT by 0,,,,,,,SUB OUT by 0,2
15:39,,,,,"MISS 3PTR by GONZALEZ,LORENZO",,,"MISS 3PTR by GONZALEZ,LORENZO",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
15:32,"GOOD LAYUP by FREBIS,RONNIE(fastbreak)(in the paint)",36,,36,,MCMB1314 36-36 (0),,"GOOD LAYUP by FREBIS,RONNIE(fastbreak)(in the paint)",2
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",2
15:32,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",2
15:32,"MISS FT by FREBIS,RONNIE",,,,,,,"MISS FT by FREBIS,RONNIE",2
--,,,,,"REBOUND DEF by DAVIDSON,ROSS",,,"REBOUND DEF by DAVIDSON,ROSS",2
15:32,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
15:32,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
15:32,,,,,"SUB IN by SARRAT,MICHAEL",,,"SUB IN by SARRAT,MICHAEL",2
15:32,,,,,"SUB IN by MALONE,KYM",,,"SUB IN by MALONE,KYM",2
15:32,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",2
15:32,,,,,"SUB OUT by BLACKBURN,BLAINE",,,"SUB OUT by BLACKBURN,BLAINE",2
15:12,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
15:12,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
15:02,,,,,"MISS JUMPER by MALONE,KYM",,,"MISS JUMPER by MALONE,KYM",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
14:53,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",2
14:53,"GOOD FT by GILLIGAN,TULLY",37 (+1),,36,,MCMB1314 37-36 (+1),,"GOOD FT by GILLIGAN,TULLY",2
14:53,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
14:34,,,,,"MISS 3PTR by WILSON,NATE",,,"MISS 3PTR by WILSON,NATE",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
14:30,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
14:30,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",2
14:30,,,,,"SUB IN by GONZALES,ISAAK",,,"SUB IN by GONZALES,ISAAK",2
14:30,,,,,"SUB OUT by DAVIDSON,ROSS",,,"SUB OUT by DAVIDSON,ROSS",2
14:25,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",39 (+3),,36,,MCMB1314 39-36 (+3),,"GOOD JUMPER by GERCHOW,ALEX(in the paint)",2
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",2
14:13,,,,,"MISS LAYUP by WILSON,NATE",,,"MISS LAYUP by WILSON,NATE",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
14:10,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",2
14:10,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
13:52,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",41 (+5),,36,,MCMB1314 41-36 (+5),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
13:52,,,,,"FOUL  by GONZALEZ,LORENZO",,,"FOUL  by GONZALEZ,LORENZO",2
13:52,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
13:52,"GOOD FT by AUBERT,DUSTIN",42 (+6),,36,,MCMB1314 42-36 (+6),,"GOOD FT by AUBERT,DUSTIN",2
13:21,,,,,"MISS LAYUP by WILSON,NATE",,,"MISS LAYUP by WILSON,NATE",2
13:21,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",2
--,"REBOUND DEF by MCELVEEN,MAC",,,,,,,"REBOUND DEF by MCELVEEN,MAC",2
12:56,"TURNOVER  by GERCHOW,ALEX",,,,,,,"TURNOVER  by GERCHOW,ALEX",2
12:52,"SUB IN by FILLINGIM,DANIEL",,,,,,,"SUB IN by FILLINGIM,DANIEL",2
12:52,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
12:52,SUB OUT by 0,,,,,,,SUB OUT by 0,2
12:52,SUB OUT by 0,,,,,,,SUB OUT by 0,2
12:39,,,,,"MISS JUMPER by DAVIDSON,ROSS",,,"MISS JUMPER by DAVIDSON,ROSS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
12:38,"FOUL  by MCELVEEN,MAC",,,,,,,"FOUL  by MCELVEEN,MAC",2
12:38,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
12:38,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
12:38,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
12:38,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
12:21,,42 (+4),,38,"GOOD JUMPER by WYATT,AARON(fastbreak)",UDMB1314 42-38 (+4),,"GOOD JUMPER by WYATT,AARON(fastbreak)",2
12:15,,,,,"SUB IN by WYATT,AARON",,,"SUB IN by WYATT,AARON",2
12:15,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",2
12:09,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
12:09,,,,,"SUB IN by BAMBACE,SEAN",,,"SUB IN by BAMBACE,SEAN",2
12:09,,,,,"SUB OUT by WILSON,NATE",,,"SUB OUT by WILSON,NATE",2
11:48,SUB IN by 0,,,,,,,SUB IN by 0,2
11:48,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
11:38,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",44 (+6),,38,,MCMB1314 44-38 (+6),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",2
11:19,,44 (+3),,41,"GOOD 3PTR by SARRAT,MICHAEL",UDMB1314 44-41 (+3),,"GOOD 3PTR by SARRAT,MICHAEL",2
--,,,,,"ASSIST  by MALONE,KYM",,,"ASSIST  by MALONE,KYM",2
10:59,"MISS LAYUP by GILLIGAN,TULLY",,,,,,,"MISS LAYUP by GILLIGAN,TULLY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
10:53,,,,,"SUB IN by DAVIDSON,ROSS",,,"SUB IN by DAVIDSON,ROSS",2
10:53,,,,,"SUB OUT by GONZALES,ISAAK",,,"SUB OUT by GONZALES,ISAAK",2
10:39,,,,,"MISS 3PTR by DAVIDSON,ROSS",,,"MISS 3PTR by DAVIDSON,ROSS",2
--,"REBOUND DEF by MCELVEEN,MAC",,,,,,,"REBOUND DEF by MCELVEEN,MAC",2
10:36,,,,,"FOUL  by BAMBACE,SEAN",,,"FOUL  by BAMBACE,SEAN",2
10:18,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
10:09,,44 (+1),,43,"GOOD LAYUP by MALONE,KYM(fastbreak)(in the paint)",UDMB1314 44-43 (+1),,"GOOD LAYUP by MALONE,KYM(fastbreak)(in the paint)",2
09:48,"TURNOVER  by MCELVEEN,MAC",,,,,,,"TURNOVER  by MCELVEEN,MAC",2
09:48,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",2
09:48,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",2
09:48,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",2
09:48,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",2
09:48,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",2
09:48,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
09:28,,,,,"MISS JUMPER by WYATT,AARON",,,"MISS JUMPER by WYATT,AARON",2
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",2
09:08,SUB IN by 0,,,,,,,SUB IN by 0,2
09:08,"SUB OUT by FILLINGIM,DANIEL",,,,,,,"SUB OUT by FILLINGIM,DANIEL",2
09:00,"TURNOVER  by DEILLIEU,RYAN",,,,,,,"TURNOVER  by DEILLIEU,RYAN",2
08:58,,,,,"STEAL  by MALONE,KYM",,,"STEAL  by MALONE,KYM",2
08:53,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",2
08:53,,44,,44,"GOOD FT by MALONE,KYM",UDMB1314 44-44 (0),,"GOOD FT by MALONE,KYM",2
08:53,,,,,"MISS FT by MALONE,KYM",,,"MISS FT by MALONE,KYM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
08:53,,,,,"FOUL  by WYATT,AARON",,,"FOUL  by WYATT,AARON",2
08:52,,,,,"SUB IN by KAISER,TOM",,,"SUB IN by KAISER,TOM",2
08:52,,,,,"SUB OUT by WYATT,AARON",,,"SUB OUT by WYATT,AARON",2
08:25,"TURNOVER  by FREBIS,RONNIE",,,,,,,"TURNOVER  by FREBIS,RONNIE",2
08:25,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
08:25,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",2
08:22,,,,,"MISS LAYUP by DAVIDSON,ROSS",,,"MISS LAYUP by DAVIDSON,ROSS",2
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",2
08:06,"GOOD 3PTR by BERGER,RYAN",47 (+3),,44,,MCMB1314 47-44 (+3),,"GOOD 3PTR by BERGER,RYAN",2
--,"ASSIST  by ROBERTSON,MARC",,,,,,,"ASSIST  by ROBERTSON,MARC",2
07:59,SUB IN by 0,,,,,,,SUB IN by 0,2
07:59,SUB OUT by 0,,,,,,,SUB OUT by 0,2
07:59,,,,,"SUB IN by HAMPSON,MICHAEL",,,"SUB IN by HAMPSON,MICHAEL",2
07:59,,,,,"SUB IN by ALDAZ,STEVEN",,,"SUB IN by ALDAZ,STEVEN",2
07:59,,,,,"SUB OUT by ABEL,TAYLOR",,,"SUB OUT by ABEL,TAYLOR",2
07:59,,,,,"SUB OUT by WILSON,NATE",,,"SUB OUT by WILSON,NATE",2
07:40,,,,,"TURNOVER  by DAVIDSON,ROSS",,,"TURNOVER  by DAVIDSON,ROSS",2
07:38,"STEAL  by BERGER,RYAN",,,,,,,"STEAL  by BERGER,RYAN",2
07:34,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
07:34,"GOOD FT by ROBERTSON,MARC",48 (+4),,44,,MCMB1314 48-44 (+4),,"GOOD FT by ROBERTSON,MARC",2
07:34,"GOOD FT by ROBERTSON,MARC",49 (+5),,44,,MCMB1314 49-44 (+5),,"GOOD FT by ROBERTSON,MARC",2
07:34,,,,,"SUB IN by WILSON,NATE",,,"SUB IN by WILSON,NATE",2
07:34,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",2
07:34,,,,,"SUB OUT by KAISER,TOM",,,"SUB OUT by KAISER,TOM",2
07:34,,,,,"SUB OUT by MALONE,KYM",,,"SUB OUT by MALONE,KYM",2
07:19,,49 (+2),,47,"GOOD 3PTR by BAMBACE,SEAN",UDMB1314 49-47 (+2),,"GOOD 3PTR by BAMBACE,SEAN",2
--,,,,,"ASSIST  by WILSON,NATE",,,"ASSIST  by WILSON,NATE",2
06:58,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
06:47,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
06:45,,,,,"STEAL  by GONZALEZ,LORENZO",,,"STEAL  by GONZALEZ,LORENZO",2
06:41,,,,,"TURNOVER  by BAMBACE,SEAN",,,"TURNOVER  by BAMBACE,SEAN",2
06:41,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
06:41,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
06:24,"MISS LAYUP by FREBIS,RONNIE",,,,,,,"MISS LAYUP by FREBIS,RONNIE",2
06:24,,,,,"BLOCK  by DAVIDSON,ROSS",,,"BLOCK  by DAVIDSON,ROSS",2
--,,,,,"REBOUND DEF by WILSON,NATE",,,"REBOUND DEF by WILSON,NATE",2
06:15,,,,,"TURNOVER  by SARRAT,MICHAEL",,,"TURNOVER  by SARRAT,MICHAEL",2
06:14,"STEAL  by AUBERT,DUSTIN",,,,,,,"STEAL  by AUBERT,DUSTIN",2
06:04,"MISS JUMPER by GILLIGAN,TULLY",,,,,,,"MISS JUMPER by GILLIGAN,TULLY",2
--,,,,,"REBOUND DEF by WILSON,NATE",,,"REBOUND DEF by WILSON,NATE",2
05:55,,,,,"MISS JUMPER by GONZALEZ,LORENZO",,,"MISS JUMPER by GONZALEZ,LORENZO",2
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",2
05:36,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
05:36,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
05:23,"GOOD 3PTR by KASTNER,MURRAY",52 (+5),,47,,MCMB1314 52-47 (+5),,"GOOD 3PTR by KASTNER,MURRAY",2
--,"ASSIST  by BERGER,RYAN",,,,,,,"ASSIST  by BERGER,RYAN",2
04:53,,52 (+2),,50,"GOOD 3PTR by BAMBACE,SEAN",UDMB1314 52-50 (+2),,"GOOD 3PTR by BAMBACE,SEAN",2
--,,,,,"ASSIST  by DAVIDSON,ROSS",,,"ASSIST  by DAVIDSON,ROSS",2
04:32,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",2
04:32,,,,,"SUB IN by WYATT,AARON",,,"SUB IN by WYATT,AARON",2
04:32,,,,,"SUB IN by MALONE,KYM",,,"SUB IN by MALONE,KYM",2
04:32,,,,,"SUB OUT by BAMBACE,SEAN",,,"SUB OUT by BAMBACE,SEAN",2
04:32,,,,,"SUB OUT by GONZALEZ,LORENZO",,,"SUB OUT by GONZALEZ,LORENZO",2
04:16,,52,,52,"GOOD LAYUP by WYATT,AARON(in the paint)",UDMB1314 52-52 (0),,"GOOD LAYUP by WYATT,AARON(in the paint)",2
--,,,,,"ASSIST  by DAVIDSON,ROSS",,,"ASSIST  by DAVIDSON,ROSS",2
04:16,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
04:16,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",2
04:16,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",2
04:16,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",2
04:16,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",2
04:16,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
04:16,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",2
04:16,,,,,"SUB IN by GONZALES,ISAAK",,,"SUB IN by GONZALES,ISAAK",2
04:16,,,,,"SUB OUT by DAVIDSON,ROSS",,,"SUB OUT by DAVIDSON,ROSS",2
04:15,,52,,53 (+1),"GOOD FT by WYATT,AARON",UDMB1314 52-53 (-1),,"GOOD FT by WYATT,AARON",2
04:02,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,,,,,"REBOUND DEF by MALONE,KYM",,,"REBOUND DEF by MALONE,KYM",2
04:01,SUB IN by 0,,,,,,,SUB IN by 0,2
04:01,SUB OUT by 0,,,,,,,SUB OUT by 0,2
03:51,,,,,"TURNOVER  by MALONE,KYM",,,"TURNOVER  by MALONE,KYM",2
03:51,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",2
03:51,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",2
03:24,,,,,"FOUL  by MALONE,KYM",,,"FOUL  by MALONE,KYM",2
03:24,"GOOD FT by GILLIGAN,TULLY",53,,53,,MCMB1314 53-53 (0),,"GOOD FT by GILLIGAN,TULLY",2
03:24,"GOOD FT by GILLIGAN,TULLY",54 (+1),,53,,MCMB1314 54-53 (+1),,"GOOD FT by GILLIGAN,TULLY",2
03:24,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:24,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
03:24,"SUB OUT by MCELVEEN,MAC",,,,,,,"SUB OUT by MCELVEEN,MAC",2
03:24,,,,,"SUB IN by GONZALEZ,LORENZO",,,"SUB IN by GONZALEZ,LORENZO",2
03:24,,,,,"SUB OUT by MALONE,KYM",,,"SUB OUT by MALONE,KYM",2
03:22,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",2
03:05,,,,,"MISS JUMPER by SARRAT,MICHAEL",,,"MISS JUMPER by SARRAT,MICHAEL",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
03:01,,,,,"SUB IN by GARATE,VICTOR",,,"SUB IN by GARATE,VICTOR",2
03:01,,,,,"SUB OUT by BLACKBURN,BLAINE",,,"SUB OUT by BLACKBURN,BLAINE",2
02:46,,,,,"TURNOVER  by DAVIDSON,ROSS",,,"TURNOVER  by DAVIDSON,ROSS",2
02:39,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",2
02:06,,,,,"MISS 3PTR by SARRAT,MICHAEL",,,"MISS 3PTR by SARRAT,MICHAEL",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:00,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
02:00,SUB OUT by 0,,,,,,,SUB OUT by 0,2
01:49,"FOUL  by AUBERT,DUSTIN",,,,,,,"FOUL  by AUBERT,DUSTIN",2
01:49,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",2
01:49,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",2
01:49,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",2
01:25,,54,,56 (+2),"GOOD 3PTR by SARRAT,MICHAEL",UDMB1314 54-56 (-2),,"GOOD 3PTR by SARRAT,MICHAEL",2
--,,,,,"ASSIST  by GONZALEZ,LORENZO",,,"ASSIST  by GONZALEZ,LORENZO",2
01:19,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
01:12,,,,,"SUB IN by ABDULLA,MEHDI",,,"SUB IN by ABDULLA,MEHDI",2
01:12,,,,,"SUB IN by ROYAL,ZACH",,,"SUB IN by ROYAL,ZACH",2
01:12,,,,,"SUB OUT by HAMPSON,MICHAEL",,,"SUB OUT by HAMPSON,MICHAEL",2
01:12,,,,,"SUB OUT by ALDAZ,STEVEN",,,"SUB OUT by ALDAZ,STEVEN",2
00:59,"MISS LAYUP by GERCHOW,ALEX",,,,,,,"MISS LAYUP by GERCHOW,ALEX",2
--,,,,,"REBOUND DEF by WYATT,AARON",,,"REBOUND DEF by WYATT,AARON",2
00:31,,,,,"MISS 3PTR by DAVIDSON,ROSS",,,"MISS 3PTR by DAVIDSON,ROSS",2
--,,,,,"REBOUND OFF by WILSON,NATE",,,"REBOUND OFF by WILSON,NATE",2
00:25,,54,,58 (+4),"GOOD LAYUP by WILSON,NATE(in the paint)",UDMB1314 54-58 (-4),,"GOOD LAYUP by WILSON,NATE(in the paint)",2
00:25,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",2
00:25,SUB OUT by 0,,,,,,,SUB OUT by 0,2
00:25,,,,,"SUB IN by ALDAZ,STEVEN",,,"SUB IN by ALDAZ,STEVEN",2
00:25,,,,,"SUB OUT by MALONE,KYM",,,"SUB OUT by MALONE,KYM",2
00:22,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",56,,58 (+2),,MCMB1314 56-58 (-2),,"GOOD LAYUP by GILLIGAN,TULLY(fastbreak)(in the paint)",2
