Time Remaining,MILLSAPS,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
14:31,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
14:31,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",1
14:16,"GOOD 3PTR by ROBERTSON,MARC",16 (+3),,13,,MILLSAPS 16-13 (+3),,"GOOD 3PTR by ROBERTSON,MARC",1
--,"ASSIST  by GILLIGAN,TULLY",,,,,,,"ASSIST  by GILLIGAN,TULLY",1
13:58,"FOUL  by DEILLIEU,RYAN",,,,,,,"FOUL  by DEILLIEU,RYAN",1
13:52,,16 (+1),,15,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",CCM 16-15 (+1),,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",1
--,,,,,"ASSIST  by PHELPS,BEN",,,"ASSIST  by PHELPS,BEN",1
13:37,"MISS 3PTR by FILLINGIM,DANIEL",,,,,,,"MISS 3PTR by FILLINGIM,DANIEL",1
--,,,,,"REBOUND DEF by ARIMA,Z",,,"REBOUND DEF by ARIMA,Z",1
13:29,,,,,"MISS 3PTR by BURNS,RYAN",,,"MISS 3PTR by BURNS,RYAN",1
--,,,,,"REBOUND OFF by ARIMA,Z",,,"REBOUND OFF by ARIMA,Z",1
13:24,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
13:24,,,,,"MISS FT by ARIMA,Z",,,"MISS FT by ARIMA,Z",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:24,,16,,16,"GOOD FT by ARIMA,Z",CCM 16-16 (0),,"GOOD FT by ARIMA,Z",1
13:24,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
13:24,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
13:24,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
13:24,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",1
13:24,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
13:24,"SUB OUT by FILLINGIM,DANIEL",,,,,,,"SUB OUT by FILLINGIM,DANIEL",1
13:24,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
13:24,"SUB OUT by DEILLIEU,RYAN",,,,,,,"SUB OUT by DEILLIEU,RYAN",1
13:24,,,,,"SUB IN by BELL,ROBBY",,,"SUB IN by BELL,ROBBY",1
13:24,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
13:24,,,,,"SUB OUT by MCGRIFF,COLTON",,,"SUB OUT by MCGRIFF,COLTON",1
13:24,,,,,"SUB OUT by BURNS,RYAN",,,"SUB OUT by BURNS,RYAN",1
13:07,"GOOD 3PTR by HANTSAD,RAJAN",19 (+3),,16,,MILLSAPS 19-16 (+3),,"GOOD 3PTR by HANTSAD,RAJAN",1
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",1
12:48,,,,,"MISS 3PTR by ENGBERS,BRYANT",,,"MISS 3PTR by ENGBERS,BRYANT",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
12:34,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",21 (+5),,16,,MILLSAPS 21-16 (+5),,"GOOD LAYUP by GERCHOW,ALEX(in the paint)",1
12:23,,,,,"MISS 3PTR by BELL,ROBBY",,,"MISS 3PTR by BELL,ROBBY",1
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",1
11:47,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",23 (+7),,16,,MILLSAPS 23-16 (+7),,"GOOD LAYUP by AUBERT,DUSTIN(in the paint)",1
11:43,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
11:43,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",1
11:43,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
11:21,,23 (+5),,18,"GOOD LAYUP by TURNER,MICAH(in the paint)",CCM 23-18 (+5),,"GOOD LAYUP by TURNER,MICAH(in the paint)",1
11:02,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
11:02,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
11:02,"SUB OUT by GERCHOW,ALEX",,,,,,,"SUB OUT by GERCHOW,ALEX",1
11:02,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",1
11:02,,,,,"SUB IN by MCGRIFF,COLTON",,,"SUB IN by MCGRIFF,COLTON",1
11:02,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",1
11:02,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",1
11:02,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",1
10:45,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND DEF by TURNER,MICAH",,,"REBOUND DEF by TURNER,MICAH",1
10:28,,23 (+3),,20,"GOOD LAYUP by BOYD,CHRIS(in the paint)",CCM 23-20 (+3),,"GOOD LAYUP by BOYD,CHRIS(in the paint)",1
10:00,"MISS LAYUP by AUBERT,DUSTIN",,,,,,,"MISS LAYUP by AUBERT,DUSTIN",1
--,,,,,"REBOUND DEF by TURNER,MICAH",,,"REBOUND DEF by TURNER,MICAH",1
09:53,,,,,"MISS 3PTR by BELL,ROBBY",,,"MISS 3PTR by BELL,ROBBY",1
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",1
09:49,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
09:49,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
09:49,,,,,"SUB OUT by BELL,ROBBY",,,"SUB OUT by BELL,ROBBY",1
09:40,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
09:29,,,,,"FOUL  by PHELPS,BEN",,,"FOUL  by PHELPS,BEN",1
09:29,,,,,"TURNOVER  by PHELPS,BEN",,,"TURNOVER  by PHELPS,BEN",1
09:29,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
09:29,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
09:08,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
08:52,,23,,23,"GOOD 3PTR by PHELPS,BEN",CCM 23-23 (0),,"GOOD 3PTR by PHELPS,BEN",1
08:23,"MISS 3PTR by BERGER,RYAN",,,,,,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND DEF by TURNER,MICAH",,,"REBOUND DEF by TURNER,MICAH",1
08:08,,,,,"MISS LAYUP by BOYD,CHRIS",,,"MISS LAYUP by BOYD,CHRIS",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
07:59,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
07:59,"TURNOVER  by ROBERTSON,MARC",,,,,,,"TURNOVER  by ROBERTSON,MARC",1
07:59,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",1
07:59,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
07:51,,,,,"MISS LAYUP by ENGBERS,BRYANT",,,"MISS LAYUP by ENGBERS,BRYANT",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
07:20,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",1
07:20,"TURNOVER  by FREBIS,RONNIE",,,,,,,"TURNOVER  by FREBIS,RONNIE",1
07:20,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
07:20,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
07:20,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",1
07:20,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",1
07:18,,,,,"MISS JUMPER by ENGBERS,BRYANT",,,"MISS JUMPER by ENGBERS,BRYANT",1
--,"REBOUND DEF by FREBIS,RONNIE",,,,,,,"REBOUND DEF by FREBIS,RONNIE",1
07:01,"MISS LAYUP by BERGER,RYAN",,,,,,,"MISS LAYUP by BERGER,RYAN",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
06:57,,23,,25 (+2),"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",CCM 23-25 (-2),,"GOOD LAYUP by MCGRIFF,COLTON(in the paint)",1
06:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:45,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
06:45,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
06:45,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
06:45,"SUB IN by GAGEN,BRENNAN",,,,,,,"SUB IN by GAGEN,BRENNAN",1
06:45,"SUB IN by KASTNER,MURRAY",,,,,,,"SUB IN by KASTNER,MURRAY",1
06:45,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
06:45,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
06:45,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
06:45,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
06:45,"SUB OUT by KASTNER,MURRAY",,,,,,,"SUB OUT by KASTNER,MURRAY",1
06:45,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",1
06:45,,,,,"SUB IN by MCGRIFF,COLTON",,,"SUB IN by MCGRIFF,COLTON",1
06:45,,,,,"SUB IN by BURNS,RYAN",,,"SUB IN by BURNS,RYAN",1
06:45,,,,,"SUB IN by DELANEY,JAKE",,,"SUB IN by DELANEY,JAKE",1
06:45,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",1
06:45,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",1
06:45,,,,,"SUB OUT by MCGRIFF,COLTON",,,"SUB OUT by MCGRIFF,COLTON",1
06:45,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
06:45,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",1
06:45,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",1
06:33,"GOOD JUMPER by GILLIGAN,TULLY",25,,25,,MILLSAPS 25-25 (0),,"GOOD JUMPER by GILLIGAN,TULLY",1
06:14,,,,,"TURNOVER  by FRIERSON,NATE",,,"TURNOVER  by FRIERSON,NATE",1
06:13,"STEAL  by GAGEN,BRENNAN",,,,,,,"STEAL  by GAGEN,BRENNAN",1
06:11,,,,,"FOUL  by MCGRIFF,COLTON",,,"FOUL  by MCGRIFF,COLTON",1
06:11,"GOOD FT by GILLIGAN,TULLY",26 (+1),,25,,MILLSAPS 26-25 (+1),,"GOOD FT by GILLIGAN,TULLY",1
06:11,"MISS FT by GILLIGAN,TULLY",,,,,,,"MISS FT by GILLIGAN,TULLY",1
--,,,,,"REBOUND DEF by BURNS,RYAN",,,"REBOUND DEF by BURNS,RYAN",1
06:11,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
06:11,,,,,"SUB OUT by FRIERSON,NATE",,,"SUB OUT by FRIERSON,NATE",1
06:04,,,,,"MISS LAYUP by ARIMA,Z",,,"MISS LAYUP by ARIMA,Z",1
06:04,"BLOCK  by GILLIGAN,TULLY",,,,,,,"BLOCK  by GILLIGAN,TULLY",1
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",1
05:57,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
05:50,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
05:50,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
05:42,,,,,"TURNOVER  by DELANEY,JAKE",,,"TURNOVER  by DELANEY,JAKE",1
05:25,"TURNOVER  by GAGEN,BRENNAN",,,,,,,"TURNOVER  by GAGEN,BRENNAN",1
05:13,,26,,27 (+1),"GOOD JUMPER by BURNS,RYAN",CCM 26-27 (-1),,"GOOD JUMPER by BURNS,RYAN",1
04:48,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:46,"SUB IN by SANSOUCI,MASON",,,,,,,"SUB IN by SANSOUCI,MASON",1
04:46,"SUB IN by DEILLIEU,RYAN",,,,,,,"SUB IN by DEILLIEU,RYAN",1
04:46,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
04:46,"SUB OUT by AUBERT,DUSTIN",,,,,,,"SUB OUT by AUBERT,DUSTIN",1
04:46,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
04:46,,,,,"SUB OUT by MCGRIFF,COLTON",,,"SUB OUT by MCGRIFF,COLTON",1
04:34,,,,,"TURNOVER  by ENGBERS,BRYANT",,,"TURNOVER  by ENGBERS,BRYANT",1
04:34,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
04:34,,,,,"SUB OUT by DELANEY,JAKE",,,"SUB OUT by DELANEY,JAKE",1
04:20,,,,,"FOUL  by BURNS,RYAN",,,"FOUL  by BURNS,RYAN",1
04:20,"GOOD FT by GAGEN,BRENNAN",27,,27,,MILLSAPS 27-27 (0),,"GOOD FT by GAGEN,BRENNAN",1
04:20,"GOOD FT by GAGEN,BRENNAN",28 (+1),,27,,MILLSAPS 28-27 (+1),,"GOOD FT by GAGEN,BRENNAN",1
04:20,"SUB IN by HANTSAD,RAJAN",,,,,,,"SUB IN by HANTSAD,RAJAN",1
04:20,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
04:20,"SUB OUT by GAGEN,BRENNAN",,,,,,,"SUB OUT by GAGEN,BRENNAN",1
04:20,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
04:05,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
04:05,"SUB IN by FREBIS,RONNIE",,,,,,,"SUB IN by FREBIS,RONNIE",1
04:05,"SUB OUT by SANSOUCI,MASON",,,,,,,"SUB OUT by SANSOUCI,MASON",1
04:05,,,,,"SUB IN by MCGRIFF,COLTON",,,"SUB IN by MCGRIFF,COLTON",1
04:05,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",1
04:05,,,,,"SUB OUT by ENGBERS,BRYANT",,,"SUB OUT by ENGBERS,BRYANT",1
04:05,,,,,"SUB OUT by BURNS,RYAN",,,"SUB OUT by BURNS,RYAN",1
03:55,,28,,30 (+2),"GOOD 3PTR by PHELPS,BEN",CCM 28-30 (-2),,"GOOD 3PTR by PHELPS,BEN",1
--,,,,,"ASSIST  by MCGRIFF,COLTON",,,"ASSIST  by MCGRIFF,COLTON",1
03:35,"MISS 3PTR by HANTSAD,RAJAN",,,,,,,"MISS 3PTR by HANTSAD,RAJAN",1
--,,,,,"REBOUND DEF by MCGRIFF,COLTON",,,"REBOUND DEF by MCGRIFF,COLTON",1
03:23,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
03:23,,,,,"MISS FT by MCGRIFF,COLTON",,,"MISS FT by MCGRIFF,COLTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:23,,28,,31 (+3),"GOOD FT by MCGRIFF,COLTON",CCM 28-31 (-3),,"GOOD FT by MCGRIFF,COLTON",1
03:23,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
03:23,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
03:23,,,,,"SUB IN by FRIERSON,NATE",,,"SUB IN by FRIERSON,NATE",1
03:23,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",1
02:51,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
02:51,"GOOD FT by KASTNER,MURRAY",29,,31 (+2),,MILLSAPS 29-31 (-2),,"GOOD FT by KASTNER,MURRAY",1
02:51,"GOOD FT by KASTNER,MURRAY",30,,31 (+1),,MILLSAPS 30-31 (-1),,"GOOD FT by KASTNER,MURRAY",1
02:51,,,,,"SUB IN by ENGBERS,BRYANT",,,"SUB IN by ENGBERS,BRYANT",1
02:51,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
02:41,,,,,"MISS LAYUP by FRIERSON,NATE",,,"MISS LAYUP by FRIERSON,NATE",1
--,,,,,"REBOUND OFF by ENGBERS,BRYANT",,,"REBOUND OFF by ENGBERS,BRYANT",1
02:37,,30,,33 (+3),"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",CCM 30-33 (-3),,"GOOD LAYUP by ENGBERS,BRYANT(in the paint)",1
02:20,"MISS 3PTR by DEILLIEU,RYAN",,,,,,,"MISS 3PTR by DEILLIEU,RYAN",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
02:16,"GOOD LAYUP by BERGER,RYAN(in the paint)",32,,33 (+1),,MILLSAPS 32-33 (-1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
01:56,,32,,35 (+3),"GOOD LAYUP by FRIERSON,NATE(in the paint)",CCM 32-35 (-3),,"GOOD LAYUP by FRIERSON,NATE(in the paint)",1
01:47,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",1
01:47,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
01:47,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
01:47,"SUB OUT by HANTSAD,RAJAN",,,,,,,"SUB OUT by HANTSAD,RAJAN",1
01:47,,,,,"SUB IN by BELL,ROBBY",,,"SUB IN by BELL,ROBBY",1
01:47,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
01:33,"SUB IN by GILLIGAN,TULLY",,,,,,,"SUB IN by GILLIGAN,TULLY",1
01:33,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
01:32,,,,,"TURNOVER  by TURNER,MICAH",,,"TURNOVER  by TURNER,MICAH",1
01:30,"STEAL  by GILLIGAN,TULLY",,,,,,,"STEAL  by GILLIGAN,TULLY",1
01:26,"TURNOVER  by GILLIGAN,TULLY",,,,,,,"TURNOVER  by GILLIGAN,TULLY",1
01:07,"FOUL  by ROBERTSON,MARC",,,,,,,"FOUL  by ROBERTSON,MARC",1
01:07,,32,,36 (+4),"GOOD FT by TURNER,MICAH",CCM 32-36 (-4),,"GOOD FT by TURNER,MICAH",1
01:07,,,,,"MISS FT by TURNER,MICAH",,,"MISS FT by TURNER,MICAH",1
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",1
01:07,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
01:07,"SUB OUT by ROBERTSON,MARC",,,,,,,"SUB OUT by ROBERTSON,MARC",1
00:45,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",1
00:44,,,,,"STEAL  by MCGRIFF,COLTON",,,"STEAL  by MCGRIFF,COLTON",1
00:17,,,,,"MISS LAYUP by TURNER,MICAH",,,"MISS LAYUP by TURNER,MICAH",1
00:17,"BLOCK  by BERGER,RYAN",,,,,,,"BLOCK  by BERGER,RYAN",1
00:16,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by TURNER,MICAH",,,"REBOUND OFF by TURNER,MICAH",1
00:16,"FOUL TECH by KASTNER,MURRAY",,,,,,,"FOUL TECH by KASTNER,MURRAY",1
