Time Remaining,MILSAP,Away Team Score,Play Team Indicator,Home Team Score,RC,Game Score,Team Indicator,Play,Period
--,,,,,"REBOUND OFF by STUCKEY,CURTIS",,,"REBOUND OFF by STUCKEY,CURTIS",1
06:25,,25,,25,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",RC 25-25 (0),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",1
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",1
06:03,"FOUL  by GILLIGAN,TULLY",,,,,,,"FOUL  by GILLIGAN,TULLY",1
06:03,"SUB IN by ROBERTSON,MARC",,,,,,,"SUB IN by ROBERTSON,MARC",1
06:03,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",1
06:03,"SUB OUT by DETILLIEU,RYAN",,,,,,,"SUB OUT by DETILLIEU,RYAN",1
06:03,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",1
06:03,,,,,"SUB IN by BIRKS,ANDREW",,,"SUB IN by BIRKS,ANDREW",1
06:03,,,,,"SUB OUT by GREDIC,KWAMERE",,,"SUB OUT by GREDIC,KWAMERE",1
05:59,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
05:40,"GOOD 3PTR by ROBERTSON,MARC",28 (+3),,25,,MILSAP 28-25 (+3),,"GOOD 3PTR by ROBERTSON,MARC",1
05:08,,,,,"MISS LAYUP by STUCKEY,CURTIS",,,"MISS LAYUP by STUCKEY,CURTIS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
05:08,"FOUL  by FREBIS,RONNIE",,,,,,,"FOUL  by FREBIS,RONNIE",1
05:08,,28 (+2),,26,"GOOD FT by STUCKEY,CURTIS",RC 28-26 (+2),,"GOOD FT by STUCKEY,CURTIS",1
04:27,,,,,"SUB IN by SEALS,JORDAN",,,"SUB IN by SEALS,JORDAN",1
04:27,,,,,"SUB OUT by ANDERSON,PAUL",,,"SUB OUT by ANDERSON,PAUL",1
03:47,"SUB IN by BERGER,RYAN",,,,,,,"SUB IN by BERGER,RYAN",1
03:47,"SUB IN by GERCHOW,ALEX",,,,,,,"SUB IN by GERCHOW,ALEX",1
03:47,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",1
03:47,"SUB OUT by FREBIS,RONNIE",,,,,,,"SUB OUT by FREBIS,RONNIE",1
01:35,,,,,"SUB IN by HAWKINS,JOHN",,,"SUB IN by HAWKINS,JOHN",1
01:35,,,,,"SUB IN by THOMPSON,SHUN",,,"SUB IN by THOMPSON,SHUN",1
01:35,,,,,"SUB IN by GREDIC,KWAMERE",,,"SUB IN by GREDIC,KWAMERE",1
01:35,,,,,"SUB OUT by MYERS,ETHAN",,,"SUB OUT by MYERS,ETHAN",1
01:35,,,,,"SUB OUT by LOWE,O'DARIUS",,,"SUB OUT by LOWE,O'DARIUS",1
01:35,,,,,"SUB OUT by STUCKEY,CURTIS",,,"SUB OUT by STUCKEY,CURTIS",1
00:01,"MISS 3PTR by MCELVEEN,MAC",,,,,,,"MISS 3PTR by MCELVEEN,MAC",1
--,,,,,"REBOUND DEF by GREDIC,KWAMERE",,,"REBOUND DEF by GREDIC,KWAMERE",1
05:08,,28 (+1),,27,"GOOD FT by STUCKEY,CURTIS",RC 28-27 (+1),,"GOOD FT by STUCKEY,CURTIS",1
05:02,,28,,29 (+1),"GOOD JUMPER by LOWE,O'DARIUS",RC 28-29 (-1),,"GOOD JUMPER by LOWE,O'DARIUS",1
--,,,,,"ASSIST  by MYERS,ETHAN",,,"ASSIST  by MYERS,ETHAN",1
04:40,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",1
04:36,,,,,"STEAL  by MYERS,ETHAN",,,"STEAL  by MYERS,ETHAN",1
04:35,,28,,31 (+3),"GOOD LAYUP by MYERS,ETHAN(in the paint)",RC 28-31 (-3),,"GOOD LAYUP by MYERS,ETHAN(in the paint)",1
04:27,,,,,"FOUL  by SEALS,JORDAN",,,"FOUL  by SEALS,JORDAN",1
04:03,"GOOD 3PTR by KASTNER,MURRAY",31,,31,,MILSAP 31-31 (0),,"GOOD 3PTR by KASTNER,MURRAY",1
--,"ASSIST  by AUBERT,DUSTIN",,,,,,,"ASSIST  by AUBERT,DUSTIN",1
03:47,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
03:47,,31,,32 (+1),"GOOD FT by THOMPSON,SHUN",RC 31-32 (-1),,"GOOD FT by THOMPSON,SHUN",1
03:47,,,,,"MISS FT by THOMPSON,SHUN",,,"MISS FT by THOMPSON,SHUN",1
--,"REBOUND DEF by AUBERT,DUSTIN",,,,,,,"REBOUND DEF by AUBERT,DUSTIN",1
03:25,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",1
03:21,"GOOD LAYUP by BERGER,RYAN(in the paint)",33 (+1),,32,,MILSAP 33-32 (+1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
03:08,,33,,34 (+1),"GOOD LAYUP by MYERS,ETHAN(in the paint)",RC 33-34 (-1),,"GOOD LAYUP by MYERS,ETHAN(in the paint)",1
02:46,"FOUL  by GERCHOW,ALEX",,,,,,,"FOUL  by GERCHOW,ALEX",1
02:36,,33,,35 (+2),"GOOD FT by SEALS,JORDAN",RC 33-35 (-2),,"GOOD FT by SEALS,JORDAN",1
02:11,,33,,36 (+3),"GOOD FT by SEALS,JORDAN",RC 33-36 (-3),,"GOOD FT by SEALS,JORDAN",1
01:35,,,,,"FOUL  by HAWKINS,JOHN",,,"FOUL  by HAWKINS,JOHN",1
01:35,"GOOD FT by GERCHOW,ALEX",34,,36 (+2),,MILSAP 34-36 (-2),,"GOOD FT by GERCHOW,ALEX",1
01:35,"GOOD FT by GERCHOW,ALEX",35,,36 (+1),,MILSAP 35-36 (-1),,"GOOD FT by GERCHOW,ALEX",1
01:15,,,,,"MISS 3PTR by BIRKS,ANDREW",,,"MISS 3PTR by BIRKS,ANDREW",1
--,"REBOUND DEF by ROBERTSON,MARC",,,,,,,"REBOUND DEF by ROBERTSON,MARC",1
00:45,,,,,"FOUL  by SEALS,JORDAN",,,"FOUL  by SEALS,JORDAN",1
00:45,"MISS FT by AUBERT,DUSTIN",,,,,,,"MISS FT by AUBERT,DUSTIN",1
--,,,,,"REBOUND DEF by BIRKS,ANDREW",,,"REBOUND DEF by BIRKS,ANDREW",1
00:34,,,,,"MISS 3PTR by THOMPSON,SHUN",,,"MISS 3PTR by THOMPSON,SHUN",1
--,"REBOUND DEF by AUBERT,DUSTIN",,,,,,,"REBOUND DEF by AUBERT,DUSTIN",1
00:02,,,,,"MISS JUMPER by SEALS,JORDAN",,,"MISS JUMPER by SEALS,JORDAN",1
--,,,,,"REBOUND OFF by HAWKINS,JOHN",,,"REBOUND OFF by HAWKINS,JOHN",1
00:00,,,,,"MISS JUMPER by HAWKINS,JOHN",,,"MISS JUMPER by HAWKINS,JOHN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:44,"GOOD JUMPER by BERGER,RYAN",37 (+1),,36,,MILSAP 37-36 (+1),,"GOOD JUMPER by BERGER,RYAN",2
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",2
19:30,,37,,38 (+1),"GOOD JUMPER by STUCKEY,CURTIS",RC 37-38 (-1),,"GOOD JUMPER by STUCKEY,CURTIS",2
19:22,,37,,40 (+3),"GOOD JUMPER by LOWE,O'DARIUS",RC 37-40 (-3),,"GOOD JUMPER by LOWE,O'DARIUS",2
19:16,"GOOD 3PTR by BERGER,RYAN",40,,40,,MILSAP 40-40 (0),,"GOOD 3PTR by BERGER,RYAN",2
--,"ASSIST  by KASTNER,MURRAY",,,,,,,"ASSIST  by KASTNER,MURRAY",2
19:07,,,,,"MISS 3PTR by BIRKS,ANDREW",,,"MISS 3PTR by BIRKS,ANDREW",2
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",2
18:52,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",42 (+2),,40,,MILSAP 42-40 (+2),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
18:37,,42,,42,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",RC 42-42 (0),,"GOOD LAYUP by STUCKEY,CURTIS(in the paint)",2
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",2
18:17,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",44 (+2),,42,,MILSAP 44-42 (+2),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",2
18:02,,44,,44,"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",RC 44-44 (0),,"GOOD LAYUP by LOWE,O'DARIUS(in the paint)",2
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",2
18:02,"FOUL  by BERGER,RYAN",,,,,,,"FOUL  by BERGER,RYAN",2
18:02,,44,,45 (+1),"GOOD FT by LOWE,O'DARIUS",RC 44-45 (-1),,"GOOD FT by LOWE,O'DARIUS",2
17:25,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,2
17:05,,,,,"TURNOVER  by GREDIC,KWAMERE",,,"TURNOVER  by GREDIC,KWAMERE",2
16:58,"TURNOVER  by KASTNER,MURRAY",,,,,,,"TURNOVER  by KASTNER,MURRAY",2
16:56,,,,,"STEAL  by THOMPSON,SHUN",,,"STEAL  by THOMPSON,SHUN",2
16:50,,,,,"MISS 3PTR by BIRKS,ANDREW",,,"MISS 3PTR by BIRKS,ANDREW",2
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",2
16:26,"MISS 3PTR by KASTNER,MURRAY",,,,,,,"MISS 3PTR by KASTNER,MURRAY",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
16:23,"GOOD LAYUP by BERGER,RYAN(in the paint)",46 (+1),,45,,MILSAP 46-45 (+1),,"GOOD LAYUP by BERGER,RYAN(in the paint)",2
15:52,,,,,"MISS LAYUP by BIRKS,ANDREW",,,"MISS LAYUP by BIRKS,ANDREW",2
--,"REBOUND DEF by KASTNER,MURRAY",,,,,,,"REBOUND DEF by KASTNER,MURRAY",2
15:42,"MISS JUMPER by BERGER,RYAN",,,,,,,"MISS JUMPER by BERGER,RYAN",2
--,,,,,"REBOUND DEF by LOWE,O'DARIUS",,,"REBOUND DEF by LOWE,O'DARIUS",2
15:35,,,,,"MISS 3PTR by GREDIC,KWAMERE",,,"MISS 3PTR by GREDIC,KWAMERE",2
--,"REBOUND DEF by BERGER,RYAN",,,,,,,"REBOUND DEF by BERGER,RYAN",2
15:32,,,,,"FOUL  by LOWE,O'DARIUS",,,"FOUL  by LOWE,O'DARIUS",2
15:32,"SUB IN by AUBERT,DUSTIN",,,,,,,"SUB IN by AUBERT,DUSTIN",2
15:32,"SUB IN by MCELVEEN,MAC",,,,,,,"SUB IN by MCELVEEN,MAC",2
15:32,"SUB OUT by GILLIGAN,TULLY",,,,,,,"SUB OUT by GILLIGAN,TULLY",2
15:32,"SUB OUT by BERGER,RYAN",,,,,,,"SUB OUT by BERGER,RYAN",2
15:32,,,,,"SUB IN by STUCKEY,CURTIS",,,"SUB IN by STUCKEY,CURTIS",2
15:32,,,,,"SUB OUT by CLARK,JUSTYCE",,,"SUB OUT by CLARK,JUSTYCE",2
15:21,"GOOD JUMPER by GILLIGAN,TULLY",48 (+3),,45,,MILSAP 48-45 (+3),,"GOOD JUMPER by GILLIGAN,TULLY",2
--,"ASSIST  by FREBIS,RONNIE",,,,,,,"ASSIST  by FREBIS,RONNIE",2
14:24,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
14:02,,,,,"FOUL  by LOWE,O'DARIUS",,,"FOUL  by LOWE,O'DARIUS",2
13:44,,,,,"FOUL  by LOWE,O'DARIUS",,,"FOUL  by LOWE,O'DARIUS",2
13:44,"GOOD FT by BERGER,RYAN",49 (+4),,45,,MILSAP 49-45 (+4),,"GOOD FT by BERGER,RYAN",2
13:44,"GOOD FT by BERGER,RYAN",50 (+5),,45,,MILSAP 50-45 (+5),,"GOOD FT by BERGER,RYAN",2
13:36,"FOUL  by KASTNER,MURRAY",,,,,,,"FOUL  by KASTNER,MURRAY",2
13:34,,,,,"MISS FT by GREDIC,KWAMERE",,,"MISS FT by GREDIC,KWAMERE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:32,,50 (+4),,46,"GOOD FT by GREDIC,KWAMERE",RC 50-46 (+4),,"GOOD FT by GREDIC,KWAMERE",2
13:18,,,,,"FOUL  by CLARK,JUSTYCE",,,"FOUL  by CLARK,JUSTYCE",2
13:18,,,,,"SUB IN by BOWENS,JOHNATHAN",,,"SUB IN by BOWENS,JOHNATHAN",2
13:18,,,,,"SUB OUT by LOWE,O'DARIUS",,,"SUB OUT by LOWE,O'DARIUS",2
12:58,"MISS JUMPER by GERCHOW,ALEX",,,,,,,"MISS JUMPER by GERCHOW,ALEX",2
--,"REBOUND OFF by GERCHOW,ALEX",,,,,,,"REBOUND OFF by GERCHOW,ALEX",2
12:40,"MISS 3PTR by ROBERTSON,MARC",,,,,,,"MISS 3PTR by ROBERTSON,MARC",2
--,,,,,"REBOUND DEF by STUCKEY,CURTIS",,,"REBOUND DEF by STUCKEY,CURTIS",2
12:30,,50 (+2),,48,"GOOD LAYUP by THOMPSON,SHUN(in the paint)",RC 50-48 (+2),,"GOOD LAYUP by THOMPSON,SHUN(in the paint)",2
--,,,,,"ASSIST  by GREDIC,KWAMERE",,,"ASSIST  by GREDIC,KWAMERE",2
12:04,"TURNOVER  by BERGER,RYAN",,,,,,,"TURNOVER  by BERGER,RYAN",2
11:52,,,,,"MISS JUMPER by THOMPSON,SHUN",,,"MISS JUMPER by THOMPSON,SHUN",2
--,"REBOUND DEF by GERCHOW,ALEX",,,,,,,"REBOUND DEF by GERCHOW,ALEX",2
11:31,"MISS 3PTR by MCELVEEN,MAC",,,,,,,"MISS 3PTR by MCELVEEN,MAC",2
--,"REBOUND OFF by BERGER,RYAN",,,,,,,"REBOUND OFF by BERGER,RYAN",2
11:12,,,,,"FOUL  by GREDIC,KWAMERE",,,"FOUL  by GREDIC,KWAMERE",2
10:59,"TURNOVER  by AUBERT,DUSTIN",,,,,,,"TURNOVER  by AUBERT,DUSTIN",2
10:57,,,,,"STEAL  by THOMPSON,SHUN",,,"STEAL  by THOMPSON,SHUN",2
10:55,,,,,"MISS FT by THOMPSON,SHUN",,,"MISS FT by THOMPSON,SHUN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
