Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
05:43,"GOOD JUMPER by OGLE,JOHN",23,,23,,HC 23-23 (0),,"GOOD JUMPER by OGLE,JOHN",1
05:28,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
05:28,,23,,24 (+1),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 23-24 (+1),,"GOOD FT by GILLIGAN,TULLY",1
05:28,,23,,25 (+2),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 23-25 (+2),,"GOOD FT by GILLIGAN,TULLY",1
05:28,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
05:28,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
05:08,"GOOD LAYUP by PRIMM,COLTON(in the paint)",25,,25,,HC 25-25 (0),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
--,"ASSIST  by TAULTON,JORDAN",,,,,,,"ASSIST  by TAULTON,JORDAN",1
04:51,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
04:30,"MISS LAYUP by PRIMM,COLTON",,,,,,,"MISS LAYUP by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
04:23,,,,,"TURNOVER  by ROBERTSON,MARC",,,"TURNOVER  by ROBERTSON,MARC",1
04:22,"STEAL  by CONARD,ALEC",,,,,,,"STEAL  by CONARD,ALEC",1
04:20,"TURNOVER  by CONARD,ALEC",,,,,,,"TURNOVER  by CONARD,ALEC",1
04:08,,25,,27 (+2),"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 25-27 (+2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
03:54,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
03:54,"SUB IN by VANCE,LUKE",,,,,,,"SUB IN by VANCE,LUKE",1
03:54,"SUB OUT by CONARD,ALEC",,,,,,,"SUB OUT by CONARD,ALEC",1
03:37,,25,,30 (+5),"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 25-30 (+5),,"GOOD 3PTR by MCELVEEN,MAC",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
03:15,"GOOD LAYUP by PRIMM,COLTON(in the paint)",27,,30 (+3),,HC 27-30 (+3),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",1
--,"ASSIST  by TAULTON,JORDAN",,,,,,,"ASSIST  by TAULTON,JORDAN",1
03:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
02:52,,,,,"MISS JUMPER by GILLIGAN,TULLY",,,"MISS JUMPER by GILLIGAN,TULLY",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
02:28,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
02:19,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
02:19,"SUB IN by BARRETT,JORDAN",,,,,,,"SUB IN by BARRETT,JORDAN",1
02:19,"SUB OUT by TAULTON,JORDAN",,,,,,,"SUB OUT by TAULTON,JORDAN",1
