Time Remaining,RUSTMBB,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
17:51,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",5,,5,,RUSTMBB 5-5 (0),,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",1
--,"ASSIST  by CLARK,JUSTYCE",,,,,,,"ASSIST  by CLARK,JUSTYCE",1
17:51,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
17:51,"GOOD FT by BOWENS,JOHNATHAN",6 (+1),,5,,RUSTMBB 6-5 (-1),,"GOOD FT by BOWENS,JOHNATHAN",1
17:32,"FOUL  by BIRKS,ANDREW",,,,,,,"FOUL  by BIRKS,ANDREW",1
17:32,,,,,"MISS FT by GERCHOW,ALEX",,,"MISS FT by GERCHOW,ALEX",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:32,,6,,6,"GOOD FT by GERCHOW,ALEX",MILLSAPS 6-6 (0),,"GOOD FT by GERCHOW,ALEX",1
17:32,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
17:32,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
17:32,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
17:32,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
17:24,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,"REBOUND OFF by CLARK,JUSTYCE",,,,,,,"REBOUND OFF by CLARK,JUSTYCE",1
17:20,"GOOD LAYUP by CLARK,JUSTYCE(in the paint)",8 (+2),,6,,RUSTMBB 8-6 (-2),,"GOOD LAYUP by CLARK,JUSTYCE(in the paint)",1
17:01,"FOUL  by CLARK,JUSTYCE",,,,,,,"FOUL  by CLARK,JUSTYCE",1
17:01,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
17:01,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
17:00,,8,,9 (+1),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 8-9 (+1),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by MCELVEEN,MAC",,,"ASSIST  by MCELVEEN,MAC",1
16:39,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",10 (+1),,9,,RUSTMBB 10-9 (-1),,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",1
--,"ASSIST  by BIRKS,ANDREW",,,,,,,"ASSIST  by BIRKS,ANDREW",1
16:17,,,,,"TURNOVER  by FREBIS,RONNIE",,,"TURNOVER  by FREBIS,RONNIE",1
16:16,"STEAL  by MYERS,ETHAN",,,,,,,"STEAL  by MYERS,ETHAN",1
16:12,"TURNOVER  by BOWENS,JOHNATHAN",,,,,,,"TURNOVER  by BOWENS,JOHNATHAN",1
16:12,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",1
16:12,"SUB OUT by CLARK,JUSTYCE",,,,,,,"SUB OUT by CLARK,JUSTYCE",1
16:01,,10,,12 (+2),"GOOD 3PTR by MCELVEEN,MAC",MILLSAPS 10-12 (+2),,"GOOD 3PTR by MCELVEEN,MAC",1
--,,,,,"ASSIST  by KASTNER,MURRAY",,,"ASSIST  by KASTNER,MURRAY",1
15:39,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",1
15:27,"MISS JUMPER by STUCKEY,CURTIS",,,,,,,"MISS JUMPER by STUCKEY,CURTIS",1
--,,,,,"REBOUND DEF by ROBERTSON,MARC",,,"REBOUND DEF by ROBERTSON,MARC",1
15:15,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
15:07,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,"REBOUND DEF by STUCKEY,CURTIS",,,,,,,"REBOUND DEF by STUCKEY,CURTIS",1
14:57,"GOOD 3PTR by BIRKS,ANDREW",13 (+1),,12,,RUSTMBB 13-12 (-1),,"GOOD 3PTR by BIRKS,ANDREW",1
--,"ASSIST  by STUCKEY,CURTIS",,,,,,,"ASSIST  by STUCKEY,CURTIS",1
14:45,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
14:29,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
14:27,"STEAL  by BOWENS,JOHNATHAN",,,,,,,"STEAL  by BOWENS,JOHNATHAN",1
14:23,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,"REBOUND OFF by BOWENS,JOHNATHAN",,,,,,,"REBOUND OFF by BOWENS,JOHNATHAN",1
14:16,"MISS LAYUP by BOWENS,JOHNATHAN",,,,,,,"MISS LAYUP by BOWENS,JOHNATHAN",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
13:58,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by ROBERTSON,MARC",,,"REBOUND OFF by ROBERTSON,MARC",1
13:50,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",1
13:50,"SUB IN by HAWKINS,JOHN",,,,,,,"SUB IN by HAWKINS,JOHN",1
13:50,"SUB OUT by BOWENS,JOHNATHAN",,,,,,,"SUB OUT by BOWENS,JOHNATHAN",1
13:50,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
13:50,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
13:50,,,,,"SUB OUT by GILLIGAN,TULLY",,,"SUB OUT by GILLIGAN,TULLY",1
13:50,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
13:35,"GOOD 3PTR by MYERS,ETHAN",16 (+4),,12,,RUSTMBB 16-12 (-4),,"GOOD 3PTR by MYERS,ETHAN",1
--,"ASSIST  by SEALS,JORDAN",,,,,,,"ASSIST  by SEALS,JORDAN",1
13:20,"FOUL  by BIRKS,ANDREW",,,,,,,"FOUL  by BIRKS,ANDREW",1
13:20,,16 (+2),,14,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 16-14 (-2),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
--,,,,,"ASSIST  by BERGER,RYAN",,,"ASSIST  by BERGER,RYAN",1
13:20,"SUB IN by ANDERSON,PAUL",,,,,,,"SUB IN by ANDERSON,PAUL",1
13:20,"SUB OUT by BIRKS,ANDREW",,,,,,,"SUB OUT by BIRKS,ANDREW",1
12:52,"GOOD DUNK by HAWKINS,JOHN(in the paint)",18 (+4),,14,,RUSTMBB 18-14 (-4),,"GOOD DUNK by HAWKINS,JOHN(in the paint)",1
--,"ASSIST  by MYERS,ETHAN",,,,,,,"ASSIST  by MYERS,ETHAN",1
12:49,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
12:41,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,"REBOUND DEF by ANDERSON,PAUL",,,,,,,"REBOUND DEF by ANDERSON,PAUL",1
12:25,"MISS 3PTR by MYERS,ETHAN",,,,,,,"MISS 3PTR by MYERS,ETHAN",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
12:14,,18 (+2),,16,"GOOD LAYUP by BERGER,RYAN(in the paint)",MILLSAPS 18-16 (-2),,"GOOD LAYUP by BERGER,RYAN(in the paint)",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
11:52,"MISS 3PTR by ANDERSON,PAUL",,,,,,,"MISS 3PTR by ANDERSON,PAUL",1
--,,,,,"REBOUND DEF by AUBERT,DUSTIN",,,"REBOUND DEF by AUBERT,DUSTIN",1
11:36,,,,,"MISS 3PTR by BERGER,RYAN",,,"MISS 3PTR by BERGER,RYAN",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
11:31,,18,,18,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",MILLSAPS 18-18 (0),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",1
11:03,,,,,"FOUL  by BERGER,RYAN",,,"FOUL  by BERGER,RYAN",1
11:03,"GOOD FT by HAWKINS,JOHN",19 (+1),,18,,RUSTMBB 19-18 (-1),,"GOOD FT by HAWKINS,JOHN",1
11:03,"GOOD FT by HAWKINS,JOHN",20 (+2),,18,,RUSTMBB 20-18 (-2),,"GOOD FT by HAWKINS,JOHN",1
11:03,"SUB IN by GREDIC,KWAMERE",,,,,,,"SUB IN by GREDIC,KWAMERE",1
11:03,"SUB OUT by MYERS,ETHAN",,,,,,,"SUB OUT by MYERS,ETHAN",1
11:03,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
11:03,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
11:03,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
11:03,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
10:40,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,"REBOUND DEF by STUCKEY,CURTIS",,,,,,,"REBOUND DEF by STUCKEY,CURTIS",1
10:15,"TURNOVER  by ANDERSON,PAUL",,,,,,,"TURNOVER  by ANDERSON,PAUL",1
10:15,,,,,"SUB IN by HANTSAD,RAJAN",,,"SUB IN by HANTSAD,RAJAN",1
10:15,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
09:56,,,,,"TURNOVER  by GERCHOW,ALEX",,,"TURNOVER  by GERCHOW,ALEX",1
09:56,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
09:56,"SUB IN by BIRKS,ANDREW",,,,,,,"SUB IN by BIRKS,ANDREW",1
09:56,"SUB OUT by SEALS,JORDAN",,,,,,,"SUB OUT by SEALS,JORDAN",1
09:56,,,,,"SUB IN by DEILLIEU,RYAN",,,"SUB IN by DEILLIEU,RYAN",1
09:56,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
09:38,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,,,,,"REBOUND DEF by MCELVEEN,MAC",,,"REBOUND DEF by MCELVEEN,MAC",1
09:04,"FOUL  by HAWKINS,JOHN",,,,,,,"FOUL  by HAWKINS,JOHN",1
09:04,,20 (+1),,19,"GOOD FT by MCELVEEN,MAC",MILLSAPS 20-19 (-1),,"GOOD FT by MCELVEEN,MAC",1
09:04,,20,,20,"GOOD FT by MCELVEEN,MAC",MILLSAPS 20-20 (0),,"GOOD FT by MCELVEEN,MAC",1
09:04,"SUB IN by BOWENS,JOHNATHAN",,,,,,,"SUB IN by BOWENS,JOHNATHAN",1
09:04,"SUB OUT by STUCKEY,CURTIS",,,,,,,"SUB OUT by STUCKEY,CURTIS",1
08:47,"GOOD JUMPER by ANDERSON,PAUL(in the paint)",22 (+2),,20,,RUSTMBB 22-20 (-2),,"GOOD JUMPER by ANDERSON,PAUL(in the paint)",1
08:47,,,,,"FOUL  by GERCHOW,ALEX",,,"FOUL  by GERCHOW,ALEX",1
08:47,"MISS FT by ANDERSON,PAUL",,,,,,,"MISS FT by ANDERSON,PAUL",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
08:47,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
08:47,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
08:42,,,,,"TURNOVER  by DEILLIEU,RYAN",,,"TURNOVER  by DEILLIEU,RYAN",1
08:41,"STEAL  by HAWKINS,JOHN",,,,,,,"STEAL  by HAWKINS,JOHN",1
08:37,"GOOD DUNK by HAWKINS,JOHN(in the paint)",24 (+4),,20,,RUSTMBB 24-20 (-4),,"GOOD DUNK by HAWKINS,JOHN(in the paint)",1
--,"ASSIST  by GREDIC,KWAMERE",,,,,,,"ASSIST  by GREDIC,KWAMERE",1
08:22,,,,,"MISS 3PTR by MCELVEEN,MAC",,,"MISS 3PTR by MCELVEEN,MAC",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
08:18,"FOUL  by ANDERSON,PAUL",,,,,,,"FOUL  by ANDERSON,PAUL",1
08:18,,24 (+3),,21,"GOOD FT by FREBIS,RONNIE",MILLSAPS 24-21 (-3),,"GOOD FT by FREBIS,RONNIE",1
08:18,,24 (+2),,22,"GOOD FT by FREBIS,RONNIE",MILLSAPS 24-22 (-2),,"GOOD FT by FREBIS,RONNIE",1
08:18,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
08:18,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
08:06,"MISS JUMPER by GREDIC,KWAMERE",,,,,,,"MISS JUMPER by GREDIC,KWAMERE",1
--,,,,,"REBOUND DEF by FREBIS,RONNIE",,,"REBOUND DEF by FREBIS,RONNIE",1
08:00,,24,,25 (+1),"GOOD 3PTR by ROBERTSON,MARC",MILLSAPS 24-25 (+1),,"GOOD 3PTR by ROBERTSON,MARC",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
07:37,"GOOD LAYUP by HAWKINS,JOHN(in the paint)",26 (+1),,25,,RUSTMBB 26-25 (-1),,"GOOD LAYUP by HAWKINS,JOHN(in the paint)",1
--,"ASSIST  by BIRKS,ANDREW",,,,,,,"ASSIST  by BIRKS,ANDREW",1
07:18,,,,,"MISS 3PTR by DEILLIEU,RYAN",,,"MISS 3PTR by DEILLIEU,RYAN",1
--,,,,,"REBOUND OFF by FREBIS,RONNIE",,,"REBOUND OFF by FREBIS,RONNIE",1
07:14,,26,,27 (+1),"GOOD LAYUP by FREBIS,RONNIE(in the paint)",MILLSAPS 26-27 (+1),,"GOOD LAYUP by FREBIS,RONNIE(in the paint)",1
07:02,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
06:39,,,,,"FOUL  by FREBIS,RONNIE",,,"FOUL  by FREBIS,RONNIE",1
06:39,"MISS FT by CLARK,JUSTYCE",,,,,,,"MISS FT by CLARK,JUSTYCE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:39,"MISS FT by CLARK,JUSTYCE",,,,,,,"MISS FT by CLARK,JUSTYCE",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
06:39,"SUB IN by CLARK,JUSTYCE",,,,,,,"SUB IN by CLARK,JUSTYCE",1
06:39,"SUB OUT by HAWKINS,JOHN",,,,,,,"SUB OUT by HAWKINS,JOHN",1
06:36,,,,,"TURNOVER  by GILLIGAN,TULLY",,,"TURNOVER  by GILLIGAN,TULLY",1
06:36,"STEAL  by GREDIC,KWAMERE",,,,,,,"STEAL  by GREDIC,KWAMERE",1
06:36,"TURNOVER  by GREDIC,KWAMERE",,,,,,,"TURNOVER  by GREDIC,KWAMERE",1
06:36,,,,,"SUB IN by BERGER,RYAN",,,"SUB IN by BERGER,RYAN",1
06:36,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
06:33,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
06:33,,,,,"SUB OUT by DEILLIEU,RYAN",,,"SUB OUT by DEILLIEU,RYAN",1
06:29,,,,,"TURNOVER  by HANTSAD,RAJAN",,,"TURNOVER  by HANTSAD,RAJAN",1
06:28,"STEAL  by ANDERSON,PAUL",,,,,,,"STEAL  by ANDERSON,PAUL",1
06:25,,,,,"FOUL  by HANTSAD,RAJAN",,,"FOUL  by HANTSAD,RAJAN",1
06:16,"MISS FT by ANDERSON,PAUL",,,,,,,"MISS FT by ANDERSON,PAUL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
06:16,"MISS FT by ANDERSON,PAUL",,,,,,,"MISS FT by ANDERSON,PAUL",1
--,,,,,"REBOUND DEF by KASTNER,MURRAY",,,"REBOUND DEF by KASTNER,MURRAY",1
06:16,,,,,"SUB IN by MCELVEEN,MAC",,,"SUB IN by MCELVEEN,MAC",1
06:16,,,,,"SUB OUT by HANTSAD,RAJAN",,,"SUB OUT by HANTSAD,RAJAN",1
06:02,,,,,"MISS 3PTR by KASTNER,MURRAY",,,"MISS 3PTR by KASTNER,MURRAY",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
05:56,,,,,"MISS JUMPER by MCELVEEN,MAC",,,"MISS JUMPER by MCELVEEN,MAC",1
--,"REBOUND DEF by CLARK,JUSTYCE",,,,,,,"REBOUND DEF by CLARK,JUSTYCE",1
05:41,"GOOD JUMPER by BIRKS,ANDREW",28 (+1),,27,,RUSTMBB 28-27 (-1),,"GOOD JUMPER by BIRKS,ANDREW",1
05:23,,28,,29 (+1),"GOOD LAYUP by KASTNER,MURRAY(in the paint)",MILLSAPS 28-29 (+1),,"GOOD LAYUP by KASTNER,MURRAY(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
05:23,"FOUL  by CLARK,JUSTYCE",,,,,,,"FOUL  by CLARK,JUSTYCE",1
05:23,,,,,"MISS FT by KASTNER,MURRAY",,,"MISS FT by KASTNER,MURRAY",1
--,"REBOUND DEF by BOWENS,JOHNATHAN",,,,,,,"REBOUND DEF by BOWENS,JOHNATHAN",1
05:23,"SUB IN by MYERS,ETHAN",,,,,,,"SUB IN by MYERS,ETHAN",1
05:23,"SUB OUT by ANDERSON,PAUL",,,,,,,"SUB OUT by ANDERSON,PAUL",1
05:03,"MISS 3PTR by BIRKS,ANDREW",,,,,,,"MISS 3PTR by BIRKS,ANDREW",1
--,,,,,"REBOUND DEF by BERGER,RYAN",,,"REBOUND DEF by BERGER,RYAN",1
04:53,,,,,"MISS LAYUP by MCELVEEN,MAC",,,"MISS LAYUP by MCELVEEN,MAC",1
04:53,"BLOCK  by GREDIC,KWAMERE",,,,,,,"BLOCK  by GREDIC,KWAMERE",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
04:45,,,,,"MISS 3PTR by ROBERTSON,MARC",,,"MISS 3PTR by ROBERTSON,MARC",1
--,,,,,"REBOUND OFF by MCELVEEN,MAC",,,"REBOUND OFF by MCELVEEN,MAC",1
04:39,,28,,31 (+3),"GOOD LAYUP by MCELVEEN,MAC(in the paint)",MILLSAPS 28-31 (+3),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",1
04:39,"FOUL  by BOWENS,JOHNATHAN",,,,,,,"FOUL  by BOWENS,JOHNATHAN",1
04:39,,28,,32 (+4),"GOOD FT by MCELVEEN,MAC",MILLSAPS 28-32 (+4),,"GOOD FT by MCELVEEN,MAC",1
04:39,"SUB IN by HAWKINS,JOHN",,,,,,,"SUB IN by HAWKINS,JOHN",1
04:39,"SUB OUT by CLARK,JUSTYCE",,,,,,,"SUB OUT by CLARK,JUSTYCE",1
04:30,,,,,"FOUL  by KASTNER,MURRAY",,,"FOUL  by KASTNER,MURRAY",1
04:30,"GOOD FT by HAWKINS,JOHN",29,,32 (+3),,RUSTMBB 29-32 (+3),,"GOOD FT by HAWKINS,JOHN",1
04:30,"GOOD FT by HAWKINS,JOHN",30,,32 (+2),,RUSTMBB 30-32 (+2),,"GOOD FT by HAWKINS,JOHN",1
04:04,,,,,"MISS JUMPER by BERGER,RYAN",,,"MISS JUMPER by BERGER,RYAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:01,"FOUL  by BOWENS,JOHNATHAN",,,,,,,"FOUL  by BOWENS,JOHNATHAN",1
04:01,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND DEF by HAWKINS,JOHN",,,,,,,"REBOUND DEF by HAWKINS,JOHN",1
04:01,,,,,"SUB IN by AUBERT,DUSTIN",,,"SUB IN by AUBERT,DUSTIN",1
04:01,,,,,"SUB OUT by KASTNER,MURRAY",,,"SUB OUT by KASTNER,MURRAY",1
03:43,"TURNOVER  by MYERS,ETHAN",,,,,,,"TURNOVER  by MYERS,ETHAN",1
03:42,,,,,"STEAL  by AUBERT,DUSTIN",,,"STEAL  by AUBERT,DUSTIN",1
03:39,,30,,34 (+4),"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",MILLSAPS 30-34 (+4),,"GOOD LAYUP by ROBERTSON,MARC(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by AUBERT,DUSTIN",,,"ASSIST  by AUBERT,DUSTIN",1
03:20,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
03:20,,,,,"SUB OUT by BERGER,RYAN",,,"SUB OUT by BERGER,RYAN",1
03:01,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
03:01,"SUB IN by ANDERSON,PAUL",,,,,,,"SUB IN by ANDERSON,PAUL",1
03:01,"SUB OUT by BIRKS,ANDREW",,,,,,,"SUB OUT by BIRKS,ANDREW",1
02:47,,30,,36 (+6),"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",MILLSAPS 30-36 (+6),,"GOOD LAYUP by GILLIGAN,TULLY(in the paint)",1
--,,,,,"ASSIST  by ROBERTSON,MARC",,,"ASSIST  by ROBERTSON,MARC",1
02:30,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",32,,36 (+4),,RUSTMBB 32-36 (+4),,"GOOD LAYUP by BOWENS,JOHNATHAN(in the paint)",1
--,"ASSIST  by HAWKINS,JOHN",,,,,,,"ASSIST  by HAWKINS,JOHN",1
01:56,,32,,38 (+6),"GOOD JUMPER by MCELVEEN,MAC",MILLSAPS 32-38 (+6),,"GOOD JUMPER by MCELVEEN,MAC",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
01:46,,,,,"FOUL  by ROBERTSON,MARC",,,"FOUL  by ROBERTSON,MARC",1
01:46,"MISS FT by GREDIC,KWAMERE",,,,,,,"MISS FT by GREDIC,KWAMERE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:46,"MISS FT by GREDIC,KWAMERE",,,,,,,"MISS FT by GREDIC,KWAMERE",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
01:26,,32,,40 (+8),"GOOD LAYUP by MCELVEEN,MAC(in the paint)",MILLSAPS 32-40 (+8),,"GOOD LAYUP by MCELVEEN,MAC(in the paint)",1
--,,,,,"ASSIST  by GILLIGAN,TULLY",,,"ASSIST  by GILLIGAN,TULLY",1
01:26,"FOUL  by MYERS,ETHAN",,,,,,,"FOUL  by MYERS,ETHAN",1
01:26,,,,,"MISS FT by MCELVEEN,MAC",,,"MISS FT by MCELVEEN,MAC",1
--,"REBOUND DEF by MYERS,ETHAN",,,,,,,"REBOUND DEF by MYERS,ETHAN",1
01:26,"SUB IN by SEALS,JORDAN",,,,,,,"SUB IN by SEALS,JORDAN",1
01:26,"SUB OUT by GREDIC,KWAMERE",,,,,,,"SUB OUT by GREDIC,KWAMERE",1
01:10,"MISS JUMPER by HAWKINS,JOHN",,,,,,,"MISS JUMPER by HAWKINS,JOHN",1
--,,,,,"REBOUND DEF by GILLIGAN,TULLY",,,"REBOUND DEF by GILLIGAN,TULLY",1
01:02,,,,,"TURNOVER  by AUBERT,DUSTIN",,,"TURNOVER  by AUBERT,DUSTIN",1
01:02,"SUB IN by STUCKEY,CURTIS",,,,,,,"SUB IN by STUCKEY,CURTIS",1
01:02,"SUB OUT by BOWENS,JOHNATHAN",,,,,,,"SUB OUT by BOWENS,JOHNATHAN",1
01:00,,,,,"SUB IN by GERCHOW,ALEX",,,"SUB IN by GERCHOW,ALEX",1
01:00,,,,,"SUB IN by KASTNER,MURRAY",,,"SUB IN by KASTNER,MURRAY",1
01:00,,,,,"SUB OUT by FREBIS,RONNIE",,,"SUB OUT by FREBIS,RONNIE",1
01:00,,,,,"SUB OUT by ROBERTSON,MARC",,,"SUB OUT by ROBERTSON,MARC",1
00:37,"GOOD 3PTR by MYERS,ETHAN",35,,40 (+5),,RUSTMBB 35-40 (+5),,"GOOD 3PTR by MYERS,ETHAN",1
00:05,,,,,"MISS JUMPER by GERCHOW,ALEX",,,"MISS JUMPER by GERCHOW,ALEX",1
--,"REBOUND DEF by MYERS,ETHAN",,,,,,,"REBOUND DEF by MYERS,ETHAN",1
