Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILLSAPS,Game Score,Team Indicator,Play,Period
10:18,"SUB IN by WEBBER,CONNOR",,,,,,,"SUB IN by WEBBER,CONNOR",1
10:18,"SUB OUT by MCCLOUD,LEE",,,,,,,"SUB OUT by MCCLOUD,LEE",1
10:18,,,,,"SUB IN by GILLIGAN,TULLY",,,"SUB IN by GILLIGAN,TULLY",1
10:18,,,,,"SUB OUT by GERCHOW,ALEX",,,"SUB OUT by GERCHOW,ALEX",1
10:10,"FOUL  by WHALEN,MAC",,,,,,,"FOUL  by WHALEN,MAC",1
09:55,,,,,"MISS DUNK by MCELVEEN,MAC",,,"MISS DUNK by MCELVEEN,MAC",1
--,"REBOUND DEF by WEBBER,CONNOR",,,,,,,"REBOUND DEF by WEBBER,CONNOR",1
09:40,"MISS LAYUP by JACOBS,OWEN",,,,,,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND OFF by GRAHAM,LAKE",,,,,,,"REBOUND OFF by GRAHAM,LAKE",1
09:37,,,,,"FOUL  by MCELVEEN,MAC",,,"FOUL  by MCELVEEN,MAC",1
09:37,"MISS FT by GRAHAM,LAKE",,,,,,,"MISS FT by GRAHAM,LAKE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
09:37,"GOOD FT by GRAHAM,LAKE",9,,12 (+3),,BCM 9-12 (+3),,"GOOD FT by GRAHAM,LAKE",1
09:37,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:37,"SUB IN by JONES,RON",,,,,,,"SUB IN by JONES,RON",1
09:37,"SUB IN by PARK,BRANDON",,,,,,,"SUB IN by PARK,BRANDON",1
09:37,"SUB OUT by GRAHAM,LAKE",,,,,,,"SUB OUT by GRAHAM,LAKE",1
09:37,"SUB OUT by WHALEN,MAC",,,,,,,"SUB OUT by WHALEN,MAC",1
09:37,,,,,"SUB IN by FREBIS,RONNIE",,,"SUB IN by FREBIS,RONNIE",1
09:37,,,,,"SUB IN by ROBERTSON,MARC",,,"SUB IN by ROBERTSON,MARC",1
09:37,,,,,"SUB OUT by MCELVEEN,MAC",,,"SUB OUT by MCELVEEN,MAC",1
09:37,,,,,"SUB OUT by AUBERT,DUSTIN",,,"SUB OUT by AUBERT,DUSTIN",1
09:13,,,,,"TURNOVER  by BERGER,RYAN",,,"TURNOVER  by BERGER,RYAN",1
09:12,"STEAL  by WEBBER,CONNOR",,,,,,,"STEAL  by WEBBER,CONNOR",1
09:02,"TURNOVER  by WEBBER,CONNOR",,,,,,,"TURNOVER  by WEBBER,CONNOR",1
09:01,,,,,"STEAL  by ROBERTSON,MARC",,,"STEAL  by ROBERTSON,MARC",1
08:57,,,,,"MISS LAYUP by GILLIGAN,TULLY",,,"MISS LAYUP by GILLIGAN,TULLY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:51,"FOUL  by PARK,BRANDON",,,,,,,"FOUL  by PARK,BRANDON",1
08:51,,9,,13 (+4),"GOOD FT by GILLIGAN,TULLY",MILLSAPS 9-13 (+4),,"GOOD FT by GILLIGAN,TULLY",1
08:51,,,,,"MISS FT by GILLIGAN,TULLY",,,"MISS FT by GILLIGAN,TULLY",1
--,"REBOUND DEF by COTTER,DOUGLAS",,,,,,,"REBOUND DEF by COTTER,DOUGLAS",1
