Time Remaining,BU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
12:00,,,,,"SUB IN by BARNETT,CHARLIE",,,"SUB IN by BARNETT,CHARLIE",1
12:00,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
12:00,,,,,"SUB IN by LARSON,CLARK",,,"SUB IN by LARSON,CLARK",1
12:00,"SUB OUT by PHILLIPS,BRANDON",,,,,,,"SUB OUT by PHILLIPS,BRANDON",1
12:00,"SUB OUT by CHAMP,RANCE",,,,,,,"SUB OUT by CHAMP,RANCE",1
12:00,"SUB IN by EDWARDS,KORRI",,,,,,,"SUB IN by EDWARDS,KORRI",1
12:00,"SUB IN by WOODALL,CHANCETON",,,,,,,"SUB IN by WOODALL,CHANCETON",1
11:58,,15,,23 (+8),"GOOD 3PTR by KANE,DENMAN",BSC 15-23 (+8),,"GOOD 3PTR by KANE,DENMAN",1
11:43,,,,,"FOUL  by BARNETT,CHARLIE",,,"FOUL  by BARNETT,CHARLIE",1
11:43,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:34,"MISS JUMPER by EDWARDS,KORRI(in the paint)",,,,,,,"MISS JUMPER by EDWARDS,KORRI(in the paint)",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
11:27,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",,,"TURNOVER  by BRIGHT JR.,BRUCE",1
11:27,"STEAL  by MCMILLAN,MATTHEW",,,,,,,"STEAL  by MCMILLAN,MATTHEW",1
11:22,"GOOD JUMPER by MCMILLAN,MATTHEW(fastbreak)(in the paint)",17,,23 (+6),,BU 17-23 (+6),,"GOOD JUMPER by MCMILLAN,MATTHEW(fastbreak)(in the paint)",1
10:56,,,,,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",,,"MISS LAYUP by BARNETT,CHARLIE(in the paint)",1
--,"REBOUND DEF by EDWARDS,KORRI",,,,,,,"REBOUND DEF by EDWARDS,KORRI",1
10:51,,,,,"FOUL  by KANE,DENMAN",,,"FOUL  by KANE,DENMAN",1
10:51,"GOOD FT by COUCH,LUKE(fastbreak)",18,,23 (+5),,BU 18-23 (+5),,"GOOD FT by COUCH,LUKE(fastbreak)",1
10:51,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",1
10:51,,,,,"SUB OUT by BRIGHT JR.,BRUCE",,,"SUB OUT by BRIGHT JR.,BRUCE",1
10:51,,,,,"SUB OUT by LARSON,CLARK",,,"SUB OUT by LARSON,CLARK",1
10:51,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
10:51,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
10:51,,,,,"SUB IN by WEST,KANE",,,"SUB IN by WEST,KANE",1
10:51,"GOOD FT by COUCH,LUKE(fastbreak)",19,,23 (+4),,BU 19-23 (+4),,"GOOD FT by COUCH,LUKE(fastbreak)",1
10:26,,,,,"MISS JUMPER by WEST,KANE(in the paint)",,,"MISS JUMPER by WEST,KANE(in the paint)",1
--,,,,,"REBOUND OFF by WEST,KANE",,,"REBOUND OFF by WEST,KANE",1
10:21,,,,,"TURNOVER  by WEST,KANE",,,"TURNOVER  by WEST,KANE",1
10:21,"STEAL  by COUCH,LUKE",,,,,,,"STEAL  by COUCH,LUKE",1
10:09,"MISS 3PTR by MCMILLAN,MATTHEW",,,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",1
--,,,,,"REBOUND DEF by WEST,KANE",,,"REBOUND DEF by WEST,KANE",1
10:02,,,,,"TURNOVER  by GARRIDO,BRANDAN",,,"TURNOVER  by GARRIDO,BRANDAN",1
10:02,"SUB OUT by SHIELDS,RIAN",,,,,,,"SUB OUT by SHIELDS,RIAN",1
10:02,"SUB IN by DUNCAN,JAVON",,,,,,,"SUB IN by DUNCAN,JAVON",1
09:49,"MISS 3PTR by WOODALL,CHANCETON",,,,,,,"MISS 3PTR by WOODALL,CHANCETON",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
09:33,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
09:33,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
09:33,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
09:33,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
09:33,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
09:33,"SUB OUT by WOODALL,CHANCETON",,,,,,,"SUB OUT by WOODALL,CHANCETON",1
09:33,"SUB IN by ANDERSON, JR.,TERRAN",,,,,,,"SUB IN by ANDERSON, JR.,TERRAN",1
09:20,"MISS JUMPER by COUCH,LUKE",,,,,,,"MISS JUMPER by COUCH,LUKE",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
09:07,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND OFF by SIGLER,EVAN",,,"REBOUND OFF by SIGLER,EVAN",1
08:54,"FOUL  by DUNCAN,JAVON",,,,,,,"FOUL  by DUNCAN,JAVON",1
08:54,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
08:54,,,,,"SUB IN by GILLISPIE,JAY",,,"SUB IN by GILLISPIE,JAY",1
