Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
12:40,"SUB IN by LARSON,CLARK",,,,,,,"SUB IN by LARSON,CLARK",1
12:40,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
12:40,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
12:40,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",1
12:40,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
12:40,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",1
12:40,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
12:40,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
12:24,"FOUL  by SIGLER,EVAN",,,,,,,"FOUL  by SIGLER,EVAN",1
12:03,,13,,15 (+2),"GOOD LAYUP by TONEY,CALEB",Hunt 13-15 (-2),,"GOOD LAYUP by TONEY,CALEB",1
--,,,,,"ASSIST  by HARRIS,JAMES",,,"ASSIST  by HARRIS,JAMES",1
11:54,"GOOD FT by SPENCE,BEN",14,,15 (+1),,BSC 14-15 (-1),,"GOOD FT by SPENCE,BEN",1
11:54,"MISS FT by SPENCE,BEN",,,,,,,"MISS FT by SPENCE,BEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:54,"SUB IN by WEST,KANE",,,,,,,"SUB IN by WEST,KANE",1
11:54,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",1
11:54,"SUB OUT by LARSON,CLARK",,,,,,,"SUB OUT by LARSON,CLARK",1
11:54,"SUB OUT by BARNETT,CHARLIE",,,,,,,"SUB OUT by BARNETT,CHARLIE",1
11:54,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",1
11:54,,,,,"SUB IN by MADISON,DAMIEN",,,"SUB IN by MADISON,DAMIEN",1
11:54,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",1
11:54,,,,,"SUB OUT by ZACHERY,CEAUNTE",,,"SUB OUT by ZACHERY,CEAUNTE",1
11:47,,,,,"MISS JUMPER by PAGE,SAM",,,"MISS JUMPER by PAGE,SAM",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
11:45,,,,,"FOUL  by BOHLING,DYLAN",,,"FOUL  by BOHLING,DYLAN",1
11:45,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:28,"GOOD 3PTR by KANE,DENMAN",17 (+2),,15,,BSC 17-15 (+2),,"GOOD 3PTR by KANE,DENMAN",1
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",1
11:04,,,,,"TURNOVER  by HARRIS,JAMES",,,"TURNOVER  by HARRIS,JAMES",1
11:02,"STEAL  by WEST,KANE",,,,,,,"STEAL  by WEST,KANE",1
10:51,"GOOD 3PTR by SIGLER,EVAN",20 (+5),,15,,BSC 20-15 (+5),,"GOOD 3PTR by SIGLER,EVAN",1
--,"ASSIST  by KANE,DENMAN",,,,,,,"ASSIST  by KANE,DENMAN",1
10:39,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:36,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
10:36,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
10:36,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
10:36,"SUB OUT by WEST,KANE",,,,,,,"SUB OUT by WEST,KANE",1
10:36,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
10:36,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
10:36,,,,,"SUB IN by TAYLOR,WILLIE",,,"SUB IN by TAYLOR,WILLIE",1
10:36,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",1
10:34,"GOOD 3PTR by SIGLER,EVAN",23 (+8),,15,,BSC 23-15 (+8),,"GOOD 3PTR by SIGLER,EVAN",1
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",1
10:16,,23 (+6),,17,"GOOD LAYUP by JOHNSON,JUSTIN",Hunt 23-17 (+6),,"GOOD LAYUP by JOHNSON,JUSTIN",1
10:09,"GOOD 3PTR by GILLISPIE,JAY",26 (+9),,17,,BSC 26-17 (+9),,"GOOD 3PTR by GILLISPIE,JAY",1
--,"ASSIST  by GARRIDO,BRANDAN",,,,,,,"ASSIST  by GARRIDO,BRANDAN",1
09:34,,26 (+7),,19,"GOOD LAYUP by JOHNSON,JUSTIN",Hunt 26-19 (+7),,"GOOD LAYUP by JOHNSON,JUSTIN",1
09:34,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
09:34,,26 (+6),,20,"GOOD FT by JOHNSON,JUSTIN",Hunt 26-20 (+6),,"GOOD FT by JOHNSON,JUSTIN",1
09:34,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
09:34,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
09:34,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
09:34,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
09:34,,,,,"SUB IN by ZACHERY,CEAUNTE",,,"SUB IN by ZACHERY,CEAUNTE",1
09:34,,,,,"SUB OUT by JOHNSON,JUSTIN",,,"SUB OUT by JOHNSON,JUSTIN",1
