Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,Hunt,Game Score,Team Indicator,Play,Period
05:54,,,,,"FOUL  by CLARK,TY",,,"FOUL  by CLARK,TY",2
05:54,"GOOD FT by CHILDERS,JOSH",69 (+4),,65,,BSC 69-65 (+4),,"GOOD FT by CHILDERS,JOSH",2
05:54,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
05:54,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",2
05:54,,,,,"SUB IN by BOHLING,DYLAN",,,"SUB IN by BOHLING,DYLAN",2
05:54,,,,,"SUB OUT by CLARK,TY",,,"SUB OUT by CLARK,TY",2
05:47,,,,,"MISS LAYUP by TONEY,CALEB",,,"MISS LAYUP by TONEY,CALEB",2
05:47,"BLOCK  by CHILDERS,JOSH",,,,,,,"BLOCK  by CHILDERS,JOSH",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:40,,69 (+2),,67,"GOOD JUMPER by MADISON,DAMIEN",Hunt 69-67 (+2),,"GOOD JUMPER by MADISON,DAMIEN",2
05:19,"MISS 3PTR by GONDA,MATT",,,,,,,"MISS 3PTR by GONDA,MATT",2
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",2
05:14,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
05:13,,,,,"FOUL  by HARRIS,JAMES",,,"FOUL  by HARRIS,JAMES",2
05:13,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
05:13,"GOOD FT by STEWART,CHRISTIAN",70 (+3),,67,,BSC 70-67 (+3),,"GOOD FT by STEWART,CHRISTIAN",2
05:13,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
05:13,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
04:51,,70 (+1),,69,"GOOD LAYUP by HARRIS,JAMES",Hunt 70-69 (+1),,"GOOD LAYUP by HARRIS,JAMES",2
04:27,"FOUL  by GARRIDO,BRANDAN",,,,,,,"FOUL  by GARRIDO,BRANDAN",2
04:10,,,,,"MISS 3PTR by HARRIS,JAMES",,,"MISS 3PTR by HARRIS,JAMES",2
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",2
04:01,,,,,"FOUL  by HARRIS,JAMES",,,"FOUL  by HARRIS,JAMES",2
04:01,"GOOD FT by SIGLER,EVAN",71 (+2),,69,,BSC 71-69 (+2),,"GOOD FT by SIGLER,EVAN",2
04:01,"GOOD FT by SIGLER,EVAN",72 (+3),,69,,BSC 72-69 (+3),,"GOOD FT by SIGLER,EVAN",2
04:01,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
04:01,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
04:01,,,,,"SUB IN by ZACHERY,CEAUNTE",,,"SUB IN by ZACHERY,CEAUNTE",2
04:01,,,,,"SUB OUT by TAYLOR,WILLIE",,,"SUB OUT by TAYLOR,WILLIE",2
03:43,,,,,"MISS LAYUP by HARRIS,JAMES",,,"MISS LAYUP by HARRIS,JAMES",2
--,,,,,"REBOUND OFF by TONEY,CALEB",,,"REBOUND OFF by TONEY,CALEB",2
03:38,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",2
03:38,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:38,,,,,"MISS FT by TONEY,CALEB",,,"MISS FT by TONEY,CALEB",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:38,,72 (+2),,70,"GOOD FT by TONEY,CALEB",Hunt 72-70 (+2),,"GOOD FT by TONEY,CALEB",2
03:38,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
03:38,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",2
03:38,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",2
03:38,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
03:38,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",2
03:38,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
03:38,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",2
03:38,"SUB OUT by GARRIDO,BRANDAN",,,,,,,"SUB OUT by GARRIDO,BRANDAN",2
03:36,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",2
03:34,,,,,"STEAL  by ZACHERY,CEAUNTE",,,"STEAL  by ZACHERY,CEAUNTE",2
03:29,,72,,72,"GOOD LAYUP by HARRIS,JAMES",Hunt 72-72 (0),,"GOOD LAYUP by HARRIS,JAMES",2
03:22,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",2
03:19,,,,,"STEAL  by HARRIS,JAMES",,,"STEAL  by HARRIS,JAMES",2
03:15,,,,,"MISS LAYUP by HARRIS,JAMES",,,"MISS LAYUP by HARRIS,JAMES",2
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",2
03:13,,,,,"FOUL  by MADISON,DAMIEN",,,"FOUL  by MADISON,DAMIEN",2
03:13,"GOOD FT by STEWART,CHRISTIAN",73 (+1),,72,,BSC 73-72 (+1),,"GOOD FT by STEWART,CHRISTIAN",2
03:13,"GOOD FT by STEWART,CHRISTIAN",74 (+2),,72,,BSC 74-72 (+2),,"GOOD FT by STEWART,CHRISTIAN",2
03:07,"MISS LAYUP by GONDA,MATT",,,,,,,"MISS LAYUP by GONDA,MATT",2
--,,,,,"REBOUND DEF by HARRIS,JAMES",,,"REBOUND DEF by HARRIS,JAMES",2
02:57,,,,,"MISS 3PTR by ZACHERY,CEAUNTE",,,"MISS 3PTR by ZACHERY,CEAUNTE",2
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",2
02:30,"MISS 3PTR by GLOVER,CAMERON",,,,,,,"MISS 3PTR by GLOVER,CAMERON",2
--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",2
02:18,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",2
02:16,,,,,"STEAL  by ZACHERY,CEAUNTE",,,"STEAL  by ZACHERY,CEAUNTE",2
02:14,,,,,"MISS JUMPER by TONEY,CALEB",,,"MISS JUMPER by TONEY,CALEB",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
02:14,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
02:14,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
02:14,,,,,"SUB IN by TAYLOR,WILLIE",,,"SUB IN by TAYLOR,WILLIE",2
02:14,,,,,"SUB OUT by HARRIS,JAMES",,,"SUB OUT by HARRIS,JAMES",2
02:06,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
01:45,"MISS JUMPER by GONDA,MATT",,,,,,,"MISS JUMPER by GONDA,MATT",2
--,,,,,"REBOUND DEF by ZACHERY,CEAUNTE",,,"REBOUND DEF by ZACHERY,CEAUNTE",2
01:19,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",2
01:19,,74 (+1),,73,"GOOD FT by MADISON,DAMIEN",Hunt 74-73 (+1),,"GOOD FT by MADISON,DAMIEN",2
01:19,,74,,74,"GOOD FT by MADISON,DAMIEN",Hunt 74-74 (0),,"GOOD FT by MADISON,DAMIEN",2
01:19,,,,,"SUB IN by HARRIS,JAMES",,,"SUB IN by HARRIS,JAMES",2
01:19,,,,,"SUB OUT by TAYLOR,WILLIE",,,"SUB OUT by TAYLOR,WILLIE",2
00:58,"MISS JUMPER by GLOVER,CAMERON",,,,,,,"MISS JUMPER by GLOVER,CAMERON",2
--,,,,,"REBOUND DEF by BOHLING,DYLAN",,,"REBOUND DEF by BOHLING,DYLAN",2
00:50,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
00:50,"SUB IN by GARRIDO,BRANDAN",,,,,,,"SUB IN by GARRIDO,BRANDAN",2
00:50,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
00:50,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
00:50,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",2
00:32,,,,,"MISS LAYUP by HARRIS,JAMES",,,"MISS LAYUP by HARRIS,JAMES",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:30,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
00:30,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",2
00:05,"GOOD LAYUP by STEWART,CHRISTIAN",76 (+2),,74,,BSC 76-74 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN",2
00:04,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:04,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",2
00:04,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",2
00:04,,,,,"SUB IN by PAGE,SAM",,,"SUB IN by PAGE,SAM",2
00:04,,,,,"SUB OUT by BOHLING,DYLAN",,,"SUB OUT by BOHLING,DYLAN",2
00:01,,,,,"MISS JUMPER by MADISON,DAMIEN",,,"MISS JUMPER by MADISON,DAMIEN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
