Time Remaining,OU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
10:49,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",1
10:49,"SUB OUT by KRIVITZKIN,TYLER",,,,,,,"SUB OUT by KRIVITZKIN,TYLER",1
10:49,"SUB IN by CHAMBERS,DIMETRI",,,,,,,"SUB IN by CHAMBERS,DIMETRI",1
10:49,"SUB IN by EZIGBO,UBA",,,,,,,"SUB IN by EZIGBO,UBA",1
10:30,,19,,20 (+1),"GOOD JUMPER by SIGLER,EVAN(in the paint)",BSC 19-20 (+1),,"GOOD JUMPER by SIGLER,EVAN(in the paint)",1
10:23,"GOOD 3PTR by CHAMBERS,DIMETRI",22 (+2),,20,,OU 22-20 (-2),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
10:01,"SUB OUT by SWILLING,BRETT",,,,,,,"SUB OUT by SWILLING,BRETT",1
10:01,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",1
10:00,,22,,22,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",BSC 22-22 (0),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
09:45,"GOOD 3PTR by CHAMBERS,DIMETRI",25 (+3),,22,,OU 25-22 (-3),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
09:36,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",1
09:36,"SUB OUT by MURRAH,JACK",,,,,,,"SUB OUT by MURRAH,JACK",1
09:36,"SUB IN by SONE,CARLOS",,,,,,,"SUB IN by SONE,CARLOS",1
09:22,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
09:06,"MISS 3PTR by EZIGBO,UBA",,,,,,,"MISS 3PTR by EZIGBO,UBA",1
--,"REBOUND OFF by EZIGBO,UBA",,,,,,,"REBOUND OFF by EZIGBO,UBA",1
09:02,"TURNOVER  by EZIGBO,UBA",,,,,,,"TURNOVER  by EZIGBO,UBA",1
09:02,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
09:02,,,,,"SUB IN by GLOVER,CAMERON",,,"SUB IN by GLOVER,CAMERON",1
08:38,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
08:38,"STEAL  by FOSTER,LANE",,,,,,,"STEAL  by FOSTER,LANE",1
08:33,"TURNOVER  by FOSTER,LANE",,,,,,,"TURNOVER  by FOSTER,LANE",1
08:33,,,,,"STEAL  by GLOVER,CAMERON",,,"STEAL  by GLOVER,CAMERON",1
08:28,,,,,"MISS LAYUP by SPENCE,BEN(in the paint)",,,"MISS LAYUP by SPENCE,BEN(in the paint)",1
08:23,,25 (+1),,24,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 25-24 (-1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
08:10,"GOOD LAYUP by FOSTER,LANE(in the paint)",27 (+3),,24,,OU 27-24 (-3),,"GOOD LAYUP by FOSTER,LANE(in the paint)",1
--,"ASSIST  by PALMER,CHRISTIAN",,,,,,,"ASSIST  by PALMER,CHRISTIAN",1
07:42,,27 (+1),,26,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC 27-26 (-1),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
07:26,,,,,"FOUL  by GLOVER,CAMERON",,,"FOUL  by GLOVER,CAMERON",1
07:26,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
07:26,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
07:26,,,,,"SUB OUT by GLOVER,CAMERON",,,"SUB OUT by GLOVER,CAMERON",1
07:26,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
07:26,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
07:26,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
07:26,,,,,"SUB IN by GARRIDO,BRANDAN",,,"SUB IN by GARRIDO,BRANDAN",1
07:26,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
07:26,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
07:26,,,,,"SUB IN by BRIGHT JR.,BRUCE",,,"SUB IN by BRIGHT JR.,BRUCE",1
07:26,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
07:26,"SUB OUT by PALMER,CHRISTIAN",,,,,,,"SUB OUT by PALMER,CHRISTIAN",1
07:26,"SUB IN by JENEI,RYAN",,,,,,,"SUB IN by JENEI,RYAN",1
07:23,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by GARRIDO,BRANDAN",,,"REBOUND DEF by GARRIDO,BRANDAN",1
06:51,,,,,"MISS 3PTR by GARRIDO,BRANDAN",,,"MISS 3PTR by GARRIDO,BRANDAN",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
06:51,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
06:36,"GOOD JUMPER by EZIGBO,UBA(in the paint)",29 (+3),,26,,OU 29-26 (-3),,"GOOD JUMPER by EZIGBO,UBA(in the paint)",1
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",1
06:23,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
06:23,"STEAL  by EZIGBO,UBA",,,,,,,"STEAL  by EZIGBO,UBA",1
06:16,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",31 (+5),,26,,OU 31-26 (-5),,"GOOD LAYUP by CHAMBERS,DIMETRI(fastbreak)(in the paint)",1
06:06,"FOUL  by CHAMBERS,DIMETRI",,,,,,,"FOUL  by CHAMBERS,DIMETRI",1
05:52,,31 (+2),,29,"GOOD 3PTR by STEPHENS,TROY",BSC 31-29 (-2),,"GOOD 3PTR by STEPHENS,TROY",1
--,,,,,"ASSIST  by GARRIDO,BRANDAN",,,"ASSIST  by GARRIDO,BRANDAN",1
05:36,"MISS 3PTR by CHAMBERS,DIMETRI",,,,,,,"MISS 3PTR by CHAMBERS,DIMETRI",1
--,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
05:29,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
05:04,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",33 (+4),,29,,OU 33-29 (-4),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",1
04:45,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",,,"MISS 3PTR by BRIGHT JR.,BRUCE",1
--,"REBOUND DEF by EZIGBO,UBA",,,,,,,"REBOUND DEF by EZIGBO,UBA",1
04:39,"GOOD 3PTR by CHAMBERS,DIMETRI",36 (+7),,29,,OU 36-29 (-7),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
04:36,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
04:36,,,,,"SUB OUT by GARRIDO,BRANDAN",,,"SUB OUT by GARRIDO,BRANDAN",1
04:36,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
04:36,,,,,"SUB OUT by BRIGHT JR.,BRUCE",,,"SUB OUT by BRIGHT JR.,BRUCE",1
04:36,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
04:36,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
04:36,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
04:36,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
04:36,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
04:24,,,,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",,,"MISS JUMPER by STEWART,CHRISTIAN(in the paint)",1
--,"REBOUND DEF by SONE,CARLOS",,,,,,,"REBOUND DEF by SONE,CARLOS",1
04:18,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",38 (+9),,29,,OU 38-29 (-9),,"GOOD LAYUP by CHAMBERS,DIMETRI(in the paint)",1
--,"ASSIST  by SONE,CARLOS",,,,,,,"ASSIST  by SONE,CARLOS",1
04:08,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
03:51,"GOOD 3PTR by CHAMBERS,DIMETRI",41 (+12),,29,,OU 41-29 (-12),,"GOOD 3PTR by CHAMBERS,DIMETRI",1
