Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,BU,Game Score,Team Indicator,Play,Period
11:05,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
11:05,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
11:05,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
11:05,"MISS 3PTR by BRIGHT JR.,BRUCE",,,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",1
--,"REBOUND OFF by STEPHENS,TROY",,,,,,,"REBOUND OFF by STEPHENS,TROY",1
11:05,"MISS LAYUP by STEPHENS,TROY(in the paint)",,,,,,,"MISS LAYUP by STEPHENS,TROY(in the paint)",1
--,,,,,"REBOUND DEF by CHAMP,RANCE",,,"REBOUND DEF by CHAMP,RANCE",1
11:05,,19,,20 (+1),"GOOD LAYUP by CHAMP,RANCE(fastbreak)(in the paint)",BU 19-20 (-1),,"GOOD LAYUP by CHAMP,RANCE(fastbreak)(in the paint)",1
11:05,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",21 (+1),,20,,BSC 21-20 (+1),,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",1
--,"ASSIST  by GLOVER,CAMERON",,,,,,,"ASSIST  by GLOVER,CAMERON",1
10:59,,,,,"TURNOVER  by JONES,JOSEPH",,,"TURNOVER  by JONES,JOSEPH",1
09:57,"TURNOVER  by STEPHENS,TROY",,,,,,,"TURNOVER  by STEPHENS,TROY",1
09:39,,,,,"MISS JUMPER by EDWARDS,KORRI",,,"MISS JUMPER by EDWARDS,KORRI",1
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
09:24,"GOOD 3PTR by GLOVER,CAMERON",24 (+4),,20,,BSC 24-20 (+4),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
09:10,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
09:10,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
09:07,"FOUL  by STEPHENS,TROY",,,,,,,"FOUL  by STEPHENS,TROY",1
09:07,,,,,"SUB OUT by PHILLIPS,BRANDON",,,"SUB OUT by PHILLIPS,BRANDON",1
09:07,,,,,"SUB OUT by CHAMP,RANCE",,,"SUB OUT by CHAMP,RANCE",1
09:07,,,,,"SUB IN by SHIELDS,RIAN",,,"SUB IN by SHIELDS,RIAN",1
09:07,,,,,"SUB IN by ANDERSON, JR.,TERRAN",,,"SUB IN by ANDERSON, JR.,TERRAN",1
09:07,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
09:07,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
09:07,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",1
09:07,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
09:07,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
09:07,"SUB IN by LARSON,CLARK",,,,,,,"SUB IN by LARSON,CLARK",1
08:55,,24 (+1),,23,"GOOD 3PTR by JONES,JOSEPH",BU 24-23 (+1),,"GOOD 3PTR by JONES,JOSEPH",1
--,,,,,"ASSIST  by SHIELDS,RIAN",,,"ASSIST  by SHIELDS,RIAN",1
08:37,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by EDWARDS,KORRI",,,"REBOUND DEF by EDWARDS,KORRI",1
08:22,,,,,"MISS 3PTR by JONES,JOSEPH",,,"MISS 3PTR by JONES,JOSEPH",1
--,"REBOUND DEF by GLOVER,CAMERON",,,,,,,"REBOUND DEF by GLOVER,CAMERON",1
08:05,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
08:05,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
08:05,,,,,"SUB OUT by JONES,JOSEPH",,,"SUB OUT by JONES,JOSEPH",1
08:05,,,,,"SUB IN by CHAMP,RANCE",,,"SUB IN by CHAMP,RANCE",1
08:05,"SUB OUT by GLOVER,CAMERON",,,,,,,"SUB OUT by GLOVER,CAMERON",1
08:05,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
08:05,"SUB OUT by LARSON,CLARK",,,,,,,"SUB OUT by LARSON,CLARK",1
08:05,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
08:05,"SUB IN by GILLISPIE,JAY",,,,,,,"SUB IN by GILLISPIE,JAY",1
08:05,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
08:03,,,,,"TURNOVER  by EDWARDS,KORRI",,,"TURNOVER  by EDWARDS,KORRI",1
07:33,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",1
07:25,,,,,"MISS 3PTR by SHIELDS,RIAN",,,"MISS 3PTR by SHIELDS,RIAN",1
--,"REBOUND DEF by GILLISPIE,JAY",,,,,,,"REBOUND DEF by GILLISPIE,JAY",1
07:05,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
07:03,,,,,"FOUL  by SHIELDS,RIAN",,,"FOUL  by SHIELDS,RIAN",1
06:54,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
06:43,"FOUL  by GILLISPIE,JAY",,,,,,,"FOUL  by GILLISPIE,JAY",1
06:43,"TURNOVER  by GILLISPIE,JAY",,,,,,,"TURNOVER  by GILLISPIE,JAY",1
06:43,,,,,"SUB OUT by EDWARDS,KORRI",,,"SUB OUT by EDWARDS,KORRI",1
06:43,,,,,"SUB IN by COUCH,LUKE",,,"SUB IN by COUCH,LUKE",1
06:20,,24,,25 (+1),"GOOD LAYUP by SHIELDS,RIAN(in the paint)",BU 24-25 (-1),,"GOOD LAYUP by SHIELDS,RIAN(in the paint)",1
--,,,,,"ASSIST  by CHAMP,RANCE",,,"ASSIST  by CHAMP,RANCE",1
06:17,"FOUL  by O'SULLIVAN,CONOR",,,,,,,"FOUL  by O'SULLIVAN,CONOR",1
06:17,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",1
06:03,,,,,"MISS 3PTR by MCMILLAN,MATTHEW",,,"MISS 3PTR by MCMILLAN,MATTHEW",1
--,"REBOUND DEF by SIGLER,EVAN",,,,,,,"REBOUND DEF by SIGLER,EVAN",1
05:38,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
05:38,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
05:38,"SUB OUT by GILLISPIE,JAY",,,,,,,"SUB OUT by GILLISPIE,JAY",1
05:38,"SUB IN by GLOVER,CAMERON",,,,,,,"SUB IN by GLOVER,CAMERON",1
05:38,"SUB IN by BRIGHT JR.,BRUCE",,,,,,,"SUB IN by BRIGHT JR.,BRUCE",1
05:38,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
05:35,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
05:35,"SUB IN by STEPHENS,TROY",,,,,,,"SUB IN by STEPHENS,TROY",1
05:35,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
05:31,,24,,27 (+3),"GOOD LAYUP by CHAMP,RANCE(in the paint)",BU 24-27 (-3),,"GOOD LAYUP by CHAMP,RANCE(in the paint)",1
--,,,,,"ASSIST  by SHIELDS,RIAN",,,"ASSIST  by SHIELDS,RIAN",1
05:14,,,,,"FOUL  by MCMILLAN,MATTHEW",,,"FOUL  by MCMILLAN,MATTHEW",1
05:14,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:14,"SUB OUT by STEPHENS,TROY",,,,,,,"SUB OUT by STEPHENS,TROY",1
05:14,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
05:14,"MISS FT by CHILDERS,JOSH",,,,,,,"MISS FT by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by SHIELDS,RIAN",,,"REBOUND DEF by SHIELDS,RIAN",1
05:00,,,,,"TURNOVER  by ANDERSON, JR.,TERRAN",,,"TURNOVER  by ANDERSON, JR.,TERRAN",1
05:00,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
05:00,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
04:42,"GOOD 3PTR by BRIGHT JR.,BRUCE",27,,27,,BSC 27-27 (0),,"GOOD 3PTR by BRIGHT JR.,BRUCE",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
04:13,,,,,"MISS 3PTR by ANDERSON, JR.,TERRAN",,,"MISS 3PTR by ANDERSON, JR.,TERRAN",1
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
03:54,"GOOD 3PTR by BRIGHT JR.,BRUCE",30 (+3),,27,,BSC 30-27 (+3),,"GOOD 3PTR by BRIGHT JR.,BRUCE",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
03:42,,30,,30,"GOOD 3PTR by ANDERSON, JR.,TERRAN",BU 30-30 (0),,"GOOD 3PTR by ANDERSON, JR.,TERRAN",1
--,,,,,"ASSIST  by MCMILLAN,MATTHEW",,,"ASSIST  by MCMILLAN,MATTHEW",1
03:21,"GOOD 3PTR by GLOVER,CAMERON",33 (+3),,30,,BSC 33-30 (+3),,"GOOD 3PTR by GLOVER,CAMERON",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
03:10,,33 (+1),,32,"GOOD LAYUP by COUCH,LUKE(in the paint)",BU 33-32 (+1),,"GOOD LAYUP by COUCH,LUKE(in the paint)",1
--,,,,,"ASSIST  by CHAMP,RANCE",,,"ASSIST  by CHAMP,RANCE",1
03:05,"FOUL  by GLOVER,CAMERON",,,,,,,"FOUL  by GLOVER,CAMERON",1
03:05,"TURNOVER  by GLOVER,CAMERON",,,,,,,"TURNOVER  by GLOVER,CAMERON",1
03:05,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
03:05,,,,,"SUB OUT by COUCH,LUKE",,,"SUB OUT by COUCH,LUKE",1
03:05,,,,,"SUB IN by WOMACK,NEHEMIAH",,,"SUB IN by WOMACK,NEHEMIAH",1
02:53,,,,,"MISS 3PTR by WOMACK,NEHEMIAH",,,"MISS 3PTR by WOMACK,NEHEMIAH",1
--,"REBOUND DEF by BRIGHT JR.,BRUCE",,,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
02:36,"GOOD JUMPER by GLOVER,CAMERON",35 (+3),,32,,BSC 35-32 (+3),,"GOOD JUMPER by GLOVER,CAMERON",1
--,"ASSIST  by BRIGHT JR.,BRUCE",,,,,,,"ASSIST  by BRIGHT JR.,BRUCE",1
02:25,,,,,"TURNOVER  by CHAMP,RANCE",,,"TURNOVER  by CHAMP,RANCE",1
02:25,"STEAL  by BRIGHT JR.,BRUCE",,,,,,,"STEAL  by BRIGHT JR.,BRUCE",1
02:20,"TURNOVER  by BRIGHT JR.,BRUCE",,,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",1
02:20,,,,,"STEAL  by CHAMP,RANCE",,,"STEAL  by CHAMP,RANCE",1
02:12,,,,,"MISS 3PTR by ANDERSON, JR.,TERRAN",,,"MISS 3PTR by ANDERSON, JR.,TERRAN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
01:52,,,,,"FOUL  by ANDERSON, JR.,TERRAN",,,"FOUL  by ANDERSON, JR.,TERRAN",1
01:52,,,,,"SUB OUT by WOMACK,NEHEMIAH",,,"SUB OUT by WOMACK,NEHEMIAH",1
01:52,,,,,"SUB OUT by CHAMP,RANCE",,,"SUB OUT by CHAMP,RANCE",1
01:52,,,,,"SUB IN by COUCH,LUKE",,,"SUB IN by COUCH,LUKE",1
01:52,,,,,"SUB IN by JONES,JOSEPH",,,"SUB IN by JONES,JOSEPH",1
01:52,"SUB OUT by BRIGHT JR.,BRUCE",,,,,,,"SUB OUT by BRIGHT JR.,BRUCE",1
01:52,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
01:43,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
01:43,"TURNOVER  by STEWART,CHRISTIAN",,,,,,,"TURNOVER  by STEWART,CHRISTIAN",1
01:29,,,,,"MISS LAYUP by JONES,JOSEPH(in the paint)",,,"MISS LAYUP by JONES,JOSEPH(in the paint)",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
01:23,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
01:23,,,,,"STEAL  by ANDERSON, JR.,TERRAN",,,"STEAL  by ANDERSON, JR.,TERRAN",1
01:18,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
01:18,,,,,"MISS FT by JONES,JOSEPH(fastbreak)",,,"MISS FT by JONES,JOSEPH(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:18,,,,,"SUB OUT by COUCH,LUKE",,,"SUB OUT by COUCH,LUKE",1
01:18,,,,,"SUB IN by EDWARDS,KORRI",,,"SUB IN by EDWARDS,KORRI",1
