Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,MUM,Game Score,Team Indicator,Play,Period
14:04,,,,,"TURNOVER  by DAVIS,BLAKE",,,"TURNOVER  by DAVIS,BLAKE",2
13:57,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
13:57,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",2
13:38,,38,,50 (+12),"GOOD 3PTR by DAVIS,BLAKE",MUM 38-50 (-12),,"GOOD 3PTR by DAVIS,BLAKE",2
--,,,,,"ASSIST  by HILL,RAE",,,"ASSIST  by HILL,RAE",2
13:17,,,,,"FOUL  by HILL,RAE",,,"FOUL  by HILL,RAE",2
13:17,"GOOD FT by BORN,LEO",39,,50 (+11),,SEWM 39-50 (-11),,"GOOD FT by BORN,LEO",2
13:17,"GOOD FT by BORN,LEO",40,,50 (+10),,SEWM 40-50 (-10),,"GOOD FT by BORN,LEO",2
13:17,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
13:17,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
13:17,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
13:17,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
13:06,,,,,"MISS 3PTR by DAVIS,BLAKE",,,"MISS 3PTR by DAVIS,BLAKE",2
--,,,,,"REBOUND OFF by WHITLEY,JACKSON",,,"REBOUND OFF by WHITLEY,JACKSON",2
13:02,,40,,52 (+12),"GOOD LAYUP by WHITLEY,JACKSON(in the paint)",MUM 40-52 (-12),,"GOOD LAYUP by WHITLEY,JACKSON(in the paint)",2
12:36,"MISS LAYUP by THOMAS,ADRIAN",,,,,,,"MISS LAYUP by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
12:29,,,,,"MISS LAYUP by REESE,TROYNELL",,,"MISS LAYUP by REESE,TROYNELL",2
12:29,"BLOCK  by STONE,BRODY",,,,,,,"BLOCK  by STONE,BRODY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
12:01,,,,,"MISS JUMPER by HILL,RAE",,,"MISS JUMPER by HILL,RAE",2
--,,,,,"REBOUND OFF by REESE,TROYNELL",,,"REBOUND OFF by REESE,TROYNELL",2
11:57,,40,,54 (+14),"GOOD JUMPER by REESE,TROYNELL(in the paint)",MUM 40-54 (-14),,"GOOD JUMPER by REESE,TROYNELL(in the paint)",2
11:43,"GOOD JUMPER by STONE,BRODY",42,,54 (+12),,SEWM 42-54 (-12),,"GOOD JUMPER by STONE,BRODY",2
11:18,,,,,"MISS LAYUP by HILL,RAE",,,"MISS LAYUP by HILL,RAE",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
11:03,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
10:56,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",2
10:55,,,,,"STEAL  by HILL,RAE",,,"STEAL  by HILL,RAE",2
10:52,,42,,56 (+14),"GOOD LAYUP by HILL,RAE(fastbreak)(in the paint)",MUM 42-56 (-14),,"GOOD LAYUP by HILL,RAE(fastbreak)(in the paint)",2
10:37,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",2
--,,,,,"REBOUND DEF by REESE,TROYNELL",,,"REBOUND DEF by REESE,TROYNELL",2
10:19,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
10:19,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
10:19,,42,,57 (+15),"GOOD FT by HILL,RAE",MUM 42-57 (-15),,"GOOD FT by HILL,RAE",2
10:19,,42,,58 (+16),"GOOD FT by HILL,RAE",MUM 42-58 (-16),,"GOOD FT by HILL,RAE",2
10:19,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
10:19,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
10:12,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
10:04,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
09:35,,42,,61 (+19),"GOOD 3PTR by HILL,RAE",MUM 42-61 (-19),,"GOOD 3PTR by HILL,RAE",2
09:11,"GOOD LAYUP by STONE,BRODY(in the paint)",44,,61 (+17),,SEWM 44-61 (-17),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
09:10,,,,,"FOUL  by WHITLEY,JACKSON",,,"FOUL  by WHITLEY,JACKSON",2
09:10,"GOOD FT by STONE,BRODY",45,,61 (+16),,SEWM 45-61 (-16),,"GOOD FT by STONE,BRODY",2
09:10,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
09:10,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
09:10,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
09:10,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
09:10,,,,,"SUB IN by BAGGETT,WILL",,,"SUB IN by BAGGETT,WILL",2
09:10,,,,,"SUB IN by AYABARRENO,DAVION",,,"SUB IN by AYABARRENO,DAVION",2
09:10,,,,,"SUB OUT by WHITLEY,JACKSON",,,"SUB OUT by WHITLEY,JACKSON",2
09:10,,,,,"SUB OUT by HILL,RAE",,,"SUB OUT by HILL,RAE",2
08:40,,,,,"MISS 3PTR by AUGHBURNS,IRVING",,,"MISS 3PTR by AUGHBURNS,IRVING",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
08:26,"GOOD LAYUP by STONE,BRODY(in the paint)",47,,61 (+14),,SEWM 47-61 (-14),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
07:54,,,,,"TURNOVER  by AUGHBURNS,IRVING",,,"TURNOVER  by AUGHBURNS,IRVING",2
07:32,"GOOD LAYUP by CALDWELL,CAM(in the paint)",49,,61 (+12),,SEWM 49-61 (-12),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",2
07:03,,49,,64 (+15),"GOOD 3PTR by AYABARRENO,DAVION",MUM 49-64 (-15),,"GOOD 3PTR by AYABARRENO,DAVION",2
--,,,,,"ASSIST  by AUGHBURNS,IRVING",,,"ASSIST  by AUGHBURNS,IRVING",2
06:41,"MISS JUMPER by THOMAS,ADRIAN",,,,,,,"MISS JUMPER by THOMAS,ADRIAN",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
06:39,"GOOD LAYUP by STONE,BRODY(in the paint)",51,,64 (+13),,SEWM 51-64 (-13),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
06:39,,,,,"FOUL  by BAGGETT,WILL",,,"FOUL  by BAGGETT,WILL",2
06:39,"GOOD FT by STONE,BRODY",52,,64 (+12),,SEWM 52-64 (-12),,"GOOD FT by STONE,BRODY",2
06:39,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
06:39,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
06:39,,,,,"SUB IN by WHITLEY,JACKSON",,,"SUB IN by WHITLEY,JACKSON",2
06:39,,,,,"SUB IN by ROUSE,BRYAN",,,"SUB IN by ROUSE,BRYAN",2
06:39,,,,,"SUB OUT by BAGGETT,WILL",,,"SUB OUT by BAGGETT,WILL",2
06:39,,,,,"SUB OUT by REESE,TROYNELL",,,"SUB OUT by REESE,TROYNELL",2
06:18,,,,,"MISS JUMPER by AUGHBURNS,IRVING",,,"MISS JUMPER by AUGHBURNS,IRVING",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
05:58,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
05:58,,,,,"BLOCK  by WHITLEY,JACKSON",,,"BLOCK  by WHITLEY,JACKSON",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
05:55,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
05:33,,52,,66 (+14),"GOOD JUMPER by AYABARRENO,DAVION",MUM 52-66 (-14),,"GOOD JUMPER by AYABARRENO,DAVION",2
--,,,,,"ASSIST  by ROUSE,BRYAN",,,"ASSIST  by ROUSE,BRYAN",2
05:18,,,,,"FOUL  by DAVIS,BLAKE",,,"FOUL  by DAVIS,BLAKE",2
05:18,"GOOD FT by STONE,BRODY",53,,66 (+13),,SEWM 53-66 (-13),,"GOOD FT by STONE,BRODY",2
05:18,"GOOD FT by STONE,BRODY",54,,66 (+12),,SEWM 54-66 (-12),,"GOOD FT by STONE,BRODY",2
05:18,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
05:18,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
05:18,,,,,"SUB IN by HILL,RAE",,,"SUB IN by HILL,RAE",2
05:18,,,,,"SUB OUT by DAVIS,BLAKE",,,"SUB OUT by DAVIS,BLAKE",2
04:54,,54,,69 (+15),"GOOD 3PTR by HILL,RAE",MUM 54-69 (-15),,"GOOD 3PTR by HILL,RAE",2
04:28,"GOOD DUNK by STONE,BRODY(in the paint)",56,,69 (+13),,SEWM 56-69 (-13),,"GOOD DUNK by STONE,BRODY(in the paint)",2
--,"ASSIST  by BORN,LEO",,,,,,,"ASSIST  by BORN,LEO",2
04:18,,,,,"TURNOVER  by AYABARRENO,DAVION",,,"TURNOVER  by AYABARRENO,DAVION",2
04:18,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
04:12,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",2
04:07,"MISS LAYUP by BORN,LEO",,,,,,,"MISS LAYUP by BORN,LEO",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
04:04,"GOOD LAYUP by STONE,BRODY(in the paint)",58,,69 (+11),,SEWM 58-69 (-11),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
03:54,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
03:54,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
03:46,,,,,"TURNOVER  by ROUSE,BRYAN",,,"TURNOVER  by ROUSE,BRYAN",2
03:46,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
03:32,"GOOD LAYUP by CALDWELL,CAM(in the paint)",60,,69 (+9),,SEWM 60-69 (-9),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
03:06,,,,,"MISS LAYUP by HILL,RAE",,,"MISS LAYUP by HILL,RAE",2
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",2
02:54,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
02:51,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
02:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
02:41,,60,,71 (+11),"GOOD DUNK by WHITLEY,JACKSON(fastbreak)(in the paint)",MUM 60-71 (-11),,"GOOD DUNK by WHITLEY,JACKSON(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by AUGHBURNS,IRVING",,,"ASSIST  by AUGHBURNS,IRVING",2
02:28,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
02:19,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",2
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",2
02:16,"MISS TIPIN by STONE,BRODY",,,,,,,"MISS TIPIN by STONE,BRODY",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
02:14,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
02:14,,60,,72 (+12),"GOOD FT by WHITLEY,JACKSON",MUM 60-72 (-12),,"GOOD FT by WHITLEY,JACKSON",2
02:14,,60,,73 (+13),"GOOD FT by WHITLEY,JACKSON",MUM 60-73 (-13),,"GOOD FT by WHITLEY,JACKSON",2
02:02,"GOOD LAYUP by STONE,BRODY(in the paint)",62,,73 (+11),,SEWM 62-73 (-11),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
01:51,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
01:51,,62,,74 (+12),"GOOD FT by AUGHBURNS,IRVING",MUM 62-74 (-12),,"GOOD FT by AUGHBURNS,IRVING",2
01:51,,62,,75 (+13),"GOOD FT by AUGHBURNS,IRVING",MUM 62-75 (-13),,"GOOD FT by AUGHBURNS,IRVING",2
01:51,,,,,"SUB IN by DAVIS,BLAKE",,,"SUB IN by DAVIS,BLAKE",2
01:51,,,,,"SUB OUT by ROUSE,BRYAN",,,"SUB OUT by ROUSE,BRYAN",2
01:37,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
01:35,,,,,"TURNOVER  by WHITLEY,JACKSON",,,"TURNOVER  by WHITLEY,JACKSON",2
01:35,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
01:35,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
01:22,"GOOD LAYUP by BORN,CLAY(in the paint)",64,,75 (+11),,SEWM 64-75 (-11),,"GOOD LAYUP by BORN,CLAY(in the paint)",2
00:45,,64,,77 (+13),"GOOD LAYUP by HILL,RAE(in the paint)",MUM 64-77 (-13),,"GOOD LAYUP by HILL,RAE(in the paint)",2
--,,,,,"ASSIST  by DAVIS,BLAKE",,,"ASSIST  by DAVIS,BLAKE",2
00:37,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WHITLEY,JACKSON",,,"REBOUND DEF by WHITLEY,JACKSON",2
00:14,,,,,"TURNOVER  by DAVIS,BLAKE",,,"TURNOVER  by DAVIS,BLAKE",2
00:13,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
00:12,"GOOD LAYUP by BORN,LEO(fastbreak)(in the paint)",66,,77 (+11),,SEWM 66-77 (-11),,"GOOD LAYUP by BORN,LEO(fastbreak)(in the paint)",2
