Time Remaining,SEWANEEM,Away Team Score,Play Team Indicator,Home Team Score,16BSC-M,Game Score,Team Indicator,Play,Period
12:49,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
12:48,"GOOD 3PTR by BORN,LEO",10,,12 (+2),,SEWANEEM 10-12 (-2),,"GOOD 3PTR by BORN,LEO",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
12:28,,10,,14 (+4),"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 10-14 (-4),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
12:12,"GOOD LAYUP by BORN,LEO(in the paint)",12,,14 (+2),,SEWANEEM 12-14 (-2),,"GOOD LAYUP by BORN,LEO(in the paint)",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
12:12,,,,,"FOUL  by PERKINS,ALEX",,,"FOUL  by PERKINS,ALEX",1
12:12,"GOOD FT by BORN,LEO",13,,14 (+1),,SEWANEEM 13-14 (-1),,"GOOD FT by BORN,LEO",1
12:12,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
12:12,SUB OUT by 0,,,,,,,SUB OUT by 0,1
11:54,,,,,"MISS LAYUP by GRAHAM,CHRIS",,,"MISS LAYUP by GRAHAM,CHRIS",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
11:49,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
11:48,,,,,"STEAL  by GRAHAM,CHRIS",,,"STEAL  by GRAHAM,CHRIS",1
11:47,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
11:47,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:47,,,,,"MISS FT by THOM,IAN",,,"MISS FT by THOM,IAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
11:47,,13,,15 (+2),"GOOD FT by THOM,IAN",16BSC-M 13-15 (-2),,"GOOD FT by THOM,IAN",1
11:47,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
11:47,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
11:47,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
11:47,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
11:47,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
11:47,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
11:47,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
11:47,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
11:19,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
11:19,"GOOD FT by BUESCHER,HUNTER",14,,15 (+1),,SEWANEEM 14-15 (-1),,"GOOD FT by BUESCHER,HUNTER",1
11:19,"GOOD FT by BUESCHER,HUNTER",15,,15,,SEWANEEM 15-15 (0),,"GOOD FT by BUESCHER,HUNTER",1
11:19,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
11:19,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
11:19,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
11:19,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
11:07,,15,,18 (+3),"GOOD 3PTR by DENEKA,HARRISON",16BSC-M 15-18 (-3),,"GOOD 3PTR by DENEKA,HARRISON",1
--,,,,,"ASSIST  by LEWIS,EVAN",,,"ASSIST  by LEWIS,EVAN",1
10:42,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:22,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
10:22,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
10:22,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
10:22,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
09:59,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by RUDAK,MATTY",,,"REBOUND OFF by RUDAK,MATTY",1
09:53,,15,,19 (+4),"GOOD FT by RUDAK,MATTY",16BSC-M 15-19 (-4),,"GOOD FT by RUDAK,MATTY",1
09:53,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
09:53,,,,,"MISS FT by RUDAK,MATTY",,,"MISS FT by RUDAK,MATTY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
09:36,"MISS LAYUP by CRUMLY,JONNY",,,,,,,"MISS LAYUP by CRUMLY,JONNY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
09:34,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
09:31,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
09:31,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
09:22,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
09:22,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
09:20,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
08:51,,,,,"FOUL  by MCLEAN,JAMES",,,"FOUL  by MCLEAN,JAMES",1
08:51,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
08:51,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
08:51,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
08:51,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
08:41,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by BAK,CALVIN",,,"REBOUND DEF by BAK,CALVIN",1
08:37,"FOUL  by CRUMLY,JONNY",,,,,,,"FOUL  by CRUMLY,JONNY",1
08:37,,15,,20 (+5),"GOOD FT by BAK,CALVIN",16BSC-M 15-20 (-5),,"GOOD FT by BAK,CALVIN",1
08:37,,15,,21 (+6),"GOOD FT by BAK,CALVIN",16BSC-M 15-21 (-6),,"GOOD FT by BAK,CALVIN",1
08:12,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
08:12,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:12,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
08:12,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
08:12,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
07:57,,15,,23 (+8),"GOOD DUNK by GRAHAM,CHRIS(in the paint)",16BSC-M 15-23 (-8),,"GOOD DUNK by GRAHAM,CHRIS(in the paint)",1
--,,,,,"ASSIST  by MCLEAN,JAMES",,,"ASSIST  by MCLEAN,JAMES",1
07:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:36,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
07:36,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
07:36,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
07:36,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
07:36,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
07:36,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
07:36,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
07:36,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
07:36,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
07:36,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
07:36,,,,,"SUB IN by PERKINS,ALEX",,,"SUB IN by PERKINS,ALEX",1
07:36,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
07:36,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
07:36,,,,,"SUB OUT by THOM,IAN",,,"SUB OUT by THOM,IAN",1
07:15,,15,,25 (+10),"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",16BSC-M 15-25 (-10),,"GOOD LAYUP by GRAHAM,CHRIS(in the paint)",1
06:48,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,"REBOUND OFF by BORN,CLAY",,,,,,,"REBOUND OFF by BORN,CLAY",1
06:43,"GOOD 3PTR by BORN,CLAY",18,,25 (+7),,SEWANEEM 18-25 (-7),,"GOOD 3PTR by BORN,CLAY",1
06:25,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",1
06:25,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
06:25,,,,,"SUB IN by DENEKA,HARRISON",,,"SUB IN by DENEKA,HARRISON",1
06:25,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
06:12,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
06:10,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",20,,25 (+5),,SEWANEEM 20-25 (-5),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
06:10,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
06:10,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
06:10,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
06:10,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
06:10,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
06:10,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
06:09,,20,,27 (+7),"GOOD LAYUP by MCLEAN,JAMES(in the paint)",16BSC-M 20-27 (-7),,"GOOD LAYUP by MCLEAN,JAMES(in the paint)",1
06:09,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
06:09,,20,,28 (+8),"GOOD FT by MCLEAN,JAMES",16BSC-M 20-28 (-8),,"GOOD FT by MCLEAN,JAMES",1
06:09,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
06:09,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
06:09,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
06:09,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
06:09,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
06:09,,,,,"SUB IN by RUDAK,MATTY",,,"SUB IN by RUDAK,MATTY",1
06:09,,,,,"SUB IN by THOM,IAN",,,"SUB IN by THOM,IAN",1
06:09,,,,,"SUB OUT by GRAHAM,CHRIS",,,"SUB OUT by GRAHAM,CHRIS",1
06:09,,,,,"SUB OUT by MCLEAN,JAMES",,,"SUB OUT by MCLEAN,JAMES",1
05:52,"GOOD JUMPER by LEE,MATTHEW",22,,28 (+6),,SEWANEEM 22-28 (-6),,"GOOD JUMPER by LEE,MATTHEW",1
05:24,"FOUL  by LEE,MATTHEW",,,,,,,"FOUL  by LEE,MATTHEW",1
05:24,,22,,29 (+7),"GOOD FT by RUDAK,MATTY",16BSC-M 22-29 (-7),,"GOOD FT by RUDAK,MATTY",1
05:24,,22,,30 (+8),"GOOD FT by RUDAK,MATTY",16BSC-M 22-30 (-8),,"GOOD FT by RUDAK,MATTY",1
05:24,,,,,"SUB IN by MCLEAN,JAMES",,,"SUB IN by MCLEAN,JAMES",1
05:24,,,,,"SUB OUT by PERKINS,ALEX",,,"SUB OUT by PERKINS,ALEX",1
05:04,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
04:48,,22,,32 (+10),"GOOD JUMPER by DENEKA,HARRISON(in the paint)",16BSC-M 22-32 (-10),,"GOOD JUMPER by DENEKA,HARRISON(in the paint)",1
04:33,"GOOD LAYUP by CALDWELL,CAM(in the paint)",24,,32 (+8),,SEWANEEM 24-32 (-8),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
04:18,,24,,34 (+10),"GOOD LAYUP by DENEKA,HARRISON(in the paint)",16BSC-M 24-34 (-10),,"GOOD LAYUP by DENEKA,HARRISON(in the paint)",1
--,,,,,"ASSIST  by RUDAK,MATTY",,,"ASSIST  by RUDAK,MATTY",1
03:57,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",26,,34 (+8),,SEWANEEM 26-34 (-8),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
03:57,,,,,"FOUL  by RUDAK,MATTY",,,"FOUL  by RUDAK,MATTY",1
03:57,"GOOD FT by THOMAS,ADRIAN",27,,34 (+7),,SEWANEEM 27-34 (-7),,"GOOD FT by THOMAS,ADRIAN",1
03:57,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
03:57,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
03:57,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
03:57,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
03:57,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
03:57,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
03:57,,,,,"SUB IN by GRAHAM,CHRIS",,,"SUB IN by GRAHAM,CHRIS",1
03:57,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:57,,,,,"SUB OUT by RUDAK,MATTY",,,"SUB OUT by RUDAK,MATTY",1
03:57,,,,,"SUB OUT by LEWIS,EVAN",,,"SUB OUT by LEWIS,EVAN",1
03:45,,,,,"TURNOVER  by MCLEAN,JAMES",,,"TURNOVER  by MCLEAN,JAMES",1
03:31,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
03:30,,,,,"STEAL  by DENEKA,HARRISON",,,"STEAL  by DENEKA,HARRISON",1
03:16,,,,,"MISS LAYUP by DENEKA,HARRISON",,,"MISS LAYUP by DENEKA,HARRISON",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
03:16,,,,,"FOUL  by DENEKA,HARRISON",,,"FOUL  by DENEKA,HARRISON",1
03:16,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,,,,,"REBOUND DEF by GRAHAM,CHRIS",,,"REBOUND DEF by GRAHAM,CHRIS",1
03:16,,,,,"SUB IN by LEWIS,EVAN",,,"SUB IN by LEWIS,EVAN",1
03:16,,,,,"SUB OUT by DENEKA,HARRISON",,,"SUB OUT by DENEKA,HARRISON",1
02:57,,27,,36 (+9),"GOOD LAYUP by THOM,IAN(in the paint)",16BSC-M 27-36 (-9),,"GOOD LAYUP by THOM,IAN(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
02:42,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",29,,36 (+7),,SEWANEEM 29-36 (-7),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
02:26,,,,,"TURNOVER  by GRAHAM,CHRIS",,,"TURNOVER  by GRAHAM,CHRIS",1
02:24,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
02:17,"GOOD JUMPER by WILLIAMS,JORDEN",31,,36 (+5),,SEWANEEM 31-36 (-5),,"GOOD JUMPER by WILLIAMS,JORDEN",1
02:12,"FOUL  by BUESCHER,HUNTER",,,,,,,"FOUL  by BUESCHER,HUNTER",1
02:12,,31,,37 (+6),"GOOD FT by THOM,IAN",16BSC-M 31-37 (-6),,"GOOD FT by THOM,IAN",1
02:12,,31,,38 (+7),"GOOD FT by THOM,IAN",16BSC-M 31-38 (-7),,"GOOD FT by THOM,IAN",1
02:12,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
02:12,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
01:41,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
01:34,,,,,"FOUL  by THOM,IAN",,,"FOUL  by THOM,IAN",1
01:34,"GOOD FT by BORN,LEO",32,,38 (+6),,SEWANEEM 32-38 (-6),,"GOOD FT by BORN,LEO",1
01:34,"GOOD FT by BORN,LEO",33,,38 (+5),,SEWANEEM 33-38 (-5),,"GOOD FT by BORN,LEO",1
01:14,,,,,"MISS JUMPER by LEWIS,EVAN",,,"MISS JUMPER by LEWIS,EVAN",1
01:14,"BLOCK  by BORN,LEO",,,,,,,"BLOCK  by BORN,LEO",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
01:04,"GOOD LAYUP by BORN,LEO(in the paint)",35,,38 (+3),,SEWANEEM 35-38 (-3),,"GOOD LAYUP by BORN,LEO(in the paint)",1
00:43,,35,,40 (+5),"GOOD LAYUP by RUDAK,MATTY(in the paint)",16BSC-M 35-40 (-5),,"GOOD LAYUP by RUDAK,MATTY(in the paint)",1
00:21,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
