Time Remaining,STE,Away Team Score,Play Team Indicator,Home Team Score,SEWM,Game Score,Team Indicator,Play,Period
11:53,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",1
11:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:53,"GOOD FT by HAYES,CAMERON",17,,18 (+1),,STE 17-18 (+1),,"GOOD FT by HAYES,CAMERON",1
11:53,"GOOD FT by HAYES,CAMERON",18,,18,,STE 18-18 (0),,"GOOD FT by HAYES,CAMERON",1
11:53,"SUB IN by WOOLDRIDGE,KYLE",,,,,,,"SUB IN by WOOLDRIDGE,KYLE",1
11:53,"SUB OUT by MCNEAL,TIM",,,,,,,"SUB OUT by MCNEAL,TIM",1
11:53,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
11:53,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:53,,,,,"SUB OUT by SPENCER,JC",,,"SUB OUT by SPENCER,JC",1
11:53,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
11:27,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by WOOLDRIDGE,KYLE",,,,,,,"REBOUND DEF by WOOLDRIDGE,KYLE",1
11:14,"GOOD JUMPER by TERRELL,MARK",20 (+2),,18,,STE 20-18 (-2),,"GOOD JUMPER by TERRELL,MARK",1
10:57,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by COLLINS,CHRISTIAN",,,,,,,"REBOUND DEF by COLLINS,CHRISTIAN",1
10:49,"MISS JUMPER by HAYES,CAMERON",,,,,,,"MISS JUMPER by HAYES,CAMERON",1
--,"REBOUND OFF by WOOLDRIDGE,KYLE",,,,,,,"REBOUND OFF by WOOLDRIDGE,KYLE",1
10:45,"MISS 3PTR by TERRELL,MARK",,,,,,,"MISS 3PTR by TERRELL,MARK",1
--,,,,,"REBOUND DEF by THOMAS,ADRIAN",,,"REBOUND DEF by THOMAS,ADRIAN",1
10:28,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
10:28,"STEAL  by COLLINS,CHRISTIAN",,,,,,,"STEAL  by COLLINS,CHRISTIAN",1
10:28,,,,,"FOUL  by WILLIAMS,JORDEN",,,"FOUL  by WILLIAMS,JORDEN",1
10:28,"GOOD FT by COLLINS,CHRISTIAN",21 (+3),,18,,STE 21-18 (-3),,"GOOD FT by COLLINS,CHRISTIAN",1
10:28,"MISS FT by COLLINS,CHRISTIAN",,,,,,,"MISS FT by COLLINS,CHRISTIAN",1
--,"REBOUND OFF by COLLINS,CHRISTIAN",,,,,,,"REBOUND OFF by COLLINS,CHRISTIAN",1
10:21,"TURNOVER  by WOOLDRIDGE,KYLE",,,,,,,"TURNOVER  by WOOLDRIDGE,KYLE",1
10:20,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
10:12,"FOUL  by CORNISH,CLIFF",,,,,,,"FOUL  by CORNISH,CLIFF",1
10:12,"SUB IN by CORNISH,CLIFF",,,,,,,"SUB IN by CORNISH,CLIFF",1
10:12,"SUB IN by YOUNG,BENJAMIN",,,,,,,"SUB IN by YOUNG,BENJAMIN",1
10:12,"SUB IN by MCNEAL,TIM",,,,,,,"SUB IN by MCNEAL,TIM",1
10:12,"SUB IN by WIEBUSCH,BEN",,,,,,,"SUB IN by WIEBUSCH,BEN",1
10:12,"SUB OUT by TERRELL,MARK",,,,,,,"SUB OUT by TERRELL,MARK",1
10:12,"SUB OUT by WOOLDRIDGE,KYLE",,,,,,,"SUB OUT by WOOLDRIDGE,KYLE",1
10:12,"SUB OUT by HAYES,CAMERON",,,,,,,"SUB OUT by HAYES,CAMERON",1
10:12,"SUB OUT by COLLINS,CHRISTIAN",,,,,,,"SUB OUT by COLLINS,CHRISTIAN",1
10:06,,,,,"SUB IN by LEE,MATTHEW",,,"SUB IN by LEE,MATTHEW",1
10:06,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
09:49,"FOUL  by WOOLDRIDGE,KYLE",,,,,,,"FOUL  by WOOLDRIDGE,KYLE",1
09:49,,21 (+2),,19,"GOOD FT by BORN,LEO",SEWM 21-19 (-2),,"GOOD FT by BORN,LEO",1
09:49,,21 (+1),,20,"GOOD FT by BORN,LEO",SEWM 21-20 (-1),,"GOOD FT by BORN,LEO",1
09:49,"SUB IN by WOOLDRIDGE,KYLE",,,,,,,"SUB IN by WOOLDRIDGE,KYLE",1
09:49,"SUB OUT by JR,KOREY HAYMAN",,,,,,,"SUB OUT by JR,KOREY HAYMAN",1
09:49,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
09:49,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
09:19,"GOOD LAYUP by YOUNG,BENJAMIN(in the paint)",23 (+3),,20,,STE 23-20 (-3),,"GOOD LAYUP by YOUNG,BENJAMIN(in the paint)",1
--,"ASSIST  by WIEBUSCH,BEN",,,,,,,"ASSIST  by WIEBUSCH,BEN",1
09:00,,23,,23,"GOOD 3PTR by BORN,CLAY",SEWM 23-23 (0),,"GOOD 3PTR by BORN,CLAY",1
--,,,,,"ASSIST  by BORN,LEO",,,"ASSIST  by BORN,LEO",1
08:47,"TURNOVER  by WIEBUSCH,BEN",,,,,,,"TURNOVER  by WIEBUSCH,BEN",1
08:46,,,,,"STEAL  by BUESCHER,HUNTER",,,"STEAL  by BUESCHER,HUNTER",1
08:41,,,,,"MISS 3PTR by LEE,MATTHEW",,,"MISS 3PTR by LEE,MATTHEW",1
--,"REBOUND DEF by CORNISH,CLIFF",,,,,,,"REBOUND DEF by CORNISH,CLIFF",1
08:29,"GOOD JUMPER by MCNEAL,TIM",25 (+2),,23,,STE 25-23 (-2),,"GOOD JUMPER by MCNEAL,TIM",1
08:10,,,,,"TURNOVER  by BORN,CLAY",,,"TURNOVER  by BORN,CLAY",1
08:10,,,,,"SUB IN by CRUMLY,JONNY",,,"SUB IN by CRUMLY,JONNY",1
08:10,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
08:10,,,,,"SUB IN by THOMAS,ADRIAN",,,"SUB IN by THOMAS,ADRIAN",1
08:10,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
08:10,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
08:10,,,,,"SUB OUT by LEE,MATTHEW",,,"SUB OUT by LEE,MATTHEW",1
07:58,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
07:58,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:58,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
07:58,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
07:56,,,,,"FOUL  by THOMAS,ADRIAN",,,"FOUL  by THOMAS,ADRIAN",1
07:56,"GOOD FT by CORNISH,CLIFF",26 (+3),,23,,STE 26-23 (-3),,"GOOD FT by CORNISH,CLIFF",1
07:56,"MISS FT by CORNISH,CLIFF",,,,,,,"MISS FT by CORNISH,CLIFF",1
--,,,,,"REBOUND DEF by CRUMLY,JONNY",,,"REBOUND DEF by CRUMLY,JONNY",1
07:35,,,,,"MISS LAYUP by CALDWELL,CAM",,,"MISS LAYUP by CALDWELL,CAM",1
07:35,"BLOCK  by CORNISH,CLIFF",,,,,,,"BLOCK  by CORNISH,CLIFF",1
--,"REBOUND DEF by MCNEAL,TIM",,,,,,,"REBOUND DEF by MCNEAL,TIM",1
07:28,"MISS 3PTR by WOOLDRIDGE,KYLE",,,,,,,"MISS 3PTR by WOOLDRIDGE,KYLE",1
--,"REBOUND OFF by CORNISH,CLIFF",,,,,,,"REBOUND OFF by CORNISH,CLIFF",1
07:23,"MISS TIPIN by CORNISH,CLIFF",,,,,,,"MISS TIPIN by CORNISH,CLIFF",1
--,"REBOUND OFF by CORNISH,CLIFF",,,,,,,"REBOUND OFF by CORNISH,CLIFF",1
07:19,"GOOD LAYUP by CORNISH,CLIFF(in the paint)",28 (+5),,23,,STE 28-23 (-5),,"GOOD LAYUP by CORNISH,CLIFF(in the paint)",1
07:11,"FOUL  by WIEBUSCH,BEN",,,,,,,"FOUL  by WIEBUSCH,BEN",1
07:11,"SUB IN by HAYES,CAMERON",,,,,,,"SUB IN by HAYES,CAMERON",1
07:11,"SUB OUT by YOUNG,BENJAMIN",,,,,,,"SUB OUT by YOUNG,BENJAMIN",1
07:11,,,,,"SUB IN by BORN,LEO",,,"SUB IN by BORN,LEO",1
07:11,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
07:11,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
07:11,,,,,"SUB OUT by THOMAS,ADRIAN",,,"SUB OUT by THOMAS,ADRIAN",1
06:59,,,,,"MISS 3PTR by STONE,BRODY",,,"MISS 3PTR by STONE,BRODY",1
--,"REBOUND DEF by WOOLDRIDGE,KYLE",,,,,,,"REBOUND DEF by WOOLDRIDGE,KYLE",1
06:42,"MISS JUMPER by WIEBUSCH,BEN",,,,,,,"MISS JUMPER by WIEBUSCH,BEN",1
--,"REBOUND OFF by TERRELL,MARK",,,,,,,"REBOUND OFF by TERRELL,MARK",1
06:37,"TURNOVER  by TERRELL,MARK",,,,,,,"TURNOVER  by TERRELL,MARK",1
06:35,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
06:30,"FOUL  by HAYES,CAMERON",,,,,,,"FOUL  by HAYES,CAMERON",1
06:30,,28 (+4),,24,"GOOD FT by CRUMLY,JONNY",SEWM 28-24 (-4),,"GOOD FT by CRUMLY,JONNY",1
06:30,,28 (+3),,25,"GOOD FT by CRUMLY,JONNY",SEWM 28-25 (-3),,"GOOD FT by CRUMLY,JONNY",1
06:30,"SUB IN by TERRELL,MARK",,,,,,,"SUB IN by TERRELL,MARK",1
06:30,"SUB OUT by CORNISH,CLIFF",,,,,,,"SUB OUT by CORNISH,CLIFF",1
06:30,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
06:30,,,,,"SUB OUT by CRUMLY,JONNY",,,"SUB OUT by CRUMLY,JONNY",1
06:20,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
06:20,"GOOD FT by HAYES,CAMERON",29 (+4),,25,,STE 29-25 (-4),,"GOOD FT by HAYES,CAMERON",1
06:20,"GOOD FT by HAYES,CAMERON",30 (+5),,25,,STE 30-25 (-5),,"GOOD FT by HAYES,CAMERON",1
06:12,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by MCNEAL,TIM",,,,,,,"REBOUND DEF by MCNEAL,TIM",1
05:57,"MISS LAYUP by MCNEAL,TIM",,,,,,,"MISS LAYUP by MCNEAL,TIM",1
--,"REBOUND OFF by TERRELL,MARK",,,,,,,"REBOUND OFF by TERRELL,MARK",1
05:54,"GOOD LAYUP by TERRELL,MARK(in the paint)",32 (+7),,25,,STE 32-25 (-7),,"GOOD LAYUP by TERRELL,MARK(in the paint)",1
05:54,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
05:54,"GOOD FT by TERRELL,MARK",33 (+8),,25,,STE 33-25 (-8),,"GOOD FT by TERRELL,MARK",1
05:27,,,,,"MISS 3PTR by BUESCHER,HUNTER",,,"MISS 3PTR by BUESCHER,HUNTER",1
--,"REBOUND DEF by MCNEAL,TIM",,,,,,,"REBOUND DEF by MCNEAL,TIM",1
05:14,"GOOD JUMPER by HAYES,CAMERON",35 (+10),,25,,STE 35-25 (-10),,"GOOD JUMPER by HAYES,CAMERON",1
04:50,"FOUL  by TERRELL,MARK",,,,,,,"FOUL  by TERRELL,MARK",1
04:50,,35 (+9),,26,"GOOD FT by BUESCHER,HUNTER",SEWM 35-26 (-9),,"GOOD FT by BUESCHER,HUNTER",1
04:50,,35 (+8),,27,"GOOD FT by BUESCHER,HUNTER",SEWM 35-27 (-8),,"GOOD FT by BUESCHER,HUNTER",1
04:50,"SUB IN by YOUNG,BENJAMIN",,,,,,,"SUB IN by YOUNG,BENJAMIN",1
04:50,"SUB OUT by TERRELL,MARK",,,,,,,"SUB OUT by TERRELL,MARK",1
04:35,"MISS JUMPER by HAYES,CAMERON",,,,,,,"MISS JUMPER by HAYES,CAMERON",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
04:15,,35 (+6),,29,"GOOD LAYUP by STONE,BRODY(in the paint)",SEWM 35-29 (-6),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
04:15,"FOUL  by YOUNG,BENJAMIN",,,,,,,"FOUL  by YOUNG,BENJAMIN",1
04:15,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",1
--,"REBOUND DEF by MCNEAL,TIM",,,,,,,"REBOUND DEF by MCNEAL,TIM",1
04:03,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
04:03,"GOOD FT by WOOLDRIDGE,KYLE",36 (+7),,29,,STE 36-29 (-7),,"GOOD FT by WOOLDRIDGE,KYLE",1
04:03,"GOOD FT by WOOLDRIDGE,KYLE",37 (+8),,29,,STE 37-29 (-8),,"GOOD FT by WOOLDRIDGE,KYLE",1
04:00,,,,,"TURNOVER  by BUESCHER,HUNTER",,,"TURNOVER  by BUESCHER,HUNTER",1
04:00,"STEAL  by HAYES,CAMERON",,,,,,,"STEAL  by HAYES,CAMERON",1
04:00,"TURNOVER  by HAYES,CAMERON",,,,,,,"TURNOVER  by HAYES,CAMERON",1
03:43,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,,,,,"REBOUND OFF by STONE,BRODY",,,"REBOUND OFF by STONE,BRODY",1
03:41,"FOUL  by MCNEAL,TIM",,,,,,,"FOUL  by MCNEAL,TIM",1
03:41,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:41,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:41,,37 (+7),,30,"GOOD FT by STONE,BRODY",SEWM 37-30 (-7),,"GOOD FT by STONE,BRODY",1
03:41,"SUB IN by TERRELL,MARK",,,,,,,"SUB IN by TERRELL,MARK",1
03:41,"SUB OUT by YOUNG,BENJAMIN",,,,,,,"SUB OUT by YOUNG,BENJAMIN",1
03:22,"MISS 3PTR by WOOLDRIDGE,KYLE",,,,,,,"MISS 3PTR by WOOLDRIDGE,KYLE",1
--,,,,,"REBOUND DEF by BUESCHER,HUNTER",,,"REBOUND DEF by BUESCHER,HUNTER",1
02:50,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",1
--,"REBOUND DEF by MCNEAL,TIM",,,,,,,"REBOUND DEF by MCNEAL,TIM",1
02:23,"GOOD 3PTR by WOOLDRIDGE,KYLE",40 (+10),,30,,STE 40-30 (-10),,"GOOD 3PTR by WOOLDRIDGE,KYLE",1
01:54,,,,,"MISS 3PTR by BORN,CLAY",,,"MISS 3PTR by BORN,CLAY",1
--,,,,,"REBOUND OFF by BORN,LEO",,,"REBOUND OFF by BORN,LEO",1
01:50,,,,,"MISS LAYUP by BORN,LEO",,,"MISS LAYUP by BORN,LEO",1
--,"REBOUND DEF by TERRELL,MARK",,,,,,,"REBOUND DEF by TERRELL,MARK",1
01:46,"TURNOVER  by TERRELL,MARK",,,,,,,"TURNOVER  by TERRELL,MARK",1
01:45,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
01:33,"FOUL  by TERRELL,MARK",,,,,,,"FOUL  by TERRELL,MARK",1
01:33,,,,,"MISS FT by STONE,BRODY",,,"MISS FT by STONE,BRODY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:33,,40 (+9),,31,"GOOD FT by STONE,BRODY",SEWM 40-31 (-9),,"GOOD FT by STONE,BRODY",1
01:18,"GOOD JUMPER by WIEBUSCH,BEN",42 (+11),,31,,STE 42-31 (-11),,"GOOD JUMPER by WIEBUSCH,BEN",1
00:47,,42 (+8),,34,"GOOD 3PTR by BORN,LEO",SEWM 42-34 (-8),,"GOOD 3PTR by BORN,LEO",1
00:37,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:16,"MISS LAYUP by MCNEAL,TIM",,,,,,,"MISS LAYUP by MCNEAL,TIM",1
--,,,,,"REBOUND DEF by STONE,BRODY",,,"REBOUND DEF by STONE,BRODY",1
00:08,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
00:03,,42 (+6),,36,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",SEWM 42-36 (-6),,"GOOD LAYUP by BUESCHER,HUNTER(in the paint)",1
19:52,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,"REBOUND DEF by WOOLDRIDGE,KYLE",,,,,,,"REBOUND DEF by WOOLDRIDGE,KYLE",2
19:36,"MISS LAYUP by WIEBUSCH,BEN",,,,,,,"MISS LAYUP by WIEBUSCH,BEN",2
--,"REBOUND OFF by HAYES,CAMERON",,,,,,,"REBOUND OFF by HAYES,CAMERON",2
19:32,"MISS LAYUP by HAYES,CAMERON",,,,,,,"MISS LAYUP by HAYES,CAMERON",2
19:32,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",2
--,"REBOUND OFF by HAYES,CAMERON",,,,,,,"REBOUND OFF by HAYES,CAMERON",2
19:32,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",2
19:32,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",2
19:30,"GOOD JUMPER by CORNISH,CLIFF",44 (+8),,36,,STE 44-36 (-8),,"GOOD JUMPER by CORNISH,CLIFF",2
--,"ASSIST  by WOOLDRIDGE,KYLE",,,,,,,"ASSIST  by WOOLDRIDGE,KYLE",2
18:52,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,2
18:41,"FOUL  by HAYES,CAMERON",,,,,,,"FOUL  by HAYES,CAMERON",2
18:41,"TURNOVER  by HAYES,CAMERON",,,,,,,"TURNOVER  by HAYES,CAMERON",2
18:22,,,,,"MISS LAYUP by WILLIAMS,JORDEN",,,"MISS LAYUP by WILLIAMS,JORDEN",2
--,"REBOUND DEF by CORNISH,CLIFF",,,,,,,"REBOUND DEF by CORNISH,CLIFF",2
18:01,"MISS 3PTR by WOOLDRIDGE,KYLE",,,,,,,"MISS 3PTR by WOOLDRIDGE,KYLE",2
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",2
