Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,APSU,Game Score,Team Indicator,Play,Period
17:55,,,,,"FOUL  by JONES,KENNY",,,"FOUL  by JONES,KENNY",1
17:43,"GOOD JUMPER by WILLIAMS,JORDEN",4,,6 (+2),,SEWANE~1 4-6 (-2),,"GOOD JUMPER by WILLIAMS,JORDEN",1
17:30,,,,,"TURNOVER  by ROBINSON,JOSH",,,"TURNOVER  by ROBINSON,JOSH",1
17:28,"STEAL  by BORN,CLAY",,,,,,,"STEAL  by BORN,CLAY",1
17:26,"GOOD LAYUP by BORN,LEO(fastbreak)(in the paint)",6,,6,,SEWANE~1 6-6 (0),,"GOOD LAYUP by BORN,LEO(fastbreak)(in the paint)",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
17:13,,,,,"MISS JUMPER by ROBINSON,JOSH",,,"MISS JUMPER by ROBINSON,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
17:12,,,,,"FOUL  by PORTER-BUNTON,CHRIS",,,"FOUL  by PORTER-BUNTON,CHRIS",1
17:05,"GOOD 3PTR by WILLIAMS,JORDEN",9 (+3),,6,,SEWANE~1 9-6 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
16:47,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
16:47,,9 (+2),,7,"GOOD FT by PORTER-BUNTON,CHRIS",APSU 9-7 (+2),,"GOOD FT by PORTER-BUNTON,CHRIS",1
16:47,,9 (+1),,8,"GOOD FT by PORTER-BUNTON,CHRIS",APSU 9-8 (+1),,"GOOD FT by PORTER-BUNTON,CHRIS",1
16:47,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
16:47,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
16:36,"GOOD 3PTR by BORN,LEO",12 (+4),,8,,SEWANE~1 12-8 (+4),,"GOOD 3PTR by BORN,LEO",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
16:18,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
16:18,,12 (+3),,9,"GOOD FT by MURRY,JOHN",APSU 12-9 (+3),,"GOOD FT by MURRY,JOHN",1
16:18,,,,,"MISS FT by MURRY,JOHN",,,"MISS FT by MURRY,JOHN",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
16:08,,,,,"FOUL  by PORTER-BUNTON,CHRIS",,,"FOUL  by PORTER-BUNTON,CHRIS",1
16:08,"MISS FT by BORN,LEO",,,,,,,"MISS FT by BORN,LEO",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:08,"GOOD FT by BORN,LEO",13 (+4),,9,,SEWANE~1 13-9 (+4),,"GOOD FT by BORN,LEO",1
16:08,,,,,"SUB IN by DIOP,ASSANE",,,"SUB IN by DIOP,ASSANE",1
16:08,,,,,"SUB OUT by PORTER-BUNTON,CHRIS",,,"SUB OUT by PORTER-BUNTON,CHRIS",1
15:56,"FOUL  by LEE,MATTHEW",,,,,,,"FOUL  by LEE,MATTHEW",1
15:56,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:56,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
15:56,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
15:56,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
15:56,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
15:56,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
15:56,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
15:56,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
15:56,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
15:56,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
15:56,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
15:39,,,,,"MISS 3PTR by SAVAGE,JARED",,,"MISS 3PTR by SAVAGE,JARED",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
15:31,,,,,"FOUL  by SAVAGE,JARED",,,"FOUL  by SAVAGE,JARED",1
15:07,"GOOD 3PTR by WILLIAMS,JORDEN",16 (+7),,9,,SEWANE~1 16-9 (+7),,"GOOD 3PTR by WILLIAMS,JORDEN",1
14:45,,,,,"TURNOVER  by DIOP,ASSANE",,,"TURNOVER  by DIOP,ASSANE",1
14:44,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
14:28,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
14:28,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
14:28,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
14:28,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
14:28,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
14:28,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
14:10,,,,,"TURNOVER  by JONES,KENNY",,,"TURNOVER  by JONES,KENNY",1
14:08,"STEAL  by LEE,MATTHEW",,,,,,,"STEAL  by LEE,MATTHEW",1
13:59,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
13:57,,,,,"STEAL  by SAVAGE,JARED",,,"STEAL  by SAVAGE,JARED",1
13:54,,16 (+5),,11,"GOOD DUNK by SAVAGE,JARED(fastbreak)(in the paint)",APSU 16-11 (+5),,"GOOD DUNK by SAVAGE,JARED(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by MURRY,JOHN",,,"ASSIST  by MURRY,JOHN",1
13:33,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by SAVAGE,JARED",,,"REBOUND DEF by SAVAGE,JARED",1
13:20,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
13:20,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",1
13:20,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
13:20,,,,,"SUB IN by GLOTTA,ZACH",,,"SUB IN by GLOTTA,ZACH",1
13:20,,,,,"SUB IN by HARRIS,STEVE",,,"SUB IN by HARRIS,STEVE",1
13:20,,,,,"SUB OUT by MURRY,JOHN",,,"SUB OUT by MURRY,JOHN",1
13:20,,,,,"SUB OUT by SAVAGE,JARED",,,"SUB OUT by SAVAGE,JARED",1
13:14,,,,,"TURNOVER  by JONES,KENNY",,,"TURNOVER  by JONES,KENNY",1
13:01,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by JONES,KENNY",,,"REBOUND DEF by JONES,KENNY",1
12:42,,,,,"MISS LAYUP by HARRIS,STEVE",,,"MISS LAYUP by HARRIS,STEVE",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
12:34,"TURNOVER  by BUESCHER,HUNTER",,,,,,,"TURNOVER  by BUESCHER,HUNTER",1
12:34,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
12:34,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
12:34,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
12:34,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
12:21,,,,,"TURNOVER  by JONES,KENNY",,,"TURNOVER  by JONES,KENNY",1
12:21,,,,,"SUB IN by DOBBS,JARTAVIOUS",,,"SUB IN by DOBBS,JARTAVIOUS",1
12:21,,,,,"SUB OUT by JONES,KENNY",,,"SUB OUT by JONES,KENNY",1
12:17,,,,,"SUB IN by CLAYTON,DRE'KALO",,,"SUB IN by CLAYTON,DRE'KALO",1
12:17,,,,,"SUB OUT by DOBBS,JARTAVIOUS",,,"SUB OUT by DOBBS,JARTAVIOUS",1
12:10,"GOOD 3PTR by BORN,LEO",19 (+8),,11,,SEWANE~1 19-11 (+8),,"GOOD 3PTR by BORN,LEO",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
11:38,,,,,"TURNOVER  by CLAYTON,DRE'KALO",,,"TURNOVER  by CLAYTON,DRE'KALO",1
11:38,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
11:20,,,,,"FOUL  by ROBINSON,JOSH",,,"FOUL  by ROBINSON,JOSH",1
11:20,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
11:20,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",1
11:09,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",1
--,,,,,"REBOUND DEF by CLAYTON,DRE'KALO",,,"REBOUND DEF by CLAYTON,DRE'KALO",1
11:01,,19 (+6),,13,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",APSU 19-13 (+6),,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",1
10:46,"GOOD 3PTR by BORN,CLAY",22 (+9),,13,,SEWANE~1 22-13 (+9),,"GOOD 3PTR by BORN,CLAY",1
10:38,,,,,"MISS 3PTR by ROBINSON,JOSH",,,"MISS 3PTR by ROBINSON,JOSH",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
10:23,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
10:19,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
10:19,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
10:19,,,,,"SUB IN by IVORY,TRE'",,,"SUB IN by IVORY,TRE'",1
10:19,,,,,"SUB OUT by GLOTTA,ZACH",,,"SUB OUT by GLOTTA,ZACH",1
10:17,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
10:17,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
10:17,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
10:17,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
10:11,,,,,"FOUL  by DIOP,ASSANE",,,"FOUL  by DIOP,ASSANE",1
10:11,,,,,"TURNOVER  by DIOP,ASSANE",,,"TURNOVER  by DIOP,ASSANE",1
09:56,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
09:56,,,,,"STEAL  by IVORY,TRE'",,,"STEAL  by IVORY,TRE'",1
09:48,,,,,"MISS LAYUP by IVORY,TRE'",,,"MISS LAYUP by IVORY,TRE'",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
09:40,"GOOD 3PTR by WILLIAMS,JORDEN",25 (+12),,13,,SEWANE~1 25-13 (+12),,"GOOD 3PTR by WILLIAMS,JORDEN",1
09:30,,,,,"TURNOVER  by IVORY,TRE'",,,"TURNOVER  by IVORY,TRE'",1
09:30,"STEAL  by BORN,CLAY",,,,,,,"STEAL  by BORN,CLAY",1
09:28,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by HARRIS,STEVE",,,"REBOUND DEF by HARRIS,STEVE",1
09:27,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:18,,25 (+10),,15,"GOOD LAYUP by HARRIS,STEVE(in the paint)",APSU 25-15 (+10),,"GOOD LAYUP by HARRIS,STEVE(in the paint)",1
09:16,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
09:16,,,,,"MISS FT by HARRIS,STEVE",,,"MISS FT by HARRIS,STEVE",1
--,,,,,"REBOUND OFF by DIOP,ASSANE",,,"REBOUND OFF by DIOP,ASSANE",1
09:15,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
09:15,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
09:07,,25 (+8),,17,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",APSU 25-17 (+8),,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",1
08:43,"GOOD 3PTR by BORN,CLAY",28 (+11),,17,,SEWANE~1 28-17 (+11),,"GOOD 3PTR by BORN,CLAY",1
08:31,,,,,"FOUL  by CLAYTON,DRE'KALO",,,"FOUL  by CLAYTON,DRE'KALO",1
08:31,,,,,"TURNOVER  by CLAYTON,DRE'KALO",,,"TURNOVER  by CLAYTON,DRE'KALO",1
08:31,,,,,"SUB IN by JONES,KENNY",,,"SUB IN by JONES,KENNY",1
08:31,,,,,"SUB IN by STOCKS,CHRIS",,,"SUB IN by STOCKS,CHRIS",1
08:31,,,,,"SUB OUT by ROBINSON,JOSH",,,"SUB OUT by ROBINSON,JOSH",1
08:31,,,,,"SUB OUT by DIOP,ASSANE",,,"SUB OUT by DIOP,ASSANE",1
08:16,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
08:16,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
08:00,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
08:00,,,,,"MISS FT by JONES,KENNY",,,"MISS FT by JONES,KENNY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
08:00,,28 (+10),,18,"GOOD FT by JONES,KENNY",APSU 28-18 (+10),,"GOOD FT by JONES,KENNY",1
08:00,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
08:00,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
07:55,"TURNOVER  by LEE,MATTHEW",,,,,,,"TURNOVER  by LEE,MATTHEW",1
07:55,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:36,,,,,"MISS 3PTR by STOCKS,CHRIS",,,"MISS 3PTR by STOCKS,CHRIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:33,,,,,"FOUL  by CLAYTON,DRE'KALO",,,"FOUL  by CLAYTON,DRE'KALO",1
07:33,"MISS FT by BORN,CLAY",,,,,,,"MISS FT by BORN,CLAY",1
--,,,,,"REBOUND DEF by JONES,KENNY",,,"REBOUND DEF by JONES,KENNY",1
07:33,,,,,"SUB IN by SAVAGE,JARED",,,"SUB IN by SAVAGE,JARED",1
07:33,,,,,"SUB OUT by HARRIS,STEVE",,,"SUB OUT by HARRIS,STEVE",1
07:18,,,,,"MISS 3PTR by SAVAGE,JARED",,,"MISS 3PTR by SAVAGE,JARED",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
07:15,,,,,"FOUL  by CLAYTON,DRE'KALO",,,"FOUL  by CLAYTON,DRE'KALO",1
07:15,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,"REBOUND OFF by LEE,MATTHEW",,,,,,,"REBOUND OFF by LEE,MATTHEW",1
07:15,,,,,"SUB IN by DOBBS,JARTAVIOUS",,,"SUB IN by DOBBS,JARTAVIOUS",1
07:15,,,,,"SUB OUT by CLAYTON,DRE'KALO",,,"SUB OUT by CLAYTON,DRE'KALO",1
07:12,"MISS LAYUP by LEE,MATTHEW",,,,,,,"MISS LAYUP by LEE,MATTHEW",1
--,,,,,"REBOUND DEF by JONES,KENNY",,,"REBOUND DEF by JONES,KENNY",1
06:59,,,,,"TURNOVER  by IVORY,TRE'",,,"TURNOVER  by IVORY,TRE'",1
06:44,"MISS JUMPER by LEE,MATTHEW",,,,,,,"MISS JUMPER by LEE,MATTHEW",1
--,,,,,"REBOUND DEF by IVORY,TRE'",,,"REBOUND DEF by IVORY,TRE'",1
06:19,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
06:19,,28 (+9),,19,"GOOD FT by JONES,KENNY",APSU 28-19 (+9),,"GOOD FT by JONES,KENNY",1
06:19,,28 (+8),,20,"GOOD FT by JONES,KENNY",APSU 28-20 (+8),,"GOOD FT by JONES,KENNY",1
06:19,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
06:19,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
05:55,,,,,"SUB IN by GLOTTA,ZACH",,,"SUB IN by GLOTTA,ZACH",1
05:55,,,,,"SUB OUT by STOCKS,CHRIS",,,"SUB OUT by STOCKS,CHRIS",1
05:52,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:37,,,,,"MISS 3PTR by GLOTTA,ZACH",,,"MISS 3PTR by GLOTTA,ZACH",1
--,,,,,"REBOUND OFF by JONES,KENNY",,,"REBOUND OFF by JONES,KENNY",1
05:33,,28 (+6),,22,"GOOD DUNK by JONES,KENNY(in the paint)",APSU 28-22 (+6),,"GOOD DUNK by JONES,KENNY(in the paint)",1
05:18,,,,,"FOUL  by DOBBS,JARTAVIOUS",,,"FOUL  by DOBBS,JARTAVIOUS",1
05:18,"GOOD FT by THOMAS,ADRIAN",29 (+7),,22,,SEWANE~1 29-22 (+7),,"GOOD FT by THOMAS,ADRIAN",1
05:18,"GOOD FT by THOMAS,ADRIAN",30 (+8),,22,,SEWANE~1 30-22 (+8),,"GOOD FT by THOMAS,ADRIAN",1
05:15,,,,,"MISS 3PTR by SAVAGE,JARED",,,"MISS 3PTR by SAVAGE,JARED",1
--,,,,,"REBOUND OFF by JONES,KENNY",,,"REBOUND OFF by JONES,KENNY",1
05:10,,30 (+6),,24,"GOOD LAYUP by JONES,KENNY(in the paint)",APSU 30-24 (+6),,"GOOD LAYUP by JONES,KENNY(in the paint)",1
04:38,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
04:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
04:38,,,,,"SUB IN by ROBINSON,JOSH",,,"SUB IN by ROBINSON,JOSH",1
04:38,,,,,"SUB OUT by IVORY,TRE'",,,"SUB OUT by IVORY,TRE'",1
04:24,,30 (+3),,27,"GOOD 3PTR by ROBINSON,JOSH",APSU 30-27 (+3),,"GOOD 3PTR by ROBINSON,JOSH",1
04:13,"TURNOVER  by LEE,MATTHEW",,,,,,,"TURNOVER  by LEE,MATTHEW",1
04:13,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
04:13,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
03:50,,30 (+1),,29,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",APSU 30-29 (+1),,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",1
03:40,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:29,"GOOD 3PTR by BORN,CLAY",33 (+4),,29,,SEWANE~1 33-29 (+4),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
03:13,,33 (+2),,31,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",APSU 33-31 (+2),,"GOOD LAYUP by ROBINSON,JOSH(in the paint)",1
02:59,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by SAVAGE,JARED",,,"REBOUND DEF by SAVAGE,JARED",1
02:50,,,,,"MISS 3PTR by ROBINSON,JOSH",,,"MISS 3PTR by ROBINSON,JOSH",1
--,,,,,"REBOUND OFF by JONES,KENNY",,,"REBOUND OFF by JONES,KENNY",1
02:33,,33,,33,"GOOD DUNK by JONES,KENNY(in the paint)",APSU 33-33 (0),,"GOOD DUNK by JONES,KENNY(in the paint)",1
02:12,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",1
02:12,"TURNOVER  by THOMAS,ADRIAN",,,,,,,"TURNOVER  by THOMAS,ADRIAN",1
02:12,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
02:12,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
01:57,,,,,"MISS JUMPER by JONES,KENNY",,,"MISS JUMPER by JONES,KENNY",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
01:34,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
01:34,,,,,"BLOCK  by GLOTTA,ZACH",,,"BLOCK  by GLOTTA,ZACH",1
--,,,,,"REBOUND DEF by SAVAGE,JARED",,,"REBOUND DEF by SAVAGE,JARED",1
01:28,,,,,"TURNOVER  by ROBINSON,JOSH",,,"TURNOVER  by ROBINSON,JOSH",1
01:26,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
01:20,,,,,"FOUL  by ROBINSON,JOSH",,,"FOUL  by ROBINSON,JOSH",1
01:20,"MISS FT by WILLIAMS,JORDEN",,,,,,,"MISS FT by WILLIAMS,JORDEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:20,"GOOD FT by WILLIAMS,JORDEN",34 (+1),,33,,SEWANE~1 34-33 (+1),,"GOOD FT by WILLIAMS,JORDEN",1
01:20,,,,,"SUB IN by IVORY,TRE'",,,"SUB IN by IVORY,TRE'",1
01:20,,,,,"SUB OUT by ROBINSON,JOSH",,,"SUB OUT by ROBINSON,JOSH",1
00:58,,,,,"MISS LAYUP by JONES,KENNY",,,"MISS LAYUP by JONES,KENNY",1
--,,,,,"REBOUND OFF by JONES,KENNY",,,"REBOUND OFF by JONES,KENNY",1
00:55,,34,,35 (+1),"GOOD LAYUP by JONES,KENNY(in the paint)",APSU 34-35 (-1),,"GOOD LAYUP by JONES,KENNY(in the paint)",1
00:55,"FOUL  by SPENCER,JC",,,,,,,"FOUL  by SPENCER,JC",1
00:53,,34,,36 (+2),"GOOD FT by JONES,KENNY",APSU 34-36 (-2),,"GOOD FT by JONES,KENNY",1
00:39,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by SAVAGE,JARED",,,"REBOUND DEF by SAVAGE,JARED",1
00:21,,,,,"MISS JUMPER by JONES,KENNY",,,"MISS JUMPER by JONES,KENNY",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
00:18,,,,,"FOUL  by DOBBS,JARTAVIOUS",,,"FOUL  by DOBBS,JARTAVIOUS",1
00:17,"GOOD FT by BORN,LEO",35,,36 (+1),,SEWANE~1 35-36 (-1),,"GOOD FT by BORN,LEO",1
00:17,"GOOD FT by BORN,LEO",36,,36,,SEWANE~1 36-36 (0),,"GOOD FT by BORN,LEO",1
00:17,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
00:17,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",1
00:17,,,,,"SUB IN by ROBINSON,JOSH",,,"SUB IN by ROBINSON,JOSH",1
00:17,,,,,"SUB OUT by IVORY,TRE'",,,"SUB OUT by IVORY,TRE'",1
00:09,,36,,39 (+3),"GOOD 3PTR by GLOTTA,ZACH",APSU 36-39 (-3),,"GOOD 3PTR by GLOTTA,ZACH",1
--,,,,,"ASSIST  by ROBINSON,JOSH",,,"ASSIST  by ROBINSON,JOSH",1
19:35,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",2
--,"REBOUND OFF by BORN,LEO",,,,,,,"REBOUND OFF by BORN,LEO",2
