Time Remaining,TUOTS,Away Team Score,Play Team Indicator,Home Team Score,E&HM,Game Score,Team Indicator,Play,Period
17:07,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",2
17:06,"GOOD LAYUP by BORN,LEO(fastbreak)(in the paint)",23,,48 (+25),,TUOTS 23-48 (-25),,"GOOD LAYUP by BORN,LEO(fastbreak)(in the paint)",2
16:41,,,,,"MISS LAYUP by WYNN,ALIC",,,"MISS LAYUP by WYNN,ALIC",2
--,,,,,"REBOUND OFF by WYNN,ALIC",,,"REBOUND OFF by WYNN,ALIC",2
16:39,,23,,50 (+27),"GOOD LAYUP by WYNN,ALIC(in the paint)",E&HM 23-50 (-27),,"GOOD LAYUP by WYNN,ALIC(in the paint)",2
16:24,"MISS LAYUP by BORN,CLAY",,,,,,,"MISS LAYUP by BORN,CLAY",2
--,,,,,"REBOUND DEF by GRAVLEY,RYAN",,,"REBOUND DEF by GRAVLEY,RYAN",2
16:17,,,,,"SUB IN by FERGUSON,AARON",,,"SUB IN by FERGUSON,AARON",2
16:17,,,,,"SUB IN by SELF,BRANDON",,,"SUB IN by SELF,BRANDON",2
16:17,,,,,"SUB IN by MOLDEN,COLIN",,,"SUB IN by MOLDEN,COLIN",2
16:17,,,,,"SUB OUT by BRANSCOMB,CHASE",,,"SUB OUT by BRANSCOMB,CHASE",2
16:17,,,,,"SUB OUT by WYNN,ALIC",,,"SUB OUT by WYNN,ALIC",2
16:17,,,,,"SUB OUT by GRAVLEY,RYAN",,,"SUB OUT by GRAVLEY,RYAN",2
16:14,,23,,52 (+29),"GOOD JUMPER by FERGUSON,AARON",E&HM 23-52 (-29),,"GOOD JUMPER by FERGUSON,AARON",2
--,,,,,"ASSIST  by MOLDEN,COLIN",,,"ASSIST  by MOLDEN,COLIN",2
15:59,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
15:53,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
15:53,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
15:37,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
15:37,,23,,53 (+30),"GOOD FT by SELF,BRANDON",E&HM 23-53 (-30),,"GOOD FT by SELF,BRANDON",2
15:37,,,,,"MISS FT by SELF,BRANDON",,,"MISS FT by SELF,BRANDON",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
15:20,,,,,"FOUL  by SELF,BRANDON",,,"FOUL  by SELF,BRANDON",2
15:20,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:20,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",2
--,,,,,"REBOUND DEF by SHELOR,JOHN",,,"REBOUND DEF by SHELOR,JOHN",2
15:03,,23,,56 (+33),"GOOD 3PTR by TURNER,MYLES",E&HM 23-56 (-33),,"GOOD 3PTR by TURNER,MYLES",2
--,,,,,"ASSIST  by SHELOR,JOHN",,,"ASSIST  by SHELOR,JOHN",2
14:51,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
14:51,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",2
14:51,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
14:51,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
14:51,,,,,"SUB IN by WALKER,NOAH",,,"SUB IN by WALKER,NOAH",2
14:51,,,,,"SUB IN by CONLEY,CLIF",,,"SUB IN by CONLEY,CLIF",2
14:51,,,,,"SUB OUT by SHELOR,JOHN",,,"SUB OUT by SHELOR,JOHN",2
14:51,,,,,"SUB OUT by SELF,BRANDON",,,"SUB OUT by SELF,BRANDON",2
14:41,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,,,,,"REBOUND DEF by MOLDEN,COLIN",,,"REBOUND DEF by MOLDEN,COLIN",2
14:33,,,,,"MISS 3PTR by MOLDEN,COLIN",,,"MISS 3PTR by MOLDEN,COLIN",2
--,,,,,"REBOUND OFF by WALKER,NOAH",,,"REBOUND OFF by WALKER,NOAH",2
14:26,,,,,"MISS JUMPER by FERGUSON,AARON",,,"MISS JUMPER by FERGUSON,AARON",2
--,,,,,"REBOUND OFF by WALKER,NOAH",,,"REBOUND OFF by WALKER,NOAH",2
14:21,,,,,"TURNOVER  by WALKER,NOAH",,,"TURNOVER  by WALKER,NOAH",2
14:20,"STEAL  by BORN,CLAY",,,,,,,"STEAL  by BORN,CLAY",2
14:13,,,,,"FOUL  by WALKER,NOAH",,,"FOUL  by WALKER,NOAH",2
14:13,"MISS FT by BORN,CLAY",,,,,,,"MISS FT by BORN,CLAY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
14:13,"MISS FT by BORN,CLAY",,,,,,,"MISS FT by BORN,CLAY",2
--,"REBOUND OFF by CRUMLY,JONNY",,,,,,,"REBOUND OFF by CRUMLY,JONNY",2
14:13,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
14:13,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",2
14:13,,,,,"SUB IN by WYNN,ALIC",,,"SUB IN by WYNN,ALIC",2
14:13,,,,,"SUB OUT by FERGUSON,AARON",,,"SUB OUT by FERGUSON,AARON",2
14:07,"TURNOVER  by LEE,MATTHEW",,,,,,,"TURNOVER  by LEE,MATTHEW",2
14:06,,,,,"STEAL  by MOLDEN,COLIN",,,"STEAL  by MOLDEN,COLIN",2
14:06,,23,,58 (+35),"GOOD LAYUP by MOLDEN,COLIN(fastbreak)(in the paint)",E&HM 23-58 (-35),,"GOOD LAYUP by MOLDEN,COLIN(fastbreak)(in the paint)",2
13:49,,,,,"FOUL  by CONLEY,CLIF",,,"FOUL  by CONLEY,CLIF",2
13:49,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
13:38,"MISS LAYUP by STONE,BRODY",,,,,,,"MISS LAYUP by STONE,BRODY",2
--,,,,,"REBOUND DEF by WALKER,NOAH",,,"REBOUND DEF by WALKER,NOAH",2
13:28,,,,,"MISS 3PTR by CONLEY,CLIF",,,"MISS 3PTR by CONLEY,CLIF",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
13:24,,,,,"TURNOVER  by MOLDEN,COLIN",,,"TURNOVER  by MOLDEN,COLIN",2
13:24,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
13:24,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
13:24,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
13:24,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",2
13:24,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
13:24,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
13:24,,,,,"SUB IN by HENDRICKS,JARRIS",,,"SUB IN by HENDRICKS,JARRIS",2
13:24,,,,,"SUB OUT by CONLEY,CLIF",,,"SUB OUT by CONLEY,CLIF",2
13:23,"STEAL  by LEE,MATTHEW",,,,,,,"STEAL  by LEE,MATTHEW",2
13:21,"MISS LAYUP by LEE,MATTHEW",,,,,,,"MISS LAYUP by LEE,MATTHEW",2
13:21,,,,,"BLOCK  by HENDRICKS,JARRIS",,,"BLOCK  by HENDRICKS,JARRIS",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
13:19,,,,,"SUB IN by CONLEY,CLIF",,,"SUB IN by CONLEY,CLIF",2
13:19,,,,,"SUB OUT by TURNER,MYLES",,,"SUB OUT by TURNER,MYLES",2
13:16,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",25,,58 (+33),,TUOTS 25-58 (-33),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",2
12:49,,25,,60 (+35),"GOOD LAYUP by MOLDEN,COLIN(in the paint)",E&HM 25-60 (-35),,"GOOD LAYUP by MOLDEN,COLIN(in the paint)",2
12:34,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",27,,60 (+33),,TUOTS 27-60 (-33),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
12:19,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",2
12:19,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",2
12:19,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
12:19,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",2
12:19,,,,,"SUB IN by BRANSCOMB,CHASE",,,"SUB IN by BRANSCOMB,CHASE",2
12:19,,,,,"SUB IN by GRAVLEY,RYAN",,,"SUB IN by GRAVLEY,RYAN",2
12:19,,,,,"SUB OUT by WYNN,ALIC",,,"SUB OUT by WYNN,ALIC",2
12:19,,,,,"SUB OUT by MOLDEN,COLIN",,,"SUB OUT by MOLDEN,COLIN",2
12:13,,27,,62 (+35),"GOOD LAYUP by GRAVLEY,RYAN(in the paint)",E&HM 27-62 (-35),,"GOOD LAYUP by GRAVLEY,RYAN(in the paint)",2
11:51,"GOOD 3PTR by THOMAS,ADRIAN",30,,62 (+32),,TUOTS 30-62 (-32),,"GOOD 3PTR by THOMAS,ADRIAN",2
--,"ASSIST  by BUESCHER,HUNTER",,,,,,,"ASSIST  by BUESCHER,HUNTER",2
11:19,,30,,64 (+34),"GOOD JUMPER by WALKER,NOAH",E&HM 30-64 (-34),,"GOOD JUMPER by WALKER,NOAH",2
--,,,,,"ASSIST  by GRAVLEY,RYAN",,,"ASSIST  by GRAVLEY,RYAN",2
11:01,,,,,"FOUL  by CONLEY,CLIF",,,"FOUL  by CONLEY,CLIF",2
11:01,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:01,"GOOD FT by THOMAS,ADRIAN",31,,64 (+33),,TUOTS 31-64 (-33),,"GOOD FT by THOMAS,ADRIAN",2
11:01,,,,,"SUB IN by SHELOR,JOHN",,,"SUB IN by SHELOR,JOHN",2
11:01,,,,,"SUB IN by MCLEAN,JOHNNY",,,"SUB IN by MCLEAN,JOHNNY",2
11:01,,,,,"SUB OUT by HENDRICKS,JARRIS",,,"SUB OUT by HENDRICKS,JARRIS",2
11:01,,,,,"SUB OUT by CONLEY,CLIF",,,"SUB OUT by CONLEY,CLIF",2
10:45,,,,,"MISS 3PTR by MCLEAN,JOHNNY",,,"MISS 3PTR by MCLEAN,JOHNNY",2
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",2
10:41,"GOOD 3PTR by WILLIAMS,JORDEN",34,,64 (+30),,TUOTS 34-64 (-30),,"GOOD 3PTR by WILLIAMS,JORDEN",2
10:29,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
10:29,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
10:13,,34,,66 (+32),"GOOD JUMPER by BRANSCOMB,CHASE",E&HM 34-66 (-32),,"GOOD JUMPER by BRANSCOMB,CHASE",2
--,,,,,"ASSIST  by GRAVLEY,RYAN",,,"ASSIST  by GRAVLEY,RYAN",2
09:55,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WALKER,NOAH",,,"REBOUND DEF by WALKER,NOAH",2
09:45,,,,,"FOUL  by BRANSCOMB,CHASE",,,"FOUL  by BRANSCOMB,CHASE",2
09:45,,,,,"TURNOVER  by BRANSCOMB,CHASE",,,"TURNOVER  by BRANSCOMB,CHASE",2
09:45,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",2
09:45,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
09:25,"GOOD 3PTR by WILLIAMS,JORDEN",37,,66 (+29),,TUOTS 37-66 (-29),,"GOOD 3PTR by WILLIAMS,JORDEN",2
--,"ASSIST  by HOWELL,TAYLOR",,,,,,,"ASSIST  by HOWELL,TAYLOR",2
09:06,,37,,69 (+32),"GOOD 3PTR by BRANSCOMB,CHASE",E&HM 37-69 (-32),,"GOOD 3PTR by BRANSCOMB,CHASE",2
--,,,,,"ASSIST  by GRAVLEY,RYAN",,,"ASSIST  by GRAVLEY,RYAN",2
08:42,"MISS 3PTR by THOMAS,ADRIAN",,,,,,,"MISS 3PTR by THOMAS,ADRIAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:41,"FOUL  by THOMAS,ADRIAN",,,,,,,"FOUL  by THOMAS,ADRIAN",2
08:41,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",2
08:41,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",2
08:41,,,,,"SUB IN by FERGUSON,AARON",,,"SUB IN by FERGUSON,AARON",2
08:41,,,,,"SUB IN by WYNN,ALIC",,,"SUB IN by WYNN,ALIC",2
08:41,,,,,"SUB IN by TURNER,MYLES",,,"SUB IN by TURNER,MYLES",2
08:41,,,,,"SUB OUT by WALKER,NOAH",,,"SUB OUT by WALKER,NOAH",2
08:41,,,,,"SUB OUT by BRANSCOMB,CHASE",,,"SUB OUT by BRANSCOMB,CHASE",2
08:41,,,,,"SUB OUT by MCLEAN,JOHNNY",,,"SUB OUT by MCLEAN,JOHNNY",2
08:32,"GOOD 3PTR by WILLIAMS,JORDEN",40,,69 (+29),,TUOTS 40-69 (-29),,"GOOD 3PTR by WILLIAMS,JORDEN",2
08:05,,40,,71 (+31),"GOOD LAYUP by TURNER,MYLES(in the paint)",E&HM 40-71 (-31),,"GOOD LAYUP by TURNER,MYLES(in the paint)",2
07:49,"GOOD 3PTR by WILLIAMS,JORDEN",43,,71 (+28),,TUOTS 43-71 (-28),,"GOOD 3PTR by WILLIAMS,JORDEN",2
07:28,,,,,"MISS 3PTR by TURNER,MYLES",,,"MISS 3PTR by TURNER,MYLES",2
--,"REBOUND DEF by HOWELL,TAYLOR",,,,,,,"REBOUND DEF by HOWELL,TAYLOR",2
07:15,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",2
07:14,,,,,"STEAL  by WYNN,ALIC",,,"STEAL  by WYNN,ALIC",2
07:09,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",2
07:09,,43,,72 (+29),"GOOD FT by FERGUSON,AARON",E&HM 43-72 (-29),,"GOOD FT by FERGUSON,AARON",2
07:09,,43,,73 (+30),"GOOD FT by FERGUSON,AARON",E&HM 43-73 (-30),,"GOOD FT by FERGUSON,AARON",2
07:09,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",2
07:09,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",2
07:09,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
07:09,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",2
06:50,"GOOD 3PTR by WILLIAMS,JORDEN",46,,73 (+27),,TUOTS 46-73 (-27),,"GOOD 3PTR by WILLIAMS,JORDEN",2
06:22,,,,,"MISS JUMPER by FERGUSON,AARON",,,"MISS JUMPER by FERGUSON,AARON",2
--,"REBOUND DEF by BARRY,MICHAEL",,,,,,,"REBOUND DEF by BARRY,MICHAEL",2
06:18,"TURNOVER  by BARRY,MICHAEL",,,,,,,"TURNOVER  by BARRY,MICHAEL",2
06:15,,,,,"STEAL  by TURNER,MYLES",,,"STEAL  by TURNER,MYLES",2
06:14,,,,,"MISS LAYUP by TURNER,MYLES",,,"MISS LAYUP by TURNER,MYLES",2
--,,,,,"REBOUND OFF by FERGUSON,AARON",,,"REBOUND OFF by FERGUSON,AARON",2
06:12,,46,,75 (+29),"GOOD LAYUP by FERGUSON,AARON(in the paint)",E&HM 46-75 (-29),,"GOOD LAYUP by FERGUSON,AARON(in the paint)",2
05:55,"TURNOVER  by CRUMLY,JONNY",,,,,,,"TURNOVER  by CRUMLY,JONNY",2
05:54,,,,,"STEAL  by FERGUSON,AARON",,,"STEAL  by FERGUSON,AARON",2
05:40,,46,,78 (+32),"GOOD 3PTR by SHELOR,JOHN",E&HM 46-78 (-32),,"GOOD 3PTR by SHELOR,JOHN",2
--,,,,,"ASSIST  by GRAVLEY,RYAN",,,"ASSIST  by GRAVLEY,RYAN",2
05:19,"GOOD 3PTR by STONE,BRODY",49,,78 (+29),,TUOTS 49-78 (-29),,"GOOD 3PTR by STONE,BRODY",2
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",2
05:03,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
05:03,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
05:03,,,,,"SUB IN by MOLDEN,COLIN",,,"SUB IN by MOLDEN,COLIN",2
05:03,,,,,"SUB OUT by GRAVLEY,RYAN",,,"SUB OUT by GRAVLEY,RYAN",2
04:46,,,,,"MISS LAYUP by WYNN,ALIC",,,"MISS LAYUP by WYNN,ALIC",2
--,,,,,"REBOUND OFF by BRANSCOMB,CHASE",,,"REBOUND OFF by BRANSCOMB,CHASE",2
04:44,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
04:44,,49,,79 (+30),"GOOD FT by BRANSCOMB,CHASE",E&HM 49-79 (-30),,"GOOD FT by BRANSCOMB,CHASE",2
04:44,,49,,80 (+31),"GOOD FT by BRANSCOMB,CHASE",E&HM 49-80 (-31),,"GOOD FT by BRANSCOMB,CHASE",2
04:30,"MISS 3PTR by STONE,BRODY",,,,,,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND DEF by BRANSCOMB,CHASE",,,"REBOUND DEF by BRANSCOMB,CHASE",2
04:13,,49,,83 (+34),"GOOD 3PTR by MOLDEN,COLIN",E&HM 49-83 (-34),,"GOOD 3PTR by MOLDEN,COLIN",2
--,,,,,"ASSIST  by BRANSCOMB,CHASE",,,"ASSIST  by BRANSCOMB,CHASE",2
03:44,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",2
03:44,,,,,"STEAL  by TURNER,MYLES",,,"STEAL  by TURNER,MYLES",2
03:37,,,,,"MISS JUMPER by MOLDEN,COLIN",,,"MISS JUMPER by MOLDEN,COLIN",2
--,"REBOUND DEF by BUESCHER,HUNTER",,,,,,,"REBOUND DEF by BUESCHER,HUNTER",2
03:23,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by WYNN,ALIC",,,"REBOUND DEF by WYNN,ALIC",2
03:18,,,,,"MISS 3PTR by SHELOR,JOHN",,,"MISS 3PTR by SHELOR,JOHN",2
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",2
03:05,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",2
--,,,,,"REBOUND DEF by SHELOR,JOHN",,,"REBOUND DEF by SHELOR,JOHN",2
02:46,,,,,"TURNOVER  by MOLDEN,COLIN",,,"TURNOVER  by MOLDEN,COLIN",2
02:46,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",2
02:46,"SUB IN by BUESCHER,HUNTER",,,,,,,"SUB IN by BUESCHER,HUNTER",2
02:46,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
02:46,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",2
02:46,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",2
02:46,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
02:46,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",2
02:46,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",2
02:46,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",2
02:46,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
02:46,,,,,"SUB IN by WALKER,NOAH",,,"SUB IN by WALKER,NOAH",2
02:46,,,,,"SUB IN by BRANSCOMB,CHASE",,,"SUB IN by BRANSCOMB,CHASE",2
02:46,,,,,"SUB IN by HENDRICKS,JARRIS",,,"SUB IN by HENDRICKS,JARRIS",2
02:46,,,,,"SUB IN by CONLEY,CLIF",,,"SUB IN by CONLEY,CLIF",2
02:46,,,,,"SUB OUT by FERGUSON,AARON",,,"SUB OUT by FERGUSON,AARON",2
02:46,,,,,"SUB OUT by SHELOR,JOHN",,,"SUB OUT by SHELOR,JOHN",2
02:46,,,,,"SUB OUT by WYNN,ALIC",,,"SUB OUT by WYNN,ALIC",2
02:46,,,,,"SUB OUT by TURNER,MYLES",,,"SUB OUT by TURNER,MYLES",2
02:28,"MISS 3PTR by BUESCHER,HUNTER",,,,,,,"MISS 3PTR by BUESCHER,HUNTER",2
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",2
02:25,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",51,,83 (+32),,TUOTS 51-83 (-32),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
02:03,,,,,"MISS 3PTR by HENDRICKS,JARRIS",,,"MISS 3PTR by HENDRICKS,JARRIS",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
01:58,"SUB IN by JOHNSON,DAVID",,,,,,,"SUB IN by JOHNSON,DAVID",2
01:58,"SUB OUT by BUESCHER,HUNTER",,,,,,,"SUB OUT by BUESCHER,HUNTER",2
01:58,,,,,"SUB IN by SCOTT,DAMON",,,"SUB IN by SCOTT,DAMON",2
01:58,,,,,"SUB OUT by MOLDEN,COLIN",,,"SUB OUT by MOLDEN,COLIN",2
01:37,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",53,,83 (+30),,TUOTS 53-83 (-30),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",2
01:19,,,,,"TURNOVER  by BRANSCOMB,CHASE",,,"TURNOVER  by BRANSCOMB,CHASE",2
01:19,,,,,"SUB IN by DAVIS,ANDREW",,,"SUB IN by DAVIS,ANDREW",2
01:19,,,,,"SUB IN by LAWSON,ZACH",,,"SUB IN by LAWSON,ZACH",2
01:19,,,,,"SUB IN by CLARKE,JAMIE",,,"SUB IN by CLARKE,JAMIE",2
01:19,,,,,"SUB OUT by WALKER,NOAH",,,"SUB OUT by WALKER,NOAH",2
01:19,,,,,"SUB OUT by BRANSCOMB,CHASE",,,"SUB OUT by BRANSCOMB,CHASE",2
01:19,,,,,"SUB OUT by CONLEY,CLIF",,,"SUB OUT by CONLEY,CLIF",2
01:07,"GOOD 3PTR by LEE,MATTHEW",56,,83 (+27),,TUOTS 56-83 (-27),,"GOOD 3PTR by LEE,MATTHEW",2
--,"ASSIST  by HOWELL,TAYLOR",,,,,,,"ASSIST  by HOWELL,TAYLOR",2
00:44,,,,,"TURNOVER  by SCOTT,DAMON",,,"TURNOVER  by SCOTT,DAMON",2
00:43,"STEAL  by THOMAS,ADRIAN",,,,,,,"STEAL  by THOMAS,ADRIAN",2
00:27,,,,,"FOUL  by DAVIS,ANDREW",,,"FOUL  by DAVIS,ANDREW",2
00:27,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",2
--,,,,,"REBOUND DEF by LAWSON,ZACH",,,"REBOUND DEF by LAWSON,ZACH",2
00:21,,,,,"TURNOVER  by LAWSON,ZACH",,,"TURNOVER  by LAWSON,ZACH",2
00:21,"STEAL  by LEE,MATTHEW",,,,,,,"STEAL  by LEE,MATTHEW",2
00:19,,,,,"FOUL  by LAWSON,ZACH",,,"FOUL  by LAWSON,ZACH",2
00:19,"MISS FT by LEE,MATTHEW",,,,,,,"MISS FT by LEE,MATTHEW",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
00:19,"GOOD FT by LEE,MATTHEW",57,,83 (+26),,TUOTS 57-83 (-26),,"GOOD FT by LEE,MATTHEW",2
