Time Remaining,SEWANE~1,Away Team Score,Play Team Indicator,Home Team Score,PCM,Game Score,Team Indicator,Play,Period
16:32,,7 (+1),,6,"GOOD FT by ENGLAND,CHASE",PCM 7-6 (+1),,"GOOD FT by ENGLAND,CHASE",1
16:13,,,,,"FOUL  by ASSINESI,KELLY",,,"FOUL  by ASSINESI,KELLY",1
16:13,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:13,"GOOD FT by STONE,BRODY",8 (+2),,6,,SEWANE~1 8-6 (+2),,"GOOD FT by STONE,BRODY",1
16:13,,,,,"SUB IN by MILLS,TAYLOR",,,"SUB IN by MILLS,TAYLOR",1
16:13,,,,,"SUB OUT by LUKEN,PEYTON",,,"SUB OUT by LUKEN,PEYTON",1
16:01,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
16:01,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
16:01,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
15:54,"FOUL  by CRUMLY,JONNY",,,,,,,"FOUL  by CRUMLY,JONNY",1
15:39,,8,,8,"GOOD JUMPER by GAINES,TRAE",PCM 8-8 (0),,"GOOD JUMPER by GAINES,TRAE",1
15:13,"GOOD 3PTR by BORN,CLAY",11 (+3),,8,,SEWANE~1 11-8 (+3),,"GOOD 3PTR by BORN,CLAY",1
15:05,"FOUL  by CRUMLY,JONNY",,,,,,,"FOUL  by CRUMLY,JONNY",1
15:05,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
15:05,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
15:05,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
15:05,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
15:05,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
15:05,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
15:04,,11 (+1),,10,"GOOD JUMPER by VALLEJO,JUSTIN",PCM 11-10 (+1),,"GOOD JUMPER by VALLEJO,JUSTIN",1
14:40,"MISS JUMPER by LEE,MATTHEW",,,,,,,"MISS JUMPER by LEE,MATTHEW",1
--,,,,,"REBOUND DEF by ASSINESI,KELLY",,,"REBOUND DEF by ASSINESI,KELLY",1
14:33,,,,,"TURNOVER  by GAINES,TRAE",,,"TURNOVER  by GAINES,TRAE",1
14:32,"STEAL  by CALDWELL,CAM",,,,,,,"STEAL  by CALDWELL,CAM",1
14:12,"GOOD 3PTR by BORN,CLAY",14 (+4),,10,,SEWANE~1 14-10 (+4),,"GOOD 3PTR by BORN,CLAY",1
--,"ASSIST  by STONE,BRODY",,,,,,,"ASSIST  by STONE,BRODY",1
13:56,,,,,"MISS 3PTR by GAINES,TRAE",,,"MISS 3PTR by GAINES,TRAE",1
--,,,,,"REBOUND OFF by VALLEJO,JUSTIN",,,"REBOUND OFF by VALLEJO,JUSTIN",1
13:52,,14 (+2),,12,"GOOD JUMPER by VALLEJO,JUSTIN(in the paint)",PCM 14-12 (+2),,"GOOD JUMPER by VALLEJO,JUSTIN(in the paint)",1
13:35,"GOOD LAYUP by CALDWELL,CAM(in the paint)",16 (+4),,12,,SEWANE~1 16-12 (+4),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
13:18,,,,,"FOUL  by ASSINESI,KELLY",,,"FOUL  by ASSINESI,KELLY",1
13:18,,,,,"SUB IN by ASSINESI,LANDRY",,,"SUB IN by ASSINESI,LANDRY",1
13:18,,,,,"SUB IN by ALSTON,ELIJAH",,,"SUB IN by ALSTON,ELIJAH",1
13:18,,,,,"SUB IN by RYAN,NICK",,,"SUB IN by RYAN,NICK",1
13:18,,,,,"SUB OUT by ASSINESI,KELLY",,,"SUB OUT by ASSINESI,KELLY",1
13:18,,,,,"SUB OUT by ENGLAND,CHASE",,,"SUB OUT by ENGLAND,CHASE",1
13:18,,,,,"SUB OUT by GAINES,TRAE",,,"SUB OUT by GAINES,TRAE",1
12:55,"MISS JUMPER by STONE,BRODY",,,,,,,"MISS JUMPER by STONE,BRODY",1
--,,,,,"REBOUND DEF by ALSTON,ELIJAH",,,"REBOUND DEF by ALSTON,ELIJAH",1
12:37,,,,,"MISS JUMPER by RYAN,NICK",,,"MISS JUMPER by RYAN,NICK",1
--,,,,,"REBOUND OFF by ALSTON,ELIJAH",,,"REBOUND OFF by ALSTON,ELIJAH",1
12:34,,,,,"MISS LAYUP by ALSTON,ELIJAH",,,"MISS LAYUP by ALSTON,ELIJAH",1
--,"REBOUND DEF by LEE,MATTHEW",,,,,,,"REBOUND DEF by LEE,MATTHEW",1
12:24,"MISS 3PTR by CALDWELL,CAM",,,,,,,"MISS 3PTR by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by ALSTON,ELIJAH",,,"REBOUND DEF by ALSTON,ELIJAH",1
12:13,,,,,"MISS 3PTR by ENGLAND,CHASE",,,"MISS 3PTR by ENGLAND,CHASE",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
12:00,,,,,"FOUL  by MILLS,TAYLOR",,,"FOUL  by MILLS,TAYLOR",1
12:00,"SUB IN by SPENCER,JC",,,,,,,"SUB IN by SPENCER,JC",1
12:00,"SUB IN by HOWELL,TAYLOR",,,,,,,"SUB IN by HOWELL,TAYLOR",1
12:00,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
12:00,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
11:38,,,,,"FOUL  by RYAN,NICK",,,"FOUL  by RYAN,NICK",1
11:38,"GOOD FT by CALDWELL,CAM",17 (+5),,12,,SEWANE~1 17-12 (+5),,"GOOD FT by CALDWELL,CAM",1
11:38,"GOOD FT by CALDWELL,CAM",18 (+6),,12,,SEWANE~1 18-12 (+6),,"GOOD FT by CALDWELL,CAM",1
11:38,,,,,"SUB IN by ENGLAND,CHASE",,,"SUB IN by ENGLAND,CHASE",1
11:38,,,,,"SUB IN by LUKEN,PEYTON",,,"SUB IN by LUKEN,PEYTON",1
11:38,,,,,"SUB OUT by VALLEJO,JUSTIN",,,"SUB OUT by VALLEJO,JUSTIN",1
11:38,,,,,"SUB OUT by RYAN,NICK",,,"SUB OUT by RYAN,NICK",1
11:24,,18 (+4),,14,"GOOD LAYUP by MILLS,TAYLOR(in the paint)",PCM 18-14 (+4),,"GOOD LAYUP by MILLS,TAYLOR(in the paint)",1
10:59,"GOOD LAYUP by CALDWELL,CAM(in the paint)",20 (+6),,14,,SEWANE~1 20-14 (+6),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
--,"ASSIST  by THOMAS,ADRIAN",,,,,,,"ASSIST  by THOMAS,ADRIAN",1
10:50,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",1
10:50,,,,,"MISS FT by LUKEN,PEYTON",,,"MISS FT by LUKEN,PEYTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:50,,20 (+5),,15,"GOOD FT by LUKEN,PEYTON",PCM 20-15 (+5),,"GOOD FT by LUKEN,PEYTON",1
10:50,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
10:50,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
10:50,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
10:50,"SUB OUT by SPENCER,JC",,,,,,,"SUB OUT by SPENCER,JC",1
10:50,"SUB OUT by LEE,MATTHEW",,,,,,,"SUB OUT by LEE,MATTHEW",1
10:50,"SUB OUT by HOWELL,TAYLOR",,,,,,,"SUB OUT by HOWELL,TAYLOR",1
10:44,,,,,"SUB IN by VALLEJO,JUSTIN",,,"SUB IN by VALLEJO,JUSTIN",1
10:44,,,,,"SUB OUT by ENGLAND,CHASE",,,"SUB OUT by ENGLAND,CHASE",1
10:35,"GOOD LAYUP by CALDWELL,CAM(in the paint)",22 (+7),,15,,SEWANE~1 22-15 (+7),,"GOOD LAYUP by CALDWELL,CAM(in the paint)",1
10:03,,,,,"MISS 3PTR by ALSTON,ELIJAH",,,"MISS 3PTR by ALSTON,ELIJAH",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
09:46,,,,,"FOUL  by ALSTON,ELIJAH",,,"FOUL  by ALSTON,ELIJAH",1
09:46,,,,,"SUB IN by MCCRAVY,DANIEL",,,"SUB IN by MCCRAVY,DANIEL",1
09:46,,,,,"SUB OUT by ALSTON,ELIJAH",,,"SUB OUT by ALSTON,ELIJAH",1
09:33,"GOOD LAYUP by STONE,BRODY(in the paint)",24 (+9),,15,,SEWANE~1 24-15 (+9),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
09:13,,,,,"MISS LAYUP by LUKEN,PEYTON",,,"MISS LAYUP by LUKEN,PEYTON",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
09:01,"TURNOVER  by BORN,CLAY",,,,,,,"TURNOVER  by BORN,CLAY",1
09:01,"SUB IN by BARRY,MICHAEL",,,,,,,"SUB IN by BARRY,MICHAEL",1
09:01,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
09:01,,,,,"SUB IN by ASSINESI,KELLY",,,"SUB IN by ASSINESI,KELLY",1
09:01,,,,,"SUB IN by GAINES,TRAE",,,"SUB IN by GAINES,TRAE",1
09:01,,,,,"SUB OUT by ASSINESI,LANDRY",,,"SUB OUT by ASSINESI,LANDRY",1
09:01,,,,,"SUB OUT by MILLS,TAYLOR",,,"SUB OUT by MILLS,TAYLOR",1
08:46,,,,,"TURNOVER  by MCCRAVY,DANIEL",,,"TURNOVER  by MCCRAVY,DANIEL",1
08:19,"TURNOVER  by CALDWELL,CAM",,,,,,,"TURNOVER  by CALDWELL,CAM",1
08:19,"SUB IN by CRUMLY,JONNY",,,,,,,"SUB IN by CRUMLY,JONNY",1
08:19,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
08:08,,,,,"TURNOVER  by LUKEN,PEYTON",,,"TURNOVER  by LUKEN,PEYTON",1
07:43,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
07:38,"GOOD LAYUP by STONE,BRODY(in the paint)",26 (+11),,15,,SEWANE~1 26-15 (+11),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
07:30,,26 (+9),,17,"GOOD LAYUP by ASSINESI,KELLY(in the paint)",PCM 26-17 (+9),,"GOOD LAYUP by ASSINESI,KELLY(in the paint)",1
07:10,"GOOD JUMPER by STONE,BRODY(in the paint)",28 (+11),,17,,SEWANE~1 28-17 (+11),,"GOOD JUMPER by STONE,BRODY(in the paint)",1
06:58,,,,,"MISS JUMPER by VALLEJO,JUSTIN",,,"MISS JUMPER by VALLEJO,JUSTIN",1
--,,,,,"REBOUND OFF by GAINES,TRAE",,,"REBOUND OFF by GAINES,TRAE",1
06:51,,28 (+8),,20,"GOOD 3PTR by LUKEN,PEYTON",PCM 28-20 (+8),,"GOOD 3PTR by LUKEN,PEYTON",1
--,,,,,"ASSIST  by ASSINESI,KELLY",,,"ASSIST  by ASSINESI,KELLY",1
06:26,"GOOD JUMPER by STONE,BRODY",30 (+10),,20,,SEWANE~1 30-20 (+10),,"GOOD JUMPER by STONE,BRODY",1
06:11,,,,,"MISS LAYUP by ASSINESI,KELLY",,,"MISS LAYUP by ASSINESI,KELLY",1
--,,,,,"REBOUND OFF by MCCRAVY,DANIEL",,,"REBOUND OFF by MCCRAVY,DANIEL",1
06:09,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
06:09,,30 (+9),,21,"GOOD FT by MCCRAVY,DANIEL",PCM 30-21 (+9),,"GOOD FT by MCCRAVY,DANIEL",1
06:09,,,,,"MISS FT by MCCRAVY,DANIEL",,,"MISS FT by MCCRAVY,DANIEL",1
--,,,,,"REBOUND OFF by GAINES,TRAE",,,"REBOUND OFF by GAINES,TRAE",1
06:09,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
06:09,"SUB OUT by BARRY,MICHAEL",,,,,,,"SUB OUT by BARRY,MICHAEL",1
06:09,,,,,"SUB IN by OGLESBY,DAVID",,,"SUB IN by OGLESBY,DAVID",1
06:09,,,,,"SUB OUT by LUKEN,PEYTON",,,"SUB OUT by LUKEN,PEYTON",1
05:59,,,,,"TURNOVER  by MCCRAVY,DANIEL",,,"TURNOVER  by MCCRAVY,DANIEL",1
05:58,"STEAL  by CRUMLY,JONNY",,,,,,,"STEAL  by CRUMLY,JONNY",1
05:43,,,,,"FOUL  by GAINES,TRAE",,,"FOUL  by GAINES,TRAE",1
05:43,"MISS FT by STONE,BRODY",,,,,,,"MISS FT by STONE,BRODY",1
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",1
05:43,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",1
05:43,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
05:43,,,,,"SUB IN by ENGLAND,CHASE",,,"SUB IN by ENGLAND,CHASE",1
05:43,,,,,"SUB OUT by MCCRAVY,DANIEL",,,"SUB OUT by MCCRAVY,DANIEL",1
05:35,,30 (+6),,24,"GOOD 3PTR by VALLEJO,JUSTIN",PCM 30-24 (+6),,"GOOD 3PTR by VALLEJO,JUSTIN",1
--,,,,,"ASSIST  by GAINES,TRAE",,,"ASSIST  by GAINES,TRAE",1
05:13,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",1
--,,,,,"REBOUND DEF by ASSINESI,KELLY",,,"REBOUND DEF by ASSINESI,KELLY",1
05:05,,,,,"MISS JUMPER by GAINES,TRAE",,,"MISS JUMPER by GAINES,TRAE",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
04:56,"MISS JUMPER by BORN,CLAY",,,,,,,"MISS JUMPER by BORN,CLAY",1
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",1
04:46,,,,,"TURNOVER  by GAINES,TRAE",,,"TURNOVER  by GAINES,TRAE",1
04:46,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
04:46,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",1
04:40,"MISS JUMPER by BORN,LEO",,,,,,,"MISS JUMPER by BORN,LEO",1
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",1
04:20,,,,,"MISS JUMPER by GAINES,TRAE",,,"MISS JUMPER by GAINES,TRAE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
04:10,"TURNOVER  by STONE,BRODY",,,,,,,"TURNOVER  by STONE,BRODY",1
03:37,,30 (+3),,27,"GOOD 3PTR by OGLESBY,DAVID",PCM 30-27 (+3),,"GOOD 3PTR by OGLESBY,DAVID",1
--,,,,,"ASSIST  by ASSINESI,KELLY",,,"ASSIST  by ASSINESI,KELLY",1
03:17,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by ASSINESI,KELLY",,,"REBOUND DEF by ASSINESI,KELLY",1
03:07,,,,,"FOUL  by GAINES,TRAE",,,"FOUL  by GAINES,TRAE",1
02:46,"GOOD 3PTR by BORN,LEO",33 (+6),,27,,SEWANE~1 33-27 (+6),,"GOOD 3PTR by BORN,LEO",1
02:42,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",1
02:42,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
02:42,,,,,"SUB IN by ABDULGADER,MALIK",,,"SUB IN by ABDULGADER,MALIK",1
02:42,,,,,"SUB OUT by VALLEJO,JUSTIN",,,"SUB OUT by VALLEJO,JUSTIN",1
02:14,,,,,"MISS 3PTR by GAINES,TRAE",,,"MISS 3PTR by GAINES,TRAE",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
01:45,"MISS LAYUP by CALDWELL,CAM",,,,,,,"MISS LAYUP by CALDWELL,CAM",1
--,"REBOUND OFF by CALDWELL,CAM",,,,,,,"REBOUND OFF by CALDWELL,CAM",1
01:42,,,,,"FOUL  by OGLESBY,DAVID",,,"FOUL  by OGLESBY,DAVID",1
01:42,"GOOD FT by CALDWELL,CAM",34 (+7),,27,,SEWANE~1 34-27 (+7),,"GOOD FT by CALDWELL,CAM",1
01:42,"GOOD FT by CALDWELL,CAM",35 (+8),,27,,SEWANE~1 35-27 (+8),,"GOOD FT by CALDWELL,CAM",1
01:42,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",1
01:42,"SUB OUT by CALDWELL,CAM",,,,,,,"SUB OUT by CALDWELL,CAM",1
01:42,,,,,"SUB IN by LUKEN,PEYTON",,,"SUB IN by LUKEN,PEYTON",1
01:42,,,,,"SUB OUT by GAINES,TRAE",,,"SUB OUT by GAINES,TRAE",1
01:25,,35 (+5),,30,"GOOD 3PTR by ABDULGADER,MALIK",PCM 35-30 (+5),,"GOOD 3PTR by ABDULGADER,MALIK",1
--,,,,,"ASSIST  by ENGLAND,CHASE",,,"ASSIST  by ENGLAND,CHASE",1
00:59,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
00:59,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
00:59,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
00:50,,,,,"FOUL  by ABDULGADER,MALIK",,,"FOUL  by ABDULGADER,MALIK",1
00:50,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:41,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",1
--,,,,,"REBOUND DEF by ASSINESI,KELLY",,,"REBOUND DEF by ASSINESI,KELLY",1
00:29,,,,,"MISS 3PTR by LUKEN,PEYTON",,,"MISS 3PTR by LUKEN,PEYTON",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
00:04,,,,,"FOUL  by ENGLAND,CHASE",,,"FOUL  by ENGLAND,CHASE",1
00:04,"GOOD FT by THOMAS,ADRIAN",36 (+6),,30,,SEWANE~1 36-30 (+6),,"GOOD FT by THOMAS,ADRIAN",1
00:04,"MISS FT by THOMAS,ADRIAN",,,,,,,"MISS FT by THOMAS,ADRIAN",1
--,,,,,"REBOUND DEF by ENGLAND,CHASE",,,"REBOUND DEF by ENGLAND,CHASE",1
19:47,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
19:47,,36 (+5),,31,"GOOD FT by ENGLAND,CHASE",PCM 36-31 (+5),,"GOOD FT by ENGLAND,CHASE",2
19:47,,36 (+4),,32,"GOOD FT by ENGLAND,CHASE",PCM 36-32 (+4),,"GOOD FT by ENGLAND,CHASE",2
19:21,"MISS 3PTR by CRUMLY,JONNY",,,,,,,"MISS 3PTR by CRUMLY,JONNY",2
--,"REBOUND OFF by WILLIAMS,JORDEN",,,,,,,"REBOUND OFF by WILLIAMS,JORDEN",2
19:12,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by VALLEJO,JUSTIN",,,"REBOUND DEF by VALLEJO,JUSTIN",2
19:06,,,,,"MISS 3PTR by LUKEN,PEYTON",,,"MISS 3PTR by LUKEN,PEYTON",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
18:54,,,,,"FOUL  by ENGLAND,CHASE",,,"FOUL  by ENGLAND,CHASE",2
18:31,"GOOD LAYUP by STONE,BRODY(in the paint)",38 (+6),,32,,SEWANE~1 38-32 (+6),,"GOOD LAYUP by STONE,BRODY(in the paint)",2
18:17,,38 (+4),,34,"GOOD LAYUP by GAINES,TRAE(in the paint)",PCM 38-34 (+4),,"GOOD LAYUP by GAINES,TRAE(in the paint)",2
17:59,"MISS LAYUP by WILLIAMS,JORDEN",,,,,,,"MISS LAYUP by WILLIAMS,JORDEN",2
17:59,,,,,"BLOCK  by GAINES,TRAE",,,"BLOCK  by GAINES,TRAE",2
--,,,,,"REBOUND DEF by ASSINESI,KELLY",,,"REBOUND DEF by ASSINESI,KELLY",2
17:50,,38 (+2),,36,"GOOD LAYUP by ENGLAND,CHASE(in the paint)",PCM 38-36 (+2),,"GOOD LAYUP by ENGLAND,CHASE(in the paint)",2
--,,,,,"ASSIST  by GAINES,TRAE",,,"ASSIST  by GAINES,TRAE",2
17:36,"GOOD 3PTR by WILLIAMS,JORDEN",41 (+5),,36,,SEWANE~1 41-36 (+5),,"GOOD 3PTR by WILLIAMS,JORDEN",2
17:27,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",2
17:27,,,,,"MISS FT by GAINES,TRAE",,,"MISS FT by GAINES,TRAE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
17:27,,,,,"MISS FT by GAINES,TRAE",,,"MISS FT by GAINES,TRAE",2
--,"REBOUND DEF by CALDWELL,CAM",,,,,,,"REBOUND DEF by CALDWELL,CAM",2
17:27,"SUB IN by CALDWELL,CAM",,,,,,,"SUB IN by CALDWELL,CAM",2
17:27,"SUB OUT by CRUMLY,JONNY",,,,,,,"SUB OUT by CRUMLY,JONNY",2
17:12,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by LUKEN,PEYTON",,,"REBOUND DEF by LUKEN,PEYTON",2
16:59,,,,,"MISS LAYUP by ENGLAND,CHASE",,,"MISS LAYUP by ENGLAND,CHASE",2
16:59,"BLOCK  by BORN,LEO",,,,,,,"BLOCK  by BORN,LEO",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
16:47,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
16:47,"SUB IN by LEE,MATTHEW",,,,,,,"SUB IN by LEE,MATTHEW",2
16:47,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",2
16:21,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",2
16:21,,,,,"MISS FT by ENGLAND,CHASE",,,"MISS FT by ENGLAND,CHASE",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
16:21,,,,,"MISS FT by ENGLAND,CHASE",,,"MISS FT by ENGLAND,CHASE",2
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",2
16:21,"SUB IN by THOMAS,ADRIAN",,,,,,,"SUB IN by THOMAS,ADRIAN",2
16:21,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",2
15:59,"GOOD 3PTR by STONE,BRODY",44 (+8),,36,,SEWANE~1 44-36 (+8),,"GOOD 3PTR by STONE,BRODY",2
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",2
15:41,,44 (+6),,38,"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",PCM 44-38 (+6),,"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",2
15:18,,,,,"FOUL  by VALLEJO,JUSTIN",,,"FOUL  by VALLEJO,JUSTIN",2
15:18,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:06,"FOUL  by CALDWELL,CAM",,,,,,,"FOUL  by CALDWELL,CAM",2
15:01,,,,,"SUB IN by ALSTON,ELIJAH",,,"SUB IN by ALSTON,ELIJAH",2
15:01,,,,,"SUB OUT by GAINES,TRAE",,,"SUB OUT by GAINES,TRAE",2
14:55,,44 (+4),,40,"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",PCM 44-40 (+4),,"GOOD LAYUP by VALLEJO,JUSTIN(in the paint)",2
--,,,,,"ASSIST  by LUKEN,PEYTON",,,"ASSIST  by LUKEN,PEYTON",2
14:40,,,,,"FOUL  by ALSTON,ELIJAH",,,"FOUL  by ALSTON,ELIJAH",2
14:32,,,,,"FOUL  by VALLEJO,JUSTIN",,,"FOUL  by VALLEJO,JUSTIN",2
14:32,"GOOD FT by STONE,BRODY",45 (+5),,40,,SEWANE~1 45-40 (+5),,"GOOD FT by STONE,BRODY",2
14:32,"GOOD FT by STONE,BRODY",46 (+6),,40,,SEWANE~1 46-40 (+6),,"GOOD FT by STONE,BRODY",2
14:32,,,,,"SUB IN by ASSINESI,LANDRY",,,"SUB IN by ASSINESI,LANDRY",2
14:32,,,,,"SUB OUT by ASSINESI,KELLY",,,"SUB OUT by ASSINESI,KELLY",2
14:16,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",2
