Time Remaining,PCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
16:23,,4,,11 (+7),"GOOD 3PTR by YANCEY,RICH",BSC-M 4-11 (+7),,"GOOD 3PTR by YANCEY,RICH",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
16:09,"GOOD LAYUP by MCCRILLIS,JARED(in the paint)",6,,11 (+5),,PCM 6-11 (+5),,"GOOD LAYUP by MCCRILLIS,JARED(in the paint)",1
--,"ASSIST  by JOHNSON,IAN",,,,,,,"ASSIST  by JOHNSON,IAN",1
15:53,,6,,13 (+7),"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC-M 6-13 (+7),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
15:53,"FOUL  by MCCRILLIS,JARED",,,,,,,"FOUL  by MCCRILLIS,JARED",1
15:53,"FOUL  by MCCRILLIS,JARED",,,,,,,"FOUL  by MCCRILLIS,JARED",1
15:53,,,,,"MISS FT by YANCEY,RICH",,,"MISS FT by YANCEY,RICH",1
--,"REBOUND DEF by MCCRILLIS,JARED",,,,,,,"REBOUND DEF by MCCRILLIS,JARED",1
15:53,"SUB IN by SHOEMO,RODNEY",,,,,,,"SUB IN by SHOEMO,RODNEY",1
15:53,"SUB OUT by ROSE,TYLER",,,,,,,"SUB OUT by ROSE,TYLER",1
15:53,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
15:53,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
15:43,"MISS 3PTR by POOLE,ADAM",,,,,,,"MISS 3PTR by POOLE,ADAM",1
--,,,,,"REBOUND DEF by ALLISON,ZACHARY",,,"REBOUND DEF by ALLISON,ZACHARY",1
15:16,,,,,"MISS LAYUP by ALLISON,ZACHARY",,,"MISS LAYUP by ALLISON,ZACHARY",1
--,"REBOUND DEF by MCCRILLIS,JARED",,,,,,,"REBOUND DEF by MCCRILLIS,JARED",1
15:06,"TURNOVER  by POOLE,ADAM",,,,,,,"TURNOVER  by POOLE,ADAM",1
15:06,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
15:06,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
15:01,,6,,15 (+9),"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC-M 6-15 (+9),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
14:37,"GOOD JUMPER by MCCRILLIS,JARED",8,,15 (+7),,PCM 8-15 (+7),,"GOOD JUMPER by MCCRILLIS,JARED",1
14:23,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,"REBOUND DEF by JOHNSON,IAN",,,,,,,"REBOUND DEF by JOHNSON,IAN",1
14:16,"MISS JUMPER by MCCRILLIS,JARED",,,,,,,"MISS JUMPER by MCCRILLIS,JARED",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
14:06,,8,,18 (+10),"GOOD 3PTR by DENBESTEN,COLE",BSC-M 8-18 (+10),,"GOOD 3PTR by DENBESTEN,COLE",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
13:35,"MISS JUMPER by PRATT,DAKOTA",,,,,,,"MISS JUMPER by PRATT,DAKOTA",1
--,,,,,"REBOUND DEF by ALLISON,ZACHARY",,,"REBOUND DEF by ALLISON,ZACHARY",1
13:26,,,,,"TURNOVER  by ALLISON,ZACHARY",,,"TURNOVER  by ALLISON,ZACHARY",1
13:26,"STEAL  by JOHNSON,IAN",,,,,,,"STEAL  by JOHNSON,IAN",1
13:14,"SUB IN by COEFIELD,ELLIS",,,,,,,"SUB IN by COEFIELD,ELLIS",1
13:14,"SUB IN by ROSE,TYLER",,,,,,,"SUB IN by ROSE,TYLER",1
13:14,"SUB OUT by SHOEMO,RODNEY",,,,,,,"SUB OUT by SHOEMO,RODNEY",1
13:14,"SUB OUT by JOHNSON,IAN",,,,,,,"SUB OUT by JOHNSON,IAN",1
13:14,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
13:14,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
13:14,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
13:14,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",,,"SUB OUT by HOLLIFIELD,MALCOLM",1
13:14,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
13:14,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
13:03,"MISS 3PTR by POOLE,ADAM",,,,,,,"MISS 3PTR by POOLE,ADAM",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
12:56,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",1
--,,,,,"REBOUND OFF by SIGLER,EVAN",,,"REBOUND OFF by SIGLER,EVAN",1
12:50,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by MCCRILLIS,JARED",,,,,,,"REBOUND DEF by MCCRILLIS,JARED",1
12:31,"MISS JUMPER by MCCRILLIS,JARED",,,,,,,"MISS JUMPER by MCCRILLIS,JARED",1
--,"REBOUND OFF by PRATT,DAKOTA",,,,,,,"REBOUND OFF by PRATT,DAKOTA",1
12:17,,,,,"FOUL  by DENBESTEN,COLE",,,"FOUL  by DENBESTEN,COLE",1
12:17,,,,,"FOUL  by DENBESTEN,COLE",,,"FOUL  by DENBESTEN,COLE",1
12:17,"SUB IN by JOHNSON,IAN",,,,,,,"SUB IN by JOHNSON,IAN",1
12:17,"SUB OUT by MCCRILLIS,JARED",,,,,,,"SUB OUT by MCCRILLIS,JARED",1
12:10,"MISS 3PTR by ROSE,TYLER",,,,,,,"MISS 3PTR by ROSE,TYLER",1
--,"REBOUND OFF by PRATT,DAKOTA",,,,,,,"REBOUND OFF by PRATT,DAKOTA",1
12:05,,,,,"FOUL  by WALDRUM,AIDAN",,,"FOUL  by WALDRUM,AIDAN",1
12:05,"MISS FT by COEFIELD,ELLIS",,,,,,,"MISS FT by COEFIELD,ELLIS",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:05,"MISS FT by COEFIELD,ELLIS",,,,,,,"MISS FT by COEFIELD,ELLIS",1
--,,,,,"REBOUND DEF by SIGLER,EVAN",,,"REBOUND DEF by SIGLER,EVAN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
12:05,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
12:05,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
12:03,"GOOD FT by PRATT,DAKOTA",9,,18 (+9),,PCM 9-18 (+9),,"GOOD FT by PRATT,DAKOTA",1
12:03,"MISS FT by PRATT,DAKOTA",,,,,,,"MISS FT by PRATT,DAKOTA",1
12:01,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
--,"REBOUND DEF by PRATT,DAKOTA",,,,,,,"REBOUND DEF by PRATT,DAKOTA",1
11:46,"GOOD LAYUP by PRATT,DAKOTA(in the paint)",11,,18 (+7),,PCM 11-18 (+7),,"GOOD LAYUP by PRATT,DAKOTA(in the paint)",1
11:28,,11,,21 (+10),"GOOD 3PTR by DENBESTEN,COLE",BSC-M 11-21 (+10),,"GOOD 3PTR by DENBESTEN,COLE",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
10:59,,,,,"FOUL  by SIGLER,EVAN",,,"FOUL  by SIGLER,EVAN",1
10:59,,,,,"FOUL  by SIGLER,EVAN",,,"FOUL  by SIGLER,EVAN",1
10:59,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
10:59,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
10:45,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
10:45,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
10:45,"SUB IN by MCCRILLIS,JARED",,,,,,,"SUB IN by MCCRILLIS,JARED",1
10:45,"SUB OUT by PRATT,DAKOTA",,,,,,,"SUB OUT by PRATT,DAKOTA",1
10:31,"MISS 3PTR by POOLE,ADAM",,,,,,,"MISS 3PTR by POOLE,ADAM",1
--,,,,,"REBOUND DEF by WALDRUM,AIDAN",,,"REBOUND DEF by WALDRUM,AIDAN",1
10:23,,11,,23 (+12),"GOOD LAYUP by SPENCE,BEN(fastbreak)(in the paint)",BSC-M 11-23 (+12),,"GOOD LAYUP by SPENCE,BEN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
10:15,"TURNOVER  by ROSE,TYLER",,,,,,,"TURNOVER  by ROSE,TYLER",1
09:59,,11,,26 (+15),"GOOD 3PTR by BAK,CALVIN",BSC-M 11-26 (+15),,"GOOD 3PTR by BAK,CALVIN",1
09:46,"MISS JUMPER by ROSE,TYLER",,,,,,,"MISS JUMPER by ROSE,TYLER",1
--,"REBOUND OFF by JOHNSON,IAN",,,,,,,"REBOUND OFF by JOHNSON,IAN",1
09:41,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
09:41,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
09:41,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
09:41,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
09:38,"TURNOVER  by COEFIELD,ELLIS",,,,,,,"TURNOVER  by COEFIELD,ELLIS",1
09:38,,,,,"STEAL  by BAK,CALVIN",,,"STEAL  by BAK,CALVIN",1
09:29,,11,,28 (+17),"GOOD LAYUP by STEPHENS,TROY(in the paint)",BSC-M 11-28 (+17),,"GOOD LAYUP by STEPHENS,TROY(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
09:21,"TURNOVER  by MCCRILLIS,JARED",,,,,,,"TURNOVER  by MCCRILLIS,JARED",1
09:21,,,,,"STEAL  by BAK,CALVIN",,,"STEAL  by BAK,CALVIN",1
09:13,,,,,"MISS LAYUP by WALDRUM,AIDAN",,,"MISS LAYUP by WALDRUM,AIDAN",1
--,,,,,"REBOUND OFF by WALDRUM,AIDAN",,,"REBOUND OFF by WALDRUM,AIDAN",1
09:12,,11,,30 (+19),"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",BSC-M 11-30 (+19),,"GOOD LAYUP by WALDRUM,AIDAN(in the paint)",1
09:12,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
09:12,"SUB IN by PRATT,DAKOTA",,,,,,,"SUB IN by PRATT,DAKOTA",1
09:12,"SUB IN by SHOEMO,RODNEY",,,,,,,"SUB IN by SHOEMO,RODNEY",1
09:12,"SUB OUT by POOLE,ADAM",,,,,,,"SUB OUT by POOLE,ADAM",1
09:12,"SUB OUT by COEFIELD,ELLIS",,,,,,,"SUB OUT by COEFIELD,ELLIS",1
09:12,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
09:12,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
09:12,,,,,"SUB OUT by WALDRUM,AIDAN",,,"SUB OUT by WALDRUM,AIDAN",1
09:12,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
08:59,"MISS LAYUP by MCCRILLIS,JARED",,,,,,,"MISS LAYUP by MCCRILLIS,JARED",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
08:51,,11,,32 (+21),"GOOD LAYUP by JR,BRUCE BRIGHT(fastbreak)(in the paint)",BSC-M 11-32 (+21),,"GOOD LAYUP by JR,BRUCE BRIGHT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
08:44,"TURNOVER  by SHOEMO,RODNEY",,,,,,,"TURNOVER  by SHOEMO,RODNEY",1
08:44,,,,,"STEAL  by ALLISON,ZACHARY",,,"STEAL  by ALLISON,ZACHARY",1
08:33,,11,,34 (+23),"GOOD LAYUP by BAK,CALVIN(in the paint)",BSC-M 11-34 (+23),,"GOOD LAYUP by BAK,CALVIN(in the paint)",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
08:25,"GOOD LAYUP by ROSE,TYLER(in the paint)",13,,34 (+21),,PCM 13-34 (+21),,"GOOD LAYUP by ROSE,TYLER(in the paint)",1
08:18,,13,,37 (+24),"GOOD 3PTR by BAK,CALVIN",BSC-M 13-37 (+24),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by ALLISON,ZACHARY",,,"ASSIST  by ALLISON,ZACHARY",1
08:08,"GOOD LAYUP by PRATT,DAKOTA(in the paint)",15,,37 (+22),,PCM 15-37 (+22),,"GOOD LAYUP by PRATT,DAKOTA(in the paint)",1
07:53,,15,,39 (+24),"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",BSC-M 15-39 (+24),,"GOOD LAYUP by ALLISON,ZACHARY(in the paint)",1
07:41,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
07:41,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
07:41,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:41,"SUB IN by COEFIELD,ELLIS",,,,,,,"SUB IN by COEFIELD,ELLIS",1
07:41,"SUB OUT by ROSE,TYLER",,,,,,,"SUB OUT by ROSE,TYLER",1
07:41,,,,,"SUB IN by HOLLIFIELD,MALCOLM",,,"SUB IN by HOLLIFIELD,MALCOLM",1
07:41,,,,,"SUB IN by DENBESTEN,COLE",,,"SUB IN by DENBESTEN,COLE",1
07:41,,,,,"SUB OUT by STEPHENS,TROY",,,"SUB OUT by STEPHENS,TROY",1
07:41,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
07:28,"GOOD JUMPER by JOHNSON,IAN",17,,39 (+22),,PCM 17-39 (+22),,"GOOD JUMPER by JOHNSON,IAN",1
07:19,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",,,"MISS 3PTR by JR,BRUCE BRIGHT",1
07:15,"FOUL  by PRATT,DAKOTA",,,,,,,"FOUL  by PRATT,DAKOTA",1
07:15,"FOUL  by PRATT,DAKOTA",,,,,,,"FOUL  by PRATT,DAKOTA",1
07:15,,17,,40 (+23),"GOOD FT by STEWART,CHRISTIAN",BSC-M 17-40 (+23),,"GOOD FT by STEWART,CHRISTIAN",1
07:15,,17,,41 (+24),"GOOD FT by STEWART,CHRISTIAN",BSC-M 17-41 (+24),,"GOOD FT by STEWART,CHRISTIAN",1
07:15,,,,,"SUB IN by YANCEY,RICH",,,"SUB IN by YANCEY,RICH",1
07:15,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
07:10,"TURNOVER  by COEFIELD,ELLIS",,,,,,,"TURNOVER  by COEFIELD,ELLIS",1
07:10,,,,,"STEAL  by HOLLIFIELD,MALCOLM",,,"STEAL  by HOLLIFIELD,MALCOLM",1
07:03,,17,,43 (+26),"GOOD LAYUP by YANCEY,RICH(in the paint)",BSC-M 17-43 (+26),,"GOOD LAYUP by YANCEY,RICH(in the paint)",1
--,,,,,"ASSIST  by HOLLIFIELD,MALCOLM",,,"ASSIST  by HOLLIFIELD,MALCOLM",1
06:56,"GOOD JUMPER by JOHNSON,IAN(in the paint)",19,,43 (+24),,PCM 19-43 (+24),,"GOOD JUMPER by JOHNSON,IAN(in the paint)",1
06:42,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1
06:35,,19,,45 (+26),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 19-45 (+26),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
06:28,"MISS JUMPER by JOHNSON,IAN",,,,,,,"MISS JUMPER by JOHNSON,IAN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
06:16,,19,,48 (+29),"GOOD 3PTR by DENBESTEN,COLE",BSC-M 19-48 (+29),,"GOOD 3PTR by DENBESTEN,COLE",1
06:02,"GOOD LAYUP by PRATT,DAKOTA(in the paint)",21,,48 (+27),,PCM 21-48 (+27),,"GOOD LAYUP by PRATT,DAKOTA(in the paint)",1
05:50,,,,,"MISS 3PTR by DENBESTEN,COLE",,,"MISS 3PTR by DENBESTEN,COLE",1
--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1
05:43,,21,,50 (+29),"GOOD JUMPER by STEWART,CHRISTIAN",BSC-M 21-50 (+29),,"GOOD JUMPER by STEWART,CHRISTIAN",1
--,,,,,"ASSIST  by DENBESTEN,COLE",,,"ASSIST  by DENBESTEN,COLE",1
05:32,"MISS JUMPER by MCCRILLIS,JARED",,,,,,,"MISS JUMPER by MCCRILLIS,JARED",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
05:19,,,,,"MISS JUMPER by YANCEY,RICH",,,"MISS JUMPER by YANCEY,RICH",1
05:19,"BLOCK  by JOHNSON,IAN",,,,,,,"BLOCK  by JOHNSON,IAN",1
--,,,,,"REBOUND OFF by YANCEY,RICH",,,"REBOUND OFF by YANCEY,RICH",1
05:19,,,,,"SUB IN by MOORE,KADEN",,,"SUB IN by MOORE,KADEN",1
05:19,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
05:19,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
05:19,,,,,"SUB OUT by ALLISON,ZACHARY",,,"SUB OUT by ALLISON,ZACHARY",1
05:03,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",1
05:03,,,,,"FOUL  by MOORE,KADEN",,,"FOUL  by MOORE,KADEN",1
05:03,"SUB IN by POOLE,ADAM",,,,,,,"SUB IN by POOLE,ADAM",1
05:03,"SUB OUT by SHOEMO,RODNEY",,,,,,,"SUB OUT by SHOEMO,RODNEY",1
05:02,,,,,"TURNOVER  by MOORE,KADEN",,,"TURNOVER  by MOORE,KADEN",1
04:58,"MISS JUMPER by PRATT,DAKOTA",,,,,,,"MISS JUMPER by PRATT,DAKOTA",1
--,"REBOUND OFF by PRATT,DAKOTA",,,,,,,"REBOUND OFF by PRATT,DAKOTA",1
04:52,"MISS JUMPER by JOHNSON,IAN",,,,,,,"MISS JUMPER by JOHNSON,IAN",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
04:44,,,,,"MISS 3PTR by HOLLIFIELD,MALCOLM",,,"MISS 3PTR by HOLLIFIELD,MALCOLM",1
--,"REBOUND DEF by JOHNSON,IAN",,,,,,,"REBOUND DEF by JOHNSON,IAN",1
04:32,"GOOD LAYUP by JOHNSON,IAN(in the paint)",23,,50 (+27),,PCM 23-50 (+27),,"GOOD LAYUP by JOHNSON,IAN(in the paint)",1
04:21,,23,,53 (+30),"GOOD 3PTR by HOLLIFIELD,MALCOLM",BSC-M 23-53 (+30),,"GOOD 3PTR by HOLLIFIELD,MALCOLM",1
--,,,,,"ASSIST  by YANCEY,RICH",,,"ASSIST  by YANCEY,RICH",1
03:48,"GOOD JUMPER by PRATT,DAKOTA(in the paint)",25,,53 (+28),,PCM 25-53 (+28),,"GOOD JUMPER by PRATT,DAKOTA(in the paint)",1
03:35,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:35,"SUB IN by ROSE,TYLER",,,,,,,"SUB IN by ROSE,TYLER",1
03:35,"SUB OUT by JOHNSON,IAN",,,,,,,"SUB OUT by JOHNSON,IAN",1
03:35,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
03:35,,,,,"SUB IN by ALLISON,ZACHARY",,,"SUB IN by ALLISON,ZACHARY",1
03:35,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:35,,,,,"SUB IN by STEPHENS,TROY",,,"SUB IN by STEPHENS,TROY",1
03:35,,,,,"SUB OUT by HOLLIFIELD,MALCOLM",,,"SUB OUT by HOLLIFIELD,MALCOLM",1
03:35,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
03:35,,,,,"SUB OUT by YANCEY,RICH",,,"SUB OUT by YANCEY,RICH",1
03:35,,,,,"SUB OUT by DENBESTEN,COLE",,,"SUB OUT by DENBESTEN,COLE",1
03:28,"FOUL  by COEFIELD,ELLIS",,,,,,,"FOUL  by COEFIELD,ELLIS",1
03:28,"FOUL  by COEFIELD,ELLIS",,,,,,,"FOUL  by COEFIELD,ELLIS",1
03:13,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by MCCRILLIS,JARED",,,,,,,"REBOUND DEF by MCCRILLIS,JARED",1
02:46,"MISS JUMPER by POOLE,ADAM",,,,,,,"MISS JUMPER by POOLE,ADAM",1
--,,,,,"REBOUND DEF by MOORE,KADEN",,,"REBOUND DEF by MOORE,KADEN",1
02:23,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",1
02:23,"BLOCK  by ROSE,TYLER",,,,,,,"BLOCK  by ROSE,TYLER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:23,,,,,"SUB IN by WALDRUM,AIDAN",,,"SUB IN by WALDRUM,AIDAN",1
02:23,,,,,"SUB OUT by MOORE,KADEN",,,"SUB OUT by MOORE,KADEN",1
02:15,,,,,"MISS JUMPER by STEPHENS,TROY",,,"MISS JUMPER by STEPHENS,TROY",1
--,"REBOUND DEF by ROSE,TYLER",,,,,,,"REBOUND DEF by ROSE,TYLER",1
